District Name,School Name,SCHOOL LEA,N,Math Avg,Math % Met,English Avg,English % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
DEWITT SCHOOL DISTRICT,DEWITT HIGH SCHOOL,101004,84,17.9,20.20%,18.1,51.20%,18.6,32.10%,18.2,16.70%,8.30%,Arkansas,34.2772634,-91.3494126,1614 South Grandview Drive,72042,Arkansas County,DeWitt,5001,"1614 South Grandview Drive, DeWitt, Arkansas, 72042",480600,5001480600,2019,480600,Arkansas County,Arkansas,190,25,72,82,11,1536,58,79,687,257,180,169,106,13.2,37.9,43.2,5.8,3.8,5.1,44.7,16.7,11.7,11,6.9,845,59957,67314,1882,172,9.1,1710,90.9,1649,87.6,38,2,0,0,0,0,0,0,0,0,23,1.2,17.9,18.6
STUTTGART SCHOOL DISTRICT,STUTTGART HIGH SCHOOL,104025,94,18,20.20%,16.5,33.00%,17.3,21.30%,17.6,17.00%,6.40%,Arkansas,34.4787942,-91.5575788,401 West 22nd Street,72160,Arkansas County,Stuttgart,5001,"401 West 22nd Street, Stuttgart, Arkansas, 72160",480500,5001480500,2019,480500,Arkansas County,Arkansas,335,17,137,158,23,2479,62,158,1040,456,309,311,143,5.1,40.9,47.2,6.9,2.5,6.4,42,18.4,12.5,12.5,5.8,1513,60972,69573,3882,40,1,3842,99,2734,70.4,1055,27.2,0,0,0,0,0,0,0,0,53,1.4,18,17.3
CROSSETT SCHOOL DISTRICT,CROSSETT HIGH SCHOOL,201006,106,17.1,13.20%,16.3,36.80%,17.5,23.60%,17,11.30%,4.70%,Arkansas,33.1074892,-92.027319,,N/A,Ashley County,N/A,5003,,960700,5003960700,2019,960700,Ashley County,Arkansas,168,0,74,94,0,1136,114,79,514,212,70,108,39,0,44,56,0,10,7,45.2,18.7,6.2,9.5,3.4,666,44605,62924,2019,67,3.3,1952,96.7,1266,62.7,559,27.7,0,0,4,0.2,92,4.6,0,0,31,1.5,17.1,17.5
HAMBURG SCHOOL DISTRICT,HAMBURG HIGH SCHOOL,203018,122,18.2,26.20%,17,41.00%,17.4,23.00%,17.9,18.90%,11.50%,Arkansas,33.2078742,-91.7967227,1119 South Main Street,71646,Ashley County,Hamburg,5003,"1119 South Main Street, Hamburg, Arkansas, 71646",960300,5003960300,2019,960300,Ashley County,Arkansas,390,88,120,182,0,2848,251,323,1231,384,126,330,203,22.6,30.8,46.7,0,8.8,11.3,43.2,13.5,4.4,11.6,7.1,1699,36861,59283,4118,399,9.7,3719,90.3,2756,66.9,904,22,8,0.2,0,0,0,0,4,0.1,47,1.1,18.2,17.4
COTTER SCHOOL DISTRICT,COTTER HIGH SCHOOL,302007,44,18.8,27.30%,19.6,63.60%,19.5,36.40%,19.8,34.10%,20.50%,Arkansas,36.2789437,-92.5212095,181 Mabel,72626,Baxter County,Cotter,5005,"181 Mabel, Cotter, Arkansas, 72626",950900,5005950900,2019,950900,Baxter County,Arkansas,375,67,87,216,5,4150,75,466,1499,1138,418,303,251,17.9,23.2,57.6,1.3,1.8,11.2,36.1,27.4,10.1,7.3,6,2469,38657,49939,5850,63,1.1,5787,98.9,5551,94.9,33,0.6,2,0,25,0.4,0,0,0,0,176,3,18.8,19.5
MOUNTAIN HOME SCHOOL DISTRICT,MOUNTAIN HOME CAREER ACADEMIES,303703,252,18.5,24.20%,19.1,56.00%,19.8,39.30%,19.7,29.80%,15.10%,Arkansas,36.3315465,-92.3969759,500 Bomber Boulevard,72653,Baxter County,Mountain Home,5005,"500 Bomber Boulevard, Mountain Home, Arkansas, 72653",950400,5005950400,2019,950400,Baxter County,Arkansas,349,86,133,130,0,2542,56,188,860,621,394,288,135,24.6,38.1,37.2,0,2.2,7.4,33.8,24.4,15.5,11.3,5.3,1466,41898,72516,3463,24,0.7,3439,99.3,3369,97.3,11,0.3,6,0.2,1,0,0,0,0,0,52,1.5,18.5,19.8
NORFORK SCHOOL DISTRICT,NORFORK HIGH SCHOOL,304022,35,19.8,42.90%,19.7,57.10%,20.6,42.90%,20.3,37.10%,31.40%,Arkansas,36.1955167,-92.269522,136 Mildred Simpson Drive,72658,Baxter County,Norfork,5005,"136 Mildred Simpson Drive, Norfork, Arkansas, 72658",950500,5005950500,2019,950500,Baxter County,Arkansas,257,27,154,76,0,3400,107,396,1125,712,415,440,205,10.5,59.9,29.6,0,3.1,11.6,33.1,20.9,12.2,12.9,6,1878,46042,60450,4559,95,2.1,4464,97.9,4360,95.6,15,0.3,25,0.5,4,0.1,0,0,6,0.1,54,1.2,19.8,20.6
BENTONVILLE SCHOOL DISTRICT,BENTONVILLE HIGH SCHOOL,401003,695,20.6,41.30%,22,73.40%,22,48.80%,21.5,42.60%,26.90%,Arkansas,36.3517242,-94.1954077,1801 Southeast J Street,72712,Benton County,Bentonville,5007,"1801 Southeast J Street, Bentonville, Arkansas, 72712",20503,5007020503,2019,20503,Benton County,Arkansas,581,175,236,124,46,2644,67,211,534,415,156,873,388,30.1,40.6,21.3,7.9,2.5,8,20.2,15.7,5.9,33,14.7,1790,62500,68527,4195,642,15.3,3553,84.7,1686,40.2,213,5.1,18,0.4,1140,27.2,0,0,0,0,496,11.8,20.6,22
BENTONVILLE SCHOOL DISTRICT,BENTONVILLE WEST HIGH SCHOOL,401019,401,19.7,31.70%,20.3,60.60%,21.2,47.40%,20.5,37.20%,22.40%,Arkansas,36.3775561,-94.2963597,1351 Gamble Road,72719,Benton County,Centerton,5007,"1351 Gamble Road, Centerton, Arkansas, 72719",20906,5007020906,2019,20906,Benton County,Arkansas,463,62,244,157,0,2916,33,123,673,962,366,475,284,13.4,52.7,33.9,0,1.1,4.2,23.1,33,12.6,16.3,9.7,1620,83033,92131,4676,226,4.8,4450,95.2,3886,83.1,194,4.1,24,0.5,75,1.6,0,0,0,0,271,5.8,19.7,21.2
DECATUR SCHOOL DISTRICT,DECATUR HIGH SCHOOL,402009,32,16.7,12.50%,14,18.80%,14.8,6.30%,16.4,3.10%,0.00%,Arkansas,36.3422712,-94.4696765,,N/A,Benton County,N/A,5007,,21003,5007021003,2019,21003,Benton County,Arkansas,248,42,126,76,4,2216,158,150,1089,347,117,300,55,16.9,50.8,30.6,1.6,7.1,6.8,49.1,15.7,5.3,13.5,2.5,1148,59111,68488,3432,685,20,2747,80,2397,69.8,87,2.5,71,2.1,124,3.6,12,0.3,30,0.9,26,0.8,16.7,14.8
