,School Name,Grade,District Name, Average % ACT Composite Score , % Students in grade 9-12 that took the ACT, School Enrollment ,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region, Number of Students in Grades 9-12 , % Students in grade 9-12 that took the ACT2,Average ACT Reading Score,Average ACT English Score,Average ACT Math Score,Average ACT Science Score,Average ACT Composite Score, Number of Students taking AP exams , Number of AP Exams Taken ,% of Exams that scored 3 or Above,Is Open Enrollment Charter,School LEA,DLEA,Year
1,Academic Center For Excellence,5-12,Cabot School District,17.63,54%,292,47%,88%,4%,3%,4%,12%,3,265,54%,18.45,16.61,17.25,17.61,17.63, N/A , N<10 ,RV,0,4304703,4304000,2019
2,Acorn High School,7-12,Ouachita River School District,19.41,39%,262,66%,92%,2%,1%,6%,8%,4,172,39%,20.38,18.66,18.79,19.17,19.41,11, N<10 ,33%,0,5706002,5706000,2019
3,Agee Lierly Life Preparation Services School,9-12,Fayetteville School District,17.01,63%,253,64%,51%,17%,18%,14%,49%,1,253,63%,17.91,16.2,16.26,17.04,17.01, N/A , N<10 ,67%,0,7203029,7203000,2019
4,Alma High School,9-12,Alma School District,20.27,50%,1013,44%,85%,4%,2%,8%,15%,1,1013,50%,20.87,19.82,19.36,20.46,20.27,151,234,42%,0,1701002,1701000,2019
5,Alpena High School,7-12,Alpena School District,18.41,37%,234,64%,94%,2%,1%,3%,6%,1,156,37%,19.86,18.1,16.69,18.31,18.41,25,21,38%,0,501002,501000,2019
6,Arkansas School for the Blind High School,7-12,Arkansas School For The Blind,18.8,23%,52,38%,58%,10%,23%,10%,42%,3,31,23%,21.8,18.2,15,19.4,18.8, N/A , N/A ,N/A,0,6091002,6091000,2019
7,Arkadelphia High School,9-12,Arkadelphia School District,20.01,43%,534,44%,50%,10%,37%,3%,50%,4,534,43%,20.64,19.58,19.38,20.12,20.01,159,258,16%,0,1002010,1002000,2019
8,Arkansas Arts Academy High School,7-12,Arkansas Arts Academy,21.48,44%,546,28%,73%,15%,2%,10%,27%,1,333,44%,23.59,21.67,19.3,20.78,21.48,67,73,47%,1,440703,440700,2019
9,Arkansas Connections Academy High,K-12,Arkansas Connections Academy,19.28,33%,1597,44%,75%,7%,10%,8%,25%,1,829,33%,20.49,18.95,17.73,19.37,19.28,23, N<10 ,RV,1,444703,444700,2019
10,Arkansas Consolidated High School-Alexander,5-12,Division of Youth Services School System,14,15%,85,100%,47%,5%,44%,5%,53%,3,74,15%,14,14,14.33,13.33,14, N/A , N/A ,N/A,0,6094001,6094000,2019
11,Arkansas Consolidated High School-Dermott,5-12,Division of Youth Services School System,14.75,55%,11,100%,55%,0%,45%,0%,45%,3,11,55%,13.5,13.25,15.75,16.5,14.75, N/A , N/A ,N/A,0,6094002,6094000,2019
12,Arkansas High School,9-12,Texarkana School District,17.19,39%,1027,59%,35%,5%,55%,5%,65%,4,1027,39%,17.49,16.5,16.86,17.27,17.19,224,285,35%,0,4605026,4605000,2019
13,Arkansas Virtual Academy High School,9-12,Arkansas Virtual Academy,19.66,25%,1108,65%,79%,7%,10%,4%,21%,3,1108,25%,21.2,19.53,17.38,19.85,19.66,19, N<10 ,20%,1,6043703,6043700,2019
14,Armorel High School,7-12,Armorel School District,19.77,55%,186,42%,87%,4%,6%,3%,13%,2,121,55%,21.93,19.4,17.73,19.63,19.77,19,15,13%,0,4701002,4701000,2019
15,Ashdown High School,9-12,Ashdown School District,17.52,50%,441,60%,64%,3%,27%,6%,36%,4,441,50%,17.89,16.43,17.23,17.83,17.52,52,72,22%,0,4101004,4101000,2019
16,Atkins High School,9-12,Atkins School District,20.41,41%,279,60%,91%,3%,1%,5%,9%,1,279,41%,21.65,20.02,19.39,19.91,20.41,27,25,44%,0,5801002,5801000,2019
17,Augusta High School,6-12,Augusta School District,15.58,49%,167,84%,42%,2%,54%,2%,58%,2,87,49%,15.25,14.63,16.29,15.75,15.58,10, N<10 ,RV,0,7401003,7401000,2019
18,Bald Knob High School,9-12,Bald Knob School District,19.43,44%,390,59%,86%,8%,2%,4%,14%,2,390,44%,20.58,19.06,18.11,19.41,19.43,52,29,17%,0,7301003,7301000,2019
19,Barton High School,7-12,Barton-Lexa School District,17.02,50%,338,85%,58%,2%,36%,4%,42%,5,222,50%,17.49,16.15,16.64,17.51,17.02,32,31,10%,0,5401003,5401000,2019
20,Batesville High School,9-12,Batesville School District,19.15,45%,928,45%,70%,20%,7%,3%,30%,2,927,45%,19.97,18.47,18.37,19.15,19.15,79,86,58%,0,3201005,3201000,2019
21,Bauxite High School,9-12,Bauxite School District,19.14,53%,522,31%,90%,5%,3%,2%,10%,3,522,53%,20.29,18.82,17.56,19.28,19.14,102,124,38%,0,6301002,6301000,2019
22,Bay High School,7-12,Bay School District,20.79,33%,280,62%,90%,2%,4%,4%,10%,2,184,33%,22,21.79,17.93,20.96,20.79,20,26,12%,0,1601002,1601000,2019
23,Bearden High School,7-12,Bearden School District,17.72,48%,212,67%,54%,4%,39%,3%,46%,4,140,48%,17.93,17.07,17.45,17.93,17.72,30,23,9%,0,5201002,5201000,2019
24,Beebe High School,9-12,Beebe School District,19.85,44%,988,44%,88%,5%,4%,4%,12%,2,988,44%,20.49,19.52,18.88,19.9,19.85,133,173,69%,0,7302010,7302000,2019
25,Belle Point Alternative Center,7-12,Fort Smith School District,12.33,21%,52,87%,54%,21%,13%,12%,46%,1,43,21%,11.33,10.33,13.33,14,12.33, N/A , N/A ,N/A,0,6601005,6601000,2019
26,Benton High School,10-12,Benton School District,20.85,68%,1229,31%,78%,8%,10%,4%,22%,3,1228,68%,21.53,20.48,20.36,20.49,20.85,350,540,43%,0,6302012,6302000,2019
27,Bentonville High School,9-12,Bentonville School District,23.19,35%,3057,16%,77%,10%,2%,11%,23%,1,3047,35%,24.22,23.34,21.54,23,23.19,1047,1948,67%,0,401003,401000,2019
28,Bentonville West High School,9-12,Bentonville School District,21.65,32%,2135,22%,71%,14%,4%,10%,29%,1,2132,32%,22.67,21.17,20.21,21.86,21.65,778,1337,57%,0,401019,401000,2019
29,Bergman High School,9-12,Bergman School District,19.13,44%,319,51%,94%,4%,0%,2%,6%,1,319,44%,19.34,18.62,18.62,19.31,19.13,35,18,11%,0,502007,502000,2019
30,Berryville High School,9-12,Berryville School District,19.59,42%,555,61%,68%,28%,0%,4%,32%,1,554,42%,20.36,18.53,18.78,20.08,19.59,63,91,66%,0,801002,801000,2019
31,Bigelow High School,7-12,East End School District,19,41%,285,52%,83%,9%,4%,4%,17%,1,177,41%,19.83,18.45,18.34,18.93,19,30,39,13%,0,5301002,5301000,2019
32,Bismarck High School,9-12,Bismarck School District,21.57,51%,318,67%,88%,8%,2%,3%,12%,3,318,51%,21.33,22.09,20.27,22,21.57,51,69,36%,0,3001003,3001000,2019
33,Blevins High School,7-12,Blevins School District,16.33,51%,218,80%,65%,14%,18%,3%,35%,4,144,51%,16.19,15.22,15.94,17.64,16.33,19,13,8%,0,2901002,2901000,2019
34,Blytheville High School-A New Tech School,9-12,Blytheville School District,15.39,44%,535,74%,14%,2%,84%,0%,86%,2,534,44%,15.67,13.91,15.34,15.96,15.39,92,122,8%,0,4702706,4702000,2019
35,Booneville High School,10-12,Booneville School District,19.04,65%,249,66%,90%,4%,1%,5%,10%,1,249,65%,19.4,18.68,18.12,19.26,19.04,84,71,28%,0,4201002,4201000,2019
36,Bradford High School,7-12,Bradford School District,19.29,49%,211,80%,95%,0%,3%,1%,5%,2,137,49%,20.29,19.65,18.06,18.71,19.29,31,12,33%,0,7303015,7303000,2019
37,Bradley High School,7-12,Emerson-Taylor-Bradley School District,20.04,59%,137,65%,64%,3%,34%,0%,36%,4,94,59%,21.08,18.75,19.13,20.46,20.04, N/A ,10,RV,0,1408007,1408000,2019
38,Brinkley High School,7-12,Brinkley School District,15.61,42%,194,75%,32%,2%,64%,2%,68%,5,128,42%,15.96,14.39,16.09,15.35,15.61,28,10,10%,0,4801003,4801000,2019
39,Brookland High School,10-12,Brookland School District,20.48,72%,525,31%,91%,5%,2%,2%,9%,2,525,72%,21.76,20.23,18.74,20.6,20.48,64,60,42%,0,1603007,1603000,2019
40,Bruno-Pyatt K-12 School,K-12,Ozark Mountain School District,15.67,53%,197,80%,93%,5%,0%,3%,7%,1,66,53%,16,14.44,15.61,15.72,15.67, N/A , N/A ,N/A,0,6505017,6505000,2019
41,Bryant High School,10-12,Bryant School District,20.47,67%,2028,31%,62%,14%,19%,5%,38%,3,2028,67%,20.78,20.76,19.41,20.31,20.47,735,1100,53%,0,6303022,6303000,2019
42,Buffalo Island Central High School,7-12,Buffalo Island Central School District,20.22,48%,332,60%,81%,17%,0%,2%,19%,2,224,48%,21.32,20.04,18.86,20.1,20.22,22, N<10 ,RV,0,1605065,1605000,2019
43,Cabot High School,10-12,Cabot School District,21.39,64%,2149,30%,85%,8%,2%,5%,15%,3,2149,64%,21.83,20.8,20.66,21.54,21.39,495,610,59%,0,4304005,4304000,2019
44,Caddo Hills High School,7-12,Caddo Hills School District,19.93,42%,275,77%,82%,16%,0%,2%,18%,4,171,42%,21.28,19.66,18.48,19.62,19.93, N/A , N/A ,N/A,0,4901003,4901000,2019
45,Calico Rock High School,7-12,Calico Rock School District,19.16,55%,172,62%,95%,3%,0%,2%,5%,2,119,55%,18.97,19.39,18.39,19.55,19.16, N<10 , N<10 ,RV,0,3301002,3301000,2019
46,Camden Fairview High School,9-12,Camden Fairview School District,17.12,45%,638,71%,30%,3%,62%,5%,70%,4,638,45%,17.09,16.49,16.63,17.68,17.12,172,133,9%,0,5204023,5204000,2019
47,Carlisle High School,7-12,Carlisle School District,17.82,52%,298,59%,81%,4%,13%,2%,19%,3,201,52%,17.91,18.04,17,17.8,17.82,40,55,33%,0,4303013,4303000,2019
48,Cave City High Career & Collegiate Preparatory School,9-12,Cave City School District,19.48,49%,412,75%,93%,4%,1%,1%,7%,2,412,49%,19.95,18.97,18.46,20.01,19.48,54,26,35%,0,6802703,6802000,2019
49,Cedar Ridge High School,6-12,Cedar Ridge School District,17.39,45%,401,68%,92%,6%,1%,1%,8%,2,213,45%,17.9,17.61,16.02,17.37,17.39, N/A , N/A ,N/A,0,3212027,3212000,2019
50,Cedarville High School,9-12,Cedarville School District,18.77,50%,272,69%,85%,2%,0%,13%,15%,1,272,50%,18.84,17.62,18.46,19.43,18.77,78,83,25%,0,1702009,1702000,2019
51,Centerpoint High School,9-12,Centerpoint School District,19.29,53%,321,67%,79%,17%,1%,3%,21%,4,321,53%,20.52,18.9,17.64,19.68,19.29,87,69,32%,0,5502010,5502000,2019
52,Central High School,7-12,Helena/ West Helena School District,15.71,46%,578,95%,3%,0%,95%,1%,97%,5,379,46%,15.3,14.67,15.71,16.55,15.71,65,27,33%,0,5403019,5403000,2019
53,Central High School,9-12,Little Rock School District,21.65,47%,2430,49%,32%,6%,52%,10%,68%,3,2430,47%,22.4,21.5,20.49,21.61,21.65,832,1842,67%,0,6001001,6001000,2019
54,Charleston High School,7-12,Charleston School District,20.93,46%,409,48%,89%,4%,1%,6%,11%,1,276,46%,21.58,20.96,19.94,20.69,20.93,31,26,65%,0,2402007,2402000,2019
55,Clarendon High School,7-12,Clarendon School District,15.21,52%,175,90%,31%,6%,57%,6%,69%,5,115,52%,14.93,13.79,15.34,16.07,15.21,10, N<10 ,RV,0,4802010,4802000,2019
56,Clarksville High School,10-12,Clarksville School District,19.33,64%,607,63%,51%,36%,2%,11%,49%,1,607,64%,19.84,19.57,18.16,19.22,19.33,71,67,33%,0,3601005,3601000,2019
57,Clinton High School,9-12,Clinton School District,18.94,50%,417,63%,91%,6%,0%,3%,9%,1,416,50%,19.54,17.74,18.8,19.15,18.94,32,33,55%,0,7102006,7102000,2019
58,Concord High School,7-12,Concord School District,20.36,51%,207,67%,97%,2%,0%,1%,3%,2,136,51%,19.36,19.86,21.42,20.33,20.36,32,20,20%,0,1201002,1201000,2019
59,Conway High School,10-12,Conway School District,20.56,67%,2181,38%,57%,11%,27%,4%,43%,3,2181,67%,21.16,20.53,19.49,20.45,20.56,762,1150,60%,0,2301006,2301000,2019
60,Corning High School,9-12,Corning School District,20.02,37%,260,64%,97%,2%,0%,0%,3%,2,259,37%,19.98,21.14,18.65,19.86,20.02,40,22,9%,0,1101004,1101000,2019
