school_name,Grade,District Name, Average % ACT Composite Score ,perc_test_taking_grades_9_12_students,number_of_students,perc_frl,perc_white,perc_hispanic,perc_african_american,perc_other_race,perc_minority,Region, Number of Students in Grades 9-12 , % Students in grade 9-12 that took the ACT2,ACT_reading,ACT_english,ACT_math,ACT_science,Average ACT Composite Score,number_AP_exam_taking_students,number_AP_exams_taken,% of Exams that scored 3 or Above,is_open_enrollment_charter,School LEA,DLEA,year
Academic Center For Excellence,5-12,Cabot School District,17.63,54.0,292.0,47.0,88.0,4.0,3.0,4.0,12.0,3, 265 ,54%,18.45,16.61,17.25,17.61,17.63, N/A , N<10 ,RV,0,4304703,4304000,2019.0
Acorn High School,7-12,Ouachita River School District,19.41,39.0,262.0,66.0,92.0,2.0,1.0,6.0,8.0,4, 172 ,39%,20.38,18.66,18.79,19.17,19.41, 11 , N<10 ,33%,0,5706002,5706000,2019.0
Agee Lierly Life Preparation Services School,9-12,Fayetteville School District,17.01,63.0,253.0,64.0,51.0,17.0,18.0,14.0,49.0,1, 253 ,63%,17.91,16.2,16.26,17.04,17.01, N/A , N<10 ,67%,0,7203029,7203000,2019.0
Alma High School,9-12,Alma School District,20.27,50.0,1013.0,44.0,85.0,4.0,2.0,8.0,15.0,1," 1,013 ",50%,20.87,19.82,19.36,20.46,20.27, 151 , 234 ,42%,0,1701002,1701000,2019.0
Alpena High School,7-12,Alpena School District,18.41,37.0,234.0,64.0,94.0,2.0,1.0,3.0,6.0,1, 156 ,37%,19.86,18.1,16.69,18.31,18.41, 25 , 21 ,38%,0,501002,501000,2019.0
Arkansas School for the Blind High School,7-12,Arkansas School For The Blind,18.8,23.0,52.0,38.0,58.0,10.0,23.0,10.0,42.0,3, 31 ,23%,21.8,18.2,15.0,19.4,18.8, N/A , N/A ,,0,6091002,6091000,2019.0
Arkadelphia High School,9-12,Arkadelphia School District,20.01,43.0,534.0,44.0,50.0,10.0,37.0,3.0,50.0,4, 534 ,43%,20.64,19.58,19.38,20.12,20.01, 159 , 258 ,16%,0,1002010,1002000,2019.0
Arkansas Arts Academy High School,7-12,Arkansas Arts Academy,21.48,44.0,546.0,28.0,73.0,15.0,2.0,10.0,27.0,1, 333 ,44%,23.59,21.67,19.3,20.78,21.48, 67 , 73 ,47%,1,440703,440700,2019.0
Arkansas Connections Academy High,K-12,Arkansas Connections Academy,19.28,33.0,1597.0,44.0,75.0,7.0,10.0,8.0,25.0,1, 829 ,33%,20.49,18.95,17.73,19.37,19.28, 23 , N<10 ,RV,1,444703,444700,2019.0
Arkansas Consolidated High School-Alexander,5-12,Division of Youth Services School System,14.0,15.0,85.0,100.0,47.0,5.0,44.0,5.0,53.0,3, 74 ,15%,14.0,14.0,14.33,13.33,14.0, N/A , N/A ,,0,6094001,6094000,2019.0
Arkansas Consolidated High School-Dermott,5-12,Division of Youth Services School System,14.75,55.0,11.0,100.0,55.0,0.0,45.0,0.0,45.0,3, 11 ,55%,13.5,13.25,15.75,16.5,14.75, N/A , N/A ,,0,6094002,6094000,2019.0
Arkansas High School,9-12,Texarkana School District,17.19,39.0,1027.0,59.0,35.0,5.0,55.0,5.0,65.0,4," 1,027 ",39%,17.49,16.5,16.86,17.27,17.19, 224 , 285 ,35%,0,4605026,4605000,2019.0
Arkansas Virtual Academy High School,9-12,Arkansas Virtual Academy,19.66,25.0,1108.0,65.0,79.0,7.0,10.0,4.0,21.0,3," 1,108 ",25%,21.2,19.53,17.38,19.85,19.66, 19 , N<10 ,20%,1,6043703,6043700,2019.0
Armorel High School,7-12,Armorel School District,19.77,55.0,186.0,42.0,87.0,4.0,6.0,3.0,13.0,2, 121 ,55%,21.93,19.4,17.73,19.63,19.77, 19 , 15 ,13%,0,4701002,4701000,2019.0
Ashdown High School,9-12,Ashdown School District,17.52,50.0,441.0,60.0,64.0,3.0,27.0,6.0,36.0,4, 441 ,50%,17.89,16.43,17.23,17.83,17.52, 52 , 72 ,22%,0,4101004,4101000,2019.0
Atkins High School,9-12,Atkins School District,20.41,41.0,279.0,60.0,91.0,3.0,1.0,5.0,9.0,1, 279 ,41%,21.65,20.02,19.39,19.91,20.41, 27 , 25 ,44%,0,5801002,5801000,2019.0
Augusta High School,6-12,Augusta School District,15.58,49.0,167.0,84.0,42.0,2.0,54.0,2.0,58.0,2, 87 ,49%,15.25,14.63,16.29,15.75,15.58, 10 , N<10 ,RV,0,7401003,7401000,2019.0
Bald Knob High School,9-12,Bald Knob School District,19.43,44.0,390.0,59.0,86.0,8.0,2.0,4.0,14.0,2, 390 ,44%,20.58,19.06,18.11,19.41,19.43, 52 , 29 ,17%,0,7301003,7301000,2019.0
Barton High School,7-12,Barton-Lexa School District,17.02,50.0,338.0,85.0,58.0,2.0,36.0,4.0,42.0,5, 222 ,50%,17.49,16.15,16.64,17.51,17.02, 32 , 31 ,10%,0,5401003,5401000,2019.0
Batesville High School,9-12,Batesville School District,19.15,45.0,928.0,45.0,70.0,20.0,7.0,3.0,30.0,2, 927 ,45%,19.97,18.47,18.37,19.15,19.15, 79 , 86 ,58%,0,3201005,3201000,2019.0
Bauxite High School,9-12,Bauxite School District,19.14,53.0,522.0,31.0,90.0,5.0,3.0,2.0,10.0,3, 522 ,53%,20.29,18.82,17.56,19.28,19.14, 102 , 124 ,38%,0,6301002,6301000,2019.0
Bay High School,7-12,Bay School District,20.79,33.0,280.0,62.0,90.0,2.0,4.0,4.0,10.0,2, 184 ,33%,22.0,21.79,17.93,20.96,20.79, 20 , 26 ,12%,0,1601002,1601000,2019.0
Bearden High School,7-12,Bearden School District,17.72,48.0,212.0,67.0,54.0,4.0,39.0,3.0,46.0,4, 140 ,48%,17.93,17.07,17.45,17.93,17.72, 30 , 23 ,9%,0,5201002,5201000,2019.0
Beebe High School,9-12,Beebe School District,19.85,44.0,988.0,44.0,88.0,5.0,4.0,4.0,12.0,2, 988 ,44%,20.49,19.52,18.88,19.9,19.85, 133 , 173 ,69%,0,7302010,7302000,2019.0
Belle Point Alternative Center,7-12,Fort Smith School District,12.33,21.0,52.0,87.0,54.0,21.0,13.0,12.0,46.0,1, 43 ,21%,11.33,10.33,13.33,14.0,12.33, N/A , N/A ,,0,6601005,6601000,2019.0
Benton High School,10-12,Benton School District,20.85,68.0,1229.0,31.0,78.0,8.0,10.0,4.0,22.0,3," 1,228 ",68%,21.53,20.48,20.36,20.49,20.85, 350 , 540 ,43%,0,6302012,6302000,2019.0
Bentonville High School,9-12,Bentonville School District,23.19,35.0,3057.0,16.0,77.0,10.0,2.0,11.0,23.0,1," 3,047 ",35%,24.22,23.34,21.54,23.0,23.19," 1,047 "," 1,948 ",67%,0,401003,401000,2019.0
Bentonville West High School,9-12,Bentonville School District,21.65,32.0,2135.0,22.0,71.0,14.0,4.0,10.0,29.0,1," 2,132 ",32%,22.67,21.17,20.21,21.86,21.65, 778 ," 1,337 ",57%,0,401019,401000,2019.0
Bergman High School,9-12,Bergman School District,19.13,44.0,319.0,51.0,94.0,4.0,0.0,2.0,6.0,1, 319 ,44%,19.34,18.62,18.62,19.31,19.13, 35 , 18 ,11%,0,502007,502000,2019.0
Berryville High School,9-12,Berryville School District,19.59,42.0,555.0,61.0,68.0,28.0,0.0,4.0,32.0,1, 554 ,42%,20.36,18.53,18.78,20.08,19.59, 63 , 91 ,66%,0,801002,801000,2019.0
Bigelow High School,7-12,East End School District,19.0,41.0,285.0,52.0,83.0,9.0,4.0,4.0,17.0,1, 177 ,41%,19.83,18.45,18.34,18.93,19.0, 30 , 39 ,13%,0,5301002,5301000,2019.0
Bismarck High School,9-12,Bismarck School District,21.57,51.0,318.0,67.0,88.0,8.0,2.0,3.0,12.0,3, 318 ,51%,21.33,22.09,20.27,22.0,21.57, 51 , 69 ,36%,0,3001003,3001000,2019.0
Blevins High School,7-12,Blevins School District,16.33,51.0,218.0,80.0,65.0,14.0,18.0,3.0,35.0,4, 144 ,51%,16.19,15.22,15.94,17.64,16.33, 19 , 13 ,8%,0,2901002,2901000,2019.0
Blytheville High School-A New Tech School,9-12,Blytheville School District,15.39,44.0,535.0,74.0,14.0,2.0,84.0,0.0,86.0,2, 534 ,44%,15.67,13.91,15.34,15.96,15.39, 92 , 122 ,8%,0,4702706,4702000,2019.0
Booneville High School,10-12,Booneville School District,19.04,65.0,249.0,66.0,90.0,4.0,1.0,5.0,10.0,1, 249 ,65%,19.4,18.68,18.12,19.26,19.04, 84 , 71 ,28%,0,4201002,4201000,2019.0
