District Name,School Name,SCHOOL LEA,N,Math Avg,Math % Met,English Avg,English % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met
DEWITT SCHOOL DISTRICT,DEWITT HIGH SCHOOL,0101004,84,17.9,20.2%,18.1,51.2%,18.6,32.1%,18.2,16.7%,8.3%
STUTTGART SCHOOL DISTRICT,STUTTGART HIGH SCHOOL,0104025,94,18.0,20.2%,16.5,33.0%,17.3,21.3%,17.6,17.0%,6.4%
CROSSETT SCHOOL DISTRICT,CROSSETT HIGH SCHOOL,0201006,106,17.1,13.2%,16.3,36.8%,17.5,23.6%,17.0,11.3%,4.7%
HAMBURG SCHOOL DISTRICT,HAMBURG HIGH SCHOOL,0203018,122,18.2,26.2%,17.0,41.0%,17.4,23.0%,17.9,18.9%,11.5%
COTTER SCHOOL DISTRICT,COTTER HIGH SCHOOL,0302007,44,18.8,27.3%,19.6,63.6%,19.5,36.4%,19.8,34.1%,20.5%
MOUNTAIN HOME SCHOOL DISTRICT,MOUNTAIN HOME CAREER ACADEMIES,0303703,252,18.5,24.2%,19.1,56.0%,19.8,39.3%,19.7,29.8%,15.1%
NORFORK SCHOOL DISTRICT,NORFORK HIGH SCHOOL,0304022,35,19.8,42.9%,19.7,57.1%,20.6,42.9%,20.3,37.1%,31.4%
BENTONVILLE SCHOOL DISTRICT,BENTONVILLE HIGH SCHOOL,0401003,695,20.6,41.3%,22.0,73.4%,22.0,48.8%,21.5,42.6%,26.9%
BENTONVILLE SCHOOL DISTRICT,BENTONVILLE WEST HIGH SCHOOL,0401019,401,19.7,31.7%,20.3,60.6%,21.2,47.4%,20.5,37.2%,22.4%
DECATUR SCHOOL DISTRICT,DECATUR HIGH SCHOOL,0402009,32,16.7,12.5%,14.0,18.8%,14.8,6.3%,16.4,3.1%,0.0%
GENTRY SCHOOL DISTRICT,GENTRY HIGH SCHOOL CONVERSION CHARTER,0403703,105,18.7,30.5%,18.8,56.2%,19.9,41.0%,19.0,28.6%,21.0%
GRAVETTE SCHOOL DISTRICT,GRAVETTE HIGH SCHOOL,0404022,119,19.2,30.3%,18.9,58.0%,19.4,28.6%,19.8,26.9%,13.4%
ROGERS SCHOOL DISTRICT,ROGERS HIGH SCHOOL,0405048,497,19.0,29.0%,18.1,47.9%,19.0,31.6%,18.9,23.9%,16.1%
ROGERS SCHOOL DISTRICT,ROGERS HERITAGE HIGH SCHOOL,0405052,405,18.2,24.2%,17.2,42.7%,18.1,25.9%,17.9,17.5%,10.4%
ROGERS SCHOOL DISTRICT,ROGERS NEW TECHNOLOGY HIGH SCHOOL,0405703,180,19.4,33.3%,20.1,62.2%,20.5,39.4%,20.3,30.0%,21.1%
SILOAM SPRINGS SCHOOL DISTRICT,SILOAM SPRINGS HIGH SCHOOL CONVERSION CHARTER,0406703,293,18.7,24.6%,18.4,53.2%,19.5,32.8%,19.5,24.9%,14.7%
PEA RIDGE SCHOOL DISTRICT,PEA RIDGE HIGH SCHOOL,0407027,94,19.5,31.9%,18.5,53.2%,19.8,35.1%,19.6,26.6%,20.2%
