District Name,School Name,N,English Avg,English % Met,Math Avg,Math % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
DEWITT SCHOOL DISTRICT,DEWITT HIGH SCHOOL,65,16.6,36.90%,17.2,13.80%,16.7,20.00%,17.7,12.30%,7.70%,Arkansas,34.2772634,-91.3494126,1614 South Grandview Drive,72042,Arkansas County,DeWitt,5001,"1614 South Grandview Drive, DeWitt, Arkansas, 72042",480600,5001480600,2021,480600,Arkansas County,Arkansas,135,20,45,58,12,1388,59,58,631,188,155,204,93,14.8,33.3,43,8.9,4.3,4.2,45.5,13.5,11.2,14.7,6.7,721,64766,70295,1892,132,7,1760,93,1699,89.8,30,1.6,0,0,0,0,0,0,0,0,31,1.6,17.2,16.7
STUTTGART SCHOOL DISTRICT,STUTTGART HIGH SCHOOL,102,14.2,28.40%,16.8,11.80%,15.7,14.70%,17.2,14.70%,6.90%,Arkansas,34.4787942,-91.5575788,401 West 22nd Street,72160,Arkansas County,Stuttgart,5001,"401 West 22nd Street, Stuttgart, Arkansas, 72160",480500,5001480500,2021,480500,Arkansas County,Arkansas,384,11,87,245,41,2513,43,142,941,431,442,374,140,2.9,22.7,63.8,10.7,1.7,5.7,37.4,17.2,17.6,14.9,5.6,1396,67852,69980,3848,25,0.6,3823,99.4,2663,69.2,1093,28.4,0,0,0,0,0,0,0,0,67,1.7,16.8,15.7
CROSSETT SCHOOL DISTRICT,CROSSETT HIGH SCHOOL,99,15.7,31.30%,16.6,10.10%,16.5,16.20%,17.3,7.10%,4.00%,Arkansas,33.1074892,-92.027319,,N/A,Ashley County,N/A,5003,,960700,5003960700,2021,960700,Ashley County,Arkansas,179,0,78,101,0,1075,95,62,514,201,74,85,44,0,43.6,56.4,0,8.8,5.8,47.8,18.7,6.9,7.9,4.1,591,48750,66581,1822,89,4.9,1733,95.1,1208,66.3,454,24.9,0,0,4,0.2,50,2.7,0,0,17,0.9,16.6,16.5
HAMBURG SCHOOL DISTRICT,HAMBURG HIGH SCHOOL,101,15.8,30.70%,16.9,11.90%,16.5,20.80%,17.3,10.90%,5.90%,Arkansas,33.2078742,-91.7967227,1119 South Main Street,71646,Ashley County,Hamburg,5003,"1119 South Main Street, Hamburg, Arkansas, 71646",960300,5003960300,2021,960300,Ashley County,Arkansas,347,100,122,125,0,2831,212,396,1259,366,154,264,180,28.8,35.2,36,0,7.5,14,44.5,12.9,5.4,9.3,6.4,1589,35982,60831,4238,470,11.1,3768,88.9,2944,69.5,767,18.1,3,0.1,0,0,0,0,27,0.6,27,0.6,16.9,16.5
COTTER SCHOOL DISTRICT,COTTER HIGH SCHOOL,41,17.7,48.80%,17.3,17.10%,18.5,29.30%,19.2,31.70%,17.10%,Arkansas,36.2789437,-92.5212095,181 Mabel,72626,Baxter County,Cotter,5005,"181 Mabel, Cotter, Arkansas, 72626",950900,5005950900,2021,950900,Baxter County,Arkansas,384,86,97,197,4,4017,62,452,1477,978,489,322,237,22.4,25.3,51.3,1,1.5,11.3,36.8,24.3,12.2,8,5.9,2465,40923,51907,5778,73,1.3,5705,98.7,5399,93.4,20,0.3,1,0,22,0.4,0,0,5,0.1,258,4.5,17.3,18.5
MOUNTAIN HOME SCHOOL DISTRICT,MOUNTAIN HOME CAREER ACADEMIES,246,19,58.50%,18.5,24.80%,19.6,39.40%,19.7,26.80%,17.50%,Arkansas,36.3315465,-92.3969759,500 Bomber Boulevard,72653,Baxter County,Mountain Home,5005,"500 Bomber Boulevard, Mountain Home, Arkansas, 72653",950400,5005950400,2021,950400,Baxter County,Arkansas,395,70,181,144,0,2451,56,131,832,437,474,351,170,17.7,45.8,36.5,0,2.3,5.3,33.9,17.8,19.3,14.3,6.9,1518,39688,76692,3410,31,0.9,3379,99.1,3285,96.3,52,1.5,0,0,1,0,0,0,0,0,41,1.2,18.5,19.6
NORFORK SCHOOL DISTRICT,NORFORK HIGH SCHOOL,32,20.4,59.40%,19.6,31.30%,21.8,46.90%,21.5,40.60%,21.90%,Arkansas,36.1955167,-92.269522,136 Mildred Simpson Drive,72658,Baxter County,Norfork,5005,"136 Mildred Simpson Drive, Norfork, Arkansas, 72658",950500,5005950500,2021,950500,Baxter County,Arkansas,209,22,116,71,0,3403,113,368,1173,710,401,437,201,10.5,55.5,34,0,3.3,10.8,34.5,20.9,11.8,12.8,5.9,1908,42391,59655,4475,109,2.4,4366,97.6,4200,93.9,30,0.7,19,0.4,6,0.1,0,0,6,0.1,105,2.3,19.6,21.8
BENTONVILLE SCHOOL DISTRICT,BENTONVILLE HIGH SCHOOL,659,22.1,72.50%,21.2,45.20%,22.4,54.50%,22,45.10%,32.80%,Arkansas,36.3517242,-94.1954077,1801 Southeast J Street,72712,Benton County,Bentonville,5007,"1801 Southeast J Street, Bentonville, Arkansas, 72712",20503,5007020503,2021,20503,Benton County,Arkansas,480,96,221,117,46,2512,23,149,581,485,127,732,415,20,46,24.4,9.6,0.9,5.9,23.1,19.3,5.1,29.1,16.5,1804,63152,67349,4148,692,16.7,3456,83.3,1672,40.3,177,4.3,9,0.2,1100,26.5,131,3.2,0,0,367,8.8,21.2,22.4
BENTONVILLE SCHOOL DISTRICT,BENTONVILLE WEST HIGH SCHOOL,466,20.6,65.20%,20,36.50%,21.2,49.80%,21.2,41.60%,27.30%,Arkansas,36.3775561,-94.2963597,1351 Gamble Road,72719,Benton County,Centerton,5007,"1351 Gamble Road, Centerton, Arkansas, 72719",20906,5007020906,2021,20906,Benton County,Arkansas,485,77,234,174,0,3358,82,144,822,963,417,569,361,15.9,48.2,35.9,0,2.4,4.3,24.5,28.7,12.4,16.9,10.8,1743,87904,109669,5235,397,7.6,4838,92.4,4324,82.6,68,1.3,31,0.6,48,0.9,0,0,0,0,367,7,20,21.2
DECATUR SCHOOL DISTRICT,DECATUR HIGH SCHOOL,20,15.3,30.00%,17.1,15.00%,18.9,30.00%,17.6,10.00%,5.00%,Arkansas,36.3422712,-94.4696765,,N/A,Benton County,N/A,5007,,21003,5007021003,2021,21003,Benton County,Arkansas,294,61,136,94,3,1979,67,125,977,331,134,287,58,20.7,46.3,32,1,3.4,6.3,49.4,16.7,6.8,14.5,2.9,1046,61824,74435,3108,471,15.2,2637,84.8,2111,67.9,87,2.8,93,3,88,2.8,12,0.4,0,0,246,7.9,17.1,18.9
