,School Name,Grades,District Name,Math: % Met Readiness Benchmark,English: % Met Readiness Benchmark,Reading: % Met Readiness Benchmark,Science: % Met Readiness Benchmark,% Met Readiness Benchmark in all Four Subjects, School Enrollment ,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region,Number of Students in Grade 11, Number of Students in grade 11 that took the ACT, % Students in grade 11 that took the ACT in 2015-16, Average ACT Math Score , Average ACT English Score , Average ACT Reading Score , Average ACT Science Score ,Is Open Enrollment Charter,County,School LEA,DLEA,Year
1,ACADEMIC CENTER FOR EXCELLENCE,5-12,CABOT SCHOOL DISTRICT,11%,41%,32%,14%,6%,382,45%,84%,6%,3%,7%,16%,3,88,73,83%,16.7,16.8,18.2,17.6,0,LONOKE,4304703,4304000,2021
2,ACORN HIGH SCHOOL,7-12,OUACHITA RIVER SCHOOL DISTRICT,13%,47%,31%,18%,11%,279,66%,93%,3%,1%,4%,7%,4,45,45,100%,16.4,17,18.3,18.8,0,POLK,5706002,5706000,2021
3,AGEE LIERLY LIFE PREPARATION SERVICES SCHOOL,9-12,FAYETTEVILLE SCHOOL DISTRICT,3%,29%,10%,3%,0%,263,61%,41%,20%,19%,20%,59%,1,83,31,37%,15.5,14.9,16.5,16.5,0,WASHINGTON,7203029,7203000,2021
4,ALMA HIGH SCHOOL,9-12,ALMA SCHOOL DISTRICT,26%,49%,35%,29%,14%,1020,50%,84%,5%,2%,10%,16%,1,238,208,87%,18.4,17.4,19.2,19.2,0,CRAWFORD,1701002,1701000,2021
5,ALPENA HIGH SCHOOL,7-12,ALPENA SCHOOL DISTRICT,20%,53%,37%,37%,17%,227,57%,94%,4%,1%,1%,6%,1,36,30,83%,18.1,18.9,19.7,19.6,0,BOONE,501002,501000,2021
6,ARKADELPHIA HIGH SCHOOL,9-12,ARKADELPHIA SCHOOL DISTRICT,12%,45%,28%,22%,7%,579,47%,53%,9%,34%,4%,47%,4,150,129,86%,16.7,17.7,18.1,18.4,0,CLARK,1002010,1002000,2021
7,ARKANSAS ARTS ACADEMY HIGH SCHOOL,7-12,ARKANSAS ARTS ACADEMY,14%,44%,40%,28%,14%,618,28%,73%,18%,2%,7%,27%,1,105,93,89%,17.5,17.8,19.7,19.1,1,BENTON,440703,440700,2021
8,ARKANSAS CONNECTIONS ACADEMY HIGH,K-12,ARKANSAS CONNECTIONS ACADEMY,12%,48%,36%,19%,9%,3390,38%,69%,7%,14%,10%,31%,1,378,119,31%,16.3,18.1,19.3,19.2,1,BENTON,444703,444700,2021
9,ARKANSAS CONSOLIDATED HIGH SCHOOL-ALEXANDER,5-12,DIVISION OF YOUTH SERVICES SCHOOL SYSTEM,7%,7%,7%,7%,7%,61,100%,46%,3%,46%,5%,54%,3,16,15,94%,14.6,11.9,14.1,14.5,0,PULASKI,6094001,6094000,2021
10,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,9-12,DIVISION OF YOUTH SERVICES SCHOOL SYSTEM,N<10,N<10,N<10,N<10,N<10,4,100%,50%,0%,50%,0%,50%,3,1,N<10,N/A,N<10,N<10,N<10,N<10,0,PULASKI,6094002,6094000,2021
