District Name,School Name,N,English Avg,English % Met,Math Avg,Math % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met
DEWITT SCHOOL DISTRICT,DEWITT HIGH SCHOOL,65,16.6,36.9%,17.2,13.8%,16.7,20.0%,17.7,12.3%,7.7%
STUTTGART SCHOOL DISTRICT,STUTTGART HIGH SCHOOL,102,14.2,28.4%,16.8,11.8%,15.7,14.7%,17.2,14.7%,6.9%
CROSSETT SCHOOL DISTRICT,CROSSETT HIGH SCHOOL,99,15.7,31.3%,16.6,10.1%,16.5,16.2%,17.3,7.1%,4.0%
HAMBURG SCHOOL DISTRICT,HAMBURG HIGH SCHOOL,101,15.8,30.7%,16.9,11.9%,16.5,20.8%,17.3,10.9%,5.9%
COTTER SCHOOL DISTRICT,COTTER HIGH SCHOOL,41,17.7,48.8%,17.3,17.1%,18.5,29.3%,19.2,31.7%,17.1%
MOUNTAIN HOME SCHOOL DISTRICT,MOUNTAIN HOME CAREER ACADEMIES,246,19.0,58.5%,18.5,24.8%,19.6,39.4%,19.7,26.8%,17.5%
NORFORK SCHOOL DISTRICT,NORFORK HIGH SCHOOL,32,20.4,59.4%,19.6,31.3%,21.8,46.9%,21.5,40.6%,21.9%
BENTONVILLE SCHOOL DISTRICT,BENTONVILLE HIGH SCHOOL,659,22.1,72.5%,21.2,45.2%,22.4,54.5%,22.0,45.1%,32.8%
BENTONVILLE SCHOOL DISTRICT,BENTONVILLE WEST HIGH SCHOOL,466,20.6,65.2%,20.0,36.5%,21.2,49.8%,21.2,41.6%,27.3%
DECATUR SCHOOL DISTRICT,DECATUR HIGH SCHOOL,20,15.3,30.0%,17.1,15.0%,18.9,30.0%,17.6,10.0%,5.0%
GENTRY SCHOOL DISTRICT,GENTRY HIGH SCHOOL CONVERSION CHARTER,72,18.3,47.2%,18.8,26.4%,19.1,33.3%,19.4,29.2%,15.3%
GRAVETTE SCHOOL DISTRICT,GRAVETTE HIGH SCHOOL,121,18.7,51.2%,19.0,27.3%,18.8,28.9%,19.9,32.2%,18.2%
ROGERS SCHOOL DISTRICT,ROGERS HIGH SCHOOL,447,18.6,53.5%,18.1,20.6%,18.5,30.9%,19.1,24.2%,14.3%
ROGERS SCHOOL DISTRICT,ROGERS HERITAGE HIGH SCHOOL,485,16.8,39.6%,17.3,15.9%,17.5,24.1%,17.9,17.7%,9.1%
ROGERS SCHOOL DISTRICT,ROGERS NEW TECHNOLOGY HIGH SCHOOL,139,18.2,50.4%,17.6,18.7%,19.4,33.8%,19.3,24.5%,12.9%
SILOAM SPRINGS SCHOOL DISTRICT,SILOAM SPRINGS HIGH SCHOOL CONVERSION CHARTER,279,16.7,37.6%,18.8,24.4%,18.3,26.9%,19.0,24.4%,16.5%
PEA RIDGE SCHOOL DISTRICT,PEA RIDGE HIGH SCHOOL,146,16.7,39.7%,17.1,15.1%,17.8,26.0%,18.3,19.9%,7.5%
ARKANSAS ARTS ACADEMY,ARKANSAS ARTS ACADEMY HIGH SCHOOL,60,20.4,65.0%,18.7,23.3%,22.0,48.3%,19.6,28.3%,13.3%
RESPONSIVE ED SOLUTIONS NORTHWEST ARKANSAS CLASSIC,NORTHWEST ARKANSAS CLASSICAL ACADEMY HIGH,20,22.4,80.0%,21.5,45.0%,22.8,45.0%,22.1,40.0%,35.0%
RESPONSIVE ED SOLUTIONS NORTHWEST ARKANSAS CLASSIC,WEST LITTLE ROCK CLASSICAL ACADEMY,28,17.0,53.6%,16.3,10.7%,17.5,28.6%,17.1,17.9%,7.1%
ARKANSAS CONNECTIONS ACADEMY,ARKANSAS CONNECTIONS ACADEMY HIGH,116,17.5,45.7%,16.8,15.5%,19.1,31.0%,18.6,18.1%,10.3%
ALPENA SCHOOL DISTRICT,ALPENA HIGH SCHOOL,27,18.3,48.1%,18.4,18.5%,19.6,37.0%,19.1,29.6%,11.1%
BERGMAN SCHOOL DISTRICT,BERGMAN HIGH SCHOOL,80,18.1,51.3%,17.9,16.3%,18.5,28.8%,18.5,20.0%,8.8%
HARRISON SCHOOL DISTRICT,HARRISON HIGH SCHOOL CONVERSION CHARTER,195,19.5,57.4%,19.1,29.2%,19.8,35.9%,19.0,25.6%,13.8%
OMAHA SCHOOL DISTRICT,OMAHA HIGH SCHOOL,29,19.1,62.1%,17.9,20.7%,19.9,41.4%,19.7,31.0%,13.8%
VALLEY SPRINGS SCHOOL DISTRICT,VALLEY SPRINGS HIGH SCHOOL,62,19.1,56.5%,18.3,17.7%,19.5,33.9%,20.0,27.4%,11.3%
LEAD HILL SCHOOL DISTRICT,LEAD HILL HIGH SCHOOL,18,14.9,33.3%,15.7,5.6%,16.4,5.6%,18.2,22.2%,0.0%
HERMITAGE SCHOOL DISTRICT,HERMITAGE HIGH SCHOOL,33,15.9,36.4%,16.8,12.1%,17.2,24.2%,17.7,21.2%,6.1%
WARREN SCHOOL DISTRICT,WARREN HIGH SCHOOL,103,13.4,18.4%,15.7,2.9%,15.8,15.5%,16.0,7.8%,0.0%
HAMPTON SCHOOL DISTRICT,HAMPTON HIGH SCHOOL,27,16.5,40.7%,15.7,3.7%,17.9,22.2%,17.1,7.4%,3.7%
BERRYVILLE SCHOOL DISTRICT,BERRYVILLE HIGH SCHOOL,119,18.0,48.7%,17.1,17.6%,18.6,26.1%,19.2,21.0%,10.1%
EUREKA SPRINGS SCHOOL DISTRICT,EUREKA SPRINGS HIGH SCHOOL,42,18.0,42.9%,18.1,21.4%,18.9,33.3%,19.5,28.6%,11.9%
GREEN FOREST SCHOOL DISTRICT,GREEN FOREST HIGH SCHOOL,91,13.8,22.0%,15.8,2.2%,15.5,9.9%,16.1,5.5%,0.0%
DERMOTT SCHOOL DISTRICT,DERMOTT HIGH SCHOOL,17,12.8,17.6%,14.5,0.0%,13.7,5.9%,13.9,0.0%,0.0%
LAKESIDE SCHOOL DISTRICT (CHICOT),LAKESIDE HIGH SCHOOL,53,14.5,22.6%,14.7,0.0%,14.2,7.5%,15.4,7.5%,0.0%
ARKADELPHIA SCHOOL DISTRICT,ARKADELPHIA HIGH SCHOOL,118,16.4,39.8%,16.9,10.2%,17.5,26.3%,17.7,16.1%,10.2%
GURDON SCHOOL DISTRICT,GURDON HIGH SCHOOL,39,15.0,35.9%,15.6,5.1%,15.6,15.4%,16.6,12.8%,5.1%
CORNING SCHOOL DISTRICT,CORNING HIGH SCHOOL,34,15.9,38.2%,15.7,5.9%,17.6,23.5%,17.5,5.9%,2.9%
PIGGOTT SCHOOL DISTRICT,PIGGOTT HIGH SCHOOL,55,15.8,32.7%,15.6,3.6%,18.0,30.9%,17.5,16.4%,1.8%
RECTOR SCHOOL DISTRICT,RECTOR HIGH SCHOOL,35,16.0,37.1%,16.9,11.4%,16.7,14.3%,17.8,8.6%,5.7%
CONCORD SCHOOL DISTRICT,CONCORD HIGH SCHOOL,25,16.8,36.0%,18.6,24.0%,17.6,24.0%,18.6,24.0%,16.0%
HEBER SPRINGS SCHOOL DISTRICT,HEBER SPRINGS HIGH SCHOOL,79,18.6,54.4%,19.1,27.8%,19.9,34.2%,20.1,34.2%,20.3%
