District Name,School Name,Number of Test Takers,Math Avg,Math % Met,English Avg,English % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
DEWITT SCHOOL DISTRICT,DEWITT HIGH SCHOOL,74,18.1,24.30%,18,52.70%,18.3,21.60%,19.3,25.70%,10.80%,Arkansas,34.2772634,-91.3494126,1614 South Grandview Drive,72042,Arkansas County,DeWitt,5001,"1614 South Grandview Drive, DeWitt, Arkansas, 72042",480600,5001480600,2022,480600,Arkansas County,Arkansas,150,19,52,74,5,1449,63,48,745,159,180,162,92,12.7,34.7,49.3,3.3,4.3,3.3,51.4,11,12.4,11.2,6.3,729,69679,79095,1900,153,8.1,1747,91.9,1693,89.1,32,1.7,0,0,0,0,0,0,0,0,22,1.2,18.1,18.3
STUTTGART SCHOOL DISTRICT,STUTTGART HIGH SCHOOL,83,17.4,20.50%,15.3,26.50%,17.3,21.70%,17.2,9.60%,8.40%,Arkansas,34.4787942,-91.5575788,401 West 22nd Street,72160,Arkansas County,Stuttgart,5001,"401 West 22nd Street, Stuttgart, Arkansas, 72160",480500,5001480500,2022,480500,Arkansas County,Arkansas,326,75,85,140,26,2431,47,203,919,400,421,325,116,23,26.1,42.9,8,1.9,8.4,37.8,16.5,17.3,13.4,4.8,1370,71392,66466,3597,25,0.7,3572,99.3,2361,65.6,1172,32.6,0,0,0,0,0,0,0,0,39,1.1,17.4,17.3
CROSSETT SCHOOL DISTRICT,CROSSETT HIGH SCHOOL,92,16,6.50%,15.6,30.40%,17,20.70%,17.9,13.00%,5.40%,Arkansas,33.1074892,-92.027319,,N/A,Ashley County,N/A,5003,,960700,5003960700,2022,960700,Ashley County,Arkansas,86,0,48,38,0,1178,72,106,519,268,73,78,62,0,55.8,44.2,0,6.1,9,44.1,22.8,6.2,6.6,5.3,581,55234,76596,1719,84,4.9,1635,95.1,1152,67,423,24.6,0,0,5,0.3,55,3.2,0,0,0,0,16,17
HAMBURG SCHOOL DISTRICT,HAMBURG HIGH SCHOOL,104,16.8,13.50%,16,30.80%,17,16.30%,17.1,12.50%,6.70%,Arkansas,33.2078742,-91.7967227,1119 South Main Street,71646,Ashley County,Hamburg,5003,"1119 South Main Street, Hamburg, Arkansas, 71646",960300,5003960300,2022,960300,Ashley County,Arkansas,460,181,129,150,0,2721,210,393,1243,395,159,215,106,39.3,28,32.6,0,7.7,14.4,45.7,14.5,5.8,7.9,3.9,1566,29038,53497,4174,673,16.1,3501,83.9,2730,65.4,719,17.2,0,0,0,0,0,0,26,0.6,26,0.6,16.8,17
COTTER SCHOOL DISTRICT,COTTER HIGH SCHOOL,44,16.8,15.90%,17.5,40.90%,18.1,27.30%,18.1,18.20%,11.40%,Arkansas,36.2789437,-92.5212095,181 Mabel,72626,Baxter County,Cotter,5005,"181 Mabel, Cotter, Arkansas, 72626",950900,5005950900,2022,950900,Baxter County,Arkansas,341,97,129,112,3,4188,14,441,1685,1058,451,323,216,28.4,37.8,32.8,0.9,0.3,10.5,40.2,25.3,10.8,7.7,5.2,2500,44308,56667,5779,67,1.2,5712,98.8,5349,92.6,29,0.5,0,0,24,0.4,0,0,6,0.1,304,5.3,16.8,18.1
MOUNTAIN HOME SCHOOL DISTRICT,MOUNTAIN HOME CAREER ACADEMIES,249,18.2,22.90%,18.7,55.40%,19.6,37.80%,19.9,28.90%,14.50%,Arkansas,36.3315465,-92.3969759,500 Bomber Boulevard,72653,Baxter County,Mountain Home,5005,"500 Bomber Boulevard, Mountain Home, Arkansas, 72653",950400,5005950400,2022,950400,Baxter County,Arkansas,447,72,144,231,0,2389,38,132,834,428,428,365,164,16.1,32.2,51.7,0,1.6,5.5,34.9,17.9,17.9,15.3,6.9,1492,45606,83559,3395,62,1.8,3333,98.2,3115,91.8,50,1.5,27,0.8,1,0,12,0.4,0,0,128,3.8,18.2,19.6
NORFORK SCHOOL DISTRICT,NORFORK HIGH SCHOOL,35,17.3,14.30%,16.9,40.00%,18.1,22.90%,18.3,14.30%,8.60%,Arkansas,36.1955167,-92.269522,136 Mildred Simpson Drive,72658,Baxter County,Norfork,5005,"136 Mildred Simpson Drive, Norfork, Arkansas, 72658",950500,5005950500,2022,950500,Baxter County,Arkansas,196,6,122,65,3,3653,103,350,1328,801,420,439,212,3.1,62.2,33.2,1.5,2.8,9.6,36.4,21.9,11.5,12,5.8,2039,48433,62603,4952,112,2.3,4840,97.7,4720,95.3,15,0.3,11,0.2,8,0.2,0,0,0,0,86,1.7,17.3,18.1
BENTONVILLE SCHOOL DISTRICT,BENTONVILLE HIGH SCHOOL,718,21.2,44.30%,22.7,75.10%,22.7,57.90%,22,47.90%,34.00%,Arkansas,36.3517242,-94.1954077,1801 Southeast J Street,72712,Benton County,Bentonville,5007,"1801 Southeast J Street, Bentonville, Arkansas, 72712",20503,5007020503,2022,20503,Benton County,Arkansas,538,130,243,145,20,2537,37,117,608,501,134,749,391,24.2,45.2,27,3.7,1.5,4.6,24,19.7,5.3,29.5,15.4,1878,63906,72744,4131,655,15.9,3476,84.1,1874,45.4,219,5.3,10,0.2,821,19.9,153,3.7,0,0,399,9.7,21.2,22.7
BENTONVILLE SCHOOL DISTRICT,BENTONVILLE WEST HIGH SCHOOL,495,19.8,34.30%,20.4,67.10%,21,47.70%,20.6,36.20%,24.20%,Arkansas,36.3775561,-94.2963597,1351 Gamble Road,72719,Benton County,Centerton,5007,"1351 Gamble Road, Centerton, Arkansas, 72719",20906,5007020906,2022,20906,Benton County,Arkansas,493,29,251,213,0,3738,41,88,926,1088,331,879,385,5.9,50.9,43.2,0,1.1,2.4,24.8,29.1,8.9,23.5,10.3,2031,96472,124012,5766,661,11.5,5105,88.5,4285,74.3,59,1,68,1.2,44,0.8,0,0,0,0,649,11.3,19.8,21
DECATUR SCHOOL DISTRICT,DECATUR HIGH SCHOOL,30,15.2,3.30%,13.7,30.00%,15.2,13.30%,14.7,13.30%,3.30%,Arkansas,36.3422712,-94.4696765,,N/A,Benton County,N/A,5007,,21003,5007021003,2022,21003,Benton County,Arkansas,199,36,85,75,3,1757,50,187,799,266,142,269,44,18.1,42.7,37.7,1.5,2.8,10.6,45.5,15.1,8.1,15.3,2.5,946,63115,71415,2752,422,15.3,2330,84.7,1544,56.1,81,2.9,50,1.8,90,3.3,93,3.4,0,0,472,17.2,15.2,15.2
GRAVETTE SCHOOL DISTRICT,GRAVETTE HIGH SCHOOL,125,18.6,21.60%,18.6,53.60%,19.5,35.20%,19.7,28.80%,17.60%,Arkansas,36.4208184,-94.4351717,325 Lion Drive South,72736,Benton County,Gravette,5007,"325 Lion Drive South, Gravette, Arkansas, 72736",20905,5007020905,2022,20905,Benton County,Arkansas,256,110,26,120,0,1996,50,99,745,412,74,383,233,43,10.2,46.9,0,2.5,5,37.3,20.6,3.7,19.2,11.7,1058,72453,96840,3074,54,1.8,3020,98.2,2621,85.3,8,0.3,43,1.4,0,0,0,0,9,0.3,339,11,18.6,19.5
ROGERS SCHOOL DISTRICT,ROGERS HIGH SCHOOL,464,18.3,24.10%,18.4,51.30%,18.8,32.50%,19.3,28.70%,17.50%,Arkansas,36.299969,-94.1467358,2300 South Dixieland Road,72758,Benton County,Rogers,5007,"2300 South Dixieland Road, Rogers, Arkansas, 72758",20405,5007020405,2022,20405,Benton County,Arkansas,570,21,42,352,155,3447,9,120,612,523,269,1023,891,3.7,7.4,61.8,27.2,0.3,3.5,17.8,15.2,7.8,29.7,25.8,2127,106968,143207,5137,479,9.3,4658,90.7,3956,77,42,0.8,0,0,532,10.4,0,0,0,0,128,2.5,18.3,18.8
ROGERS SCHOOL DISTRICT,ROGERS HERITAGE HIGH SCHOOL,458,17.1,15.90%,16,34.10%,17.4,24.00%,17.7,18.60%,10.70%,Arkansas,36.3237956,-94.1230579,1114 South 5th Street,72756,Benton County,Rogers,5007,"1114 South 5th Street, Rogers, Arkansas, 72756",20206,5007020206,2022,20206,Benton County,Arkansas,908,74,470,276,88,4481,1035,636,1419,527,212,537,115,8.1,51.8,30.4,9.7,23.1,14.2,31.7,11.8,4.7,12,2.6,2293,67820,73950,8017,5041,62.9,2976,37.1,1814,22.6,47,0.6,9,0.1,235,2.9,284,3.5,237,3,350,4.4,17.1,17.4
ROGERS SCHOOL DISTRICT,ROGERS NEW TECHNOLOGY HIGH SCHOOL,127,17.8,15.00%,17.8,44.90%,19.9,34.60%,19.8,22.00%,8.70%,Arkansas,36.3016266,-94.1192513,2922 South 1st Street,72758,Benton County,Rogers,5007,"2922 South 1st Street, Rogers, Arkansas, 72758",20206,5007020206,2022,20206,Benton County,Arkansas,908,74,470,276,88,4481,1035,636,1419,527,212,537,115,8.1,51.8,30.4,9.7,23.1,14.2,31.7,11.8,4.7,12,2.6,2293,67820,73950,8017,5041,62.9,2976,37.1,1814,22.6,47,0.6,9,0.1,235,2.9,284,3.5,237,3,350,4.4,17.8,19.9
SILOAM SPRINGS SCHOOL DISTRICT,SILOAM SPRINGS HIGH SCHOOL CONVERSION CHARTER,254,18.8,27.60%,17.7,48.80%,19.3,36.60%,19.6,32.70%,17.30%,Arkansas,36.1909275,-94.5138466,700 North Progress Avenue,72761,Benton County,Siloam Springs,5007,"700 North Progress Avenue, Siloam Springs, Arkansas, 72761",21101,5007021101,2022,21101,Benton County,Arkansas,401,72,157,146,26,3320,346,248,973,662,227,635,229,18,39.2,36.4,6.5,10.4,7.5,29.3,19.9,6.8,19.1,6.9,1760,66803,79952,4986,1467,29.4,3519,70.6,2519,50.5,9,0.2,245,4.9,246,4.9,35,0.7,0,0,465,9.3,18.8,19.3
