,,,,,, ACT Scores and College Preparedness 2022-23 ,,,,,,,,,,,,,,,,,,,,
,School Name,Grade,District Name, Average % ACT Composite Score , % Students in grade 9-12 that took the ACT, School Enrollment ,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region, Number of Students in Grades 9-12 , % Students in grade 9-12 that took the ACT2,Average ACT Reading Score,Average ACT English Score,Average ACT Math Score,Average ACT Science Score,Average ACT Composite Score, Number of Students taking AP exams , Number of AP Exams Taken ,% of Exams that scored 3 or Above,Is Open Enrollment Charter,School LEA,DLEA
1,Academic Center For Excellence,5-12,Cabot School District, 17.73 ,60%, 321 ,52%,83%,6%,3%,7%,17%,3,282 ,60%,18.14 ,16.92 ,17.18 ,18.36 ,17.73 , N/A , N/A ,N/A,0,4304703,4304000
2,Academies At Rivercrest High School,9-12,Rivercrest School District, 17.15 ,46%, 314 ,71%,61%,8%,30%,1%,39%,2,314 ,46%,17.47 ,16.58 ,15.90 ,18.12 ,17.15 , 25 , 24 ,RV,0,4706703,4706000
3,Acorn High School,7-12,Ouachita River School District, 17.98 ,48%, 293 ,62%,92%,3%,0%,4%,8%,4,198 ,48%,18.55 ,17.43 ,16.38 ,18.96 ,17.98 , 22 , 24 ,54%,0,5706002,5706000
4,Adventure Online Academy,K-12,Waldron School District, 19.50 ,18%, 34 ,88%,79%,3%,6%,12%,21%,1,22 ,18%,22.00 ,18.50 ,18.00 ,19.50 ,19.50 , N/A , N/A ,N/A,0,6401703,6401000
5,Agee Lierly Life Preparation Services School,9-12,Fayetteville School District, 17.22 ,63%, 237 ,51%,41%,22%,16%,20%,59%,1,237 ,63%,18.19 ,16.20 ,16.21 ,17.68 ,17.22 , N/A , 8 ,RV,0,7203029,7203000
6,Alma High School,9-12,Alma School District, 19.53 ,53%," 1,003 ",38%,84%,4%,2%,10%,16%,1,"1,003 ",53%,20.25 ,18.43 ,18.89 ,19.94 ,19.53 , 103 , 149 ,48%,0,1701002,1701000
7,Alpena High School,7-12,Alpena School District, 19.57 ,33%, 235 ,64%,93%,4%,2%,1%,7%,1,160 ,33%,20.36 ,19.18 ,18.39 ,19.43 ,19.57 , N<10 , 12 ,RV,0,0501002,0501000
8,Ark. School For The Blind High School,7-12,Ark. School For The Blind, 18.50 ,56%, 35 ,40%,63%,0%,20%,17%,37%,3,27 ,56%,21.17 ,16.17 ,17.67 ,18.67 ,18.50 , N<10 , 12 ,RV,0,6091002,6091000
9,Arkadelphia High School,9-12,Arkadelphia School District, 18.50 ,47%, 586 ,46%,50%,10%,35%,5%,50%,4,586 ,47%,18.91 ,18.31 ,17.19 ,19.08 ,18.50 , 169 , 335 ,11%,0,1002010,1002000
10,Arkansas Arts Academy High School,7-12,Arkansas Arts Academy, 19.74 ,42%, 540 ,28%,72%,18%,1%,9%,28%,1,345 ,42%,20.97 ,19.28 ,18.14 ,20.24 ,19.74 , 68 , 99 ,58%,1,0440703,0440700
11,Arkansas Connections Academy High,K-12,Arkansas Connections Academy, 17.80 ,21%," 3,231 ",34%,70%,7%,13%,10%,30%,1,"1,624 ",21%,18.96 ,17.34 ,16.15 ,18.29 ,17.80 , N/A , 17 ,RV,1,0444703,0444700
12,Arkansas Consolidated High School-Alexander,5-12,Division Of Youth Services School System, 11.00 ,14%, 104 ,100%,50%,1%,47%,2%,50%,3,76 ,14%,10.00 ,9.50 ,14.50 ,11.00 ,11.00 , N/A , N/A ,N/A,0,6094001,6094000
13,Arkansas Consolidated High School-Dermott,9-12,Division Of Youth Services School System, 14.67 ,125%, 8 ,100%,50%,0%,50%,0%,50%,3,8 ,125%,15.33 ,13.33 ,14.67 ,15.00 ,14.67 , N/A , N/A ,N/A,0,6094002,6094000
14,Arkansas Consolidated High School-Harrisburg,7-12,Division Of Youth Services School System, 13.50 ,36%, 16 ,100%,38%,0%,63%,0%,63%,3,14 ,36%,13.00 ,12.25 ,13.50 ,15.25 ,13.50 , N/A , N/A ,N/A,0,6094006,6094000
