school_name,Grade,District Name, Average % ACT Composite Score ,perc_test_taking_grades_9_12_students,number_of_students,perc_frl,perc_white,perc_hispanic,perc_african_american,perc_other_race,perc_minority,Region, Number of Students in Grades 9-12 , % Students in grade 9-12 that took the ACT2,ACT_reading,ACT_english,ACT_math,ACT_science,Average ACT Composite Score,number_AP_exam_taking_students,number_AP_exams_taken,% of Exams that scored 3 or Above,is_open_enrollment_charter,School LEA,DLEA,Year,year
Academic Center For Excellence,5-12,Cabot School District,17.73,60.0,321.0,52.0,83.0,6.0,3.0,7.0,17.0,3,282,60%,18.14,16.92,17.18,18.36,17.73, N/A , N/A ,,0,4304703,4304000,2022,2022.0
Academies At Rivercrest High School,9-12,Rivercrest School District,17.15,46.0,314.0,71.0,61.0,8.0,30.0,1.0,39.0,2,314,46%,17.47,16.58,15.9,18.12,17.15,25,24,RV,0,4706703,4706000,2022,2022.0
Acorn High School,7-12,Ouachita River School District,17.98,48.0,293.0,62.0,92.0,3.0,0.0,4.0,8.0,4,198,48%,18.55,17.43,16.38,18.96,17.98,22,24,54%,0,5706002,5706000,2022,2022.0
Adventure Online Academy,K-12,Waldron School District,19.5,18.0,34.0,88.0,79.0,3.0,6.0,12.0,21.0,1,22,18%,22.0,18.5,18.0,19.5,19.5, N/A , N/A ,,0,6401703,6401000,2022,2022.0
Agee Lierly Life Preparation Services School,9-12,Fayetteville School District,17.22,63.0,237.0,51.0,41.0,22.0,16.0,20.0,59.0,1,237,63%,18.19,16.2,16.21,17.68,17.22, N/A ,8,RV,0,7203029,7203000,2022,2022.0
Alma High School,9-12,Alma School District,19.53,53.0,1003.0,38.0,84.0,4.0,2.0,10.0,16.0,1,1003,53%,20.25,18.43,18.89,19.94,19.53,103,149,48%,0,1701002,1701000,2022,2022.0
Alpena High School,7-12,Alpena School District,19.57,33.0,235.0,64.0,93.0,4.0,2.0,1.0,7.0,1,160,33%,20.36,19.18,18.39,19.43,19.57, N<10 ,12,RV,0,501002,501000,2022,2022.0
Ark. School For The Blind High School,7-12,Ark. School For The Blind,18.5,56.0,35.0,40.0,63.0,0.0,20.0,17.0,37.0,3,27,56%,21.17,16.17,17.67,18.67,18.5, N<10 ,12,RV,0,6091002,6091000,2022,2022.0
Arkadelphia High School,9-12,Arkadelphia School District,18.5,47.0,586.0,46.0,50.0,10.0,35.0,5.0,50.0,4,586,47%,18.91,18.31,17.19,19.08,18.5,169,335,11%,0,1002010,1002000,2022,2022.0
Arkansas Arts Academy High School,7-12,Arkansas Arts Academy,19.74,42.0,540.0,28.0,72.0,18.0,1.0,9.0,28.0,1,345,42%,20.97,19.28,18.14,20.24,19.74,68,99,58%,1,440703,440700,2022,2022.0
Arkansas Connections Academy High,K-12,Arkansas Connections Academy,17.8,21.0,3231.0,34.0,70.0,7.0,13.0,10.0,30.0,1,1624,21%,18.96,17.34,16.15,18.29,17.8, N/A ,17,RV,1,444703,444700,2022,2022.0
