District Name,School Name,Number of Test Takers,Math Avg,Math % Met,English Avg,English % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met
DEWITT SCHOOL DISTRICT,DEWITT HIGH SCHOOL,74,18.1,24.3%,18.0,52.7%,18.3,21.6%,19.3,25.7%,10.8%
STUTTGART SCHOOL DISTRICT,STUTTGART HIGH SCHOOL,83,17.4,20.5%,15.3,26.5%,17.3,21.7%,17.2,9.6%,8.4%
CROSSETT SCHOOL DISTRICT,CROSSETT HIGH SCHOOL,92,16.0,6.5%,15.6,30.4%,17.0,20.7%,17.9,13.0%,5.4%
HAMBURG SCHOOL DISTRICT,HAMBURG HIGH SCHOOL,104,16.8,13.5%,16.0,30.8%,17.0,16.3%,17.1,12.5%,6.7%
COTTER SCHOOL DISTRICT,COTTER HIGH SCHOOL,44,16.8,15.9%,17.5,40.9%,18.1,27.3%,18.1,18.2%,11.4%
MOUNTAIN HOME SCHOOL DISTRICT,MOUNTAIN HOME CAREER ACADEMIES,249,18.2,22.9%,18.7,55.4%,19.6,37.8%,19.9,28.9%,14.5%
NORFORK SCHOOL DISTRICT,NORFORK HIGH SCHOOL,35,17.3,14.3%,16.9,40.0%,18.1,22.9%,18.3,14.3%,8.6%
BENTONVILLE SCHOOL DISTRICT,BENTONVILLE HIGH SCHOOL,718,21.2,44.3%,22.7,75.1%,22.7,57.9%,22.0,47.9%,34.0%
BENTONVILLE SCHOOL DISTRICT,BENTONVILLE WEST HIGH SCHOOL,495,19.8,34.3%,20.4,67.1%,21.0,47.7%,20.6,36.2%,24.2%
DECATUR SCHOOL DISTRICT,DECATUR HIGH SCHOOL,30,15.2,3.3%,13.7,30.0%,15.2,13.3%,14.7,13.3%,3.3%
GRAVETTE SCHOOL DISTRICT,GRAVETTE HIGH SCHOOL,125,18.6,21.6%,18.6,53.6%,19.5,35.2%,19.7,28.8%,17.6%
ROGERS SCHOOL DISTRICT,ROGERS HIGH SCHOOL,464,18.3,24.1%,18.4,51.3%,18.8,32.5%,19.3,28.7%,17.5%
ROGERS SCHOOL DISTRICT,ROGERS HERITAGE HIGH SCHOOL,458,17.1,15.9%,16.0,34.1%,17.4,24.0%,17.7,18.6%,10.7%
ROGERS SCHOOL DISTRICT,ROGERS NEW TECHNOLOGY HIGH SCHOOL,127,17.8,15.0%,17.8,44.9%,19.9,34.6%,19.8,22.0%,8.7%
SILOAM SPRINGS SCHOOL DISTRICT,SILOAM SPRINGS HIGH SCHOOL CONVERSION CHARTER,254,18.8,27.6%,17.7,48.8%,19.3,36.6%,19.6,32.7%,17.3%
PEA RIDGE SCHOOL DISTRICT,PEA RIDGE HIGH SCHOOL,162,17.8,17.9%,16.8,43.2%,18.8,32.7%,19.1,24.1%,11.7%
