Unnamed: 0,School Name,Grades,District Name,Math: % Met Readiness Benchmark,English: % Met Readiness Benchmark,Reading: % Met Readiness Benchmark,Science: % Met Readiness Benchmark,% Met Readiness Benchmark in all Four Subjects,School Enrollment,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region,Number of Students in Grade 11, Number of Students in grade 11 that took the ACT, % Students in grade 11 that took the ACT in 2015-16,Average ACT Math Score,Average ACT English Score,Average ACT Reading Score,Average ACT Science Score,Is Open Enrollment Charter,County,School LEA,DLEA,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
1,Academic Center For Excellence,12-May,Cabot School District,0.088,0.275,0.213,0.125,0.05,350,0.4743,0.8286,0.0514,0.0143,0.11,0.17,3,76,80,1.052631579,15.9,15.9,16.6,17.5,0,LONOKE,4304703,4304000,Arkansas,34.9791752,-91.949021,,N/A,Lonoke County,N/A,5085,,20103,5085020103,2023,20103,Lonoke County,Arkansas,629,28,306,273,22,5179,86,303,1299,1093,719,1068,611,4.5,48.6,43.4,3.5,1.7,5.9,25.1,21.1,13.9,20.6,11.8,2738,87602,114380,8216,666,8.1,7550,91.9,6964,84.8,189,2.3,5,0.1,148,1.8,45,0.5,0,0,199,2.4,15.9,16.6
2,Academies At Rivercrest High School,12-Sep,Rivercrest School District,0.139,0.389,0.236,0.125,0.056,346,0.7052,0.578,0.0896,0.3064,0.03,0.42,2,81,72,0.888888889,16.7,16.1,17.3,18.5,0,MISSISSIPPI,4706703,4706000,Arkansas,35.6126658,-90.1064217,1700 State Highway 14,72395,Mississippi County,Wilson,5093,"1700 State Highway 14, Wilson, Arkansas, 72395",11200,5093011200,2023,11200,Mississippi County,Arkansas,213,41,84,52,36,1377,42,165,467,343,71,243,46,19.2,39.4,24.4,16.9,3.1,12,33.9,24.9,5.2,17.6,3.3,866,65441,77399,2171,30,1.4,2141,98.6,1812,83.5,239,11,0,0,6,0.3,3,0.1,0,0,81,3.7,16.7,17.3
3,Acorn High School,12-Jul,Ouachita River School District,0.021,0.458,0.313,0.208,0.021,267,0.6142,0.9288,0.0262,0,0.04,0.07,4,48,48,1,15.2,17.3,17.8,18.2,0,POLK,5706002,5706000,Arkansas,34.637519,-94.2075185,143 Polk County Road 96,71953,Polk County,Mena,5113,"143 Polk County Road 96, Mena, Arkansas, 71953",950202,5113950202,2023,950202,Polk County,Arkansas,262,19,214,15,14,2185,24,156,636,754,192,374,49,7.3,81.7,5.7,5.3,1.1,7.1,29.1,34.5,8.8,17.1,2.2,1317,45869,86048,3036,25,0.8,3011,99.2,2910,95.8,0,0,28,0.9,0,0,0,0,0,0,73,2.4,15.2,17.8
4,Adventure Online Academy,K-12,Waldron School District,N<10,N<10,N<10,N<10,N<10,33,0.6061,0.8182,0.0909,0.0303,0.06,0.18,1,10,N<10,N<10,N<10,N<10,N<10,N<10,0,SCOTT,6401703,6401000,Arkansas,34.8854732,-93.9878427,,N/A,Scott County,N/A,5127,,950100,5127950100,2023,950100,Scott County,Arkansas,166,9,83,61,13,2843,125,239,1346,698,214,170,51,5.4,50,36.7,7.8,4.4,8.4,47.3,24.6,7.5,6,1.8,1557,48150,62936,3853,20,0.5,3833,99.5,3450,89.5,0,0,11,0.3,78,2,0,0,0,0,294,7.6,,
5,Agee Lierly Life Preparation Services School,12-Sep,Fayetteville School District,0.043,0.277,0.191,0.106,0.021,254,0.5157,0.3858,0.2559,0.1654,0.19,0.61,1,100,47,0.47,15,14.3,16,16,0,WASHINGTON,7203029,7203000,Arkansas,36.0849702,-94.0899911,,N/A,Washington County,N/A,5143,,10113,5143010113,2023,10113,Washington County,Arkansas,196,63,28,20,85,5178,50,103,1186,682,327,1642,1188,32.1,14.3,10.2,43.4,1,2,22.9,13.2,6.3,31.7,22.9,2809,101278,155725,7841,800,10.2,7041,89.8,5992,76.4,208,2.7,18,0.2,299,3.8,0,0,0,0,524,6.7,15,16
6,Alma High School,12-Sep,Alma School District,0.179,0.488,0.333,0.254,0.131,978,0.4499,0.8333,0.0511,0.0143,0.1,0.17,1,283,252,0.890459364,17.8,17.7,19.1,19.3,0,CRAWFORD,1701002,1701000,Arkansas,35.4758369,-94.2191523,101 East Main Street,72921,Crawford County,Alma,5033,"101 East Main Street, Alma, Arkansas, 72921",20602,5033020602,2023,20602,Crawford County,Arkansas,777,104,356,244,73,3855,100,180,1380,869,606,459,261,13.4,45.8,31.4,9.4,2.6,4.7,35.8,22.5,15.7,11.9,6.8,2455,61433,79425,6882,233,3.4,6649,96.6,5781,84,257,3.7,44,0.6,0,0,5,0.1,51,0.7,511,7.4,17.8,19.1
7,Alpena High School,12-Jul,Alpena School District,0.071,0.214,0.214,0.071,0.071,208,0.6731,0.9279,0.0385,0.0288,0,0.07,1,39,14,0.358974359,17.1,15,17.9,18.4,0,BOONE,501002,501000,Arkansas,36.2916191,-93.2950719,300 South Denver Street,72611,Boone County,Alpena,5009,"300 South Denver Street, Alpena, Arkansas, 72611",790400,5009790400,2023,790400,Boone County,Arkansas,247,71,96,18,62,4685,138,196,1822,1153,414,609,353,28.7,38.9,7.3,25.1,2.9,4.2,38.9,24.6,8.8,13,7.5,2408,61773,80456,5993,122,2,5871,98,5642,94.1,10,0.2,23,0.4,0,0,0,0,0,0,196,3.3,17.1,17.9
8,Ark. School For The Blind High School,12-Jul,Ark. School For The Blind,N<10,N<10,N<10,N<10,N<10,37,0.3784,0.6486,0.027,0.2162,0.11,0.35,3,4,N<10,N<10,N<10,N<10,N<10,N<10,0,PULASKI,6091002,6091000,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2023,71001,White County,Arkansas,54,9,28,8,9,2464,74,139,1087,377,183,451,153,16.7,51.9,14.8,16.7,3,5.6,44.1,15.3,7.4,18.3,6.2,1352,58339,83939,3098,93,3,3005,97,2779,89.7,75,2.4,14,0.5,0,0,0,0,0,0,137,4.4,,
9,Arkadelphia High School,12-Sep,Arkadelphia School District,0.142,0.522,0.319,0.265,0.115,574,0.5505,0.4948,0.0906,0.3554,0.06,0.51,4,145,113,0.779310345,17.1,18.1,18.9,19.4,0,CLARK,1002010,1002000,Arkansas,34.1229219,-93.0971477,401 High School Drive,71923,Clark County,Arkadelphia,5019,"401 High School Drive, Arkadelphia, Arkansas, 71923",953602,5019953602,2023,953602,Clark County,Arkansas,1795,22,259,1383,131,1668,75,90,405,315,118,323,342,1.2,14.4,77,7.3,4.5,5.4,24.3,18.9,7.1,19.4,20.5,1164,63333,79217,4084,200,4.9,3884,95.1,3068,75.1,624,15.3,0,0,72,1.8,19,0.5,3,0.1,98,2.4,17.1,18.9
10,Arkansas Arts Academy High School,12-Jul,Arkansas Arts Academy,0.185,0.554,0.585,0.338,0.154,448,0.3839,0.7299,0.1674,0.0089,0.09,0.27,1,74,65,0.878378378,17.7,19.7,23.5,19.8,1,BENTON,440703,440700,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2023,71001,White County,Arkansas,54,9,28,8,9,2464,74,139,1087,377,183,451,153,16.7,51.9,14.8,16.7,3,5.6,44.1,15.3,7.4,18.3,6.2,1352,58339,83939,3098,93,3,3005,97,2779,89.7,75,2.4,14,0.5,0,0,0,0,0,0,137,4.4,17.7,23.5
