,School Name,Grades,District Name,Math: % Met Readiness Benchmark,English: % Met Readiness Benchmark,Reading: % Met Readiness Benchmark,Science: % Met Readiness Benchmark,% Met Readiness Benchmark in all Four Subjects, School Enrollment ,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region,Number of Students in Grade 11, Number of Students in grade 11 that took the ACT, % Students in grade 11 that took the ACT in 2015-16, Average ACT Math Score , Average ACT English Score , Average ACT Reading Score , Average ACT Science Score ,Is Open Enrollment Charter,County,School LEA,DLEA,Year
1,Academic Center For Excellence,5-12,Cabot School District,9%,28%,21%,13%,5%,350,47%,83%,5%,1%,11%,17%,3,76,80,105%,15.9,15.9,16.6,17.5,0,LONOKE,4304703,4304000,2023
2,Academies At Rivercrest High School,9-12,Rivercrest School District,14%,39%,24%,13%,6%,346,71%,58%,9%,31%,3%,42%,2,81,72,89%,16.7,16.1,17.3,18.5,0,MISSISSIPPI,4706703,4706000,2023
3,Acorn High School,7-12,Ouachita River School District,2%,46%,31%,21%,2%,267,61%,93%,3%,0%,4%,7%,4,48,48,100%,15.2,17.3,17.8,18.2,0,POLK,5706002,5706000,2023
4,Adventure Online Academy,K-12,Waldron School District,N<10,N<10,N<10,N<10,N<10,33,61%,82%,9%,3%,6%,18%,1,10,N<10,N<10, N<10 , N<10 , N<10 , N<10 ,0,SCOTT,6401703,6401000,2023
5,Agee Lierly Life Preparation Services School,9-12,Fayetteville School District,4%,28%,19%,11%,2%,254,52%,39%,26%,17%,19%,61%,1,100,47,47%,15,14.3,16,16,0,WASHINGTON,7203029,7203000,2023
6,Alma High School,9-12,Alma School District,18%,49%,33%,25%,13%,978,45%,83%,5%,1%,10%,17%,1,283,252,89%,17.8,17.7,19.1,19.3,0,CRAWFORD,1701002,1701000,2023
7,Alpena High School,7-12,Alpena School District,7%,21%,21%,7%,7%,208,67%,93%,4%,3%,0%,7%,1,39,14,36%,17.1,15,17.9,18.4,0,BOONE,501002,501000,2023
8,Ark. School For The Blind High School,7-12,Ark. School For The Blind,N<10,N<10,N<10,N<10,N<10,37,38%,65%,3%,22%,11%,35%,3,4,N<10,N<10, N<10 , N<10 , N<10 , N<10 ,0,PULASKI,6091002,6091000,2023
9,Arkadelphia High School,9-12,Arkadelphia School District,14%,52%,32%,27%,12%,574,55%,49%,9%,36%,6%,51%,4,145,113,78%,17.1,18.1,18.9,19.4,0,CLARK,1002010,1002000,2023
10,Arkansas Arts Academy High School,7-12,Arkansas Arts Academy,19%,55%,59%,34%,15%,448,38%,73%,17%,1%,9%,27%,1,74,65,88%,17.7,19.7,23.5,19.8,1,BENTON,440703,440700,2023
11,Arkansas Connections Academy High,K-12,Arkansas Connections Academy,7%,47%,33%,19%,6%,3804,31%,70%,8%,14%,9%,30%,1,549,138,25%,16,17.7,19,18.2,1,BENTON,444703,444700,2023
12,Arkansas Consolidated High School-Alexander,5-12,Division Of Youth Services School System,RV,RV,RV,RV,RV,123,92%,34%,2%,59%,4%,66%,3,18,12,67%,13.3,11.3,12.1,14.5,0,PULASKI,6094001,6094000,2023
13,Arkansas Consolidated High School-Dermott,9-12,Division Of Youth Services School System,N<10,N<10,N<10,N<10,N<10,25,92%,48%,8%,44%,0%,52%,3,8,N<10,N<10, N<10 , N<10 , N<10 , N<10 ,0,PULASKI,6094002,6094000,2023
14,Arkansas Consolidated High School-Harrisburg,7-12,Division Of Youth Services School System,N<10,N<10,N<10,N<10,N<10,32,84%,47%,6%,44%,3%,53%,3,0,N<10,N<10, N<10 , N<10 , N<10 , N<10 ,0,PULASKI,6094006,6094000,2023
15,Arkansas Consolidated High School-Mansfield,7-12,Division Of Youth Services School System,N<10,N<10,N<10,N<10,N<10,39,79%,46%,3%,49%,3%,54%,3,2,N<10,N<10, N<10 , N<10 , N<10 , N<10 ,0,PULASKI,6094005,6094000,2023
16,Arkansas High School,9-12,Texarkana School District,10%,42%,21%,14%,5%,1108,59%,32%,7%,56%,6%,68%,4,283,220,78%,15.8,16.6,16.9,17.3,0,MILLER,4605026,4605000,2023
17,Arkansas Virtual Academy High School,9-12,Arkansas Virtual Academy,10%,52%,42%,19%,5%,1872,52%,70%,7%,17%,6%,30%,3,489,67,14%,17,18.5,20.9,18.9,1,PULASKI,6043703,6043700,2023
