School Name,District Name,County,Latitude,Longitude,Tract,Normalized Tract,Unique ID,Grades,Math: % Met Readiness Benchmark,English: % Met Readiness Benchmark,Reading: % Met Readiness Benchmark,Science: % Met Readiness Benchmark,% Met Readiness Benchmark in all Four Subjects,School Enrollment,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region,Number of Students in Grade 11,Number of Students in grade 11 that took the ACT,% Students in grade 11 that took the ACT in 2015-16,Average ACT Math Score,Average ACT English Score,Average ACT Reading Score,Average ACT Science Score,Is Open Enrollment Charter,County,School LEA,DLEA,Hispanic or Latino (of any race) (percentage),Not Hispanic or Latino (percentage),White alone (percentage),Black or African American alone (percentage),American Indian and Alaska Native alone (percentage),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (percentage),Some Other Race alone (percentage),Two or More Races alone (percentage),Total population,Hispanic or Latino (of any race),Not Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races alone,"18-24, less than high school graduate (percentage)","18-24, high school graduate (includes equivalency) (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate (includes equivalency) (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Population 18 to 24 years,"18-24, less than high school graduate","18-24, high school graduate (includes equivalency)","18-24, some college or associate's degree","18-24, bachelor's degree or higher",Population 25 years and over,"25 and over, less than 9th grade","25 and over, 9th to 12th grade, no diploma","25 and over, high school graduate (includes equivalency)","25 and over, some college, no degree","25 and over, associate's degree","25 and over, bachelor's degree","25 and over, graduate or professional degree",total_households,Median income (dollars),Mean income (dollars)
Academic Center For Excellence,Cabot,LONOKE,34.9406933,-92.02651,20206,202.06,20206LONOKE,5-12,9%,28%,21%,13%,5%,350,47%,83%,5%,1%,11%,17%,3,76,80,105%,15.9,15.9,16.6,17.5,0,LONOKE,4304703,4304000,0.1,0.9,0.747,0.063,0,0.002,0,0,0.088,5287,529,4758,3949,335,0,9,0,0,465,0.059,0.329,0.539,0.072,0.038,0.02,0.374,0.279,0.09,0.131,0.067,471,28,155,254,34,3395,129,68,1271,946,307,446,228,1938,65127,80637
Academies At Rivercrest High School,Rivercrest,MISSISSIPPI,35.6126658,-90.1064217,11200,112.00,11200MISSISSIPPI,9-12,14%,39%,24%,13%,6%,346,71%,58%,9%,31%,3%,42%,2,81,72,89%,16.7,16.1,17.3,18.5,0,MISSISSIPPI,4706703,4706000,0.014,0.986,0.835,0.11,0,0.003,0.001,0,0.037,2171,30,2141,1812,239,0,6,3,0,81,0.192,0.394,0.244,0.169,0.031,0.12,0.339,0.249,0.052,0.176,0.033,213,41,84,52,36,1377,42,165,467,343,71,243,46,866,65441,77399
Acorn High School,Ouachita River,POLK,34.637519,-94.2075185,950202,9502.02,950202POLK,7-12,2%,46%,31%,21%,2%,267,61%,93%,3%,0%,4%,7%,4,48,48,100%,15.2,17.3,17.8,18.2,0,POLK,5706002,5706000,0.008,0.992,0.958,0,0.009,0,0,0,0.024,3036,25,3011,2910,0,28,0,0,0,73,0.073,0.817,0.057,0.053,0.011,0.071,0.291,0.345,0.088,0.171,0.022,262,19,214,15,14,2185,24,156,636,754,192,374,49,1317,45869,86048
Adventure Online Academy,Waldron,SCOTT,34.8964186,-94.0909925,950200,9502.00,950200SCOTT,K-12,N<10,N<10,N<10,N<10,N<10,33,61%,82%,9%,3%,6%,18%,1,10,N<10,N<10,N<10,N<10,N<10,N<10,0,SCOTT,6401703,6401000,0.187,0.813,0.764,0,0,0,0.001,0,0.047,3899,730,3169,2980,0,0,0,5,0,184,0.166,0.501,0.173,0.159,0.079,0.111,0.432,0.203,0.082,0.086,0.007,415,69,208,72,66,2568,202,284,1110,522,211,221,18,1493,41801,49217
Agee Lierly Life Preparation Services School,Fayetteville,WASHINGTON,36.0618562,-94.1579584,11302,113.02,11302WASHINGTON,9-12,4%,28%,19%,11%,2%,254,52%,39%,26%,17%,19%,61%,1,100,47,47%,15,14.3,16,16,0,WASHINGTON,7203029,7203000,0.077,0.923,0.75,0.039,0.002,0.025,0.003,0.016,0.089,3140,241,2899,2354,123,6,78,9,51,278,0.048,0.131,0.765,0.056,0.015,0.06,0.266,0.211,0.089,0.278,0.081,1384,67,181,1059,77,1638,25,98,435,345,146,456,133,1522,28771,48670
Alma High School,Alma,CRAWFORD,35.4758369,-94.2191523,20602,206.02,20602CRAWFORD,9-12,18%,49%,33%,25%,13%,978,45%,83%,5%,1%,10%,17%,1,283,252,89%,17.8,17.7,19.1,19.3,0,CRAWFORD,1701002,1701000,0.034,0.966,0.84,0.037,0.006,0,0.001,0.007,0.074,6882,233,6649,5781,257,44,0,5,51,511,0.134,0.458,0.314,0.094,0.026,0.047,0.358,0.225,0.157,0.119,0.068,777,104,356,244,73,3855,100,180,1380,869,606,459,261,2455,61433,79425
Alpena High School,Alpena,BOONE,36.2916191,-93.2950719,790400,7904.00,790400BOONE,7-12,7%,21%,21%,7%,7%,208,67%,93%,4%,3%,0%,7%,1,39,14,36%,17.1,15,17.9,18.4,0,BOONE,501002,501000,0.02,0.98,0.941,0.002,0.004,0,0,0,0.033,5993,122,5871,5642,10,23,0,0,0,196,0.287,0.389,0.073,0.251,0.029,0.042,0.389,0.246,0.088,0.13,0.075,247,71,96,18,62,4685,138,196,1822,1153,414,609,353,2408,61773,80456
Arkadelphia High School,Arkadelphia,CLARK,34.1229219,-93.0971477,953602,9536.02,953602CLARK,9-12,14%,52%,32%,27%,12%,574,55%,49%,9%,36%,6%,51%,4,145,113,78%,17.1,18.1,18.9,19.4,0,CLARK,1002010,1002000,0.049,0.951,0.751,0.153,0,0.018,0.005,0.001,0.024,4084,200,3884,3068,624,0,72,19,3,98,0.012,0.144,0.77,0.073,0.045,0.054,0.243,0.189,0.071,0.194,0.205,1795,22,259,1383,131,1668,75,90,405,315,118,323,342,1164,63333,79217
Arkansas High School,Texarkana,MILLER,33.4377803,-94.0292036,20702,207.02,20702MILLER,9-12,10%,42%,21%,14%,5%,"1,108",59%,32%,7%,56%,6%,68%,4,283,220,78%,15.8,16.6,16.9,17.3,0,MILLER,4605026,4605000,0.006,0.994,0.473,0.504,0,0,0,0,0.017,3453,21,3432,1633,1740,0,0,0,0,59,0.038,0.639,0.284,0.038,0.025,0.022,0.357,0.28,0.077,0.133,0.107,313,12,200,89,12,2367,59,51,845,662,182,314,254,1635,48692,68107
Armorel High School,Armorel,MISSISSIPPI,35.9171821,-89.79941,10700,107.00,10700MISSISSIPPI,7-12,18%,46%,36%,29%,18%,197,50%,86%,5%,7%,3%,14%,2,31,28,90%,17.9,17.6,19.1,20,0,MISSISSIPPI,4701002,4701000,0.027,0.973,0.919,0.009,0.001,0.015,0,0,0.029,3903,105,3798,3588,35,5,58,0,0,112,0.006,0.463,0.472,0.058,0.05,0.05,0.388,0.206,0.095,0.145,0.065,326,2,151,154,19,2564,129,127,995,529,244,373,167,1543,88393,102654
