school_name,Grades,District Name,perc_math_readiness,perc_english_readiness,perc_reading_readiness,perc_science_readiness,perc_all_subject_readiness,number_of_students,perc_frl,perc_white,perc_hispanic,perc_african_american,perc_other_race,perc_minority,Region,number_grade_11_students,number_test_taking_grade_11_students,perc_test_taking_students_15_16,ACT_math,ACT_english,ACT_reading,ACT_science,is_open_enrollment_charter,County,School LEA,DLEA,year
Academic Center For Excellence,5-12,Cabot School District,9,28,21,13,5,350.0,47.0,83.0,5.0,1.0,11.0,17.0,3,76,80.0,105.0,15.9,15.9,16.6,17.5,0,LONOKE,4304703,4304000,2023.0
Academies At Rivercrest High School,9-12,Rivercrest School District,14,39,24,13,6,346.0,71.0,58.0,9.0,31.0,3.0,42.0,2,81,72.0,89.0,16.7,16.1,17.3,18.5,0,MISSISSIPPI,4706703,4706000,2023.0
Acorn High School,7-12,Ouachita River School District,2,46,31,21,2,267.0,61.0,93.0,3.0,0.0,4.0,7.0,4,48,48.0,100.0,15.2,17.3,17.8,18.2,0,POLK,5706002,5706000,2023.0
Agee Lierly Life Preparation Services School,9-12,Fayetteville School District,4,28,19,11,2,254.0,52.0,39.0,26.0,17.0,19.0,61.0,1,100,47.0,47.0,15.0,14.3,16.0,16.0,0,WASHINGTON,7203029,7203000,2023.0
Alma High School,9-12,Alma School District,18,49,33,25,13,978.0,45.0,83.0,5.0,1.0,10.0,17.0,1,283,252.0,89.0,17.8,17.7,19.1,19.3,0,CRAWFORD,1701002,1701000,2023.0
Alpena High School,7-12,Alpena School District,7,21,21,7,7,208.0,67.0,93.0,4.0,3.0,0.0,7.0,1,39,14.0,36.0,17.1,15.0,17.9,18.4,0,BOONE,501002,501000,2023.0
Arkadelphia High School,9-12,Arkadelphia School District,14,52,32,27,12,574.0,55.0,49.0,9.0,36.0,6.0,51.0,4,145,113.0,78.0,17.1,18.1,18.9,19.4,0,CLARK,1002010,1002000,2023.0
Arkansas Arts Academy High School,7-12,Arkansas Arts Academy,19,55,59,34,15,448.0,38.0,73.0,17.0,1.0,9.0,27.0,1,74,65.0,88.0,17.7,19.7,23.5,19.8,1,BENTON,440703,440700,2023.0
Arkansas Connections Academy High,K-12,Arkansas Connections Academy,7,47,33,19,6,3804.0,31.0,70.0,8.0,14.0,9.0,30.0,1,549,138.0,25.0,16.0,17.7,19.0,18.2,1,BENTON,444703,444700,2023.0
Arkansas Consolidated High School-Alexander,5-12,Division Of Youth Services School System,RV,RV,RV,RV,RV,123.0,92.0,34.0,2.0,59.0,4.0,66.0,3,18,12.0,67.0,13.3,11.3,12.1,14.5,0,PULASKI,6094001,6094000,2023.0
Arkansas High School,9-12,Texarkana School District,10,42,21,14,5,1108.0,59.0,32.0,7.0,56.0,6.0,68.0,4,283,220.0,78.0,15.8,16.6,16.9,17.3,0,MILLER,4605026,4605000,2023.0
Arkansas Virtual Academy High School,9-12,Arkansas Virtual Academy,10,52,42,19,5,1872.0,52.0,70.0,7.0,17.0,6.0,30.0,3,489,67.0,14.0,17.0,18.5,20.9,18.9,1,PULASKI,6043703,6043700,2023.0
Armorel High School,7-12,Armorel School District,18,46,36,29,18,197.0,50.0,86.0,5.0,7.0,3.0,14.0,2,31,28.0,90.0,17.9,17.6,19.1,20.0,0,MISSISSIPPI,4701002,4701000,2023.0
Ashdown High School,9-12,Ashdown School District,6,39,13,7,3,396.0,68.0,63.0,6.0,25.0,6.0,37.0,4,97,91.0,94.0,15.7,15.9,16.3,17.5,0,LITTLE RIVER,4101004,4101000,2023.0
Atkins High School,9-12,Atkins School District,21,61,40,30,9,335.0,66.0,93.0,2.0,1.0,3.0,7.0,1,78,43.0,55.0,18.5,18.6,19.3,19.7,0,POPE,5801002,5801000,2023.0
Augusta High School,7-12,Augusta School District,RV,14,11,7,RV,151.0,85.0,37.0,1.0,56.0,6.0,63.0,2,29,28.0,97.0,14.9,13.0,15.5,15.4,0,WOODRUFF,7401003,7401000,2023.0
Bald Knob High School,9-12,Bald Knob School District,13,43,28,15,5,336.0,55.0,89.0,5.0,1.0,5.0,11.0,2,83,40.0,48.0,17.2,16.8,18.4,17.8,0,WHITE,7301003,7301000,2023.0
Barton High School,7-12,Barton-Lexa School District,6,18,9,9,3,308.0,85.0,54.0,4.0,40.0,3.0,46.0,5,39,34.0,87.0,15.9,14.1,14.5,17.3,0,PHILLIPS,5401003,5401000,2023.0
Batesville High School Charter,9-12,Batesville School District,21,45,35,29,14,997.0,46.0,60.0,29.0,5.0,6.0,40.0,2,235,161.0,69.0,18.2,17.8,19.5,19.4,0,INDEPENDENCE,3201703,3201000,2023.0
Bauxite High School,9-12,Bauxite School District,10,30,21,17,7,549.0,30.0,89.0,6.0,3.0,2.0,11.0,3,144,138.0,96.0,16.5,15.3,17.2,17.5,0,SALINE,6301002,6301000,2023.0
