tract_number,tract_county,tract_state,Hispanic or Latino (of any race) (percentage),Not Hispanic or Latino (percentage),White alone (percentage),Black or African American alone (percentage),American Indian and Alaska Native alone (percentage),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (percentage),Some Other Race alone (percentage),Two or More Races alone (percentage),Total population,Hispanic or Latino (of any race),Not Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races alone,"18-24, less than high school graduate (percentage)","18-24, high school graduate (includes equivalency) (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate (includes equivalency) (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Population 18 to 24 years,"18-24, less than high school graduate","18-24, high school graduate (includes equivalency)","18-24, some college or associate's degree","18-24, bachelor's degree or higher",Population 25 years and over,"25 and over, less than 9th grade","25 and over, 9th to 12th grade, no diploma","25 and over, high school graduate (includes equivalency)","25 and over, some college, no degree","25 and over, associate's degree","25 and over, bachelor's degree","25 and over, graduate or professional degree",total_households,Median income (dollars),Mean income (dollars)
4801.0,Arkansas County,Arkansas,8.0%,92.0%,74.2%,14.0%,0.0%,0.0%,0.0%,0.0%,3.8%,1096.0,88,1008,813,153,0,0,0,0,42,29.4%,29.4%,41.2%,0.0%,2.3%,9.6%,45.6%,22.0%,8.9%,8.1%,3.6%,51,15,15,21,0,788,18,76,359,173,70,64,28,473,"60,897","79,241"
4802.0,Arkansas County,Arkansas,9.3%,90.7%,87.5%,2.2%,0.0%,0.0%,0.0%,0.0%,0.9%,1524.0,142,1382,1334,34,0,0,0,0,14,0.0%,56.9%,43.1%,0.0%,1.7%,13.3%,40.9%,26.7%,7.1%,10.0%,0.3%,65,0,37,28,0,1050,18,140,429,280,75,105,3,555,"74,923","72,449"
4803.0,Arkansas County,Arkansas,4.8%,95.2%,64.1%,25.0%,0.2%,0.0%,0.0%,0.0%,6.0%,2878.0,137,2741,1844,719,5,0,0,0,173,0.0%,100.0%,0.0%,0.0%,4.3%,9.4%,38.7%,22.2%,4.9%,11.9%,8.7%,77,0,77,0,0,1975,84,186,764,439,96,235,171,"1,082","61,667","88,679"
4804.0,Arkansas County,Arkansas,1.2%,98.8%,25.6%,67.8%,0.3%,0.7%,0.0%,0.0%,4.4%,2034.0,24,2010,521,1379,7,14,0,0,89,1.8%,35.4%,58.5%,4.3%,1.9%,13.5%,46.2%,16.2%,12.5%,5.6%,4.0%,164,3,58,96,7,1348,26,182,623,219,169,75,54,853,"37,670","41,352"
4805.0,Arkansas County,Arkansas,0.4%,99.6%,64.8%,34.4%,0.0%,0.0%,0.0%,0.0%,0.4%,3623.0,16,3607,2346,1247,0,0,0,0,14,21.1%,36.9%,33.3%,8.7%,3.6%,6.9%,41.4%,18.6%,12.6%,12.4%,4.5%,426,90,157,142,37,2494,91,172,1033,463,314,310,111,"1,399","71,691","70,233"
4806.0,Arkansas County,Arkansas,5.4%,94.6%,90.5%,2.5%,0.0%,0.0%,0.0%,0.0%,1.6%,1695.0,92,1603,1534,42,0,0,0,0,27,10.2%,49.0%,38.1%,2.7%,4.1%,4.4%,47.6%,18.8%,7.8%,9.9%,7.3%,147,15,72,56,4,1260,52,56,600,237,98,125,92,659,"71,227","79,408"
4807.0,Arkansas County,Arkansas,5.6%,94.4%,69.7%,23.5%,0.0%,0.0%,0.0%,0.0%,1.1%,2871.0,162,2709,2002,674,0,0,0,0,33,38.0%,15.2%,46.9%,0.0%,4.5%,8.9%,47.5%,15.1%,14.3%,5.9%,3.8%,303,115,46,142,0,1875,84,166,890,284,269,111,71,"1,075","53,823","77,198"
4808.0,Arkansas County,Arkansas,0.0%,100.0%,89.7%,6.7%,0.4%,0.0%,0.0%,0.0%,3.1%,1052.0,0,1052,944,71,4,0,0,0,33,0.0%,60.0%,40.0%,0.0%,8.1%,4.4%,31.4%,15.1%,14.1%,13.9%,13.1%,10,0,6,4,0,850,69,37,267,128,120,118,111,491,"82,250","91,298"
9601.0,Ashley County,Arkansas,8.7%,91.3%,57.1%,31.5%,0.7%,0.0%,0.0%,0.0%,2.1%,1210.0,105,1105,691,381,8,0,0,0,25,28.3%,20.7%,40.2%,10.9%,4.9%,9.0%,43.4%,22.0%,11.3%,7.3%,2.1%,92,26,19,37,10,841,41,76,365,185,95,61,18,467,"55,938","65,285"
9602.0,Ashley County,Arkansas,7.5%,92.5%,87.8%,3.9%,0.0%,0.0%,0.0%,0.0%,0.8%,2674.0,201,2473,2348,103,0,0,0,0,22,43.0%,17.5%,23.5%,16.0%,9.8%,3.8%,63.9%,13.7%,5.5%,1.3%,2.1%,200,86,35,47,32,1824,178,70,1165,249,100,23,39,902,"56,059","60,533"
