tract_number,tract_county,tract_state,"18-24, less than high school graduate (percentage)","18-24, high school graduate (includes equivalency) (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate (includes equivalency) (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Population 18 to 24 years,"18-24, less than high school graduate","18-24, high school graduate (includes equivalency)","18-24, some college or associate's degree","18-24, bachelor's degree or higher",Population 25 years and over,"25 and over, less than 9th grade","25 and over, 9th to 12th grade, no diploma","25 and over, high school graduate (includes equivalency)","25 and over, some college, no degree","25 and over, associate's degree","25 and over, bachelor's degree","25 and over, graduate or professional degree"
4801,Arkansas County,Arkansas,29.4%,29.4%,41.2%,0.0%,2.3%,9.6%,45.6%,22.0%,8.9%,8.1%,3.6%,51,15,15,21,0,788,18,76,359,173,70,64,28
4802,Arkansas County,Arkansas,0.0%,56.9%,43.1%,0.0%,1.7%,13.3%,40.9%,26.7%,7.1%,10.0%,0.3%,65,0,37,28,0,1050,18,140,429,280,75,105,3
4803,Arkansas County,Arkansas,0.0%,100.0%,0.0%,0.0%,4.3%,9.4%,38.7%,22.2%,4.9%,11.9%,8.7%,77,0,77,0,0,1975,84,186,764,439,96,235,171
4804,Arkansas County,Arkansas,1.8%,35.4%,58.5%,4.3%,1.9%,13.5%,46.2%,16.2%,12.5%,5.6%,4.0%,164,3,58,96,7,1348,26,182,623,219,169,75,54
4805,Arkansas County,Arkansas,21.1%,36.9%,33.3%,8.7%,3.6%,6.9%,41.4%,18.6%,12.6%,12.4%,4.5%,426,90,157,142,37,2494,91,172,1033,463,314,310,111
4806,Arkansas County,Arkansas,10.2%,49.0%,38.1%,2.7%,4.1%,4.4%,47.6%,18.8%,7.8%,9.9%,7.3%,147,15,72,56,4,1260,52,56,600,237,98,125,92
4807,Arkansas County,Arkansas,38.0%,15.2%,46.9%,0.0%,4.5%,8.9%,47.5%,15.1%,14.3%,5.9%,3.8%,303,115,46,142,0,1875,84,166,890,284,269,111,71
4808,Arkansas County,Arkansas,0.0%,60.0%,40.0%,0.0%,8.1%,4.4%,31.4%,15.1%,14.1%,13.9%,13.1%,10,0,6,4,0,850,69,37,267,128,120,118,111
9601,Ashley County,Arkansas,28.3%,20.7%,40.2%,10.9%,4.9%,9.0%,43.4%,22.0%,11.3%,7.3%,2.1%,92,26,19,37,10,841,41,76,365,185,95,61,18
9602,Ashley County,Arkansas,43.0%,17.5%,23.5%,16.0%,9.8%,3.8%,63.9%,13.7%,5.5%,1.3%,2.1%,200,86,35,47,32,1824,178,70,1165,249,100,23,39
9603,Ashley County,Arkansas,36.5%,42.6%,20.9%,0.0%,6.2%,10.5%,54.1%,12.5%,6.2%,7.4%,3.2%,373,136,159,78,0,2867,177,302,1550,358,177,212,91
9604,Ashley County,Arkansas,14.6%,50.0%,35.4%,0.0%,0.5%,6.1%,57.1%,22.4%,6.8%,1.7%,5.5%,48,7,24,17,0,1078,5,66,616,241,73,18,59
9605,Ashley County,Arkansas,5.7%,30.5%,63.8%,0.0%,6.7%,9.9%,50.8%,20.5%,5.6%,4.1%,2.4%,141,8,43,90,0,1600,107,159,813,328,90,65,38
9606,Ashley County,Arkansas,4.8%,62.2%,26.8%,6.2%,2.6%,4.4%,47.0%,18.4%,5.4%,18.2%,4.0%,503,24,313,135,31,3683,97,163,1730,679,199,669,146
9607,Ashley County,Arkansas,0.0%,45.9%,54.1%,0.0%,4.4%,8.3%,48.2%,19.5%,6.6%,7.2%,5.8%,74,0,34,40,0,1155,51,96,557,225,76,83,67
9501,Baxter County,Arkansas,50.5%,14.2%,35.3%,0.0%,3.1%,6.6%,31.9%,26.3%,7.6%,17.8%,6.6%,218,110,31,77,0,3430,106,228,1095,901,262,610,228
9502,Baxter County,Arkansas,0.0%,71.7%,28.3%,0.0%,4.3%,11.0%,32.6%,24.7%,11.7%,11.3%,4.5%,226,0,162,64,0,3594,153,395,1172,887,421,405,161
9503,Baxter County,Arkansas,12.7%,52.4%,29.4%,5.5%,2.9%,5.8%,27.9%,29.7%,15.2%,12.3%,6.2%,622,79,326,183,34,3801,112,222,1061,1128,576,467,235
9504,Baxter County,Arkansas,21.5%,25.7%,52.8%,0.0%,2.4%,5.1%,35.4%,17.2%,16.8%,15.8%,7.4%,413,89,106,218,0,2380,56,122,842,409,401,375,175
9505,Baxter County,Arkansas,4.1%,53.2%,41.3%,1.4%,1.7%,9.9%,35.2%,22.0%,10.0%,14.7%,6.5%,293,12,156,121,4,3821,65,378,1344,841,383,562,248
9506,Baxter County,Arkansas,15.9%,56.1%,28.0%,0.0%,2.7%,6.2%,39.1%,22.9%,7.8%,15.8%,5.6%,107,17,60,30,0,3195,85,197,1248,733,248,506,178
9507,Baxter County,Arkansas,52.4%,35.4%,12.2%,0.0%,5.3%,4.7%,42.6%,19.7%,9.1%,15.0%,3.6%,82,43,29,10,0,2969,156,140,1266,584,271,444,108
9508.01,Baxter County,Arkansas,15.1%,77.6%,5.3%,2.0%,2.7%,7.3%,32.4%,30.1%,11.1%,11.8%,4.6%,152,23,118,8,3,3446,93,251,1118,1036,382,407,159
9508.02,Baxter County,Arkansas,39.3%,28.1%,32.6%,0.0%,5.9%,9.1%,30.8%,28.7%,10.2%,14.4%,0.8%,89,35,25,29,0,1455,86,133,448,417,149,210,12
9509,Baxter County,Arkansas,23.2%,36.3%,39.2%,1.3%,0.9%,9.7%,38.1%,24.4%,13.7%,8.1%,5.1%,311,72,113,122,4,4066,36,394,1548,991,558,331,208
201.02,Benton County,Arkansas,25.3%,40.7%,27.4%,6.6%,2.7%,6.1%,29.8%,19.1%,8.0%,24.5%,9.8%,241,61,98,66,16,5418,144,333,1614,1036,431,1328,532
201.03,Benton County,Arkansas,12.7%,50.5%,36.8%,0.0%,4.5%,6.5%,37.2%,24.7%,10.5%,11.7%,4.9%,315,40,159,116,0,3250,147,210,1208,804,341,381,159
201.04,Benton County,Arkansas,19.5%,45.1%,35.4%,0.0%,2.5%,7.6%,42.7%,14.0%,7.6%,22.1%,3.6%,82,16,37,29,0,1323,33,100,565,185,101,292,47
202.01,Benton County,Arkansas,10.8%,67.2%,17.4%,4.6%,15.2%,7.9%,27.2%,25.9%,7.5%,8.9%,7.5%,649,70,436,113,30,3051,463,240,829,789,229,273,228
202.03,Benton County,Arkansas,0.0%,8.4%,67.6%,24.0%,9.9%,2.8%,24.8%,11.0%,13.4%,29.2%,8.8%,262,0,22,177,63,2036,202,58,505,223,273,595,180
202.05,Benton County,Arkansas,13.8%,58.6%,21.1%,6.5%,16.8%,12.0%,40.1%,13.4%,8.3%,5.8%,3.7%,705,97,413,149,46,3512,591,421,1407,469,290,204,130
202.06,Benton County,Arkansas,10.9%,46.6%,33.0%,9.5%,19.7%,13.5%,32.9%,10.4%,5.0%,15.6%,2.8%,624,68,291,206,59,4684,924,634,1542,486,234,732,132
203.01,Benton County,Arkansas,39.5%,43.1%,17.4%,0.0%,6.2%,9.5%,44.8%,24.4%,7.8%,5.6%,1.8%,413,163,178,72,0,2713,169,257,1216,661,211,151,48
203.02,Benton County,Arkansas,25.0%,24.6%,41.7%,8.7%,6.6%,6.2%,48.1%,18.5%,5.7%,10.3%,4.6%,472,118,116,197,41,2574,169,159,1239,475,148,265,119
203.04,Benton County,Arkansas,26.2%,52.6%,16.4%,4.7%,3.0%,8.0%,30.6%,17.4%,6.8%,22.6%,11.6%,572,150,301,94,27,2855,85,228,873,496,195,646,332
203.05,Benton County,Arkansas,3.9%,54.3%,41.9%,0.0%,3.0%,9.4%,31.1%,20.0%,8.6%,19.6%,8.2%,129,5,70,54,0,2704,82,254,841,542,232,531,222
204.01,Benton County,Arkansas,3.7%,55.9%,37.4%,3.0%,3.1%,4.8%,35.1%,18.4%,6.9%,23.3%,8.5%,562,21,314,210,17,4776,146,228,1677,877,331,1112,405
204.02,Benton County,Arkansas,8.5%,46.3%,40.1%,5.1%,10.4%,4.1%,41.9%,17.4%,4.6%,16.6%,5.1%,691,59,320,277,35,4524,471,185,1895,785,208,749,231
204.04,Benton County,Arkansas,11.5%,28.9%,42.7%,16.9%,11.2%,10.5%,37.4%,16.7%,4.0%,14.2%,6.0%,620,71,179,265,105,2731,305,286,1021,457,110,388,164
204.05,Benton County,Arkansas,1.8%,5.9%,56.8%,35.5%,0.5%,2.2%,18.5%,14.4%,8.6%,32.6%,23.2%,609,11,36,346,216,3712,20,82,688,533,319,1209,861
205.01,Benton County,Arkansas,19.6%,29.4%,36.7%,14.3%,3.0%,0.2%,16.4%,16.8%,8.8%,31.8%,22.9%,490,96,144,180,70,3520,106,8,579,593,309,1119,806
205.03,Benton County,Arkansas,27.7%,37.1%,20.3%,14.9%,7.9%,2.5%,21.1%,18.7%,6.3%,27.1%,16.4%,469,130,174,95,70,2744,218,68,578,514,172,744,450
205.04,Benton County,Arkansas,0.0%,46.4%,32.1%,21.4%,3.8%,7.2%,26.2%,23.6%,8.5%,13.4%,17.4%,84,0,39,27,18,1952,74,140,512,461,165,261,339
206.04,Benton County,Arkansas,6.9%,55.3%,14.0%,23.8%,1.8%,7.5%,27.0%,14.4%,4.1%,28.8%,16.5%,407,28,225,57,97,3481,62,260,940,501,143,1002,573
206.05,Benton County,Arkansas,6.4%,64.0%,22.0%,7.6%,3.7%,2.1%,21.9%,20.4%,5.8%,25.1%,20.9%,236,15,151,52,18,2520,92,53,553,515,147,633,527
206.06,Benton County,Arkansas,21.5%,17.9%,46.7%,13.8%,0.1%,1.7%,10.5%,19.5%,12.3%,39.6%,16.3%,441,95,79,206,61,2977,4,52,313,580,366,1178,484
206.07,Benton County,Arkansas,0.5%,40.5%,17.2%,41.9%,0.6%,2.2%,10.3%,11.4%,3.8%,34.1%,37.5%,927,5,375,159,388,7022,43,156,725,804,267,2396,2631
206.08,Benton County,Arkansas,8.3%,58.7%,33.0%,0.0%,0.0%,0.9%,33.8%,14.6%,8.9%,25.7%,16.1%,557,46,327,184,0,2124,0,20,717,310,188,546,343
