tract_number,tract_county,tract_state,total_households,Median income (dollars),Mean income (dollars)
4801,Arkansas County,Arkansas,473,"60,897","79,241"
4802,Arkansas County,Arkansas,555,"74,923","72,449"
4803,Arkansas County,Arkansas,"1,082","61,667","88,679"
4804,Arkansas County,Arkansas,853,"37,670","41,352"
4805,Arkansas County,Arkansas,"1,399","71,691","70,233"
4806,Arkansas County,Arkansas,659,"71,227","79,408"
4807,Arkansas County,Arkansas,"1,075","53,823","77,198"
4808,Arkansas County,Arkansas,491,"82,250","91,298"
9601,Ashley County,Arkansas,467,"55,938","65,285"
9602,Ashley County,Arkansas,902,"56,059","60,533"
9603,Ashley County,Arkansas,"1,647","35,387","56,087"
9604,Ashley County,Arkansas,551,"42,829","51,833"
9605,Ashley County,Arkansas,799,"34,861","44,063"
9606,Ashley County,Arkansas,"2,256","45,172","64,869"
9607,Ashley County,Arkansas,577,"54,125","82,595"
9501,Baxter County,Arkansas,"2,346","44,662","61,754"
9502,Baxter County,Arkansas,"2,217","40,493","58,010"
9503,Baxter County,Arkansas,"2,458","42,383","64,983"
9504,Baxter County,Arkansas,"1,491","44,492","88,179"
9505,Baxter County,Arkansas,"2,146","48,404","64,722"
9506,Baxter County,Arkansas,"1,755","62,518","108,931"
9507,Baxter County,Arkansas,"1,685","50,193","57,335"
9508.01,Baxter County,Arkansas,"1,979","52,005","68,101"
9508.02,Baxter County,Arkansas,772,"47,128","53,467"
9509,Baxter County,Arkansas,"2,440","46,944","59,383"
201.02,Benton County,Arkansas,"2,852","105,026","130,423"
201.03,Benton County,Arkansas,"1,737","78,750","94,727"
201.04,Benton County,Arkansas,631,"65,341","84,071"
202.01,Benton County,Arkansas,"1,548","78,929","108,193"
202.03,Benton County,Arkansas,"1,147","79,358","106,675"
202.05,Benton County,Arkansas,"1,824","62,253","89,863"
202.06,Benton County,Arkansas,"2,360","79,390","81,726"
203.01,Benton County,Arkansas,"1,850","37,981","48,086"
203.02,Benton County,Arkansas,"1,444","80,900","106,545"
203.04,Benton County,Arkansas,"1,841","65,874","90,112"
203.05,Benton County,Arkansas,"1,457","89,063","96,320"
204.01,Benton County,Arkansas,"2,668","69,943","86,285"
204.02,Benton County,Arkansas,"1,986","73,841","89,848"
204.04,Benton County,Arkansas,"1,651","65,173","86,627"
204.05,Benton County,Arkansas,"2,330","100,429","121,044"
205.01,Benton County,Arkansas,"2,327","89,284","168,884"
205.03,Benton County,Arkansas,"1,936","61,684","76,147"
205.04,Benton County,Arkansas,"1,300","61,594","92,000"
206.04,Benton County,Arkansas,"1,818","95,552","136,909"
206.05,Benton County,Arkansas,"1,493","98,512","119,474"
206.06,Benton County,Arkansas,"1,567","173,355","199,242"
206.07,Benton County,Arkansas,"4,706","108,021","124,143"
206.08,Benton County,Arkansas,"1,466","108,134","121,750"
207.01,Benton County,Arkansas,"2,377","93,132","122,647"
207.03,Benton County,Arkansas,"2,059","113,966","131,924"
207.04,Benton County,Arkansas,"1,776","97,073","140,966"
208.01,Benton County,Arkansas,"2,147","84,669","100,839"
208.03,Benton County,Arkansas,"2,209","81,397","182,836"
208.05,Benton County,Arkansas,"2,023","91,675","128,034"
208.06,Benton County,Arkansas,"2,578","89,947","223,084"
209.03,Benton County,Arkansas,"1,953","98,979","119,938"
209.04,Benton County,Arkansas,"2,569","114,993","142,364"
209.05,Benton County,Arkansas,"1,138","73,102","111,332"
209.06,Benton County,Arkansas,"2,129","94,803","115,043"
210.01,Benton County,Arkansas,"1,817","59,417","86,655"
210.03,Benton County,Arkansas,937,"61,205","71,026"
210.04,Benton County,Arkansas,"1,454","73,146","84,024"
211.01,Benton County,Arkansas,"1,837","69,807","83,024"
211.02,Benton County,Arkansas,"1,342","77,692","76,532"
212.01,Benton County,Arkansas,"1,636","79,408","111,087"
212.02,Benton County,Arkansas,"1,285","50,655","63,053"
213.04,Benton County,Arkansas,"4,352","127,668","146,865"
213.05,Benton County,Arkansas,"2,851","100,125","148,596"
213.06,Benton County,Arkansas,"2,007","198,153","254,710"
213.08,Benton County,Arkansas,"2,287","159,736","191,372"
213.12,Benton County,Arkansas,"1,696","59,848","73,484"
213.13,Benton County,Arkansas,"1,220","63,636","79,559"
213.14,Benton County,Arkansas,"1,083","121,406","139,507"
213.15,Benton County,Arkansas,"2,385","100,239","125,128"
213.16,Benton County,Arkansas,"2,493","146,285","153,203"
213.17,Benton County,Arkansas,"1,320","112,188","126,744"
214.04,Benton County,Arkansas,"1,440","73,000","94,266"
214.05,Benton County,Arkansas,925,"74,489","119,648"
214.06,Benton County,Arkansas,"1,678","86,908","96,522"
214.07,Benton County,Arkansas,"1,726","105,750","130,165"
214.08,Benton County,Arkansas,"1,918","79,464","104,249"
214.09,Benton County,Arkansas,"1,081","97,250","149,494"
7901,Boone County,Arkansas,"2,457","60,838","74,481"
7902,Boone County,Arkansas,"2,246","60,244","80,876"
7903,Boone County,Arkansas,"2,052","63,837","72,450"
7904,Boone County,Arkansas,"2,408","61,773","80,456"
7905.01,Boone County,Arkansas,"1,866","52,250","71,116"
7905.02,Boone County,Arkansas,"1,892","35,944","49,243"
7906,Boone County,Arkansas,"2,311","48,368","61,069"
9501,Bradley County,Arkansas,957,"41,094","64,310"
9502,Bradley County,Arkansas,631,"47,216","66,123"
9503,Bradley County,Arkansas,694,"28,171","55,830"
9504,Bradley County,Arkansas,555,"48,551","75,003"
9505,Bradley County,Arkansas,763,"35,568","52,944"
4801,Calhoun County,Arkansas,856,"59,000","69,305"
4802,Calhoun County,Arkansas,728,"69,423","77,698"
9501,Carroll County,Arkansas,"1,372","45,000","66,141"
9502.01,Carroll County,Arkansas,"1,712","78,833","82,391"
9502.02,Carroll County,Arkansas,"1,114","51,892","58,338"
9503.01,Carroll County,Arkansas,"1,510","48,377","82,161"
9503.02,Carroll County,Arkansas,"1,609","44,583","60,195"
9504,Carroll County,Arkansas,"1,559","71,116","78,167"
9505.01,Carroll County,Arkansas,805,"55,486","87,321"
9505.02,Carroll County,Arkansas,"1,425","48,065","64,438"
801,Chicot County,Arkansas,974,"69,207","92,056"
802,Chicot County,Arkansas,889,"25,518","43,304"
803,Chicot County,Arkansas,"1,074","45,179","57,712"
804,Chicot County,Arkansas,982,"27,197","44,613"
9536.01,Clark County,Arkansas,"1,892","41,792","58,976"
9536.02,Clark County,Arkansas,"1,164","63,333","79,217"
