tract_number,tract_county,tract_state,Hispanic or Latino (of any race) (percentage),Not Hispanic or Latino (percentage),White alone (percentage),Black or African American alone (percentage),American Indian and Alaska Native alone (percentage),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (percentage),Some Other Race alone (percentage),Two or More Races alone (percentage),Total population,Hispanic or Latino (of any race),Not Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races alone
4801,Arkansas County,Arkansas,8.0%,92.0%,74.2%,14.0%,0.0%,0.0%,0.0%,0.0%,3.8%,1096.0,88,1008,813,153,0,0,0,0,42
4802,Arkansas County,Arkansas,9.3%,90.7%,87.5%,2.2%,0.0%,0.0%,0.0%,0.0%,0.9%,1524.0,142,1382,1334,34,0,0,0,0,14
4803,Arkansas County,Arkansas,4.8%,95.2%,64.1%,25.0%,0.2%,0.0%,0.0%,0.0%,6.0%,2878.0,137,2741,1844,719,5,0,0,0,173
4804,Arkansas County,Arkansas,1.2%,98.8%,25.6%,67.8%,0.3%,0.7%,0.0%,0.0%,4.4%,2034.0,24,2010,521,1379,7,14,0,0,89
4805,Arkansas County,Arkansas,0.4%,99.6%,64.8%,34.4%,0.0%,0.0%,0.0%,0.0%,0.4%,3623.0,16,3607,2346,1247,0,0,0,0,14
4806,Arkansas County,Arkansas,5.4%,94.6%,90.5%,2.5%,0.0%,0.0%,0.0%,0.0%,1.6%,1695.0,92,1603,1534,42,0,0,0,0,27
4807,Arkansas County,Arkansas,5.6%,94.4%,69.7%,23.5%,0.0%,0.0%,0.0%,0.0%,1.1%,2871.0,162,2709,2002,674,0,0,0,0,33
4808,Arkansas County,Arkansas,0.0%,100.0%,89.7%,6.7%,0.4%,0.0%,0.0%,0.0%,3.1%,1052.0,0,1052,944,71,4,0,0,0,33
9601,Ashley County,Arkansas,8.7%,91.3%,57.1%,31.5%,0.7%,0.0%,0.0%,0.0%,2.1%,1210.0,105,1105,691,381,8,0,0,0,25
9602,Ashley County,Arkansas,7.5%,92.5%,87.8%,3.9%,0.0%,0.0%,0.0%,0.0%,0.8%,2674.0,201,2473,2348,103,0,0,0,0,22
9603,Ashley County,Arkansas,14.9%,85.1%,65.9%,18.4%,0.0%,0.0%,0.0%,0.3%,0.5%,4372.0,652,3720,2883,803,0,0,0,12,22
9604,Ashley County,Arkansas,0.0%,100.0%,65.7%,34.2%,0.0%,0.0%,0.0%,0.0%,0.1%,1373.0,0,1373,902,470,0,0,0,0,1
9605,Ashley County,Arkansas,1.1%,98.9%,81.9%,16.7%,0.0%,0.0%,0.0%,0.0%,0.3%,2387.0,26,2361,1954,399,0,0,0,0,8
9606,Ashley County,Arkansas,2.3%,97.7%,55.0%,39.7%,0.0%,0.0%,0.0%,0.0%,3.1%,5015.0,115,4900,2758,1989,0,0,0,0,153
