School Name,District Name,RW Scores,Math Scores,Tests Taken,# Students SAT ELA Participation,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
Alcott Humanities High School,City of Chicago SD 299,470.8,461.3,75,75,Illinois,42.0172656,-87.8068196,7500 North Harlem Avenue,60631,Cook County,Chicago,17031,"7500 North Harlem Avenue, Chicago, Illinois, 60631",90100,17031090100,2019,90100,Cook County,Illinois,161,13,49,50,49,2512,43,109,488,535,201,823,313,8.1,30.4,31.1,30.4,1.7,4.3,19.4,21.3,8,32.8,12.5,1361,113843,143957,3486,389,11.2,3097,88.8,2684,77,33,0.9,0,0,149,4.3,0,0,8,0.2,223,6.4
North Boone High School,North Boone CUSD 200,477.9,468.5,123,123,Illinois,42.4129133,-88.8191428,17823 Poplar Grove Road,61065,Boone County,Poplar Grove,17007,"17823 Poplar Grove Road, Poplar Grove, Illinois, 61065",10601,17007010601,2019,10601,Boone County,Illinois,316,28,198,90,0,2460,149,157,841,561,124,491,137,8.9,62.7,28.5,0,6.1,6.4,34.2,22.8,5,20,5.6,1245,83692,102165,3600,823,22.9,2777,77.1,2743,76.2,2,0.1,0,0,0,0,0,0,0,0,32,0.9
Armstrong High School,Armstrong Twp HSD 225,467.9,440.6,33,33,Illinois,40.3054611,-87.8801482,30474 Smith Street,61812,Vermilion County,Armstrong,17183,"30474 Smith Street, Armstrong, Illinois, 61812",10100,17183010100,2019,10100,Vermilion County,Illinois,208,32,70,105,1,1965,33,139,669,494,259,287,84,15.4,33.7,50.5,0.5,1.7,7.1,34,25.1,13.2,14.6,4.3,1174,57500,79336,3105,267,8.6,2838,91.4,2795,90,0,0,0,0,26,0.8,3,0.1,0,0,14,0.5
Dwight High School,Dwight Twp HSD 230,503.5,508.7,55,55,Illinois,41.0858605,-88.4263953,801 South Franklin Street,60420,Livingston County,Dwight,17105,"801 South Franklin Street, Dwight, Illinois, 60420",960100,17105960100,2019,960100,Livingston County,Illinois,304,78,126,80,20,2664,122,138,1139,636,180,259,190,25.7,41.4,26.3,6.6,4.6,5.2,42.8,23.9,6.8,9.7,7.1,1544,56543,73402,3817,272,7.1,3545,92.9,3396,89,21,0.6,0,0,0,0,0,0,0,0,128,3.4
Benton Cons High School,Benton Cons HSD 103,475,476.7,139,139,Illinois,37.9972422,-88.9126979,511 East Main Street,62812,Franklin County,Benton,17055,"511 East Main Street, Benton, Illinois, 62812",40600,17055040600,2019,40600,Franklin County,Illinois,217,50,62,78,27,2015,61,261,569,334,251,398,141,23,28.6,35.9,12.4,3,13,28.2,16.6,12.5,19.8,7,1131,40341,64484,2848,89,3.1,2759,96.9,2673,93.9,46,1.6,0,0,20,0.7,4,0.1,0,0,16,0.6
Mahomet-Seymour High School,Mahomet-Seymour CUSD 3,548.1,578.5,211,211,Illinois,40.2021766,-88.4111624,302 West State Street,61853,Champaign County,Mahomet,17019,"302 West State Street, Mahomet, Illinois, 61853",10601,17019010601,2019,10601,Champaign County,Illinois,465,11,112,313,29,3952,11,5,877,845,306,1242,666,2.4,24.1,67.3,6.2,0.3,0.1,22.2,21.4,7.7,31.4,16.9,2080,97542,108300,6245,237,3.8,6008,96.2,5761,92.2,24,0.4,0,0,28,0.4,0,0,0,0,195,3.1
Warren Township High School,Warren Twp HSD 121,521.6,519.1,975,975,Illinois,42.3589822,-87.981576,34090 Almond Road,60031,Lake County,Gurnee,17097,"34090 Almond Road, Gurnee, Illinois, 60031",861610,17097861610,2019,861610,Lake County,Illinois,272,48,80,97,47,2308,13,93,412,457,130,855,348,17.6,29.4,35.7,17.3,0.6,4,17.9,19.8,5.6,37,15.1,1187,127462,148723,3243,318,9.8,2925,90.2,2267,69.9,192,5.9,0,0,348,10.7,0,0,0,0,118,3.6
Perspectives Chtr -  IIT Campus,City of Chicago SD 299,428,410.4,106,106,Illinois,41.8608315,-87.6274658,1530 South State Street,60605,Cook County,Chicago,17031,"1530 South State Street, Chicago, Illinois, 60605",330200,17031330200,2019,330200,Cook County,Illinois,89,50,27,0,12,2808,109,7,328,264,32,912,1156,56.2,30.3,0,13.5,3.9,0.2,11.7,9.4,1.1,32.5,41.2,1815,118516,157455,3904,209,5.4,3695,94.6,1949,49.9,787,20.2,0,0,795,20.4,0,0,0,0,164,4.2
East Dubuque High School,East Dubuque USD 119,496,501.6,50,50,Illinois,42.4970641,-90.6259636,200 Parklane Drive,61025,Jo Daviess County,East Dubuque,17085,"200 Parklane Drive, East Dubuque, Illinois, 61025",20200,17085020200,2019,20200,Jo Daviess County,Illinois,429,48,221,143,17,3427,117,123,1501,620,478,385,203,11.2,51.5,33.3,4,3.4,3.6,43.8,18.1,13.9,11.2,5.9,2142,56774,71664,4754,76,1.6,4678,98.4,4570,96.1,22,0.5,2,0,25,0.5,0,0,7,0.1,52,1.1
Elmwood High School,Elmwood CUSD 322,534.6,532.7,48,48,Illinois,40.781161,-89.969831,301 West Butternut Street,61529,Peoria County,Elmwood,17143,"301 West Butternut Street, Elmwood, Illinois, 61529",4000,17143004000,2019,4000,Peoria County,Illinois,211,8,93,103,7,3088,18,170,1113,608,259,645,275,3.8,44.1,48.8,3.3,0.6,5.5,36,19.7,8.4,20.9,8.9,1693,72695,91686,4572,34,0.7,4538,99.3,4463,97.6,0,0,0,0,52,1.1,0,0,0,0,23,0.5
