RCDTS,Type,School Name,District,City,County,District Type,School Type,Grades Served,Summative Designation,Summative Designation: Student Group(s),Title 1 Status,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - EL,% Student Enrollment - IEP,% Student Enrollment - Low Income,% Student Enrollment - Homeless,Total Number of School Days,Student Attendance Rate,Student Chronic Truancy Rate,High School Dropout Rate - Total,Avg Class Size - High School,Teacher Retention Rate,Chronic Absenteeism,Avg Number of Days of Physical Education per Week Per Student,Percent Teachers With Bachelor Degree,Percent Teachers With Masters Degree,Teacher Attendance Rate,Teacher Avg Salary,Admin Avg Salary,% Students with an IEP - White,% Students with an IEP - Black or African American,% Students with an IEP - Hispanic or Latino,% Students with an IEP - Asian,$ Total Per-Pupil Expenditures - Subtotal,$ Site-level Per-Pupil Expenditures - Subtotal,SAT Reading Average,SAT Math Average,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,Year
010010010260001,School,Seymour High School,Payson CUSD 1,Payson,Adams,UNIT,HIGH SCHOOL, 7 8 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",239.0,95.4,0.2,0.4,0.8,0.0,0.0,3.3,16.7,1.7,16.7,46.4,0.0,167.0,95.1,7.2,0.6,14.4,86.8,12.3,5.0,63.9,36.1,61.4,36726.0,75165.0,97.0,0.0,0.0,0.0,8612.0,5681.0,470.9,454.1,41.2,44.1,14.7,0.0,2019
010010020260001,School,Liberty High School,Liberty CUSD 2,Liberty,Adams,UNIT,HIGH SCHOOL, 7 8 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",288.0,97.6,0.3,0.0,0.0,0.0,0.0,2.1,25.3,0.0,16.3,20.5,0.0,170.0,95.8,2.2,3.0,16.9,83.9,8.6,3.0,45.6,54.4,70.7,41703.0,86938.0,93.1,3.0,0.0,0.0,9664.0,6905.0,497.6,505.1,26.5,30.6,38.8,4.1,2019
010010030260001,School,Central High School,Central CUSD 3,Camp Point,Adams,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",237.0,98.3,0.5,0.0,0.0,0.0,0.2,1.7,21.1,0.1,16.5,42.2,1.3,169.0,94.9,6.1,3.7,13.6,83.3,17.8,5.0,41.7,58.3,74.6,47215.0,79802.0,95.6,1.3,0.0,0.0,11326.3627,7181.0928,477.7,484.2,28.3,50.0,20.0,1.7,2019
010010040260001,School,Unity High School,CUSD 4,Mendon,Adams,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",200.0,98.5,0.6,1.0,0.1,0.0,0.0,0.5,21.5,0.5,21.0,34.0,2.0,169.0,93.7,0.0,1.5,13.4,86.4,24.5,5.0,67.0,33.0,77.3,40923.0,86309.0,96.4,0.0,2.2,0.0,10162.47,4808.65,470.2,453.3,53.1,30.6,12.2,4.1,2019
010011720220003,School,Quincy Sr High School,Quincy SD 172,Quincy,Adams,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,Schoolwide Title I Program,1742.0,81.7,6.7,3.5,1.0,0.1,0.2,6.8,19.9,0.2,16.4,48.7,1.2,173.0,89.9,24.8,2.4,22.6,86.4,34.0,4.5,56.8,43.2,82.0,45748.0,75921.0,75.6,11.7,3.8,0.3,9719.59,5435.24,477.4,464.2,42.5,34.3,20.4,2.7,2019
010050010260001,School,Brown County High School,Brown County CUSD 1,Mount Sterling,Brown,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",201.0,96.0,0.5,1.5,0.0,0.0,0.5,1.5,14.9,0.0,13.4,38.8,0.4,171.0,95.2,4.1,2.4,15.4,60.5,11.2,5.0,64.7,35.3,80.3,45134.0,88297.0,94.9,0.8,2.5,0.0,4172.39,2573.97,480.8,478.9,27.0,45.9,27.0,0.0,2019
010090150260007,School,Beardstown Jr/Sr High School,Beardstown CUSD 15,Beardstown,Cass,UNIT,HIGH SCHOOL, 5 6 7 8 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",896.0,36.9,10.0,51.7,0.8,0.0,0.4,0.1,17.0,31.9,15.2,78.2,1.3,172.0,93.7,10.7,8.1,24.1,80.3,21.4,4.5,62.0,38.0,65.8,44694.0,83543.0,41.4,11.2,45.0,0.0,6817.82,6743.96,447.7,426.6,59.8,31.3,8.9,0.0,2019
010090640260003,School,Virginia Jr/ Sr High School,Virginia CUSD 64,Virginia,Cass,UNIT,HIGH SCHOOL, 6 7 8 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",145.0,92.4,1.3,4.8,0.0,0.0,0.3,2.8,17.9,1.4,17.9,50.3,1.4,172.0,95.5,11.5,3.8,12.3,85.3,14.7,5.0,59.4,40.6,87.1,46060.0,104428.0,89.9,2.9,5.8,0.0,11074.0,5489.0,454.6,406.2,69.2,30.8,0.0,0.0,2019
010092620260002,School,A-C Central High School,A-C Central CUSD 262,Ashland,Cass,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",129.0,98.4,2.1,1.6,0.0,0.0,0.0,0.5,13.2,0.2,13.2,41.1,0.8,172.0,93.8,3.9,3.6,13.3,65.4,19.7,2.5,87.1,12.9,82.3,37140.0,87321.0,85.9,8.5,2.8,0.0,9986.82,4005.85,485.8,454.5,45.2,32.3,22.6,0.0,2019
010690010260001,School,Franklin Jr/Sr High School,Franklin CUSD 1,Franklin,Morgan,UNIT,HIGH SCHOOL, 3 4 5 6 7 8 9 10 11 12,Commendable,All Students,Targeted Assistance Title I Program,217.0,94.9,0.5,0.7,0.0,0.0,1.8,2.8,17.1,0.0,17.1,33.2,1.4,172.0,94.4,2.3,4.8,10.5,87.5,15.9,3.0,66.1,33.9,77.0,42118.0,88480.0,95.5,2.3,2.3,0.0,12314.12,8417.32,487.6,476.2,42.9,42.9,14.3,0.0,2019
