School Name,District Name,Reading/Writing Score,Math Score,Tests Taken,# Students SAT ELA Participation
Alcott Humanities High School,City of Chicago SD 299,470.8,461.3,75.0,75.0
North Boone High School,North Boone CUSD 200,477.9,468.5,123.0,123.0
Armstrong High School,Armstrong Twp HSD 225,467.9,440.6,33.0,33.0
Dwight High School,Dwight Twp HSD 230,503.5,508.7,55.0,55.0
Benton Cons High School,Benton Cons HSD 103,475.0,476.7,139.0,139.0
Mahomet-Seymour High School,Mahomet-Seymour CUSD 3,548.1,578.5,211.0,211.0
Warren Township High School,Warren Twp HSD 121,521.6,519.1,975.0,975.0
Perspectives Chtr -  IIT Campus,City of Chicago SD 299,428.0,410.4,106.0,106.0
East Dubuque High School,East Dubuque USD 119,496.0,501.6,50.0,50.0
Elmwood High School,Elmwood CUSD 322,534.6,532.7,48.0,48.0
Hoffman Estates High School,Township HSD 211,505.7,527.5,460.0,460.0
Disney II Magnet HS,City of Chicago SD 299,524.4,481.1,120.0,120.0
East High School,Aurora East USD 131,445.5,439.5,871.0,871.0
Pleasant Hill High School,Pleasant Hill CUSD 3,490.0,454.7,17.0,17.0
Manual High School,Peoria SD 150,390.8,378.5,144.0,144.0
Dunlap High School,Dunlap CUSD 323,552.0,567.0,304.0,304.0
Harlan Community Academy HS,City of Chicago SD 299,400.3,380.0,101.0,101.0
Casey-Westfield Jr/Sr HS,Casey-Westfield CUSD 4C,478.9,478.4,62.0,62.0
Noble St Chtr-Hansberry College Prep - Silver,City of Chicago SD 299,466.8,459.7,115.0,115.0
Tuscola High School,Tuscola CUSD 301,492.6,484.6,69.0,69.0
Tri-Point High School,Tri Point CUSD 6-J,477.7,451.2,26.0,26.0
Lexington High School,Lexington CUSD 7,512.1,500.7,29.0,29.0
Franklin Jr/Sr High School,Franklin CUSD 1,487.6,476.2,21.0,21.0
West Prairie High School,West Prairie CUSD 103,487.6,449.2,37.0,37.0
Comm H S Dist 99 - South High Sch,CHSD 99,515.1,535.9,652.0,652.0
Fairfield Comm High School,Fairfield Comm H S Dist 225,471.6,437.9,92.0,92.0
Dee-Mack High School,Deer Creek-Mackinaw CUSD 701,526.7,521.2,73.0,73.0
Anna-Jonesboro High School,Anna Jonesboro CHSD 81,482.8,473.1,111.0,111.0
Uplift Community High School,City of Chicago SD 299,392.2,369.4,32.0,32.0
Wm Fremd High School,Township HSD 211,568.6,601.5,661.0,661.0
V I T Sr High School,V I T CUSD 2,466.9,444.6,26.0,26.0
Lockport Township High Sch East,Lockport Twp HSD 205,514.5,519.4,940.0,940.0
Staunton High School,Staunton CUSD 6,479.3,489.7,86.0,86.0
Taylorville Sr High School,Taylorville CUSD 3,475.0,475.4,192.0,192.0
Polo Comm High School,Polo CUSD 222,505.0,497.1,38.0,38.0
Illini West High School,Illini West H S Dist 307,475.4,445.7,74.0,74.0
Glenwood High School,Ball Chatham CUSD 5,531.2,534.8,312.0,312.0
Carlyle High School,Carlyle CUSD 1,485.7,479.7,65.0,65.0
West Leyden High School,Leyden CHSD 212,471.8,462.1,397.0,397.0
Hinsdale South High School,Hinsdale Twp HSD 86,522.0,530.0,326.0,326.0
Astoria High School,Astoria CUSD 1,464.4,414.4,27.0,27.0
Joliet Central High School,Joliet Twp HSD 204,446.4,439.5,773.0,773.0
Bartlett High School,SD U-46,496.0,494.8,535.0,535.0
Sangamon Valley High School,Sangamon Valley CUSD 9,492.8,489.7,64.0,64.0
Iroquois West High School,Iroquois West CUSD 10,470.0,461.4,84.0,84.0
Beecher City Jr-Sr High School,Beecher City CUSD 20,471.1,498.9,19.0,19.0
Kansas High School,Kansas CUSD 3,469.2,438.3,12.0,12.0
Centennial High School,Champaign CUSD 4,490.5,492.4,339.0,339.0
Pleasant Plains High School,Pleasant Plains CUSD 8,539.8,530.3,90.0,90.0
Milford High School Campus,Milford Area Public Schools District 124,506.5,485.9,49.0,49.0
Plainfield East High School,Plainfield SD 202,514.6,526.3,551.0,551.0
Grant Park High School,Grant Park CUSD 6,469.8,455.1,47.0,47.0
Brooks College Prep Academy HS,City of Chicago SD 299,565.8,559.6,209.0,209.0
Riverdale Sr High School,Riverdale CUSD 100,494.3,495.3,83.0,83.0
El Paso-Gridley High School,El Paso-Gridley CUSD 11,530.3,488.4,92.0,92.0
Raby High School,City of Chicago SD 299,391.1,385.3,62.0,62.0
Ridgeview High School,Ridgeview CUSD 19,494.3,494.0,35.0,35.0
Meridian High School,Meridian CUSD 15,474.5,467.2,53.0,53.0
R O W V A Jr and  Sr High School,R O W V A CUSD 208,477.3,443.8,37.0,37.0
Lincoln-Way Central High School,Lincoln Way CHSD 210,548.5,555.5,480.0,480.0
Richmond-Burton High School,Richmond-Burton CHSD 157,526.6,533.6,168.0,168.0
John Hersey High School,Township HSD 214,572.5,584.3,486.0,486.0
Massac County High School,Massac UD 1,484.0,473.6,141.0,141.0
Mundelein Cons High School,Mundelein Cons HSD 120,508.3,502.7,502.0,502.0
Lincoln-Way East High School,Lincoln Way CHSD 210,551.7,558.5,692.0,692.0
Auburn High School,Rockford SD 205,481.0,467.7,391.0,391.0
Round Lake Senior High School,Round Lake CUSD 116,449.2,438.9,505.0,505.0
Metamora High School,County of Woodford School,525.4,539.9,236.0,236.0
J Sterling Morton West High Sch,J S Morton HSD 201,458.3,430.1,814.0,814.0
Hillsboro High School,Hillsboro CUSD 3,485.8,453.4,130.0,130.0
Hirsch Metropolitan High School,City of Chicago SD 299,392.8,374.1,46.0,46.0
Senn High School,City of Chicago SD 299,489.3,487.9,336.0,336.0
Stark County High School,Stark County CUSD 100,455.0,447.6,46.0,46.0
Amos Alonzo Stagg High School,Cons HSD 230,507.5,512.5,566.0,566.0
Winchester High School,Winchester CUSD 1,466.3,444.8,40.0,40.0
Evergreen Park High School,Evergreen Park CHSD 231,501.3,503.7,199.0,199.0
Herrin High School,Herrin CUSD 4,477.9,471.9,172.0,172.0
Wheaton North High School,CUSD 200,545.4,548.3,501.0,501.0
School of Social Justice HS,City of Chicago SD 299,425.6,434.1,61.0,61.0
Oakwood High School,Oakwood CUSD 76,474.7,463.5,78.0,78.0
Western High School,Western CUSD 12,493.5,494.7,34.0,34.0
Normal Community West High School,McLean County USD 5,506.7,496.1,371.0,371.0
Collinsville High School,Collinsville CUSD 10,476.2,466.6,442.0,442.0
Madison Senior High School,Madison CUSD 12,396.5,379.8,48.0,48.0
Abingdon-Avon High Sch,Abingdon-Avon CUSD 276,473.4,431.9,67.0,67.0
Rockridge High School,Rockridge CUSD 300,502.1,491.4,92.0,92.0
Galatia High School,Galatia CUSD 1,448.7,430.7,30.0,30.0
Woodlawn High School,Woodlawn Unit School District 209,498.9,489.4,36.0,36.0
Lowpoint-Washburn Jr Sr High Sch,Lowpoint-Washburn CUSD 21,479.4,458.8,33.0,33.0
South Fork Jr Sr High School,South Fork SD 14,454.7,388.9,19.0,19.0
Peotone High School,Peotone CUSD 207U,504.0,476.8,132.0,132.0
Fenger Academy High School,City of Chicago SD 299,392.2,372.1,76.0,76.0
Cambridge Jr/Sr High School,Cambridge CUSD 227,487.7,456.7,30.0,30.0
