Unnamed: 0,RCDTS,Type,School Name,District,City,County,District Type,District Size,School Type,SAT Reading Average Score,SAT Math Average Score,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
1,1.00E+13,School,Seymour High School,Payson CUSD 1,Payson,Adams,UNIT,MEDIUM,HIGH SCHOOL,462.2,476.1,39,41.5,19.5,0,Illinois,40.6331249,-89.3985283,,N/A,Tazewell County,N/A,17179,,21701,17179021701,2020,21701,Tazewell County,Illinois,362,51,85,148,78,3930,28,89,1073,925,443,980,392,14.1,23.5,40.9,21.5,0.7,2.3,27.3,23.5,11.3,24.9,10,2346,80878,94334,5910,108,1.8,5802,98.2,5716,96.7,2,0,17,0.3,0,0,0,0,0,0,67,1.1,476.1,462.2
4,1.00E+13,School,Liberty High School,Liberty CUSD 2,Liberty,Adams,UNIT,MEDIUM,HIGH SCHOOL,472.4,493.3,33.3,28.9,37.8,0,Illinois,39.8861857,-91.1070694,505 North Park Street,62347,Adams County,Liberty,17001,"505 North Park Street, Liberty, Illinois, 62347",10301,17001010301,2020,10301,Adams County,Illinois,49,0,11,13,25,1882,46,108,680,408,246,296,98,0,22.4,26.5,51,2.4,5.7,36.1,21.7,13.1,15.7,5.2,969,82670,84351,2736,0,0,2736,100,2685,98.1,5,0.2,45,1.6,0,0,0,0,0,0,1,0,493.3,472.4
7,1.00E+13,School,Central High School,Central CUSD 3,Camp Point,Adams,UNIT,MEDIUM,HIGH SCHOOL,480,469.8,38.8,36.7,24.5,0,Illinois,42.0179604,-88.4852132,44w625 Plato Road,60109,Kane County,Burlington,17089,"44w625 Plato Road, Burlington, Illinois, 60109",850703,17089850703,2020,850703,Kane County,Illinois,265,27,95,97,46,1537,35,133,416,418,129,277,129,10.2,35.8,36.6,17.4,2.3,8.7,27.1,27.2,8.4,18,8.4,758,105909,142087,2165,115,5.3,2050,94.7,2017,93.2,4,0.2,0,0,24,1.1,0,0,0,0,5,0.2,469.8,480
12,1.00E+13,School,Unity High School,CUSD 4,Mendon,Adams,UNIT,MEDIUM,HIGH SCHOOL,463.8,435.9,64.1,25.6,5.1,5.1,Illinois,39.9940386,-88.2490526,1127 County Road 800,61880,Champaign County,Tolono,17019,"1127 County Road 800, Tolono, Illinois, 61880",10901,17019010901,2020,10901,Champaign County,Illinois,1005,78,337,533,57,3697,14,70,1267,829,247,798,472,7.8,33.5,53,5.7,0.4,1.9,34.3,22.4,6.7,21.6,12.8,2136,76250,91153,5918,102,1.7,5816,98.3,5320,89.9,237,4,5,0.1,152,2.6,9,0.2,0,0,93,1.6,435.9,463.8
16,1.00E+13,School,Quincy Sr High School,Quincy SD 172,Quincy,Adams,UNIT,LARGE,HIGH SCHOOL,480.1,461.9,49.6,29.4,18.4,2.6,Illinois,39.9305553,-91.3624173,3322 Maine Street,62301,Adams County,Quincy,17001,"3322 Maine Street, Quincy, Illinois, 62301",1100,17001001100,2020,1100,Adams County,Illinois,697,122,407,85,83,5886,135,234,1521,1308,449,1493,746,17.5,58.4,12.2,11.9,2.3,4,25.8,22.2,7.6,25.4,12.7,3514,59604,89014,8000,174,2.2,7826,97.8,6929,86.6,605,7.6,28,0.4,101,1.3,0,0,0,0,163,2,461.9,480.1
25,1.01E+13,School,Brown County High School,Brown County CUSD 1,Mount Sterling,Brown,UNIT,MEDIUM,HIGH SCHOOL,507.5,490.2,36.5,30.8,30.8,1.9,Illinois,39.9831244,-90.7522741,500 East Main Street,62353,Brown County,Mount Sterling,17009,"500 East Main Street, Mount Sterling, Illinois, 62353",970500,17009970500,2020,970500,Brown County,Illinois,446,128,160,140,18,3022,154,532,1089,656,219,263,109,28.7,35.9,31.4,4,5.1,17.6,36,21.7,7.2,8.7,3.6,1004,48125,57805,4131,382,9.2,3749,90.8,2547,61.7,1184,28.7,7,0.2,0,0,0,0,0,0,11,0.3,490.2,507.5
29,1.01E+13,School,Beardstown Jr/Sr High School,Beardstown CUSD 15,Beardstown,Cass,UNIT,MEDIUM,HIGH SCHOOL,441.1,427.4,67.6,25.7,6.7,0,Illinois,40.0074999,-90.4223555,500 East 15th Street,62618,Cass County,Beardstown,17017,"500 East 15th Street, Beardstown, Illinois, 62618",960300,17017960300,2020,960300,Cass County,Illinois,155,62,80,13,0,1853,57,194,804,326,156,242,74,40,51.6,8.4,0,3.1,10.5,43.4,17.6,8.4,13.1,4,1018,66090,72622,2476,347,14,2129,86,2101,84.9,22,0.9,0,0,5,0.2,0,0,0,0,1,0,427.4,441.1
33,1.01E+13,School,Virginia Jr/ Sr High School,Virginia CUSD 64,Virginia,Cass,UNIT,SMALL,HIGH SCHOOL,468.9,483.3,33.3,50,16.7,0,Illinois,40.6331249,-89.3985283,,N/A,Tazewell County,N/A,17179,,21701,17179021701,2020,21701,Tazewell County,Illinois,362,51,85,148,78,3930,28,89,1073,925,443,980,392,14.1,23.5,40.9,21.5,0.7,2.3,27.3,23.5,11.3,24.9,10,2346,80878,94334,5910,108,1.8,5802,98.2,5716,96.7,2,0,17,0.3,0,0,0,0,0,0,67,1.1,483.3,468.9
36,1.01E+13,School,A-C Central High School,A-C Central CUSD 262,Ashland,Cass,UNIT,SMALL,HIGH SCHOOL,457.3,424,70,20,10,0,Illinois,39.8926467,-90.0127216,601 West Buchanan Street,62612,Cass County,Ashland,17017,"601 West Buchanan Street, Ashland, Illinois, 62612",960100,17017960100,2020,960100,Cass County,Illinois,159,28,70,55,6,1471,67,98,595,341,128,155,87,17.6,44,34.6,3.8,4.6,6.7,40.4,23.2,8.7,10.5,5.9,951,56780,69484,2166,21,1,2145,99,2071,95.6,16,0.7,23,1.1,0,0,0,0,0,0,35,1.6,424,457.3
40,1.07E+13,School,Franklin Jr/Sr High School,Franklin CUSD 1,Franklin,Morgan,UNIT,SMALL,HIGH SCHOOL,462.4,440.3,65.5,20.7,13.8,0,Illinois,39.623455,-90.0469665,110 State Street,62638,Morgan County,Franklin,17137,"110 State Street, Franklin, Illinois, 62638",952300,17137952300,2020,952300,Morgan County,Illinois,234,25,123,65,21,2212,49,109,965,451,188,292,158,10.7,52.6,27.8,9,2.2,4.9,43.6,20.4,8.5,13.2,7.1,1267,63277,88239,3275,6,0.2,3269,99.8,3180,97.1,17,0.5,0,0,35,1.1,0,0,2,0.1,35,1.1,440.3,462.4
