RCDTS,Type,School Name,District,City,County,District Type,School Type,Title 1 Status,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,Total Number of School Days,Student Attendance Rate,Student Chronic Truancy Rate,High School Dropout Rate - Total,Avg Class Size - High School,Avg Number of Days of Physical Education per Week Per Student,Percent Teachers With Bachelor Degree,Percent Teachers With Masters Degree,Teacher Retention Rate,Teacher Attendance Rate,Teacher Avg Salary,Admin Avg Salary,Chronic Absenteeism,% Students with an IEP - White,% Students with an IEP - Black or African American,% Students with an IEP - Hispanic or Latino,% Students with an IEP - Asian,Grades Served,Summative Designation,Summative Designation: Student Group(s),$ Site-level Per-Pupil Expenditures - Subtotal,$ Total Per-Pupil Expenditures - Subtotal,SAT Reading Average,SAT Math Average,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,Year
010010010260001,School,Seymour High School,Payson CUSD 1,Payson,Adams,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",241,96.3,0.0,0.0,0.0,0.0,0.0,3.6,19.5,14.9,0.0,36.9,0.0,176.0,91.3,22.9,4.6,15.0,2.5,66.7,33.3,84.3,53.9,38701.0,74683.0,27.5,98.9,0.0,0.0,0.0, 7 8 9 10 11 12,Not Calculated,Not Calculated,5959.22,9059.57,462.2,476.1,39.0,41.5,19.5,0.0,2020
010010020260001,School,Liberty High School,Liberty CUSD 2,Liberty,Adams,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",270,95.2,0.0,0.0,0.0,0.0,0.0,3.7,29.3,23.0,0.0,22.2,0.0,177.0,95.2,7.1,2.2,15.8,3.0,46.6,53.4,91.3,72.1,44065.0,94650.0,11.0,94.7,0.0,0.8,0.0, 7 8 9 10 11 12,Not Calculated,Not Calculated,5973.0,9015.0,472.4,493.3,33.3,28.9,37.8,0.0,2020
010010030260001,School,Central High School,Central CUSD 3,Camp Point,Adams,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",257,96.9,0.0,0.0,0.0,0.0,0.0,1.7,18.3,13.6,0.0,39.3,0.0,176.0,93.5,9.2,2.7,14.9,5.0,56.0,44.0,83.3,59.9,48119.0,76596.0,18.8,91.0,3.2,0.0,0.0, 9 10 11 12,Not Calculated,Not Calculated,7718.0,12309.0,480.0,469.8,38.8,36.7,24.5,0.0,2020
010010040260001,School,Unity High School,CUSD 4,Mendon,Adams,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",176,96.6,0.0,2.4,0.0,0.0,0.0,0.0,25.0,22.7,1.5,34.7,0.0,176.0,94.0,13.7,3.4,12.2,2.5,66.8,33.2,85.7,91.7,40241.0,75531.0,18.6,96.0,0.8,1.6,0.0, 9 10 11 12,Not Calculated,Not Calculated,4182.01,10359.47,463.8,435.9,64.1,25.6,5.1,5.1,2020
010011720220003,School,Quincy Sr High School,Quincy SD 172,Quincy,Adams,UNIT,HIGH SCHOOL,Schoolwide Title I Program,1852,79.9,6.9,3.3,1.1,0.2,0.2,8.4,19.2,15.6,0.3,46.1,0.9,177.0,87.8,36.6,5.5,18.0,3.8,57.8,42.2,85.5,82.4,46118.0,79319.0,34.5,75.0,11.1,3.4,0.1, 9 10 11 12,Not Calculated,Not Calculated,5973.84,9363.95,480.1,461.9,49.6,29.4,18.4,2.6,2020
010050010260001,School,Brown County High School,Brown County CUSD 1,Mount Sterling,Brown,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",216,96.8,0.0,1.8,0.0,0.0,0.0,0.0,15.3,11.6,0.0,35.6,1.4,177.0,96.2,4.5,5.1,14.4,5.0,69.5,30.5,80.4,74.7,46841.0,85462.0,7.1,95.9,1.6,1.6,0.0, 9 10 11 12,Not Calculated,Not Calculated,9524.82,12423.9,507.5,490.2,36.5,30.8,30.8,1.9,2020
010090150260007,School,Beardstown Jr/Sr High School,Beardstown CUSD 15,Beardstown,Cass,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",837,32.1,10.8,54.1,1.2,0.0,0.0,5.0,18.0,16.6,37.2,70.3,1.9,176.0,92.0,36.7,5.7,22.1,4.6,66.7,33.3,89.2,86.8,45996.0,84058.0,25.7,34.5,9.6,49.8,0.0, 5 6 7 8 9 10 11 12,Not Calculated,Not Calculated,6448.1,10862.11,441.1,427.4,67.6,25.7,6.7,0.0,2020
010090640260003,School,Virginia Jr/ Sr High School,Virginia CUSD 64,Virginia,Cass,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",142,90.8,0.0,0.0,0.0,0.0,0.0,4.6,22.5,13.4,0.0,50.0,0.0,176.0,92.3,22.7,10.5,9.4,5.0,55.0,43.9,85.4,89.0,45189.0,103722.0,21.7,90.7,3.7,3.7,0.0, 6 7 8 9 10 11 12,Not Calculated,Not Calculated,4348.79,9881.59,468.9,483.3,33.3,50.0,16.7,0.0,2020
010092620260002,School,A-C Central High School,A-C Central CUSD 262,Ashland,Cass,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",123,98.4,0.0,2.9,0.0,0.0,0.0,0.0,8.9,8.9,0.0,46.3,4.7,176.0,93.2,9.3,2.3,,2.5,87.6,12.4,68.2,92.7,40574.0,86146.0,21.4,94.6,1.8,0.0,0.0, 9 10 11 12,Not Calculated,Not Calculated,1143.07,8775.25,457.3,424.0,70.0,20.0,10.0,0.0,2020
010690010260001,School,Franklin Jr/Sr High School,Franklin CUSD 1,Franklin,Morgan,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",169,95.9,0.0,0.0,0.0,0.0,0.0,0.0,16.0,14.2,0.0,27.2,0.0,176.0,90.7,24.9,1.1,13.6,4.0,77.0,23.0,75.0,73.1,46126.0,115277.0,33.9,97.7,0.0,2.3,0.0, 6 7 8 9 10 11 12,Not Calculated,Not Calculated,11228.61,15255.72,462.4,440.3,65.5,20.7,13.8,0.0,2020
010690060260001,School,Waverly Junior/Senior High Sch,Waverly CUSD 6,Waverly,Morgan,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",145,94.5,0.0,0.0,0.0,0.0,0.0,0.0,13.8,13.8,0.0,44.1,4.3,178.0,91.8,19.1,1.9,9.7,5.0,77.1,22.9,77.3,63.0,46623.0,76978.0,27.7,81.5,4.6,0.0,10.8, 7 8 9 10 11 12,Not Calculated,Not Calculated,6124.23,16754.37,483.1,483.4,37.5,40.6,15.6,6.3,2020
010690270260001,School,Triopia Jr-Sr High School,Triopia CUSD 27,Concord,Morgan,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",190,93.2,0.0,2.9,0.0,0.0,0.0,2.9,14.2,14.2,0.0,32.1,0.0,176.0,95.2,11.5,1.8,14.3,2.5,75.7,24.3,88.9,84.5,41194.0,86025.0,13.0,84.3,0.0,9.8,0.0, 7 8 9 10 11 12,Not Calculated,Not Calculated,5997.8,9277.41,496.5,483.5,30.4,34.8,34.8,0.0,2020
010691170220014,School,Jacksonville High School,Jacksonville SD 117,Jacksonville,Morgan,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",916,77.6,8.8,3.4,1.3,0.0,0.4,8.8,21.7,18.7,1.6,47.4,0.9,176.0,98.6,4.2,8.2,14.5,5.0,61.8,36.6,83.8,70.2,51171.0,94774.0,4.2,72.4,12.2,3.9,0.8, 9 10 11 12,Not Calculated,Not Calculated,8949.25,13410.96,474.6,461.2,48.9,28.4,22.1,0.5,2020
010750030260002,School,Pleasant Hill High School,Pleasant Hill CUSD 3,Pleasant Hill,Pike,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",93,98.9,0.0,0.0,0.0,0.0,0.0,0.0,26.9,26.9,0.0,59.1,0.0,176.0,86.5,37.6,5.5,13.4,3.0,53.1,46.9,95.0,55.7,44888.0,80289.0,44.7,98.5,1.5,0.0,0.0, 9 10 11 12,,,9969.91,13363.76,410.0,392.5,87.5,12.5,0.0,0.0,2020
010750040260002,School,Griggsville-Perry High School,Griggsville-Perry CUSD 4,Griggsville,Pike,UNIT,HIGH SCHOOL,Schoolwide Title I Program,95,100.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,16.8,0.0,16.5,0.0,176.0,91.7,26.3,7.5,14.0,2.5,71.4,28.6,83.3,69.2,42912.0,74813.0,24.0,100.0,0.0,0.0,0.0, 9 10 11 12,Not Calculated,Not Calculated,12022.15,18171.03,437.0,422.5,70.0,25.0,5.0,0.0,2020
010750100260009,School,Pittsfield High School,Pikeland CUSD 10,Pittsfield,Pike,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",323,97.8,0.0,1.8,0.0,0.0,0.0,0.0,18.0,13.6,0.0,38.1,0.0,176.0,94.6,4.9,5.8,15.8,2.5,63.8,35.0,92.7,78.8,43847.0,86681.0,15.2,98.6,0.0,0.5,0.0, 9 10 11 12,Not Calculated,Not Calculated,7032.71,10124.69,479.1,455.1,48.7,38.2,13.2,0.0,2020
010750120260001,School,Western High School,Western CUSD 12,Barry,Pike,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",124,96.8,0.0,3.5,0.0,0.0,0.0,0.0,10.5,10.5,0.0,50.8,8.9,176.0,94.4,17.3,6.5,12.2,5.0,63.7,36.3,96.3,77.0,43846.0,94388.0,19.8,93.3,0.0,3.8,0.0, 9 10 11 12,Not Calculated,Not Calculated,7798.98,11611.28,434.5,457.0,50.0,25.0,25.0,0.0,2020
010860010260001,School,Winchester High School,Winchester CUSD 1,Winchester,Scott,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",165,97.6,0.0,0.0,0.0,0.0,0.0,0.0,23.0,18.8,0.0,46.1,0.0,176.0,88.7,31.7,2.8,11.7,5.0,67.9,28.3,93.1,83.0,43814.0,84539.0,35.7,96.2,0.9,1.9,0.0, 9 10 11 12,Not Calculated,Not Calculated,6398.95,12864.24,457.3,454.4,42.3,50.0,7.7,0.0,2020
010860020260001,School,Bluffs High School,Scott-Morgan CUSD 2,Bluffs,Scott,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",73,91.8,0.0,0.0,0.0,0.0,0.0,0.0,16.7,16.7,0.0,54.8,0.0,176.0,90.2,17.7,0.0,13.8,5.0,57.0,37.9,80.0,90.0,43902.0,90128.0,35.4,95.3,0.0,2.3,0.0, 9 10 11 12,,,4132.58,12605.4,412.8,425.6,72.2,22.2,5.6,0.0,2020
030030010260001,School,Mulberry Grove Sr High School,Mulberry Grove CUSD 1,Mulberry Grove,Bond,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",111,90.1,0.0,0.0,0.0,0.0,0.0,4.0,16.2,16.2,0.0,55.0,4.3,176.0,92.5,21.6,2.6,12.3,4.0,66.1,33.9,88.9,90.9,47148.0,80766.0,23.5,90.2,3.3,0.0,0.0, 9 10 11 12,Not Calculated,Not Calculated,4851.41,11125.2,430.7,453.7,44.4,51.9,3.7,0.0,2020
030030020260001,School,Bond Cty Comm Unit 2 High Scho,Bond County CUSD 2,Greenville,Bond,UNIT,HIGH SCHOOL,Targeted Assistance Title I Pr,547,90.7,2.4,2.7,0.7,0.0,0.0,4.8,20.3,18.5,0.0,43.3,0.8,176.0,94.2,17.9,2.7,16.4,5.0,38.7,60.5,90.9,78.3,61460.0,93038.0,19.2,84.7,4.6,2.6,0.3, 9 10 11 12,Not Calculated,Not Calculated,8268.99,10081.65,494.7,492.1,36.4,31.8,27.9,3.9,2020
030110010260002,School,Morrisonville High School,Morrisonville CUSD 1,Morrisonville,Christian,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",89,93.3,0.0,0.0,0.0,0.0,0.0,0.0,13.5,13.5,0.0,43.8,0.0,177.0,93.8,12.4,1.1,10.9,4.4,79.7,16.5,88.0,96.2,51889.0,109440.0,24.7,96.2,0.0,1.9,0.0, 9 10 11 12,,,9148.47,14484.43,480.0,463.6,50.0,28.6,21.4,0.0,2020
030110030260006,School,Taylorville Sr High School,Taylorville CUSD 3,Taylorville,Christian,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",761,93.2,1.1,1.7,0.9,0.0,0.0,3.2,13.8,13.5,0.0,41.0,2.2,176.0,92.6,18.0,1.7,20.7,3.6,73.0,26.3,89.1,95.1,53831.0,92650.0,21.3,91.0,1.9,0.9,0.5, 9 10 11 12,Not Calculated,Not Calculated,10344.31,12187.86,449.1,445.6,54.0,33.3,11.5,1.1,2020
030110040260002,School,Edinburg High School,Edinburg CUSD 4,Edinburg,Christian,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",76,97.4,0.0,0.0,0.0,0.0,0.0,0.0,13.2,13.2,0.0,42.1,0.0,176.0,95.9,4.7,4.0,10.9,5.0,78.8,21.2,91.3,92.1,45861.0,95930.0,10.6,95.7,0.0,0.0,0.0, 9 10 11 12,,,38750.0,51490.0,476.9,463.1,38.5,53.8,7.7,0.0,2020
030110080260006,School,Pana Sr High School,Pana CUSD 8,Pana,Christian,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",394,94.2,0.0,1.3,0.0,0.0,0.0,2.1,15.5,11.2,0.0,50.0,1.0,177.0,89.7,41.5,6.5,19.4,5.0,70.2,29.8,91.5,71.4,51218.0,87767.0,34.5,96.0,1.5,1.0,0.0, 9 10 11 12,Not Calculated,Not Calculated,9772.36,11889.85,481.9,468.4,38.5,44.0,17.6,0.0,2020
