,RCDTS,Type,School Name,District,City,County,District Type,District Size,School Type,SAT Reading Average Score,SAT Math Average Score,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %
1,010010010260001,School,Seymour High School,Payson CUSD 1,Payson,Adams,UNIT,MEDIUM,HIGH SCHOOL,462.2,476.1,39.0,41.5,19.5,0.0
4,010010020260001,School,Liberty High School,Liberty CUSD 2,Liberty,Adams,UNIT,MEDIUM,HIGH SCHOOL,472.4,493.3,33.3,28.9,37.8,0.0
7,010010030260001,School,Central High School,Central CUSD 3,Camp Point,Adams,UNIT,MEDIUM,HIGH SCHOOL,480.0,469.8,38.8,36.7,24.5,0.0
12,010010040260001,School,Unity High School,CUSD 4,Mendon,Adams,UNIT,MEDIUM,HIGH SCHOOL,463.8,435.9,64.1,25.6,5.1,5.1
16,010011720220003,School,Quincy Sr High School,Quincy SD 172,Quincy,Adams,UNIT,LARGE,HIGH SCHOOL,480.1,461.9,49.6,29.4,18.4,2.6
25,010050010260001,School,Brown County High School,Brown County CUSD 1,Mount Sterling,Brown,UNIT,MEDIUM,HIGH SCHOOL,507.5,490.2,36.5,30.8,30.8,1.9
29,010090150260007,School,Beardstown Jr/Sr High School,Beardstown CUSD 15,Beardstown,Cass,UNIT,MEDIUM,HIGH SCHOOL,441.1,427.4,67.6,25.7,6.7,0.0
33,010090640260003,School,Virginia Jr/ Sr High School,Virginia CUSD 64,Virginia,Cass,UNIT,SMALL,HIGH SCHOOL,468.9,483.3,33.3,50.0,16.7,0.0
36,010092620260002,School,A-C Central High School,A-C Central CUSD 262,Ashland,Cass,UNIT,SMALL,HIGH SCHOOL,457.3,424.0,70.0,20.0,10.0,0.0
40,010690010260001,School,Franklin Jr/Sr High School,Franklin CUSD 1,Franklin,Morgan,UNIT,SMALL,HIGH SCHOOL,462.4,440.3,65.5,20.7,13.8,0.0
44,010690060260001,School,Waverly Junior/Senior High Sch,Waverly CUSD 6,Waverly,Morgan,UNIT,SMALL,HIGH SCHOOL,483.1,483.4,37.5,40.6,15.6,6.3
47,010690110260001,School,Meredosia-Chambersburg High Sc,Meredosia-Chambersburg CUSD 11,Meredosia,Morgan,UNIT,SMALL,HIGH SCHOOL,,,,,,
51,010690270260001,School,Triopia Jr-Sr High School,Triopia CUSD 27,Concord,Morgan,UNIT,SMALL,HIGH SCHOOL,496.5,483.5,30.4,34.8,34.8,0.0
54,010691170220014,School,Jacksonville High School,Jacksonville SD 117,Jacksonville,Morgan,UNIT,LARGE,HIGH SCHOOL,474.6,461.2,48.9,28.4,22.1,0.5
64,010750030260002,School,Pleasant Hill High School,Pleasant Hill CUSD 3,Pleasant Hill,Pike,UNIT,SMALL,HIGH SCHOOL,410.0,392.5,87.5,12.5,0.0,0.0
67,010750040260002,School,Griggsville-Perry High School,Griggsville-Perry CUSD 4,Griggsville,Pike,UNIT,SMALL,HIGH SCHOOL,437.0,422.5,70.0,25.0,5.0,0.0
71,010750100260009,School,Pittsfield High School,Pikeland CUSD 10,Pittsfield,Pike,UNIT,MEDIUM,HIGH SCHOOL,479.1,455.1,48.7,38.2,13.2,0.0
75,010750120260001,School,Western High School,Western CUSD 12,Barry,Pike,UNIT,MEDIUM,HIGH SCHOOL,434.5,457.0,50.0,25.0,25.0,0.0
79,010860010260001,School,Winchester High School,Winchester CUSD 1,Winchester,Scott,UNIT,MEDIUM,HIGH SCHOOL,457.3,454.4,42.3,50.0,7.7,0.0
82,010860020260001,School,Bluffs High School,Scott-Morgan CUSD 2,Bluffs,Scott,UNIT,SMALL,HIGH SCHOOL,412.8,425.6,72.2,22.2,5.6,0.0
86,030030010260001,School,Mulberry Grove Sr High School,Mulberry Grove CUSD 1,Mulberry Grove,Bond,UNIT,SMALL,HIGH SCHOOL,430.7,453.7,44.4,51.9,3.7,0.0
90,030030020260001,School,Bond Cty Comm Unit 2 High Scho,Bond County CUSD 2,Greenville,Bond,UNIT,LARGE,HIGH SCHOOL,494.7,492.1,36.4,31.8,27.9,3.9
97,030110010260002,School,Morrisonville High School,Morrisonville CUSD 1,Morrisonville,Christian,UNIT,SMALL,HIGH SCHOOL,480.0,463.6,50.0,28.6,21.4,0.0
101,030110030260006,School,Taylorville Sr High School,Taylorville CUSD 3,Taylorville,Christian,UNIT,LARGE,HIGH SCHOOL,449.1,445.6,54.0,33.3,11.5,1.1
106,030110040260002,School,Edinburg High School,Edinburg CUSD 4,Edinburg,Christian,UNIT,SMALL,HIGH SCHOOL,476.9,463.1,38.5,53.8,7.7,0.0
110,030110080260006,School,Pana Sr High School,Pana CUSD 8,Pana,Christian,UNIT,MEDIUM,HIGH SCHOOL,481.9,468.4,38.5,44.0,17.6,0.0
115,030110140240001,School,South Fork Jr Sr High School,South Fork SD 14,Kincaid,Christian,UNIT,SMALL,HIGH SCHOOL,463.8,394.6,72.0,20.0,8.0,0.0
118,030250100260001,School,Altamont High School,Altamont CUSD 10,Altamont,Effingham,UNIT,MEDIUM,HIGH SCHOOL,466.9,453.1,54.5,25.5,20.0,0.0
121,030250200260001,School,Beecher City Jr-Sr High School,Beecher City CUSD 20,Beecher City,Effingham,UNIT,SMALL,HIGH SCHOOL,459.6,482.3,42.3,26.9,26.9,3.8
