,RCDTS,Type,School Name,District,City,County,District Type,District Size,School Type,Grades Served,Summative Designation,Summative Designation: Student Group(s),Title 1 Status,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,Total Number of School Days,Student Attendance Rate,Chronically Truant Students,Student Chronic Truancy Rate,High School Dropout Rate - Total,Avg Class Size - High School,Avg Number of Days of Physical Education per Week Per Student,Total Teacher Headcount,Percent Teachers With Bachelor Degree,Percent Teachers With Masters Degree,Teacher Retention Rate,Teacher Attendance Rate,Teacher Avg Salary,Admin Avg Salary,Chronic Absenteeism,% Students with an IEP - White,% Students with an IEP - Black or African American,% Students with an IEP - Hispanic or Latino,% Students with an IEP - Asian,$ Site-level Per-Pupil Expenditures - Subtotal,$ Total Per-Pupil Expenditures - Subtotal,SAT Reading Average Score,SAT Math Average Score,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,Year
0,010010010260001,School,Seymour High School,Payson CUSD 1,Payson,Adams,UNIT,MEDIUM,HIGH SCHOOL,7 - 12,Commendable,All Students,"Eligible, but Not a Participan",233,94.4,,,,,,5.2,18.9,14.6,,37.8,,176.0,90.3,54.0,22.2,6.3,14.8,5.0,,,,86.0,,,,31.8,,,,,5924.98,9879.71,467.7,445.8,58.1,12.9,29.0,0.0,2021
1,010010020260001,School,Liberty High School,Liberty CUSD 2,Liberty,Adams,UNIT,MEDIUM,HIGH SCHOOL,7 - 12,Commendable,All Students,"Eligible, but Not a Participan",273,94.9,,,,,,4.0,30.8,24.2,,17.6,,176.0,94.0,15.0,5.4,,14.6,3.0,,,,91.7,,,,12.9,,,,,8522.0,15812.0,474.2,475.7,35.7,40.5,23.8,0.0,2021
2,010010030260001,School,Central High School,Central CUSD 3,Camp Point,Adams,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",238,96.2,,,,,,,21.0,14.3,,35.3,,176.0,93.1,16.0,6.4,,13.9,5.0,,,,85.4,,,,23.0,,,,,7724.84,13128.53,474.9,468.6,44.1,28.8,25.4,1.7,2021
3,010010040260001,School,Unity High School,CUSD 4,Mendon,Adams,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,Targeted Assistance Title I Pr,174,94.8,,,,,,,21.8,19.0,,36.8,,176.0,92.2,,,,12.8,5.0,,,,82.1,,,,26.0,,,,,5840.27,12274.94,457.3,423.3,65.0,27.5,5.0,2.5,2021
4,010011720220003,School,Quincy Sr High School,Quincy SD 172,Quincy,Adams,UNIT,LARGE,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,1900,79.7,6.9,4.2,1.1,,,7.9,19.4,16.2,0.5,45.9,1.6,177.0,85.6,673.0,32.6,6.0,21.1,4.0,,,,88.8,,,,43.2,,,,,6586.49,10581.84,472.8,440.9,59.3,23.7,15.4,1.6,2021
5,010050010260001,School,Brown County High School,Brown County CUSD 1,Mount Sterling,Brown,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",215,94.4,,,,,,,18.1,14.9,,32.6,,176.0,93.4,,,4.8,16.3,5.0,,,,85.7,,,,21.7,,,,,10429.58,14882.13,501.5,479.4,35.4,35.4,29.2,0.0,2021
6,010090150260007,School,Beardstown Jr/Sr High School,Beardstown CUSD 15,Beardstown,Cass,UNIT,MEDIUM,HIGH SCHOOL,5 - 12,Commendable,All Students,"Eligible, but Not a Participan",807,31.7,10.7,54.3,1.2,,,,19.6,16.7,39.5,99.5,,176.0,93.1,133.0,15.4,6.3,21.7,4.5,,,,87.2,,,,22.6,,,,,6898.4,11975.65,437.9,421.8,69.1,23.7,7.2,0.0,2021
7,010090640260003,School,Virginia Jr/ Sr High School,Virginia CUSD 64,Virginia,Cass,UNIT,SMALL,HIGH SCHOOL,6 - 12,Commendable,All Students,"Eligible, but Not a Participan",136,90.4,,,,,,,27.2,14.0,,53.7,,176.0,93.3,18.0,12.5,,12.6,5.0,,,,82.5,,,,21.9,,,,,6521.93,12574.2,466.7,453.3,55.6,27.8,16.7,0.0,2021
8,010092620260002,School,A-C Central High School,A-C Central CUSD 262,Ashland,Cass,UNIT,SMALL,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",110,98.2,,,,,,,11.8,,,46.4,,178.0,88.0,10.0,8.8,,9.9,5.0,,,,72.7,,,,43.9,,,,,12207.0,19810.0,512.5,477.9,42.9,25.0,28.6,3.6,2021
9,010690010260001,School,Franklin Jr/Sr High School,Franklin CUSD 1,Franklin,Morgan,UNIT,SMALL,HIGH SCHOOL,6 - 12,Commendable,All Students,"Eligible, but Not a Participan",169,95.9,,,,,,,17.8,16.6,,28.4,,176.0,91.8,,,,11.3,3.4,,,,71.2,,,,29.2,,,,,12258.59,16406.65,441.7,425.0,30.0,30.0,40.0,0.0,2021
