"School Name","District Name","Reading/Writing Score","Math Score","Tests Taken","# Students SAT ELA Participation"
,"Payson CUSD 1",462.2,476.1,41,41
"Seymour High School","Payson CUSD 1",462.2,476.1,41,41
"Seymour Elementary School","Payson CUSD 1",,,,
,"Liberty CUSD 2",472.4,493.3,45,45
"Liberty High School","Liberty CUSD 2",472.4,493.3,45,45
"Liberty Elementary School","Liberty CUSD 2",,,,
,"Central CUSD 3",480,469.8,49,49
"Central High School","Central CUSD 3",480,469.8,49,49
"Central Junior High School","Central CUSD 3",,,,
"Central Elementary Grade Schoo","Central CUSD 3",,,,
"Central 3-4 Middle School","Central CUSD 3",,,,
,"CUSD 4",463.8,435.9,39,39
"Unity High School","CUSD 4",463.8,435.9,39,39
"Unity Elementary School","CUSD 4",,,,
"Unity Middle School","CUSD 4",,,,
,"Quincy SD 172",480.1,461.9,425,425
"Quincy Sr High School","Quincy SD 172",480.1,461.9,425,425
"Quincy Jr High School","Quincy SD 172",,,,
"Sarah Atwater Denman Elementar","Quincy SD 172",,,,
"Colonel George Iles Elementary","Quincy SD 172",,,,
"Thomas S Baldwin Elementary Sc","Quincy SD 172",,,,
"Lincoln-Douglas Elementary Sch","Quincy SD 172",,,,
"Dr. Abby Fox Rooney Elementary","Quincy SD 172",,,,
"Early Childhood","Quincy SD 172",,,,
,"Brown County CUSD 1",507.5,490.2,52,52
"Brown County High School","Brown County CUSD 1",507.5,490.2,52,52
"Brown County Middle School","Brown County CUSD 1",,,,
"Brown County Elementary School","Brown County CUSD 1",,,,
,"Beardstown CUSD 15",441.1,427.4,105,105
"Beardstown Jr/Sr High School","Beardstown CUSD 15",441.1,427.4,105,105
"Gard Elementary School","Beardstown CUSD 15",,,,
"Grand Ave Sch","Beardstown CUSD 15",,,,
,"Virginia CUSD 64",468.9,483.3,18,18
"Virginia Jr/ Sr High School","Virginia CUSD 64",468.9,483.3,18,18
"Virginia Elem School","Virginia CUSD 64",,,,
,"A-C Central CUSD 262",457.3,424,30,30
"A-C Central High School","A-C Central CUSD 262",457.3,424,30,30
"A-C Central Middle School","A-C Central CUSD 262",,,,
"A-C Central Elementary School","A-C Central CUSD 262",,,,
,"Franklin CUSD 1",462.4,440.3,29,29
"Franklin Jr/Sr High School","Franklin CUSD 1",462.4,440.3,29,29
"Franklin East Grade School","Franklin CUSD 1",,,,
"Franklin Elementary School","Franklin CUSD 1",,,,
,"Waverly CUSD 6",483.1,483.4,32,32
"Waverly Junior/Senior High Sch","Waverly CUSD 6",483.1,483.4,32,32
"Waverly Elementary School","Waverly CUSD 6",,,,
,"Meredosia-Chambersburg CUSD 11",,,,
"Meredosia-Chambersburg High Sc","Meredosia-Chambersburg CUSD 11",,,,
"Meredosia-Chambersburg Jr High","Meredosia-Chambersburg CUSD 11",,,,
"Meredosia-Chambersburg Elem Sc","Meredosia-Chambersburg CUSD 11",,,,
,"Triopia CUSD 27",496.5,483.5,23,23
"Triopia Jr-Sr High School","Triopia CUSD 27",496.5,483.5,23,23
"Triopia Grade School","Triopia CUSD 27",,,,
,"Jacksonville SD 117",474.6,461.2,191,191
"Jacksonville High School","Jacksonville SD 117",474.6,461.2,191,191
"Jacksonville Middle School","Jacksonville SD 117",,,,
"Eisenhower Elem School","Jacksonville SD 117",,,,
"Washington Elem School","Jacksonville SD 117",,,,
"Lincoln Elem School","Jacksonville SD 117",,,,
"South Jacksonville Elem School","Jacksonville SD 117",,,,
"North Jacksonville School","Jacksonville SD 117",,,,
"Murrayville-Woodson Elem Schoo","Jacksonville SD 117",,,,
"The Early Years","Jacksonville SD 117",,,,
,"Pleasant Hill CUSD 3",410,392.5,16,16
"Pleasant Hill High School","Pleasant Hill CUSD 3",410,392.5,16,16
"Pleasant Hill Elem School","Pleasant Hill CUSD 3",,,,
,"Griggsville-Perry CUSD 4",437,422.5,20,20
"Griggsville-Perry High School","Griggsville-Perry CUSD 4",437,422.5,20,20
"Griggsville-Perry Middle Schoo","Griggsville-Perry CUSD 4",,,,
"Griggsville-Perry Primary Scho","Griggsville-Perry CUSD 4",,,,
,"Pikeland CUSD 10",479.1,455.1,76,76
"Pittsfield High School","Pikeland CUSD 10",479.1,455.1,76,76
"Pittsfield South Elem School","Pikeland CUSD 10",,,,
"Pikeland Community School","Pikeland CUSD 10",,,,
,"Western CUSD 12",434.5,457,20,20
"Western High School","Western CUSD 12",434.5,457,20,20
"Western Jr High School","Western CUSD 12",,,,
"Western Barry Elem","Western CUSD 12",,,,
,"Winchester CUSD 1",457.3,454.4,52,52
"Winchester High School","Winchester CUSD 1",457.3,454.4,52,52
"Winchester Elem School","Winchester CUSD 1",,,,
,"Scott-Morgan CUSD 2",412.8,425.6,18,18
"Bluffs High School","Scott-Morgan CUSD 2",412.8,425.6,18,18
"Bluffs Junior High School","Scott-Morgan CUSD 2",,,,
"Bluffs Elementary School","Scott-Morgan CUSD 2",,,,
,"Mulberry Grove CUSD 1",430.7,453.7,27,27
"Mulberry Grove Sr High School","Mulberry Grove CUSD 1",430.7,453.7,27,27
