School Name,District Name,City,County,District Type,District Size,School Type,Grades Served,SAT Reading Average Score,SAT Math Average Score,SAT Reading Total Students Level 1 %,SAT Reading Total Students Level 2 %,SAT Reading Total Students Level 3 %,SAT Reading Total Students Level 4 %,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,SAT Reading Total Male Students Level 1 %,SAT Reading Total Male Students Level 2 %,SAT Reading Total Male Students Level 3 %,SAT Reading Total Male Students Level 4 %,Tests Taken,# Students SAT ELA Participation,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
Seymour High School,Payson CUSD 1,Payson,Adams,UNIT,MEDIUM,HIGH SCHOOL,12-Jul,467.7,445.8,35.5,45.2,16.1,3.2,58.1,12.9,29,0,47.1,41.2,11.8,0,31,31,Illinois,39.8167882,-91.2503442,420 West Brainard Street,62360,Adams County,Payson,17001,"420 West Brainard Street, Payson, Illinois, 62360",10302,17001010302,2022,10302,Adams County,Illinois,222,41,146,35,0,1918,18,65,812,519,171,232,101,18.5,65.8,15.8,0,0.9,3.4,42.3,27.1,8.9,12.1,5.3,1065,73125,82611,3057,167,5.5,2890,94.5,2821,92.3,0,0,0,0,28,0.9,0,0,0,0,41,1.3,445.8,467.7
Liberty High School,Liberty CUSD 2,Liberty,Adams,UNIT,MEDIUM,HIGH SCHOOL,12-Jul,474.2,475.7,27.9,51.2,20.9,0,35.7,40.5,23.8,0,29.6,59.3,11.1,0,42,43,Illinois,39.8861857,-91.1070694,505 North Park Street,62347,Adams County,Liberty,17001,"505 North Park Street, Liberty, Illinois, 62347",10301,17001010301,2022,10301,Adams County,Illinois,103,24,27,24,28,1868,49,51,647,420,263,361,77,23.3,26.2,23.3,27.2,2.6,2.7,34.6,22.5,14.1,19.3,4.1,971,90781,91633,2846,0,0,2846,100,2828,99.4,0,0,12,0.4,0,0,0,0,0,0,6,0.2,475.7,474.2
Central High School,Central CUSD 3,Camp Point,Adams,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,474.9,468.6,30.5,40.7,27.1,1.7,44.1,28.8,25.4,1.7,40.6,37.5,21.9,0,59,59,Illinois,40.0634613,-91.0286892,2110 State Highway 94,62320,Adams County,Camp Point,17001,"2110 State Highway 94, Camp Point, Illinois, 62320",10200,17001010200,2022,10200,Adams County,Illinois,300,20,160,93,27,2598,33,201,1052,501,295,394,122,6.7,53.3,31,9,1.3,7.7,40.5,19.3,11.4,15.2,4.7,1540,57885,70563,3768,96,2.5,3672,97.5,3620,96.1,17,0.5,0,0,5,0.1,0,0,9,0.2,21,0.6,468.6,474.9
Unity High School,CUSD 4,Mendon,Adams,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,457.3,423.3,37.5,47.5,12.5,2.5,65,27.5,5,2.5,41.7,41.7,12.5,4.2,40,40,Illinois,40.0884906,-91.2910548,453 West Collins Street,62351,Adams County,Mendon,17001,"453 West Collins Street, Mendon, Illinois, 62351",10100,17001010100,2022,10100,Adams County,Illinois,326,47,99,149,31,3067,31,150,1141,691,381,507,166,14.4,30.4,45.7,9.5,1,4.9,37.2,22.5,12.4,16.5,5.4,1788,74432,84826,4507,62,1.4,4445,98.6,4353,96.6,10,0.2,1,0,0,0,0,0,19,0.4,62,1.4,423.3,457.3
Quincy Sr High School,Quincy SD 172,Quincy,Adams,UNIT,LARGE,HIGH SCHOOL,12-Sep,472.8,440.9,31.9,45.6,17.2,5.3,59.3,23.7,15.4,1.6,33.6,46.1,14.7,5.5,435,436,Illinois,39.9305553,-91.3624173,3322 Maine Street,62301,Adams County,Quincy,17001,"3322 Maine Street, Quincy, Illinois, 62301",1100,17001001100,2022,1100,Adams County,Illinois,780,83,435,115,147,5625,122,214,1272,1268,458,1361,930,10.6,55.8,14.7,18.8,2.2,3.8,22.6,22.5,8.1,24.2,16.5,3332,77200,99352,8026,97,1.2,7929,98.8,6876,85.7,569,7.1,0,0,180,2.2,0,0,10,0.1,294,3.7,440.9,472.8
Brown County High School,Brown County CUSD 1,Mount Sterling,Brown,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,501.5,479.4,27.1,31.3,35.4,6.3,35.4,35.4,29.2,0,43.5,39.1,13,4.3,48,48,Illinois,39.9831244,-90.7522741,500 East Main Street,62353,Brown County,Mount Sterling,17009,"500 East Main Street, Mount Sterling, Illinois, 62353",970500,17009970500,2022,970500,Brown County,Illinois,453,99,165,189,0,2983,147,641,1007,544,248,277,119,21.9,36.4,41.7,0,4.9,21.5,33.8,18.2,8.3,9.3,4,1074,61250,73584,4054,386,9.5,3668,90.5,2588,63.8,1039,25.6,10,0.2,3,0.1,0,0,0,0,28,0.7,479.4,501.5
Beardstown Jr/Sr High School,Beardstown CUSD 15,Beardstown,Cass,UNIT,MEDIUM,HIGH SCHOOL,12-May,437.9,421.8,46.4,47.4,5.2,1,69.1,23.7,7.2,0,50,45.8,4.2,0,97,97,Illinois,40.0074999,-90.4223555,500 East 15th Street,62618,Cass County,Beardstown,17017,"500 East 15th Street, Beardstown, Illinois, 62618",960300,17017960300,2022,960300,Cass County,Illinois,190,6,122,62,0,2047,116,125,858,302,144,397,105,3.2,64.2,32.6,0,5.7,6.1,41.9,14.8,7,19.4,5.1,1147,71031,83142,2632,377,14.3,2255,85.7,2253,85.6,0,0,0,0,0,0,0,0,0,0,2,0.1,421.8,437.9
Virginia Jr/ Sr High School,Virginia CUSD 64,Virginia,Cass,UNIT,SMALL,HIGH SCHOOL,12-Jun,466.7,453.3,27.8,55.6,16.7,0,55.6,27.8,16.7,0,,,,,18,18,Illinois,39.9464836,-90.2182312,651 South Morgan Street,62691,Cass County,Virginia,17017,"651 South Morgan Street, Virginia, Illinois, 62691",960200,17017960200,2022,960200,Cass County,Illinois,177,38,82,43,14,1881,41,100,819,348,154,339,80,21.5,46.3,24.3,7.9,2.2,5.3,43.5,18.5,8.2,18,4.3,1090,59231,79626,2623,32,1.2,2591,98.8,2540,96.8,27,1,0,0,1,0,1,0,0,0,22,0.8,453.3,466.7
A-C Central High School,A-C Central CUSD 262,Ashland,Cass,UNIT,SMALL,HIGH SCHOOL,12-Sep,512.5,477.9,17.9,53.6,21.4,7.1,42.9,25,28.6,3.6,20,66.7,0,13.3,28,28,Illinois,39.8926467,-90.0127216,601 West Buchanan Street,62612,Cass County,Ashland,17017,"601 West Buchanan Street, Ashland, Illinois, 62612",960100,17017960100,2022,960100,Cass County,Illinois,160,29,84,43,4,1468,61,97,629,254,159,177,91,18.1,52.5,26.9,2.5,4.2,6.6,42.8,17.3,10.8,12.1,6.2,930,60714,75586,2101,16,0.8,2085,99.2,2012,95.8,23,1.1,19,0.9,0,0,0,0,0,0,31,1.5,477.9,512.5
Franklin Jr/Sr High School,Franklin CUSD 1,Franklin,Morgan,UNIT,SMALL,HIGH SCHOOL,12-Jun,441.7,425,10,60,10,20,30,30,40,0,,,,,12,12,Illinois,39.623455,-90.0469665,110 State Street,62638,Morgan County,Franklin,17137,"110 State Street, Franklin, Illinois, 62638",952300,17137952300,2022,952300,Morgan County,Illinois,286,47,144,72,23,2241,50,106,1019,455,172,299,140,16.4,50.3,25.2,8,2.2,4.7,45.5,20.3,7.7,13.3,6.2,1284,68397,94804,3442,141,4.1,3301,95.9,3198,92.9,31,0.9,0,0,42,1.2,0,0,0,0,30,0.9,425,441.7
