RCDTS,Type,School Name,District,City,County,District Type,School Type,Grades Served,Summative Designation,Summative Designation: Student Group(s),Title 1 Status,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,Total Number of School Days,Student Attendance Rate,Student Chronic Truancy Rate,High School Dropout Rate - Total,Avg Class Size - High School,Avg Number of Days of Physical Education per Week Per Student,Percent Teachers With Bachelor Degree,Percent Teachers With Masters Degree,Teacher Retention Rate,Teacher Attendance Rate,Teacher Avg Salary,Admin Avg Salary,Chronic Absenteeism,% Students with an IEP - White,% Students with an IEP - Black or African American,% Students with an IEP - Hispanic or Latino,% Students with an IEP - Asian,$ Site-level Per-Pupil Expenditures - Subtotal,$ Total Per-Pupil Expenditures - Subtotal,SAT Reading Average,SAT Math Average,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,Year
10010010260001,School,Seymour High School,Payson CUSD 1,Payson,Adams,UNIT,HIGH SCHOOL,7 - 12,Commendable,All Students,"Eligible, but Not a Participan",219,93.6,0.0,0.0,0.0,0.0,0.0,5.9,20.1,16.4,0.0,48.9,0.0,176.0,92.0,19.2,6.4,13.5,5.0,60.6,39.4,84.0,72.0,41725.0,86521.0,22.6,94.1,1.2,2.4,0.0,7539.35,11494.52,473.4,455.2,44.8,41.4,10.3,3.4,2022
10010020260001,School,Liberty High School,Liberty CUSD 2,Liberty,Adams,UNIT,HIGH SCHOOL,7 - 12,Exemplary,All Students,"Eligible, but Not a Participan",263,95.1,0.0,0.0,0.0,0.0,0.0,2.7,28.5,23.2,0.0,25.1,0.0,177.0,93.7,5.6,,14.5,3.7,55.3,43.6,90.2,57.3,45410.0,97991.0,18.0,96.0,0.8,0.0,0.0,8385.0,15396.0,470.2,481.5,40.7,20.4,35.2,3.7,2022
10010030260001,School,Central High School,Central CUSD 3,Camp Point,Adams,UNIT,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",239,95.4,0.0,0.0,0.0,0.0,0.0,2.7,20.5,15.1,0.0,36.8,0.0,176.0,95.5,3.4,,13.5,5.0,46.7,53.3,92.9,72.1,51196.0,89432.0,11.6,94.4,2.8,2.1,0.0,9838.99,14361.78,506.2,507.1,26.2,35.4,36.9,1.5,2022
10010040260001,School,Unity High School,CUSD 4,Mendon,Adams,UNIT,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",178,95.5,0.0,2.1,0.0,0.0,0.0,0.0,20.2,18.5,1.5,37.1,0.0,176.0,92.3,6.5,,14.3,5.0,69.8,30.2,77.1,69.0,41616.0,83444.0,25.3,97.0,0.0,1.0,0.0,5748.16,12703.15,485.1,464.4,46.3,31.7,19.5,2.4,2022
10011720220003,School,Quincy Sr High School,Quincy SD 172,Quincy,Adams,UNIT,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,1835,78.5,7.0,4.2,1.0,0.0,0.0,9.0,19.0,14.7,0.5,51.2,1.1,177.0,85.6,34.1,5.8,22.5,3.5,60.4,39.2,90.4,65.0,47804.0,81975.0,43.1,73.4,11.4,3.2,0.3,7030.83,10983.71,476.4,449.4,58.5,23.2,13.9,4.4,2022
10050010260001,School,Brown County High School,Brown County CUSD 1,Mount Sterling,Brown,UNIT,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",209,93.3,1.5,2.1,0.0,0.0,0.0,0.0,17.7,14.4,0.0,38.8,1.5,176.0,93.9,4.7,,13.3,5.0,66.5,33.5,90.5,100.0,50850.0,98126.0,17.3,95.3,2.8,0.9,0.0,11594.61,14350.82,491.0,487.1,34.1,41.5,24.4,0.0,2022
10090150260007,School,Beardstown Jr/Sr High School,Beardstown CUSD 15,Beardstown,Cass,UNIT,HIGH SCHOOL,5 - 12,Commendable,All Students,"Eligible, but Not a Participan",813,30.3,9.0,57.4,1.4,1.8,0.0,9.9,14.4,14.4,44.0,64.9,2.1,176.0,92.8,15.0,5.7,21.0,4.5,70.7,29.3,86.7,59.8,48540.0,93224.0,23.5,29.9,8.2,50.0,0.0,9056.1,14265.3,419.3,394.2,82.2,12.2,4.4,1.1,2022
10090640260003,School,Virginia Jr/ Sr High School,Virginia CUSD 64,Virginia,Cass,UNIT,HIGH SCHOOL,6 - 12,Commendable,All Students,"Eligible, but Not a Participan",132,90.2,0.0,3.9,0.0,0.0,0.0,3.2,25.8,12.9,0.0,50.0,0.0,176.0,92.2,9.5,,10.7,5.0,53.1,45.8,83.8,66.8,47131.0,83333.0,24.3,87.5,7.1,3.6,0.0,6816.67,13771.49,490.8,468.3,33.3,58.3,8.3,0.0,2022
10092620260002,School,A-C Central High School,A-C Central CUSD 262,Ashland,Cass,UNIT,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",107,96.3,0.0,0.0,0.0,0.0,0.0,3.0,10.1,10.1,0.0,33.6,0.0,176.0,91.6,5.9,,12.0,5.0,70.7,29.3,73.1,88.6,42955.0,61545.0,31.6,87.8,2.4,2.4,0.0,6768.09,15691.36,469.2,441.7,66.7,16.7,16.7,0.0,2022
10690010260001,School,Franklin Jr/Sr High School,Franklin CUSD 1,Franklin,Morgan,UNIT,HIGH SCHOOL,6 - 12,Commendable,All Students,"Eligible, but Not a Participan",154,96.1,0.0,0.0,0.0,0.0,0.0,0.0,15.6,14.3,0.0,26.6,0.0,176.0,92.1,,,12.7,3.4,63.3,36.7,82.4,53.1,52900.0,101221.0,23.9,93.5,2.2,2.2,0.0,13752.66,20584.14,455.5,433.6,63.6,22.7,13.6,0.0,2022
