School Name,District Name,City,County,District Type,District Size,School Type,Grades Served,SAT Reading Average Score,SAT Math Average Score,SAT Reading Total Students Level 1 %,SAT Reading Total Students Level 2 %,SAT Reading Total Students Level 3 %,SAT Reading Total Students Level 4 %,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,SAT Reading Total Male Students Level 1 %,SAT Reading Total Male Students Level 2 %,SAT Reading Total Male Students Level 3 %,SAT Reading Total Male Students Level 4 %,Tests Taken,# Students SAT ELA Participation
Seymour High School,Payson CUSD 1,Payson,Adams,UNIT,MEDIUM,HIGH SCHOOL,7 - 12,467.7,445.8,35.5,45.2,16.1,3.2,58.1,12.9,29.0,0.0,47.1,41.2,11.8,0.0,31.0,31.0
Liberty High School,Liberty CUSD 2,Liberty,Adams,UNIT,MEDIUM,HIGH SCHOOL,7 - 12,474.2,475.7,27.9,51.2,20.9,0.0,35.7,40.5,23.8,0.0,29.6,59.3,11.1,0.0,42.0,43.0
Central High School,Central CUSD 3,Camp Point,Adams,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,474.9,468.6,30.5,40.7,27.1,1.7,44.1,28.8,25.4,1.7,40.6,37.5,21.9,0.0,59.0,59.0
Unity High School,CUSD 4,Mendon,Adams,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,457.3,423.3,37.5,47.5,12.5,2.5,65.0,27.5,5.0,2.5,41.7,41.7,12.5,4.2,40.0,40.0
Quincy Sr High School,Quincy SD 172,Quincy,Adams,UNIT,LARGE,HIGH SCHOOL,9 - 12,472.8,440.9,31.9,45.6,17.2,5.3,59.3,23.7,15.4,1.6,33.6,46.1,14.7,5.5,435.0,436.0
Brown County High School,Brown County CUSD 1,Mount Sterling,Brown,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,501.5,479.4,27.1,31.3,35.4,6.3,35.4,35.4,29.2,0.0,43.5,39.1,13.0,4.3,48.0,48.0
Beardstown Jr/Sr High School,Beardstown CUSD 15,Beardstown,Cass,UNIT,MEDIUM,HIGH SCHOOL,5 - 12,437.9,421.8,46.4,47.4,5.2,1.0,69.1,23.7,7.2,0.0,50.0,45.8,4.2,0.0,97.0,97.0
Virginia Jr/ Sr High School,Virginia CUSD 64,Virginia,Cass,UNIT,SMALL,HIGH SCHOOL,6 - 12,466.7,453.3,27.8,55.6,16.7,0.0,55.6,27.8,16.7,0.0,,,,,18.0,18.0
A-C Central High School,A-C Central CUSD 262,Ashland,Cass,UNIT,SMALL,HIGH SCHOOL,9 - 12,512.5,477.9,17.9,53.6,21.4,7.1,42.9,25.0,28.6,3.6,20.0,66.7,0.0,13.3,28.0,28.0
Franklin Jr/Sr High School,Franklin CUSD 1,Franklin,Morgan,UNIT,SMALL,HIGH SCHOOL,6 - 12,441.7,425.0,10.0,60.0,10.0,20.0,30.0,30.0,40.0,0.0,,,,,12.0,12.0
Waverly Junior/Senior High School,Waverly CUSD 6,Waverly,Morgan,UNIT,SMALL,HIGH SCHOOL,7 - 12,503.9,518.9,11.1,50.0,22.2,16.7,22.2,44.4,27.8,5.6,,,,,18.0,18.0
Meredosia-Chambersburg High Sch,Meredosia-Chambersburg CUSD 11,Meredosia,Morgan,UNIT,SMALL,HIGH SCHOOL,9 - 12,469.0,419.0,20.0,60.0,20.0,0.0,60.0,30.0,10.0,0.0,,,,,10.0,10.0
Triopia Jr-Sr High School,Triopia CUSD 27,Concord,Morgan,UNIT,SMALL,HIGH SCHOOL,7 - 12,516.8,503.2,8.0,56.0,32.0,4.0,20.0,52.0,28.0,0.0,0.0,53.8,38.5,7.7,25.0,25.0
Jacksonville High School,Jacksonville SD 117,Jacksonville,Morgan,UNIT,LARGE,HIGH SCHOOL,9 - 12,466.1,446.0,32.6,46.6,18.1,2.6,55.4,27.5,17.1,0.0,36.3,44.1,17.6,2.0,193.0,193.0
Pleasant Hill High School,Pleasant Hill CUSD 3,Pleasant Hill,Pike,UNIT,SMALL,HIGH SCHOOL,9 - 12,431.9,411.9,66.7,19.0,9.5,4.8,71.4,14.3,14.3,0.0,60.0,20.0,13.3,6.7,21.0,21.0
Griggsville-Perry High School,Griggsville-Perry CUSD 4,Griggsville,Pike,UNIT,SMALL,HIGH SCHOOL,9 - 12,470.7,447.9,14.3,64.3,21.4,0.0,64.3,21.4,14.3,0.0,,,,,14.0,14.0
Pittsfield High School,Pikeland CUSD 10,Pittsfield,Pike,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,491.3,463.6,20.0,52.7,21.8,5.5,50.9,27.3,20.0,1.8,26.9,46.2,19.2,7.7,55.0,55.0
Western High School,Western CUSD 12,Barry,Pike,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,467.2,451.6,36.0,44.0,20.0,0.0,52.0,28.0,20.0,0.0,,,,,25.0,25.0
