School Name,District Name,City,County,District Type,District Size,School Type,Grades Served,SAT Reading Average Score,SAT Math Average Score,SAT Reading Total Students Level 1 %,SAT Reading Total Students Level 2 %,SAT Reading Total Students Level 3 %,SAT Reading Total Students Level 4 %,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,SAT Reading Total Male Students Level 1 %,SAT Reading Total Male Students Level 2 %,SAT Reading Total Male Students Level 3 %,SAT Reading Total Male Students Level 4 %,Tests Taken,# Students SAT ELA Participation
,Payson CUSD 1,Payson,Adams,UNIT,MEDIUM,,PK - 12,467.7,445.8,35.5,45.2,16.1,3.2,58.1,12.9,29,0,47.1,41.2,11.8,0,31,31
Seymour High School,Payson CUSD 1,Payson,Adams,UNIT,MEDIUM,HIGH SCHOOL,7 - 12,467.7,445.8,35.5,45.2,16.1,3.2,58.1,12.9,29,0,47.1,41.2,11.8,0,31,31
Seymour Elementary School,Payson CUSD 1,Payson,Adams,UNIT,MEDIUM,ELEMENTARY,PK - 6,,,,,,,,,,,,,,,,
,Liberty CUSD 2,Liberty,Adams,UNIT,MEDIUM,,PK - 12,474.2,475.7,27.9,51.2,20.9,0,35.7,40.5,23.8,0,29.6,59.3,11.1,0,42,43
Liberty High School,Liberty CUSD 2,Liberty,Adams,UNIT,MEDIUM,HIGH SCHOOL,7 - 12,474.2,475.7,27.9,51.2,20.9,0,35.7,40.5,23.8,0,29.6,59.3,11.1,0,42,43
Liberty Elementary School,Liberty CUSD 2,Liberty,Adams,UNIT,MEDIUM,ELEMENTARY,PK - 6,,,,,,,,,,,,,,,,
,Central CUSD 3,Camp Point,Adams,UNIT,MEDIUM,,PK - 12,474.9,468.6,30.5,40.7,27.1,1.7,44.1,28.8,25.4,1.7,40.6,37.5,21.9,0,59,59
Central High School,Central CUSD 3,Camp Point,Adams,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,474.9,468.6,30.5,40.7,27.1,1.7,44.1,28.8,25.4,1.7,40.6,37.5,21.9,0,59,59
Central Junior High School,Central CUSD 3,Camp Point,Adams,UNIT,MEDIUM,MIDDLE SCHL,5 - 8,,,,,,,,,,,,,,,,
Central Elementary Grade School,Central CUSD 3,Camp Point,Adams,UNIT,MEDIUM,ELEMENTARY,PK - 2,,,,,,,,,,,,,,,,
Central 3-4 Middle School,Central CUSD 3,Golden,Adams,UNIT,MEDIUM,ELEMENTARY,3 - 4,,,,,,,,,,,,,,,,
,CUSD 4,Mendon,Adams,UNIT,MEDIUM,,PK - 12,457.3,423.3,37.5,47.5,12.5,2.5,65,27.5,5,2.5,41.7,41.7,12.5,4.2,40,40
Unity High School,CUSD 4,Mendon,Adams,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,457.3,423.3,37.5,47.5,12.5,2.5,65,27.5,5,2.5,41.7,41.7,12.5,4.2,40,40
Unity Elementary School,CUSD 4,Mendon,Adams,UNIT,MEDIUM,ELEMENTARY,PK - 4,,,,,,,,,,,,,,,,
Unity Middle School,CUSD 4,Mendon,Adams,UNIT,MEDIUM,ELEMENTARY,5 - 8,,,,,,,,,,,,,,,,
,Quincy SD 172,Quincy,Adams,UNIT,LARGE,,PK - 12,472.8,440.9,31.9,45.6,17.2,5.3,59.3,23.7,15.4,1.6,33.6,46.1,14.7,5.5,435,436
Quincy Sr High School,Quincy SD 172,Quincy,Adams,UNIT,LARGE,HIGH SCHOOL,9 - 12,472.8,440.9,31.9,45.6,17.2,5.3,59.3,23.7,15.4,1.6,33.6,46.1,14.7,5.5,435,436
Quincy Jr High School,Quincy SD 172,Quincy,Adams,UNIT,LARGE,MIDDLE SCHL,6 - 8,,,,,,,,,,,,,,,,
Sarah Atwater Denman Elementary School,Quincy SD 172,Quincy,Adams,UNIT,LARGE,ELEMENTARY,K - 5,,,,,,,,,,,,,,,,
Colonel George Iles Elementary School,Quincy SD 172,Quincy,Adams,UNIT,LARGE,ELEMENTARY,K - 5,,,,,,,,,,,,,,,,
Thomas S Baldwin Elementary School,Quincy SD 172,Quincy,Adams,UNIT,LARGE,ELEMENTARY,K - 5,,,,,,,,,,,,,,,,
Lincoln-Douglas Elementary School,Quincy SD 172,Quincy,Adams,UNIT,LARGE,ELEMENTARY,K - 5,,,,,,,,,,,,,,,,
Dr. Abby Fox Rooney Elementary School,Quincy SD 172,Quincy,Adams,UNIT,LARGE,ELEMENTARY,K - 5,,,,,,,,,,,,,,,,
Early Childhood,Quincy SD 172,Quincy,Adams,UNIT,LARGE,ELEMENTARY,PK - K,,,,,,,,,,,,,,,,
,Brown County CUSD 1,Mt Sterling,Brown,UNIT,MEDIUM,,PK - 12,501.5,479.4,27.1,31.3,35.4,6.3,35.4,35.4,29.2,0,43.5,39.1,13,4.3,48,48
Brown County High School,Brown County CUSD 1,Mount Sterling,Brown,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,501.5,479.4,27.1,31.3,35.4,6.3,35.4,35.4,29.2,0,43.5,39.1,13,4.3,48,48
Brown County Middle School,Brown County CUSD 1,Mount Sterling,Brown,UNIT,MEDIUM,MIDDLE SCHL,5 - 8,,,,,,,,,,,,,,,,
Brown County Elementary School,Brown County CUSD 1,Mount Sterling,Brown,UNIT,MEDIUM,ELEMENTARY,PK - 4,,,,,,,,,,,,,,,,
,Beardstown CUSD 15,Beardstown,Cass,UNIT,MEDIUM,,PK - 12,437.9,421.8,46.4,47.4,5.2,1,69.1,23.7,7.2,0,50,45.8,4.2,0,97,97
Beardstown Jr/Sr High School,Beardstown CUSD 15,Beardstown,Cass,UNIT,MEDIUM,HIGH SCHOOL,5 - 12,437.9,421.8,46.4,47.4,5.2,1,69.1,23.7,7.2,0,50,45.8,4.2,0,97,97
Gard Elementary School,Beardstown CUSD 15,Beardstown,Cass,UNIT,MEDIUM,ELEMENTARY,K - 4,,,,,,,,,,,,,,,,
Grand Ave Sch,Beardstown CUSD 15,Beardstown,Cass,UNIT,MEDIUM,PreK,PK,,,,,,,,,,,,,,,,
,Virginia CUSD 64,Virginia,Cass,UNIT,SMALL,,PK - 12,466.7,453.3,27.8,55.6,16.7,0,55.6,27.8,16.7,0,,,,,18,18
Virginia Jr/ Sr High School,Virginia CUSD 64,Virginia,Cass,UNIT,SMALL,HIGH SCHOOL,6 - 12,466.7,453.3,27.8,55.6,16.7,0,55.6,27.8,16.7,0,,,,,18,18
Virginia Elem School,Virginia CUSD 64,Virginia,Cass,UNIT,SMALL,ELEMENTARY,PK - 5,,,,,,,,,,,,,,,,
,A-C Central CUSD 262,Ashland,Cass,UNIT,SMALL,,K - 12,512.5,477.9,17.9,53.6,21.4,7.1,42.9,25,28.6,3.6,20,66.7,0,13.3,28,28
A-C Central High School,A-C Central CUSD 262,Ashland,Cass,UNIT,SMALL,HIGH SCHOOL,9 - 12,512.5,477.9,17.9,53.6,21.4,7.1,42.9,25,28.6,3.6,20,66.7,0,13.3,28,28
A-C Central Middle School,A-C Central CUSD 262,Ashland,Cass,UNIT,SMALL,MIDDLE SCHL,5 - 8,,,,,,,,,,,,,,,,
A-C Central Elementary School,A-C Central CUSD 262,Chandlerville,Cass,UNIT,SMALL,ELEMENTARY,PK - 4,,,,,,,,,,,,,,,,
,Franklin CUSD 1,Franklin,Morgan,UNIT,SMALL,,PK - 12,441.7,425,10,60,10,20,30,30,40,0,,,,,12,12
Franklin Jr/Sr High School,Franklin CUSD 1,Franklin,Morgan,UNIT,SMALL,HIGH SCHOOL,6 - 12,441.7,425,10,60,10,20,30,30,40,0,,,,,12,12
Franklin East Grade School,Franklin CUSD 1,Franklin,Morgan,UNIT,SMALL,ELEMENTARY,PK - 2,,,,,,,,,,,,,,,,
Franklin Elementary School,Franklin CUSD 1,Franklin,Morgan,UNIT,SMALL,ELEMENTARY,3 - 5,,,,,,,,,,,,,,,,
,Waverly CUSD 6,Waverly,Morgan,UNIT,SMALL,,PK - 12,503.9,518.9,11.1,50,22.2,16.7,22.2,44.4,27.8,5.6,,,,,18,18
Waverly Junior/Senior High School,Waverly CUSD 6,Waverly,Morgan,UNIT,SMALL,HIGH SCHOOL,7 - 12,503.9,518.9,11.1,50,22.2,16.7,22.2,44.4,27.8,5.6,,,,,18,18
Waverly Elementary School,Waverly CUSD 6,Waverly,Morgan,UNIT,SMALL,ELEMENTARY,PK - 6,,,,,,,,,,,,,,,,
,Meredosia-Chambersburg CUSD 11,Meredosia,Morgan,UNIT,SMALL,,PK - 12,469,419,20,60,20,0,60,30,10,0,,,,,10,10
Meredosia-Chambersburg High Sch,Meredosia-Chambersburg CUSD 11,Meredosia,Morgan,UNIT,SMALL,HIGH SCHOOL,9 - 12,469,419,20,60,20,0,60,30,10,0,,,,,10,10
Meredosia-Chambersburg Jr High,Meredosia-Chambersburg CUSD 11,Meredosia,Morgan,UNIT,SMALL,MIDDLE SCHL,6 - 8,,,,,,,,,,,,,,,,
Meredosia-Chambersburg Elem Sch,Meredosia-Chambersburg CUSD 11,Meredosia,Morgan,UNIT,SMALL,ELEMENTARY,PK - 5,,,,,,,,,,,,,,,,
,Triopia CUSD 27,Concord,Morgan,UNIT,SMALL,,PK - 12,516.8,503.2,8,56,32,4,20,52,28,0,0,53.8,38.5,7.7,25,25
Triopia Jr-Sr High School,Triopia CUSD 27,Concord,Morgan,UNIT,SMALL,HIGH SCHOOL,7 - 12,516.8,503.2,8,56,32,4,20,52,28,0,0,53.8,38.5,7.7,25,25
Triopia Grade School,Triopia CUSD 27,Concord,Morgan,UNIT,SMALL,ELEMENTARY,PK - 6,,,,,,,,,,,,,,,,
,Jacksonville SD 117,Jacksonville,Morgan,UNIT,LARGE,,PK - 12,466.1,446,32.6,46.6,18.1,2.6,55.4,27.5,17.1,0,36.3,44.1,17.6,2,193,193
Jacksonville High School,Jacksonville SD 117,Jacksonville,Morgan,UNIT,LARGE,HIGH SCHOOL,9 - 12,466.1,446,32.6,46.6,18.1,2.6,55.4,27.5,17.1,0,36.3,44.1,17.6,2,193,193
Jacksonville Middle School,Jacksonville SD 117,Jacksonville,Morgan,UNIT,LARGE,MIDDLE SCHL,6 - 8,,,,,,,,,,,,,,,,
Eisenhower Elem School,Jacksonville SD 117,Jacksonville,Morgan,UNIT,LARGE,ELEMENTARY,K - 5,,,,,,,,,,,,,,,,
Washington Elem School,Jacksonville SD 117,Jacksonville,Morgan,UNIT,LARGE,ELEMENTARY,K - 5,,,,,,,,,,,,,,,,
Lincoln Elem School,Jacksonville SD 117,Jacksonville,Morgan,UNIT,LARGE,ELEMENTARY,K - 5,,,,,,,,,,,,,,,,
South Jacksonville Elem School,Jacksonville SD 117,South Jacksonville,Morgan,UNIT,LARGE,ELEMENTARY,K - 5,,,,,,,,,,,,,,,,
North Jacksonville School,Jacksonville SD 117,Jacksonville,Morgan,UNIT,LARGE,ELEMENTARY,K - 5,,,,,,,,,,,,,,,,
Murrayville-Woodson Elem School,Jacksonville SD 117,Murrayville,Morgan,UNIT,LARGE,ELEMENTARY,K - 5,,,,,,,,,,,,,,,,
The Early Years,Jacksonville SD 117,Jacksonville,Morgan,UNIT,LARGE,PreK,PK,,,,,,,,,,,,,,,,
,Pleasant Hill CUSD 3,Pleasant Hill,Pike,UNIT,SMALL,,PK - 12,431.9,411.9,66.7,19,9.5,4.8,71.4,14.3,14.3,0,60,20,13.3,6.7,21,21
Pleasant Hill High School,Pleasant Hill CUSD 3,Pleasant Hill,Pike,UNIT,SMALL,HIGH SCHOOL,9 - 12,431.9,411.9,66.7,19,9.5,4.8,71.4,14.3,14.3,0,60,20,13.3,6.7,21,21
Pleasant Hill Elem School,Pleasant Hill CUSD 3,Pleasant Hill,Pike,UNIT,SMALL,ELEMENTARY,PK - 8,,,,,,,,,,,,,,,,
,Griggsville-Perry CUSD 4,Griggsville,Pike,UNIT,SMALL,,PK - 12,470.7,447.9,14.3,64.3,21.4,0,64.3,21.4,14.3,0,,,,,14,14
Griggsville-Perry High School,Griggsville-Perry CUSD 4,Griggsville,Pike,UNIT,SMALL,HIGH SCHOOL,9 - 12,470.7,447.9,14.3,64.3,21.4,0,64.3,21.4,14.3,0,,,,,14,14
Griggsville-Perry Middle School,Griggsville-Perry CUSD 4,Perry,Pike,UNIT,SMALL,MIDDLE SCHL,5 - 8,,,,,,,,,,,,,,,,
Griggsville-Perry Primary School,Griggsville-Perry CUSD 4,Griggsville,Pike,UNIT,SMALL,ELEMENTARY,PK - 4,,,,,,,,,,,,,,,,
,Pikeland CUSD 10,Pittsfield,Pike,UNIT,MEDIUM,,PK - 12,491.3,463.6,20,52.7,21.8,5.5,50.9,27.3,20,1.8,26.9,46.2,19.2,7.7,55,55
Pittsfield High School,Pikeland CUSD 10,Pittsfield,Pike,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,491.3,463.6,20,52.7,21.8,5.5,50.9,27.3,20,1.8,26.9,46.2,19.2,7.7,55,55
Pittsfield South Elem School,Pikeland CUSD 10,Pittsfield,Pike,UNIT,MEDIUM,ELEMENTARY,PK - 2,,,,,,,,,,,,,,,,
Pikeland Community School,Pikeland CUSD 10,Pittsfield,Pike,UNIT,MEDIUM,ELEMENTARY,3 - 8,,,,,,,,,,,,,,,,
,Western CUSD 12,Barry,Pike,UNIT,MEDIUM,,PK - 12,467.2,451.6,36,44,20,0,52,28,20,0,,,,,25,25
Western High School,Western CUSD 12,Barry,Pike,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,467.2,451.6,36,44,20,0,52,28,20,0,,,,,25,25
Western Jr High School,Western CUSD 12,Kinderhook,Pike,UNIT,MEDIUM,MIDDLE SCHL,PK - 8,,,,,,,,,,,,,,,,
Western Barry Elem,Western CUSD 12,Barry,Pike,UNIT,MEDIUM,ELEMENTARY,K - 5,,,,,,,,,,,,,,,,
,Winchester CUSD 1,Winchester,Scott,UNIT,MEDIUM,,PK - 12,480,457,24.2,57.6,18.2,0,45.5,33.3,21.2,0,25,58.3,16.7,0,33,33
Winchester High School,Winchester CUSD 1,Winchester,Scott,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,480,457,24.2,57.6,18.2,0,45.5,33.3,21.2,0,25,58.3,16.7,0,33,33
Winchester Elem School,Winchester CUSD 1,Winchester,Scott,UNIT,MEDIUM,ELEMENTARY,PK - 8,,,,,,,,,,,,,,,,
,Scott-Morgan CUSD 2,Bluffs,Scott,UNIT,SMALL,,PK - 12,435,404.2,41.7,58.3,0,0,66.7,33.3,0,0,,,,,12,12
Bluffs High School,Scott-Morgan CUSD 2,Bluffs,Scott,UNIT,SMALL,HIGH SCHOOL,9 - 12,435,404.2,41.7,58.3,0,0,66.7,33.3,0,0,,,,,12,12
Bluffs Junior High School,Scott-Morgan CUSD 2,Bluffs,Scott,UNIT,SMALL,MIDDLE SCHL,6 - 8,,,,,,,,,,,,,,,,
Bluffs Elementary School,Scott-Morgan CUSD 2,Bluffs,Scott,UNIT,SMALL,ELEMENTARY,PK - 5,,,,,,,,,,,,,,,,
,Mulberry Grove CUSD 1,Mulberry Grove,Bond,UNIT,SMALL,,PK - 12,437.4,439.1,34.8,56.5,8.7,0,52.2,43.5,4.3,0,46.7,46.7,6.7,0,23,23
Mulberry Grove Sr High School,Mulberry Grove CUSD 1,Mulberry Grove,Bond,UNIT,SMALL,HIGH SCHOOL,9 - 12,437.4,439.1,34.8,56.5,8.7,0,52.2,43.5,4.3,0,46.7,46.7,6.7,0,23,23
Mulberry Grove Jr High School,Mulberry Grove CUSD 1,Mulberry Grove,Bond,UNIT,SMALL,MIDDLE SCHL,6 - 8,,,,,,,,,,,,,,,,
Mulberry Grove Elem School,Mulberry Grove CUSD 1,Mulberry Grove,Bond,UNIT,SMALL,ELEMENTARY,PK - 5,,,,,,,,,,,,,,,,
,Bond County CUSD 2,Greenville,Bond,UNIT,LARGE,,PK - 12,480.5,460.2,27.4,47.6,18.5,6.5,52.4,25.8,17.7,4,35.6,42.4,18.6,3.4,124,124
Bond Cty Comm Unit 2 High School,Bond County CUSD 2,Greenville,Bond,UNIT,LARGE,HIGH SCHOOL,9 - 12,480.5,460.2,27.4,47.6,18.5,6.5,52.4,25.8,17.7,4,35.6,42.4,18.6,3.4,124,124
Greenville Jr High School,Bond County CUSD 2,Greenville,Bond,UNIT,LARGE,MIDDLE SCHL,6 - 8,,,,,,,,,,,,,,,,
Greenville Elem School,Bond County CUSD 2,Greenville,Bond,UNIT,LARGE,ELEMENTARY,PK - 5,,,,,,,,,,,,,,,,
Pocahontas Center,Bond County CUSD 2,Pocahontas,Bond,UNIT,LARGE,ELEMENTARY,PK - 8,,,,,,,,,,,,,,,,
Sorento Elem School,Bond County CUSD 2,Sorento,Bond,UNIT,LARGE,ELEMENTARY,PK - 8,,,,,,,,,,,,,,,,
Bond County CUSD 2 Early Childhood Center,Bond County CUSD 2,Greenville,Bond,UNIT,LARGE,PreK,PK,,,,,,,,,,,,,,,,
,Morrisonville CUSD 1,Morrisonville,Christian,UNIT,SMALL,,PK - 12,444.5,426.8,45.5,45.5,9.1,0,68.2,31.8,0,0,50,35.7,14.3,0,22,22
Morrisonville High School,Morrisonville CUSD 1,Morrisonville,Christian,UNIT,SMALL,HIGH SCHOOL,9 - 12,444.5,426.8,45.5,45.5,9.1,0,68.2,31.8,0,0,50,35.7,14.3,0,22,22
Morrisonville Jr High School,Morrisonville CUSD 1,Morrisonville,Christian,UNIT,SMALL,MIDDLE SCHL,7 - 8,,,,,,,,,,,,,,,,
Morrisonville Elem School,Morrisonville CUSD 1,Morrisonville,Christian,UNIT,SMALL,ELEMENTARY,PK - 6,,,,,,,,,,,,,,,,
,Taylorville CUSD 3,Taylorville,Christian,UNIT,LARGE,,PK - 12,479.4,452.6,31.2,44.1,20,4.7,50.6,27.1,21.8,0.6,32.1,42,18.5,7.4,170,170
Taylorville Sr High School,Taylorville CUSD 3,Taylorville,Christian,UNIT,LARGE,HIGH SCHOOL,9 - 12,479.4,452.6,31.2,44.1,20,4.7,50.6,27.1,21.8,0.6,32.1,42,18.5,7.4,170,170
Taylorville Jr High School,Taylorville CUSD 3,Taylorville,Christian,UNIT,LARGE,MIDDLE SCHL,5 - 8,,,,,,,,,,,,,,,,
Memorial Elem School,Taylorville CUSD 3,Taylorville,Christian,UNIT,LARGE,ELEMENTARY,3 - 4,,,,,,,,,,,,,,,,
North Elem School,Taylorville CUSD 3,Taylorville,Christian,UNIT,LARGE,ELEMENTARY,PK - 2,,,,,,,,,,,,,,,,
,Edinburg CUSD 4,Edinburg,Christian,UNIT,SMALL,,PK - 12,448.9,398.1,44.4,48.1,3.7,3.7,81.5,14.8,3.7,0,53.3,40,6.7,0,27,27
Edinburg High School,Edinburg CUSD 4,Edinburg,Christian,UNIT,SMALL,HIGH SCHOOL,9 - 12,448.9,398.1,44.4,48.1,3.7,3.7,81.5,14.8,3.7,0,53.3,40,6.7,0,27,27
Edinburg Jr High School,Edinburg CUSD 4,Edinburg,Christian,UNIT,SMALL,MIDDLE SCHL,6 - 8,,,,,,,,,,,,,,,,
Edinburg Elem School,Edinburg CUSD 4,Edinburg,Christian,UNIT,SMALL,ELEMENTARY,PK - 5,,,,,,,,,,,,,,,,
,Pana CUSD 8,Pana,Christian,UNIT,MEDIUM,,PK - 12,459.3,440.7,36.1,48.5,13.4,2.1,58.8,28.9,12.4,0,45.2,38.1,14.3,2.4,97,97
Pana Sr High School,Pana CUSD 8,Pana,Christian,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,459.3,440.7,36.1,48.5,13.4,2.1,58.8,28.9,12.4,0,45.2,38.1,14.3,2.4,97,97
Pana Jr High School,Pana CUSD 8,Pana,Christian,UNIT,MEDIUM,MIDDLE SCHL,6 - 8,,,,,,,,,,,,,,,,
Lincoln Elem School,Pana CUSD 8,Pana,Christian,UNIT,MEDIUM,ELEMENTARY,3 - 5,,,,,,,,,,,,,,,,
Washington Elem School,Pana CUSD 8,Pana,Christian,UNIT,MEDIUM,ELEMENTARY,PK - 2,,,,,,,,,,,,,,,,
,South Fork SD 14,Kincaid,Christian,UNIT,SMALL,,PK - 12,415.5,384,65,35,0,0,90,10,0,0,90,10,0,0,20,20
South Fork Jr Sr High School,South Fork SD 14,Kincaid,Christian,UNIT,SMALL,HIGH SCHOOL,6 - 12,415.5,384,65,35,0,0,90,10,0,0,90,10,0,0,20,20
South Fork Elementary School,South Fork SD 14,Kincaid,Christian,UNIT,SMALL,ELEMENTARY,PK - 5,,,,,,,,,,,,,,,,
,Altamont CUSD 10,Altamont,Effingham,UNIT,MEDIUM,,PK - 12,474.2,462,37.3,39,20.3,3.4,42.4,39,18.6,0,32.4,43.2,21.6,2.7,59,59
Altamont High School,Altamont CUSD 10,Altamont,Effingham,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,474.2,462,37.3,39,20.3,3.4,42.4,39,18.6,0,32.4,43.2,21.6,2.7,59,59
Altamont Grade School,Altamont CUSD 10,Altamont,Effingham,UNIT,MEDIUM,ELEMENTARY,PK - 8,,,,,,,,,,,,,,,,
