School Name,District Name,Reading/Writing Score,Math Score,Tests Taken,# Students SAT ELA Participation,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
Seymour High School,Payson CUSD 1,473.4,455.2,29.0,29.0,Illinois,39.8167882,-91.2503442,420 West Brainard Street,62360,Adams County,Payson,17001,"420 West Brainard Street, Payson, Illinois, 62360",010302,17001010302,2023.0,10302.0,Adams County,Illinois,168.0,11.0,119.0,38.0,0.0,2018.0,19.0,56.0,785.0,547.0,191.0,305.0,115.0,6.5,70.8,22.6,0.0,0.9,2.8,38.9,27.1,9.5,15.1,5.7,1147.0,73036.0,87843.0,2838.0,101.0,3.6,2737.0,96.4,2670.0,94.1,0.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,40.0,1.4
Liberty High School,Liberty CUSD 2,470.2,481.5,54.0,54.0,Illinois,39.8861857,-91.1070694,505 North Park Street,62347,Adams County,Liberty,17001,"505 North Park Street, Liberty, Illinois, 62347",010301,17001010301,2023.0,10301.0,Adams County,Illinois,85.0,24.0,23.0,23.0,15.0,1854.0,35.0,64.0,635.0,425.0,227.0,377.0,91.0,28.2,27.1,27.1,17.6,1.9,3.5,34.3,22.9,12.2,20.3,4.9,961.0,96146.0,94571.0,2891.0,0.0,0.0,2891.0,100.0,2884.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.2
Central High School,Central CUSD 3,506.2,507.1,65.0,65.0,Illinois,40.06346130000001,-91.0286892,2110 State Highway 94,62320,Adams County,Camp Point,17001,"2110 State Highway 94, Camp Point, Illinois, 62320",010200,17001010200,2023.0,10200.0,Adams County,Illinois,247.0,20.0,124.0,74.0,29.0,2675.0,53.0,205.0,1039.0,517.0,318.0,368.0,175.0,8.1,50.2,30.0,11.7,2.0,7.7,38.8,19.3,11.9,13.8,6.5,1572.0,63914.0,89097.0,3842.0,94.0,2.4,3748.0,97.6,3642.0,94.8,67.0,1.7,0.0,0.0,6.0,0.2,0.0,0.0,8.0,0.2,25.0,0.7
Unity High School,CUSD 4,485.1,464.4,41.0,41.0,Illinois,40.0884906,-91.2910548,453 West Collins Street,62351,Adams County,Mendon,17001,"453 West Collins Street, Mendon, Illinois, 62351",010100,17001010100,2023.0,10100.0,Adams County,Illinois,283.0,50.0,70.0,125.0,38.0,3167.0,21.0,159.0,1180.0,685.0,457.0,493.0,172.0,17.7,24.7,44.2,13.4,0.7,5.0,37.3,21.6,14.4,15.6,5.4,1854.0,74034.0,85037.0,4632.0,88.0,1.9,4544.0,98.1,4459.0,96.3,17.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.3,54.0,1.2
Quincy Sr High School,Quincy SD 172,476.4,449.4,433.0,434.0,Illinois,39.93055529999999,-91.36241729999999,3322 Maine Street,62301,Adams County,Quincy,17001,"3322 Maine Street, Quincy, Illinois, 62301",001100,17001001100,2023.0,1100.0,Adams County,Illinois,1102.0,105.0,350.0,404.0,243.0,5293.0,148.0,188.0,1279.0,1056.0,466.0,1287.0,869.0,9.5,31.8,36.7,22.1,2.8,3.6,24.2,20.0,8.8,24.3,16.4,3242.0,79500.0,103780.0,8097.0,104.0,1.3,7993.0,98.7,7250.0,89.5,274.0,3.4,0.0,0.0,97.0,1.2,0.0,0.0,10.0,0.1,362.0,4.5
Brown County High School,Brown County CUSD 1,491.0,487.1,42.0,42.0,Illinois,39.9831244,-90.7522741,500 East Main Street,62353,Brown County,Mount Sterling,17009,"500 East Main Street, Mount Sterling, Illinois, 62353",970500,17009970500,2023.0,970500.0,Brown County,Illinois,379.0,87.0,174.0,109.0,9.0,3033.0,171.0,685.0,1054.0,470.0,203.0,339.0,111.0,23.0,45.9,28.8,2.4,5.6,22.6,34.8,15.5,6.7,11.2,3.7,983.0,68542.0,83291.0,3946.0,307.0,7.8,3639.0,92.2,2516.0,63.8,1082.0,27.4,10.0,0.3,2.0,0.1,0.0,0.0,0.0,0.0,29.0,0.7
Beardstown Jr/Sr High School,Beardstown CUSD 15,419.3,394.2,90.0,90.0,Illinois,40.0074999,-90.4223555,500 East 15th Street,62618,Cass County,Beardstown,17017,"500 East 15th Street, Beardstown, Illinois, 62618",960300,17017960300,2023.0,960300.0,Cass County,Illinois,187.0,0.0,139.0,48.0,0.0,2165.0,214.0,111.0,867.0,333.0,113.0,434.0,93.0,0.0,74.3,25.7,0.0,9.9,5.1,40.0,15.4,5.2,20.0,4.3,1291.0,71618.0,91244.0,3063.0,1060.0,34.6,2003.0,65.4,2002.0,65.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Virginia Jr/ Sr High School,Virginia CUSD 64,490.8,468.3,13.0,13.0,Illinois,39.9464836,-90.21823119999999,651 South Morgan Street,62691,Cass County,Virginia,17017,"651 South Morgan Street, Virginia, Illinois, 62691",960200,17017960200,2023.0,960200.0,Cass County,Illinois,173.0,38.0,86.0,39.0,10.0,1944.0,55.0,82.0,834.0,380.0,130.0,351.0,112.0,22.0,49.7,22.5,5.8,2.8,4.2,42.9,19.5,6.7,18.1,5.8,1128.0,62328.0,84024.0,2668.0,75.0,2.8,2593.0,97.2,2534.0,95.0,20.0,0.7,0.0,0.0,3.0,0.1,0.0,0.0,7.0,0.3,29.0,1.1
A-C Central High School,A-C Central CUSD 262,469.2,441.7,24.0,24.0,Illinois,39.8926467,-90.01272159999999,601 West Buchanan Street,62612,Cass County,Ashland,17017,"601 West Buchanan Street, Ashland, Illinois, 62612",960100,17017960100,2023.0,960100.0,Cass County,Illinois,123.0,17.0,64.0,38.0,4.0,1385.0,57.0,81.0,596.0,246.0,157.0,160.0,88.0,13.8,52.0,30.9,3.3,4.1,5.8,43.0,17.8,11.3,11.6,6.4,916.0,60556.0,75270.0,1968.0,10.0,0.5,1958.0,99.5,1867.0,94.9,2.0,0.1,9.0,0.5,0.0,0.0,0.0,0.0,49.0,2.5,31.0,1.6
Franklin Jr/Sr High School,Franklin CUSD 1,455.5,433.6,22.0,22.0,Illinois,39.623455,-90.0469665,110 State Street,62638,Morgan County,Franklin,17137,"110 State Street, Franklin, Illinois, 62638",952300,17137952300,2023.0,952300.0,Morgan County,Illinois,228.0,44.0,89.0,76.0,19.0,2211.0,33.0,106.0,993.0,491.0,139.0,272.0,177.0,19.3,39.0,33.3,8.3,1.5,4.8,44.9,22.2,6.3,12.3,8.0,1260.0,70476.0,94286.0,3337.0,143.0,4.3,3194.0,95.7,3112.0,93.3,33.0,1.0,0.0,0.0,14.0,0.4,0.0,0.0,0.0,0.0,35.0,1.0
