School Name,District Name,Reading/Writing Score,Math Score,Tests Taken,# Students SAT ELA Participation
,Payson CUSD 1,473.4,455.2,29,29
Seymour High School,Payson CUSD 1,473.4,455.2,29,29
Seymour Elementary School,Payson CUSD 1,,,,
,Liberty CUSD 2,470.2,481.5,54,54
Liberty High School,Liberty CUSD 2,470.2,481.5,54,54
Liberty Elementary School,Liberty CUSD 2,,,,
,Central CUSD 3,506.2,507.1,65,65
Central High School,Central CUSD 3,506.2,507.1,65,65
Central Junior High School,Central CUSD 3,,,,
Central Elementary Grade School,Central CUSD 3,,,,
Central 3-4 Middle School,Central CUSD 3,,,,
,CUSD 4,485.1,464.4,41,41
Unity High School,CUSD 4,485.1,464.4,41,41
Unity Elementary School,CUSD 4,,,,
Unity Middle School,CUSD 4,,,,
,Quincy SD 172,476.4,449.4,433,434
Quincy Sr High School,Quincy SD 172,476.4,449.4,433,434
Quincy Jr High School,Quincy SD 172,,,,
Sarah Atwater Denman Elementary School,Quincy SD 172,,,,
Colonel George Iles Elementary School,Quincy SD 172,,,,
Thomas S Baldwin Elementary School,Quincy SD 172,,,,
Lincoln-Douglas Elementary School,Quincy SD 172,,,,
Dr. Abby Fox Rooney Elementary School,Quincy SD 172,,,,
Early Childhood,Quincy SD 172,,,,
,Brown County CUSD 1,491,487.1,42,42
Brown County High School,Brown County CUSD 1,491,487.1,42,42
Brown County Middle School,Brown County CUSD 1,,,,
Brown County Elementary School,Brown County CUSD 1,,,,
,Beardstown CUSD 15,419.3,394.2,90,90
Beardstown Jr/Sr High School,Beardstown CUSD 15,419.3,394.2,90,90
Gard Elementary School,Beardstown CUSD 15,,,,
Grand Ave Sch,Beardstown CUSD 15,,,,
,Virginia CUSD 64,490.8,468.3,13,13
Virginia Jr/ Sr High School,Virginia CUSD 64,490.8,468.3,13,13
Virginia Elem School,Virginia CUSD 64,,,,
,A-C Central CUSD 262,469.2,441.7,24,24
A-C Central High School,A-C Central CUSD 262,469.2,441.7,24,24
A-C Central Middle School,A-C Central CUSD 262,,,,
A-C Central Elementary School,A-C Central CUSD 262,,,,
,Franklin CUSD 1,455.5,433.6,22,22
Franklin Jr/Sr High School,Franklin CUSD 1,455.5,433.6,22,22
Franklin East Grade School,Franklin CUSD 1,,,,
Franklin Elementary School,Franklin CUSD 1,,,,
,Waverly CUSD 6,445.2,424.8,21,21
Waverly Junior/Senior High School,Waverly CUSD 6,445.2,424.8,21,21
Waverly Elementary School,Waverly CUSD 6,,,,
,Meredosia-Chambersburg CUSD 11,416.7,388.7,15,15
Meredosia-Chambersburg High Sch,Meredosia-Chambersburg CUSD 11,416.7,388.7,15,15
Meredosia-Chambersburg Jr High,Meredosia-Chambersburg CUSD 11,,,,
Meredosia-Chambersburg Elem Sch,Meredosia-Chambersburg CUSD 11,,,,
,Triopia CUSD 27,476.2,491,29,30
Triopia Jr-Sr High School,Triopia CUSD 27,476.2,491,29,30
Triopia Grade School,Triopia CUSD 27,,,,
,Jacksonville SD 117,477.6,448.2,177,177
Jacksonville High School,Jacksonville SD 117,477.6,448.2,177,177
Jacksonville Middle School,Jacksonville SD 117,,,,
Eisenhower Elem School,Jacksonville SD 117,,,,
Washington Elem School,Jacksonville SD 117,,,,
Lincoln Elem School,Jacksonville SD 117,,,,
South Jacksonville Elem School,Jacksonville SD 117,,,,
North Jacksonville School,Jacksonville SD 117,,,,
Murrayville-Woodson Elem School,Jacksonville SD 117,,,,
The Early Years,Jacksonville SD 117,,,,
,Pleasant Hill CUSD 3,438.3,422.3,31,31
Pleasant Hill High School,Pleasant Hill CUSD 3,438.3,422.3,31,31
Pleasant Hill Elem School,Pleasant Hill CUSD 3,,,,
,Griggsville-Perry CUSD 4,461,438,30,30
Griggsville-Perry High School,Griggsville-Perry CUSD 4,461,438,30,30
Griggsville-Perry Middle School,Griggsville-Perry CUSD 4,,,,
Griggsville-Perry Primary School,Griggsville-Perry CUSD 4,,,,
,Pikeland CUSD 10,470.5,450.3,79,79
Pittsfield High School,Pikeland CUSD 10,470.5,450.3,79,79
Pittsfield South Elem School,Pikeland CUSD 10,,,,
Pikeland Community School,Pikeland CUSD 10,,,,
,Western CUSD 12,493.3,463.7,27,27
Western High School,Western CUSD 12,493.3,463.7,27,27
Western Jr High School,Western CUSD 12,,,,
Western Barry Elem,Western CUSD 12,,,,
,Winchester CUSD 1,460.3,443.6,33,33
Winchester High School,Winchester CUSD 1,460.3,443.6,33,33
Winchester Elem School,Winchester CUSD 1,,,,
,Scott-Morgan CUSD 2,451.7,466.7,18,18
Bluffs High School,Scott-Morgan CUSD 2,451.7,466.7,18,18
Bluffs Junior High School,Scott-Morgan CUSD 2,,,,
Bluffs Elementary School,Scott-Morgan CUSD 2,,,,
,Mulberry Grove CUSD 1,451.6,443.4,32,32
Mulberry Grove Sr High School,Mulberry Grove CUSD 1,451.6,443.4,32,32
Mulberry Grove Jr High School,Mulberry Grove CUSD 1,,,,
Mulberry Grove Elem School,Mulberry Grove CUSD 1,,,,
,Bond County CUSD 2,495.2,472.9,122,123
Bond Cty Comm Unit 2 High School,Bond County CUSD 2,495.2,472.9,122,123
Greenville Jr High School,Bond County CUSD 2,,,,
Greenville Elem School,Bond County CUSD 2,,,,
Pocahontas Center,Bond County CUSD 2,,,,
Bond County CUSD 2 Early Childhood Center,Bond County CUSD 2,,,,
,Morrisonville CUSD 1,447.8,403.5,23,23
Morrisonville High School,Morrisonville CUSD 1,447.8,403.5,23,23
Morrisonville Jr High School,Morrisonville CUSD 1,,,,
Morrisonville Elem School,Morrisonville CUSD 1,,,,
,Taylorville CUSD 3,475.2,453.2,176,176
Taylorville Sr High School,Taylorville CUSD 3,475.2,453.2,176,176
Taylorville Jr High School,Taylorville CUSD 3,,,,
Memorial Elem School,Taylorville CUSD 3,,,,
North Elem School,Taylorville CUSD 3,,,,
,Edinburg CUSD 4,493.1,402.3,13,13
Edinburg High School,Edinburg CUSD 4,493.1,402.3,13,13
Edinburg Jr High School,Edinburg CUSD 4,,,,
Edinburg Elem School,Edinburg CUSD 4,,,,
,Pana CUSD 8,473,438.6,79,79
Pana Sr High School,Pana CUSD 8,473,438.6,79,79
Pana Jr High School,Pana CUSD 8,,,,
Lincoln Elem School,Pana CUSD 8,,,,
Washington Elem School,Pana CUSD 8,,,,
,South Fork SD 14,417,393.5,20,20
South Fork Jr Sr High School,South Fork SD 14,417,393.5,20,20
South Fork Elementary School,South Fork SD 14,,,,
,Altamont CUSD 10,462.2,445.3,59,59
Altamont High School,Altamont CUSD 10,462.2,445.3,59,59
Altamont Grade School,Altamont CUSD 10,,,,
,Beecher City CUSD 20,504.2,524.2,24,24
Beecher City Jr-Sr High School,Beecher City CUSD 20,504.2,524.2,24,24
Beecher City Grade School,Beecher City CUSD 20,,,,
,Dieterich CUSD 30,468.6,468.9,35,35
Dieterich Jr/Sr High School,Dieterich CUSD 30,468.6,468.9,35,35
Dieterich Elem School,Dieterich CUSD 30,,,,
,Effingham CUSD 40,471.2,451.4,168,168
Effingham High School,Effingham CUSD 40,471.2,451.4,168,168
Effingham Junior High School,Effingham CUSD 40,,,,
Central Grade School,Effingham CUSD 40,,,,
Early Learning Center,Effingham CUSD 40,,,,
South Side Grade School,Effingham CUSD 40,,,,
Effingham Unit 40 Preschool,Effingham CUSD 40,,,,
,Teutopolis CUSD 50,503.4,492,93,93
Teutopolis High School,Teutopolis CUSD 50,503.4,492,93,93
Teutopolis Junior High School,Teutopolis CUSD 50,,,,
Teutopolis Grade School,Teutopolis CUSD 50,,,,
,Brownstown CUSD 201,456.2,434.8,21,21
Brownstown High School,Brownstown CUSD 201,456.2,434.8,21,21
Brownstown Jr High School,Brownstown CUSD 201,,,,
Brownstown Elem School,Brownstown CUSD 201,,,,
,St Elmo CUSD 202,476.6,446.9,29,30
St Elmo Sr High School,St Elmo CUSD 202,476.6,446.9,29,30
St Elmo Jr High School,St Elmo CUSD 202,,,,
St Elmo Elem School,St Elmo CUSD 202,,,,
,Vandalia CUSD 203,448.1,437.5,75,75
Vandalia Community High School,Vandalia CUSD 203,448.1,437.5,75,75
Vandalia Elementary School,Vandalia CUSD 203,,,,
Vandalia Junior High School,Vandalia CUSD 203,,,,
,Ramsey CUSD 204,456.9,455.2,42,42
Ramsey High School,Ramsey CUSD 204,456.9,455.2,42,42
Ramsey Elem School,Ramsey CUSD 204,,,,
,Panhandle CUSD 2,463.7,457,27,27
Lincolnwood High School,Panhandle CUSD 2,463.7,457,27,27
Lincolnwood Jr High School,Panhandle CUSD 2,,,,
Farmersville Elem School,Panhandle CUSD 2,,,,
Raymond Grade School,Panhandle CUSD 2,,,,
,Hillsboro CUSD 3,457,431.2,105,105
Hillsboro High School,Hillsboro CUSD 3,457,431.2,105,105
Hillsboro Jr High School,Hillsboro CUSD 3,,,,
Beckemeyer Elem School,Hillsboro CUSD 3,,,,
Coffeen Early Childhood Center,Hillsboro CUSD 3,,,,
,Litchfield CUSD 12,463.9,445.5,98,98
Litchfield Senior High School,Litchfield CUSD 12,463.9,445.5,98,98
Litchfield Middle School,Litchfield CUSD 12,,,,
J D Colt Elem School,Litchfield CUSD 12,,,,
Madison Park Elem School,Litchfield CUSD 12,,,,
Litchfield Elementary School,Litchfield CUSD 12,,,,
Litchfield Prekindergarten,Litchfield CUSD 12,,,,
,Nokomis CUSD 22,465.4,468.3,35,35
Nokomis Jr/Sr High Sch,Nokomis CUSD 22,465.4,468.3,35,35
North Elem School,Nokomis CUSD 22,,,,
,Belvidere CUSD 100,461.2,434.6,589,588
Belvidere High School,Belvidere CUSD 100,438,410.5,267,266
Belvidere North High Sch,Belvidere CUSD 100,480.4,454.6,322,322
Belvidere South Middle School,Belvidere CUSD 100,,,,
Belvidere Central Middle School,Belvidere CUSD 100,,,,
Caledonia Elem School,Belvidere CUSD 100,,,,
Lincoln Elem School,Belvidere CUSD 100,,,,
Perry Elem School,Belvidere CUSD 100,,,,
Washington Academy,Belvidere CUSD 100,,,,
Meehan Elementary School,Belvidere CUSD 100,,,,
Seth Whitman Elem Sch,Belvidere CUSD 100,,,,
,North Boone CUSD 200,461.4,434.6,125,126
North Boone High School,North Boone CUSD 200,461.4,434.6,125,126
