School Name,Tests Taken,Reading / Writing,Writing,Math
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,     106,536,,524
Abington - Abington High,     148,528,,525
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,       1,,,
Acton-Boxborough - Acton-Boxborough Regional High,     343,648,,677
Adams-Cheshire - Hoosac Valley High School,      73,524,,516
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,     185,624,,662
Agawam - Agawam High,     218,546,,555
Amesbury - Amesbury High,     160,569,,571
Amesbury - Amesbury Innovation High School,       3,,,
Amherst-Pelham - Amherst Regional High,     224,604,,597
Andover - Andover High,     534,604,,603
Arlington - Arlington High,     401,603,,601
Ashburnham-Westminster - Oakmont Regional High School,     195,556,,557
Ashland - Ashland High,     232,573,,596
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,     170,513,,497
Athol-Royalston - Athol High,      26,500,,494
Atlantis Charter (District) - Atlantis Charter School,      49,492,,489
Attleboro - Attleboro Community Academy,       1,,,
Attleboro - Attleboro High,     418,547,,544
Auburn - Auburn Senior High,     191,551,,548
Avon - Avon Middle High School,      57,506,,490
Ayer Shirley School District - Ayer Shirley Regional High School,     104,562,,560
Barnstable - Barnstable High,     350,556,,552
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,      34,465,,462
Bedford - Bedford High,     200,611,,615
Belchertown - Belchertown High,     145,567,,557
Bellingham - Bellingham High School,     157,533,,526
Bellingham - Keough Memorial Academy,       5,,,
Belmont - Belmont High,     351,612,,624
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,      49,575,,546
Berkshire Hills - Monument Mt Regional High,     106,591,,559
Berlin-Boylston - Tahanto Regional High,      98,574,,578
Beverly - Beverly High,     306,566,,554
Billerica - Billerica Memorial High School,     386,551,,561
Blackstone Valley Regional Vocational Technical - Blackstone Valley,     312,559,,549
Blackstone-Millville - Blackstone Millville RHS,      94,539,,536
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,     176,492,,490
Boston - Another Course To College,      73,435,,436
Boston - Boston Adult Academy,       4,,,
Boston - Boston Arts Academy,     166,474,,468
Boston - Boston Collaborative High School,       4,,,
Boston - Boston Community Leadership Academy,     170,442,,451
Boston - Boston International High School,      69,400,,442
Boston - Boston Latin,     559,653,,667
Boston - Boston Latin Academy,     407,578,,601
Boston - Brighton High,     101,425,,444
Boston - Charlestown High,     136,424,,481
Boston - Community Academy,       1,,,
Boston - Community Academy of Science and Health,      85,417,,418
Boston - Dearborn,      43,414,,423
Boston - Dr. William Henderson Upper,      55,422,,434
Boston - East Boston High,     237,462,,467
Boston - Excel High School,      73,436,,463
Boston - Fenway High School,     107,451,,467
Boston - Greater Egleston Community High School,       2,,,
Boston - Jeremiah E Burke High,      57,414,,435
Boston - Lyon Upper 9-12,      20,476,,460
Boston - Madison Park High,      85,411,,414
Boston - Margarita Muniz Academy,      88,410,,422
Boston - New Mission High School,     132,476,,509
Boston - O'Bryant School Math/Science,     408,538,,575
Boston - Quincy Upper School,      77,475,,474
Boston - Snowden International School at Copley,      73,464,,472
Boston - TechBoston Academy,     173,419,,417
Boston - The English High,      68,424,,434
Boston - Urban Science Academy,      41,471,,462
Boston - West Roxbury Academy,      62,426,,420
Boston - William McKinley,       7,,,
Boston Collegiate Charter (District) - Boston Collegiate Charter School,     107,535,,541
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,      38,444,,446
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,      75,434,,441
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,      76,486,,515
Bourne - Bourne High School,     202,533,,513
Braintree - Braintree High,     509,559,,574
Bridgewater-Raynham - Bridgewater-Raynham Regional,     418,559,,563
Bridgewater-Raynham - Therapeutic Day School,       1,,,
Bristol County Agricultural - Bristol County Agricultural High,      99,533,,522
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,     147,509,,511
Brockton - Brockton High,     638,498,,494
Brockton - Edison Academy,       1,,,
Brooke Charter School (District) - Brooke Charter School,      60,514,,561
Brookline - Brookline High,     494,627,,638
Burlington - Burlington High,     307,571,,563
Cambridge - Cambridge Rindge and Latin,     527,557,,563
Canton - Canton High,     330,572,,578
Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical,      50,506,,492
Carver - Carver Middle/High School,      81,568,,568
Central Berkshire - Wahconah Regional High,     119,551,,552
Chelmsford - Chelmsford High,     464,573,,586
Chelsea - Chelsea High,     177,477,,464
Chelsea - Chelsea Opportunity Academy,       1,,,
Chicopee - Chicopee Academy,       1,,,
Chicopee - Chicopee Comprehensive High School,     161,553,,533
Chicopee - Chicopee High,     117,531,,520
City on a Hill Charter Public School Circuit Street (District) - City on a Hill Charter Public School Circuit Street,      30,437,,467
City on a Hill Charter Public School Dudley Square (District) - City on a Hill Charter Public School Dudley Square,      64,457,,475
Clinton - Clinton Senior High,     112,522,,511
Codman Academy Charter Public (District) - Codman Academy Charter Public School,      53,435,,454
Cohasset - Cohasset Middle/High School,     162,611,,588
Community Charter School of Cambridge (District) - Community Charter School of Cambridge,      76,508,,522
Concord-Carlisle - Concord Carlisle High,     251,631,,640
Danvers - Danvers High,     247,556,,543
Dartmouth - Dartmouth High,     258,557,,548
Dedham - Dedham High,     222,552,,571
Dennis-Yarmouth - Dennis-Yarmouth Regional High,     222,527,,511
Dighton-Rehoboth - Dighton-Rehoboth Regional High School,     183,549,,539
Douglas - Douglas High School,      97,555,,529
Dover-Sherborn - Dover-Sherborn Regional High,     167,625,,629
Dracut - Dracut Senior High,     197,545,,559
Dudley-Charlton Reg - Shepherd Hill Regional High,     260,556,,564
Duxbury - Duxbury High,     351,585,,573
East Bridgewater - East Bridgewater JR./SR. High School,     159,539,,517
East Longmeadow - East Longmeadow High,     212,559,,564
Easthampton - Easthampton High,      89,536,,514
Easton - Oliver Ames High,     348,572,,572
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District) - Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),     148,440,,441
Essex North Shore Agricultural and Technical School District - Essex North Shore Agricultural and Technical School,     363,526,,501
Everett - Devens School,       2,,,
Everett - Everett High,     418,494,,492
Excel Academy Charter (District) - Excel Academy Charter School,     170,500,,528
Fairhaven - Fairhaven High,     143,553,,572
Fall River - B M C Durfee High,     474,470,,462
Fall River - Resiliency Preparatory Academy,       1,,,
Falmouth - Falmouth High,     232,567,,555
