school_name,School Code,tests_taken,SAT_reading_writing,SAT_math,Total # of Classes,avg_class_size,number_of_students,Female %,Male %,perc_english_learner,perc_disabilities,perc_econ_disadvg,District Code,perc_african_american,perc_asian,perc_hispanic,perc_white,perc_native_american,perc_hawaiian_pacific_isl,perc_multi_race_non_hisp,District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,total_exp_per_pupil,year
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,71,520,494,713.0,18.9,1425.0,54.4,45.6,13.6,13.0,48.6,4450000.0,54.3,3.4,19.7,16.8,0.6,0.1,5.1,Abby Kelley Foster Charter Public (District),"          $21,885,215.62",1421.4,"              $15,396.51","          $21,885,215.62",1421.4,15396.51,2020.0
Abington - Abington High,10505,66,533,539,266.0,17.1,591.0,46.9,53.1,5.6,11.5,26.9,10000.0,4.7,2.7,11.7,80.4,0.0,0.0,0.5,Abington,"          $29,446,070.52",2146.0,"              $13,721.37","          $34,045,424.41",2253.2,15109.81,2020.0
Acton-Boxborough - Acton-Boxborough Regional High,6000505,176,657,688,782.0,15.8,1755.0,47.0,52.8,1.1,9.9,7.9,6000000.0,2.9,34.9,5.2,52.7,0.1,0.0,4.3,Acton-Boxborough,"          $86,603,131.70",5437.6,"              $15,926.72","          $96,289,999.24",5566.4,17298.43,2020.0
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,106,625,667,490.0,18.6,960.0,47.6,52.3,2.0,6.3,10.7,4300000.0,1.9,17.2,7.2,67.6,0.0,0.0,6.2,Advanced Math and Science Academy Charter (District),"          $15,918,145.99",964.8,"              $16,498.74","          $15,918,145.99",964.8,16498.74,2020.0
Agawam - Agawam High,50505,81,557,560,664.0,13.9,1037.0,48.8,51.1,1.6,13.7,27.6,50000.0,2.0,2.9,8.3,83.8,0.1,0.0,2.9,Agawam,"          $63,222,072.60",3699.1,"              $17,091.20","          $68,666,461.05",3848.2,17843.79,2020.0
Amesbury - Amesbury High,70505,80,572,574,353.0,14.3,518.0,49.2,50.4,1.7,16.8,20.7,70000.0,2.5,1.2,8.1,84.0,0.0,0.0,4.3,Amesbury,"          $33,455,712.53",2015.8,"              $16,596.74","          $39,152,791.79",2196.1,17828.33,2020.0
Amherst-Pelham - Amherst Regional High,6050505,129,617,618,568.0,11.1,863.0,49.4,50.1,8.2,21.1,28.3,6050000.0,8.5,8.9,17.7,55.3,0.0,0.0,9.6,Amherst-Pelham,"          $29,317,423.00",1345.7,"              $21,786.00","          $33,690,959.00",1498.1,22489.13,2020.0
Andover - Andover High,90505,397,605,625,1760.0,8.6,1747.0,53.4,46.5,0.6,16.1,11.0,90000.0,2.6,19.5,7.1,68.1,0.2,0.0,2.4,Andover,"         $108,485,137.45",5869.7,"              $18,482.23","         $117,777,377.45",5992.0,19655.77,2020.0
Arlington - Arlington High,100505,159,610,608,997.0,13.0,1419.0,53.5,46.0,0.9,11.9,10.0,100000.0,3.8,10.7,5.8,74.2,0.0,0.1,5.4,Arlington,"          $90,254,320.50",6096.3,"              $14,804.77","          $96,863,420.28",6197.7,15628.93,2020.0
Ashburnham-Westminster - Oakmont Regional High School,6100505,70,567,564,336.0,14.7,606.0,48.5,51.5,0.5,19.3,18.7,6100000.0,1.2,1.3,4.1,91.8,0.2,0.0,1.5,Ashburnham-Westminster,"          $30,821,395.10",2376.1,"              $12,971.42","          $32,558,334.15",2465.8,13203.96,2020.0
Ashland - Ashland High,140505,96,570,607,388.0,15.3,779.0,51.0,49.0,3.2,12.7,17.3,140000.0,2.4,12.1,12.7,68.8,0.6,0.0,3.3,Ashland,"          $39,289,471.97",2869.7,"              $13,691.14","          $43,599,903.48",2937.0,14845.05,2020.0
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,8010605,47,506,507,673.0,12.3,1138.0,40.3,58.5,4.9,25.8,33.2,8010000.0,1.7,0.5,22.3,73.0,0.1,0.0,2.4,Assabet Valley Regional Vocational Technical,"          $23,832,072.12",1160.7,"              $20,532.50","          $23,870,752.12",1161.7,20548.12,2020.0
Athol-Royalston - Athol High,6150505,26,507,491,159.0,15.7,347.0,47.8,52.2,2.6,26.2,50.4,6150000.0,2.6,0.6,14.1,78.7,0.0,0.0,4.0,Athol-Royalston,"          $21,931,136.67",1525.1,"              $14,380.13","          $26,318,318.35",1875.4,14033.44,2020.0
Atlantis Charter (District) - Atlantis Charter School,4910550,37,504,499,542.0,13.1,1290.0,52.3,47.7,15.0,13.3,51.9,4910000.0,5.4,2.2,15.2,73.3,0.1,0.1,3.9,Atlantis Charter (District),"          $18,466,839.00",1301.6,"              $14,187.69","          $18,466,839.00",1301.6,14187.69,2020.0
Attleboro - Attleboro High,160505,211,549,542,920.0,18.4,1779.0,45.7,54.2,3.0,15.9,30.5,160000.0,6.5,5.0,16.0,67.3,0.3,0.2,4.8,Attleboro,"          $81,810,391.30",5986.6,"              $13,665.59","          $92,005,267.71",6476.4,14206.24,2020.0
Auburn - Auburn Senior High,170505,92,564,547,647.0,15.2,796.0,50.6,49.1,1.5,11.2,23.6,170000.0,3.0,4.8,8.2,81.0,0.1,0.0,2.9,Auburn,"          $36,961,376.60",2640.8,"              $13,996.28","          $38,350,080.14",2693.2,14239.6,2020.0
Avon - Avon Middle High School,180510,32,519,510,233.0,13.2,315.0,44.1,55.9,2.5,18.7,37.1,180000.0,34.3,5.1,10.8,41.6,1.3,0.0,7.0,Avon,"          $11,864,225.00",721.8,"              $16,437.00","          $13,140,054.00",748.4,17557.53,2020.0
Ayer Shirley School District - Ayer Shirley Regional High School,6160505,56,560,552,238.0,13.8,359.0,51.3,48.8,1.4,17.3,24.5,6160000.0,3.1,2.5,11.4,73.3,1.7,0.8,7.2,Ayer Shirley School District,"          $26,211,086.04",1677.5,"              $15,625.09","          $30,712,776.30",1892.5,16228.68,2020.0
Barnstable - Barnstable High,200505,204,557,551,1587.0,6.7,1608.0,50.7,49.2,8.8,16.2,39.0,200000.0,9.1,2.1,17.5,66.5,0.3,0.3,4.3,Barnstable,"          $88,538,243.57",5075.7,"              $17,443.55","          $98,005,720.48",5630.9,17404.98,2020.0
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,27,437,447,369.0,13.3,470.0,45.3,54.7,8.7,20.2,76.8,35020000.0,27.7,0.9,60.0,9.8,0.0,0.4,1.3,Baystate Academy Charter Public School (District),"           $8,382,148.79",473.7,"              $17,694.68","           $8,382,148.79",473.7,17694.68,2020.0
Bedford - Bedford High,230505,85,609,617,530.0,12.9,825.0,49.5,50.4,1.3,15.8,11.4,230000.0,7.4,15.2,11.3,60.9,0.0,0.1,5.2,Bedford,"          $50,196,541.22",2688.5,"              $18,670.84","          $55,192,858.99",2734.5,20183.89,2020.0
Belchertown - Belchertown High,240505,73,567,562,422.0,14.5,693.0,51.8,47.8,0.1,15.3,19.1,240000.0,2.2,1.3,3.3,89.8,0.4,0.4,2.6,Belchertown,"          $32,308,201.52",2244.4,"              $14,395.03","          $35,668,291.58",2449.7,14560.27,2020.0
Bellingham - Bellingham High School,250505,73,544,540,311.0,16.2,730.0,48.5,51.5,1.5,18.4,21.0,250000.0,2.5,4.0,5.9,85.3,0.0,0.0,2.3,Bellingham,"          $36,031,834.54",2130.1,"              $16,915.56","          $42,475,337.14",2410.5,17620.97,2020.0
Belmont - Belmont High,260505,241,622,641,437.0,20.8,1306.0,50.5,49.5,1.4,8.0,9.3,260000.0,3.6,18.1,4.8,67.1,0.1,0.0,6.4,Belmont,"          $65,303,313.00",4717.1,"              $13,843.95","          $73,554,813.00",4813.8,15279.99,2020.0
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,4140305,11,585,586,141.0,18.5,366.0,46.2,53.0,1.4,21.6,51.9,4140000.0,12.3,2.7,12.3,66.4,0.3,0.0,6.0,Berkshire Arts and Technology Charter Public (District),"           $6,507,994.34",364.4,"              $17,860.95","           $6,507,994.34",364.4,17860.95,2020.0
Berkshire Hills - Monument Mt Regional High,6180505,45,579,556,416.0,8.7,499.0,51.7,48.3,3.0,12.8,25.5,6180000.0,1.6,2.8,9.4,81.4,0.4,0.6,3.8,Berkshire Hills,"          $27,734,002.94",1202.0,"              $23,073.21","          $29,987,385.64",1307.1,22941.92,2020.0
Berlin-Boylston - Tahanto Regional High,6200505,33,576,588,359.0,15.4,550.0,49.8,49.5,1.8,16.2,15.5,6200000.0,2.0,5.1,6.6,83.5,0.0,0.2,2.7,Berlin-Boylston,"          $16,466,845.00",1049.2,"              $15,694.67","          $18,282,809.00",1105.8,16533.56,2020.0
Beverly - Beverly High,300505,143,575,568,562.0,18.9,1280.0,47.1,52.8,2.9,17.1,28.1,300000.0,3.6,2.8,14.5,75.6,0.1,0.1,3.4,Beverly,"          $64,369,956.05",4742.4,"              $13,573.29","          $72,741,821.42",4921.2,14781.32,2020.0
Billerica - Billerica Memorial High School,310505,205,555,569,1316.0,9.5,1654.0,49.3,50.7,1.3,19.8,20.2,310000.0,6.5,8.8,7.1,74.9,0.2,0.2,2.3,Billerica,"          $82,053,202.00",4809.2,"              $17,061.72","          $89,412,353.00",5039.2,17743.36,2020.0
Blackstone Valley Regional Vocational Technical - Blackstone Valley,8050605,153,578,564,796.0,17.4,1230.0,50.2,49.7,0.5,10.4,10.5,8050000.0,1.2,2.0,7.9,86.4,0.0,0.1,2.4,Blackstone Valley Regional Vocational Technical,"          $25,573,330.57",1238.6,"              $20,646.96","          $25,584,432.57",1240.6,20622.63,2020.0
Blackstone-Millville - Blackstone Millville RHS,6220505,34,544,541,367.0,8.1,418.0,46.2,53.6,1.0,16.0,25.6,6220000.0,2.4,1.0,6.2,86.6,0.0,0.0,3.8,Blackstone-Millville,"          $23,430,312.04",1660.3,"              $14,112.10","          $26,329,639.55",1836.1,14339.98,2020.0
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,8060605,61,502,480,329.0,19.1,874.0,45.8,54.2,1.4,26.7,31.4,8060000.0,22.1,2.3,15.1,54.4,0.7,0.0,5.5,Blue Hills Regional Vocational Technical,"          $20,614,109.87",862.5,"              $23,900.42","          $20,614,109.87",862.5,23900.42,2020.0
Boston - Another Course To College,350541,31,469,457,141.0,14.8,256.0,41.0,58.6,10.6,34.4,68.8,350000.0,49.2,0.8,42.6,5.1,0.4,0.0,2.0,Boston,"       $1,288,689,470.40",51103.0,"              $25,217.49","       $1,570,952,894.33",65400.5,24020.5,2020.0
Boston - Boston Arts Academy,350546,67,464,468,457.0,16.6,481.0,69.2,30.2,7.1,18.7,58.4,350000.0,41.6,2.1,41.6,8.9,0.4,0.2,5.2,Boston,"       $1,288,689,470.40",51103.0,"              $25,217.49","       $1,570,952,894.33",65400.5,24020.5,2020.0
Boston - Boston Community Leadership Academy,350558,60,450,474,228.0,18.9,490.0,47.8,52.2,29.2,23.3,71.8,350000.0,35.9,2.7,56.5,3.5,0.2,0.4,0.8,Boston,"       $1,288,689,470.40",51103.0,"              $25,217.49","       $1,570,952,894.33",65400.5,24020.5,2020.0
Boston - Boston International High School,350507,18,412,448,203.0,14.9,432.0,42.4,57.6,91.0,5.8,73.8,350000.0,33.1,8.1,56.7,1.6,0.2,0.0,0.2,Boston,"       $1,288,689,470.40",51103.0,"              $25,217.49","       $1,570,952,894.33",65400.5,24020.5,2020.0
Boston - Boston Latin,350560,310,655,671,743.0,24.5,2485.0,52.3,47.4,0.0,3.1,18.6,350000.0,7.8,29.4,13.2,44.6,0.1,0.2,4.7,Boston,"       $1,288,689,470.40",51103.0,"              $25,217.49","       $1,570,952,894.33",65400.5,24020.5,2020.0
Boston - Boston Latin Academy,350545,209,576,602,708.0,21.5,1774.0,58.5,41.2,0.1,3.8,36.8,350000.0,21.4,18.9,26.3,29.7,0.1,0.1,3.4,Boston,"       $1,288,689,470.40",51103.0,"              $25,217.49","       $1,570,952,894.33",65400.5,24020.5,2020.0
Boston - Brighton High,350505,47,435,455,238.0,13.6,439.0,41.7,58.3,46.9,30.5,78.4,350000.0,36.9,4.3,51.5,5.0,0.2,0.2,1.8,Boston,"       $1,288,689,470.40",51103.0,"              $25,217.49","       $1,570,952,894.33",65400.5,24020.5,2020.0
Boston - Charlestown High,350515,74,420,461,757.0,12.1,793.0,42.6,57.4,39.6,27.9,74.9,350000.0,28.5,7.3,58.4,4.2,0.3,0.0,1.4,Boston,"       $1,288,689,470.40",51103.0,"              $25,217.49","       $1,570,952,894.33",65400.5,24020.5,2020.0
Boston - Community Academy of Science and Health,350581,30,467,467,181.0,13.6,350.0,44.3,55.7,25.7,41.4,76.9,350000.0,60.9,4.3,28.9,1.7,0.3,0.0,4.0,Boston,"       $1,288,689,470.40",51103.0,"              $25,217.49","       $1,570,952,894.33",65400.5,24020.5,2020.0
Boston - Dearborn,350074,20,433,427,268.0,18.6,598.0,50.8,48.8,32.9,19.7,75.1,350000.0,59.9,0.8,31.9,2.0,0.2,1.0,4.2,Boston,"       $1,288,689,470.40",51103.0,"              $25,217.49","       $1,570,952,894.33",65400.5,24020.5,2020.0
Boston - Dr. William Henderson Upper,350426,55,412,417,280.0,19.6,752.0,45.1,54.9,12.6,41.1,62.4,350000.0,43.4,9.0,25.1,17.6,0.8,0.1,4.0,Boston,"       $1,288,689,470.40",51103.0,"              $25,217.49","       $1,570,952,894.33",65400.5,24020.5,2020.0
Boston - East Boston High,350530,107,467,470,413.0,16.2,1118.0,41.6,58.4,44.2,20.8,70.5,350000.0,4.9,2.0,82.0,9.6,0.1,0.1,1.3,Boston,"       $1,288,689,470.40",51103.0,"              $25,217.49","       $1,570,952,894.33",65400.5,24020.5,2020.0
Boston - Excel High School,350522,41,451,475,232.0,14.5,493.0,41.0,59.0,25.4,28.2,75.1,350000.0,27.6,20.1,41.2,7.1,0.6,0.2,3.3,Boston,"       $1,288,689,470.40",51103.0,"              $25,217.49","       $1,570,952,894.33",65400.5,24020.5,2020.0
Boston - Fenway High School,350540,44,467,458,153.0,16.3,388.0,51.6,48.5,24.2,22.4,69.6,350000.0,28.9,2.6,61.1,4.4,0.3,0.3,2.6,Boston,"       $1,288,689,470.40",51103.0,"              $25,217.49","       $1,570,952,894.33",65400.5,24020.5,2020.0
Boston - Jeremiah E Burke High,350525,79,400,424,157.0,13.5,403.0,43.4,56.3,30.3,31.5,74.9,350000.0,59.3,0.7,32.3,4.2,0.0,0.7,2.7,Boston,"       $1,288,689,470.40",51103.0,"              $25,217.49","       $1,570,952,894.33",65400.5,24020.5,2020.0
Boston - Lyon Upper 9-12,350655,18,456,454,57.0,17.3,142.0,37.3,62.7,12.7,41.6,63.4,350000.0,22.5,4.2,41.6,23.9,0.0,0.0,7.8,Boston,"       $1,288,689,470.40",51103.0,"              $25,217.49","       $1,570,952,894.33",65400.5,24020.5,2020.0
Boston - Madison Park High,350537,41,428,432,433.0,16.9,1099.0,41.2,58.8,33.8,38.2,78.7,350000.0,39.7,1.8,53.3,2.7,0.4,0.3,1.8,Boston,"       $1,288,689,470.40",51103.0,"              $25,217.49","       $1,570,952,894.33",65400.5,24020.5,2020.0
Boston - Margarita Muniz Academy,350549,20,428,435,147.0,18.8,284.0,50.0,50.0,48.9,13.0,77.8,350000.0,7.0,0.0,91.2,0.7,0.4,0.0,0.7,Boston,"       $1,288,689,470.40",51103.0,"              $25,217.49","       $1,570,952,894.33",65400.5,24020.5,2020.0
Boston - New Mission High School,350542,61,463,478,212.0,16.6,480.0,51.0,48.8,15.4,17.3,61.9,350000.0,49.4,2.3,43.8,2.3,0.2,0.0,2.1,Boston,"       $1,288,689,470.40",51103.0,"              $25,217.49","       $1,570,952,894.33",65400.5,24020.5,2020.0
Boston - O'Bryant School Math/Science,350575,174,540,580,527.0,22.5,1615.0,54.8,45.2,1.3,4.7,51.4,350000.0,32.5,20.3,33.6,11.7,0.1,0.3,1.6,Boston,"       $1,288,689,470.40",51103.0,"              $25,217.49","       $1,570,952,894.33",65400.5,24020.5,2020.0
Boston - Quincy Upper School,350565,33,483,474,228.0,20.7,536.0,48.0,52.1,14.4,20.0,61.0,350000.0,21.6,49.6,22.2,3.7,0.2,0.0,2.6,Boston,"       $1,288,689,470.40",51103.0,"              $25,217.49","       $1,570,952,894.33",65400.5,24020.5,2020.0
Boston - Snowden International School at Copley,350690,46,465,453,197.0,20.6,489.0,48.1,51.9,16.8,23.1,71.8,350000.0,32.9,6.1,52.4,5.7,0.4,0.0,2.5,Boston,"       $1,288,689,470.40",51103.0,"              $25,217.49","       $1,570,952,894.33",65400.5,24020.5,2020.0
Boston - TechBoston Academy,350657,66,438,425,462.0,15.0,921.0,43.4,56.5,23.0,22.4,75.0,350000.0,60.8,2.2,30.4,2.7,0.2,0.1,3.6,Boston,"       $1,288,689,470.40",51103.0,"              $25,217.49","       $1,570,952,894.33",65400.5,24020.5,2020.0
Boston - The English High,350535,49,437,418,482.0,14.4,560.0,44.5,55.5,37.1,24.5,74.6,350000.0,36.3,0.9,56.3,3.9,0.4,0.0,2.3,Boston,"       $1,288,689,470.40",51103.0,"              $25,217.49","       $1,570,952,894.33",65400.5,24020.5,2020.0
Boston Collegiate Charter (District) - Boston Collegiate Charter School,4490305,27,534,547,212.0,24.7,719.0,51.3,48.7,4.5,18.4,38.7,4490000.0,34.6,1.8,17.5,42.7,0.1,0.1,3.1,Boston Collegiate Charter (District),"          $15,248,779.53",700.0,"              $21,783.97","          $15,248,779.53",700.0,21783.97,2020.0
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,4240505,18,497,495,415.0,14.7,437.0,52.9,47.1,16.0,34.8,71.2,4240000.0,47.4,0.7,45.5,4.1,0.9,0.0,1.4,Boston Day and Evening Academy Charter (District),"           $7,286,922.69",397.9,"              $18,314.23","           $7,286,922.69",397.9,18314.23,2020.0
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,4110305,23,457,454,270.0,16.4,501.0,47.3,52.7,16.4,33.5,72.3,4110000.0,44.3,1.8,43.9,6.6,0.2,0.4,2.8,Boston Green Academy Horace Mann Charter School (District),"           $7,936,636.59",488.0,"              $16,265.29","           $7,936,636.59",488.0,16265.29,2020.0
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,4160305,73,476,506,207.0,19.4,663.0,50.7,49.3,19.2,20.2,60.9,4160000.0,68.2,0.5,27.3,1.1,0.0,0.2,2.9,Boston Preparatory Charter Public (District),"          $13,784,062.45",575.7,"              $23,941.47","          $13,784,062.45",575.7,23941.47,2020.0
Bourne - Bourne High School,360505,114,534,519,209.0,13.4,416.0,53.1,46.6,1.2,13.5,25.0,360000.0,1.9,1.9,3.6,88.5,1.4,0.0,2.6,Bourne,"          $32,770,035.35",1907.4,"              $17,180.47","          $37,340,744.42",2187.0,17073.96,2020.0
Braintree - Braintree High,400505,249,569,592,809.0,15.2,1761.0,49.6,50.3,4.2,19.4,22.4,400000.0,5.6,19.9,5.3,67.1,0.1,0.2,1.8,Braintree,"          $86,337,028.48",5863.0,"              $14,725.74","          $93,092,438.64",5960.8,15617.44,2020.0
Bridgewater-Raynham - Bridgewater-Raynham Regional,6250505,169,556,564,564.0,14.9,1363.0,50.5,49.5,1.3,12.2,21.0,6250000.0,7.3,1.7,2.2,83.6,0.1,0.1,5.1,Bridgewater-Raynham,"          $71,771,180.72",5428.5,"              $13,221.18","          $79,229,512.72",5683.7,13939.78,2020.0
Bristol County Agricultural - Bristol County Agricultural High,9100705,25,521,542,228.0,18.7,448.0,74.1,25.7,0.0,15.4,24.8,9100000.0,2.2,0.5,4.5,91.1,0.0,0.2,1.6,Bristol County Agricultural,"           $9,281,754.45",445.8,"              $20,820.45","           $9,281,754.45",445.8,20820.45,2020.0
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,8100605,88,521,508,1036.0,18.9,1310.0,42.4,57.6,0.3,17.4,30.2,8100000.0,3.6,1.0,6.0,85.3,0.4,0.0,3.7,Bristol-Plymouth Regional Vocational Technical,"          $25,663,450.00",1316.6,"              $19,492.21","          $25,739,081.00",1331.6,19329.44,2020.0
Brockton - Brockton High,440505,355,490,479,1718.0,18.6,3987.0,46.5,53.5,25.3,13.1,61.4,440000.0,62.6,2.3,15.1,15.3,0.3,0.2,4.2,Brockton,"         $247,558,495.00",16024.8,"              $15,448.46","         $274,509,498.52",17670.7,15534.73,2020.0
Brookline - Brookline High,460505,231,606,624,1121.0,14.0,2043.0,48.4,51.4,1.9,18.8,13.4,460000.0,7.8,15.8,13.0,53.1,0.0,0.1,10.2,Brookline,"         $161,618,859.00",7830.7,"              $20,639.13","         $168,443,506.00",7905.6,21306.86,2020.0
Burlington - Burlington High,480505,126,560,556,561.0,12.2,993.0,46.5,53.4,4.2,10.4,17.2,480000.0,7.9,15.9,8.4,63.3,0.5,0.0,4.0,Burlington,"          $73,138,783.45",3517.4,"              $20,793.42","          $82,653,523.55",3625.2,22799.71,2020.0
Cambridge - Cambridge Rindge and Latin,490506,324,562,560,1063.0,13.8,1890.0,50.5,49.2,4.0,20.2,33.5,490000.0,27.6,9.9,15.3,38.2,0.2,0.4,8.5,Cambridge,"         $205,669,429.95",7104.4,"              $28,949.58","         $241,963,661.99",7768.6,31146.37,2020.0
Canton - Canton High,500505,132,571,572,476.0,16.2,950.0,53.6,46.0,1.1,10.4,19.0,500000.0,13.2,11.7,6.0,64.6,0.0,0.0,4.5,Canton,"          $53,558,689.80",3294.3,"              $16,257.99","          $61,050,697.80",3374.8,18090.17,2020.0
Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical,8150605,25,486,481,408.0,13.3,627.0,36.0,63.5,2.2,24.6,45.1,8150000.0,8.3,0.5,13.6,71.1,1.3,0.3,4.9,Cape Cod Regional Vocational Technical,"          $15,470,292.00",608.5,"              $25,423.65","          $15,534,768.00",618.7,25108.72,2020.0
Carver - Carver Middle/High School,520405,46,550,555,687.0,6.8,721.0,48.5,51.5,1.3,21.6,26.1,520000.0,1.7,0.4,1.9,94.0,0.6,0.1,1.3,Carver,"          $23,409,680.60",1584.5,"              $14,774.18","          $26,347,752.60",1679.0,15692.53,2020.0
Central Berkshire - Wahconah Regional High,6350505,33,513,530,253.0,14.2,495.0,47.7,52.3,0.8,11.1,30.1,6350000.0,0.4,1.0,3.4,91.9,0.2,0.0,3.0,Central Berkshire,"          $25,902,058.00",1576.3,"              $16,432.19","          $28,937,440.00",1801.3,16064.75,2020.0
