School Name,School Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,District Code,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %",District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,School Year
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,     742,18.3,"      1,421",53.6,46.4,16.0,12.6,70.1,04450000,54.5,3.2,20.6,15.9,0.4,0.1,5.4,Abby Kelley Foster Charter Public (District),"          $24,004,095.80","           1,424.3","              $16,853.85","          $24,004,095.80","           1,424.3","              $16,853.85",2021
Abington - Abington Early Education Program,00010001,      16,23.2,         93,41.9,58.1,9.7,44.1,34.4,00010000,10.8,7.5,14.0,67.7,0.0,0.0,0.0,Abington,"          $31,632,120.91","           2,124.7","              $14,887.81","          $36,223,802.52","           2,243.9","              $16,143.23",2021
Abington - Abington High,00010505,     274,16.7,        587,47.7,52.0,6.8,11.4,35.3,00010000,5.1,2.9,12.6,78.2,0.2,0.0,1.0,Abington,"          $31,632,120.91","           2,124.7","              $14,887.81","          $36,223,802.52","           2,243.9","              $16,143.23",2021
Abington - Abington Middle School,00010405,     380,21.4,        667,49.5,49.9,9.5,16.5,37.3,00010000,5.3,2.3,14.1,75.9,0.8,0.2,1.7,Abington,"          $31,632,120.91","           2,124.7","              $14,887.81","          $36,223,802.52","           2,243.9","              $16,143.23",2021
Abington - Beaver Brook Elementary,00010020,     207,23.5,        542,51.1,48.7,15.3,17.9,39.3,00010000,5.5,1.9,15.1,73.1,0.4,0.2,3.9,Abington,"          $31,632,120.91","           2,124.7","              $14,887.81","          $36,223,802.52","           2,243.9","              $16,143.23",2021
Abington - Woodsdale Elementary School,00010015,     117,24.7,        318,49.7,50.3,10.1,20.4,33.0,00010000,5.0,3.1,10.1,78.3,1.3,0.0,2.2,Abington,"          $31,632,120.91","           2,124.7","              $14,887.81","          $36,223,802.52","           2,243.9","              $16,143.23",2021
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,     202,17.3,        497,49.3,50.7,7.4,28.0,61.6,04120000,61.8,0.4,29.0,6.8,0.0,0.2,1.8,Academy Of the Pacific Rim Charter Public (District),"          $11,434,614.36",             539.0,"              $21,216.47","          $11,434,614.36",             539.0,"              $21,216.47",2021
Acton-Boxborough - Acton-Boxborough Regional High,06000505,     742,17.0,"      1,713",47.9,51.6,1.5,10.6,8.8,06000000,3.0,36.5,6.2,50.4,0.1,0.1,3.6,Acton-Boxborough,"          $91,068,584.80","           5,218.9","              $17,449.77","         $101,101,104.27","           5,344.9","              $18,915.43",2021
Acton-Boxborough - Blanchard Memorial School,06000005,     170,20.7,        496,50.6,49.4,8.9,15.1,9.3,06000000,2.2,28.0,9.5,54.4,0.0,0.0,5.9,Acton-Boxborough,"          $91,068,584.80","           5,218.9","              $17,449.77","         $101,101,104.27","           5,344.9","              $18,915.43",2021
Acton-Boxborough - C.T. Douglas Elementary School,06000020,     128,21.3,        386,49.5,50.5,6.0,13.5,14.0,06000000,2.6,17.4,9.1,63.0,0.0,0.0,8.0,Acton-Boxborough,"          $91,068,584.80","           5,218.9","              $17,449.77","         $101,101,104.27","           5,344.9","              $18,915.43",2021
Acton-Boxborough - Carol Huebner Early Childhood Program,06000001,      12,11.8,        127,39.4,60.6,23.6,45.7,15.8,06000000,4.7,42.5,5.5,37.8,0.8,0.0,8.7,Acton-Boxborough,"          $91,068,584.80","           5,218.9","              $17,449.77","         $101,101,104.27","           5,344.9","              $18,915.43",2021
Acton-Boxborough - Luther Conant School,06000030,     136,20.8,        395,45.3,54.4,15.7,15.2,9.4,06000000,3.3,58.0,9.1,25.3,0.0,0.0,4.3,Acton-Boxborough,"          $91,068,584.80","           5,218.9","              $17,449.77","         $101,101,104.27","           5,344.9","              $18,915.43",2021
Acton-Boxborough - McCarthy-Towne School,06000015,     150,21.7,        458,51.1,48.7,7.6,16.8,14.2,06000000,3.7,12.0,8.3,68.8,0.0,0.0,7.2,Acton-Boxborough,"          $91,068,584.80","           5,218.9","              $17,449.77","         $101,101,104.27","           5,344.9","              $18,915.43",2021
Acton-Boxborough - Merriam School,06000010,     149,22.1,        465,49.7,49.9,6.9,15.7,12.3,06000000,3.2,16.6,6.2,65.4,0.0,0.0,8.6,Acton-Boxborough,"          $91,068,584.80","           5,218.9","              $17,449.77","         $101,101,104.27","           5,344.9","              $18,915.43",2021
Acton-Boxborough - Paul P Gates Elementary School,06000025,     122,21.6,        372,47.3,52.7,9.4,10.2,12.4,06000000,1.6,60.5,6.2,26.9,0.0,0.0,4.8,Acton-Boxborough,"          $91,068,584.80","           5,218.9","              $17,449.77","         $101,101,104.27","           5,344.9","              $18,915.43",2021
