School Name,Tests Taken,Reading / Writing,Writing,Math Scores,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),RW Scores
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,81,527,,512,Massachusetts,42.3061923,-71.802933,10 New Bond Street,1606,Worcester County,Worcester,25027,"10 New Bond Street, Worcester, Massachusetts, 01606",730100,25027730100,2022,730100,Worcester County,Massachusetts,678,117,271,213,77,4769,128,285,878,972,370,1247,889,17.3,40,31.4,11.4,2.7,6,18.4,20.4,7.8,26.1,18.6,2539,102708,118088,6973,946,13.6,6027,86.4,4151,59.5,878,12.6,0,0,644,9.2,0,0,78,1.1,276,4,527
Abington - Abington High,126,549,,521,Massachusetts,42.1190163,-70.9531624,201 Gliniewicz Way,2351,Plymouth County,Abington,25023,"201 Gliniewicz Way, Abington, Massachusetts, 02351",520202,25023520202,2022,520202,Plymouth County,Massachusetts,419,0,186,84,149,4346,63,40,1420,501,639,1221,462,0,44.4,20,35.6,1.4,0.9,32.7,11.5,14.7,28.1,10.6,2303,127645,130792,6262,167,2.7,6095,97.3,5549,88.6,41,0.7,0,0,153,2.4,0,0,0,0,352,5.6,549
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,2,,,,Massachusetts,42.2444804,-71.1318984,1 Westinghouse Plaza,2136,Suffolk County,Boston,25025,"1 Westinghouse Plaza, Boston, Massachusetts, 02136",140102,25025140102,2022,140102,Suffolk County,Massachusetts,505,102,102,263,38,3552,37,124,864,702,376,964,485,20.2,20.2,52.1,7.5,1,3.5,24.3,19.8,10.6,27.1,13.7,1782,122990,133480,5457,662,12.1,4795,87.9,2027,37.1,2181,40,0,0,368,6.7,0,0,12,0.2,207,3.8,0
Acton-Boxborough - Acton-Boxborough Regional High,449,655,,681,Massachusetts,42.4796958,-71.4580815,36 Charter Road,1720,Middlesex County,Acton,25017,"36 Charter Road, Acton, Massachusetts, 01720",363202,25017363202,2022,363202,Middlesex County,Massachusetts,285,29,79,73,104,2645,15,46,175,216,77,852,1264,10.2,27.7,25.6,36.5,0.6,1.7,6.6,8.2,2.9,32.2,47.8,1372,171806,201723,3879,185,4.8,3694,95.2,2421,62.4,0,0,0,0,992,25.6,0,0,0,0,281,7.2,655
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,211,604,,634,Massachusetts,42.3336808,-71.5777392,201 Forest Street,1752,Middlesex County,Marlborough,25017,"201 Forest Street, Marlborough, Massachusetts, 01752",321400,25017321400,2022,321400,Middlesex County,Massachusetts,251,7,62,131,51,3279,63,102,699,531,169,911,804,2.8,24.7,52.2,20.3,1.9,3.1,21.3,16.2,5.2,27.8,24.5,1733,125579,135230,4451,468,10.5,3983,89.5,2735,61.4,517,11.6,0,0,339,7.6,0,0,97,2.2,295,6.6,604
Agawam - Agawam High,106,549,,538,Massachusetts,42.0695391,-72.6148117,,N/A,Hampden County,Agawam,25013,,813208,25013813208,2022,813208,Hampden County,Massachusetts,367,0,117,107,143,2306,36,149,602,273,459,589,198,0,31.9,29.2,39,1.6,6.5,26.1,11.8,19.9,25.5,8.6,1307,82132,101536,3347,105,3.1,3242,96.9,2989,89.3,79,2.4,0,0,122,3.6,0,0,0,0,52,1.6,549
Amesbury - Amesbury High,101,574,,566,Massachusetts,42.8510832,-70.9424554,5 Highland Street,1913,Essex County,Amesbury,25009,"5 Highland Street, Amesbury, Massachusetts, 01913",266100,25009266100,2022,266100,Essex County,Massachusetts,334,43,107,109,75,3374,12,36,863,470,452,882,659,12.9,32,32.6,22.5,0.4,1.1,25.6,13.9,13.4,26.1,19.5,1849,97309,143271,4465,103,2.3,4362,97.7,3949,88.4,0,0,5,0.1,43,1,0,0,0,0,365,8.2,574
Amherst-Pelham - Amherst Regional High,127,633,,633,Massachusetts,42.3810321,-72.5129386,21 Mattoon Street,1002,Hampshire County,Amherst,25015,"21 Mattoon Street, Amherst, Massachusetts, 01002",820500,25015820500,2022,820500,Hampshire County,Massachusetts,2310,2,475,1711,122,2802,40,39,373,315,217,443,1375,0.1,20.6,74.1,5.3,1.4,1.4,13.3,11.2,7.7,15.8,49.1,2699,44049,75840,5640,805,14.3,4835,85.7,4196,74.4,83,1.5,7,0.1,389,6.9,0,0,0,0,160,2.8,633
Andover - Andover High,402,611,,619,Massachusetts,42.6571642,-71.1554961,80 Shawsheen Road,1810,Essex County,Andover,25009,"80 Shawsheen Road, Andover, Massachusetts, 01810",254401,25009254401,2022,254401,Essex County,Massachusetts,234,27,58,36,113,2387,25,37,147,220,152,846,960,11.5,24.8,15.4,48.3,1,1.6,6.2,9.2,6.4,35.4,40.2,1341,169531,205474,3763,435,11.6,3328,88.4,2356,62.6,314,8.3,0,0,453,12,0,0,0,0,205,5.4,611
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,24,473,,488,Massachusetts,41.6886926,-71.1615221,263 Hamlet Street,2724,Bristol County,Fall River,25005,"263 Hamlet Street, Fall River, Massachusetts, 02724",640201,25005640201,2022,640201,Bristol County,Massachusetts,250,53,123,44,30,1871,681,260,422,216,12,213,67,21.2,49.2,17.6,12,36.4,13.9,22.6,11.5,0.6,11.4,3.6,1112,47014,51462,2892,811,28,2081,72,1237,42.8,103,3.6,0,0,169,5.8,0,0,93,3.2,479,16.6,473
Arlington - Arlington High,386,626,,619,Massachusetts,42.4153925,-71.1564729,,N/A,Middlesex County,Arlington,25017,,356703,25017356703,2022,356703,Middlesex County,Massachusetts,216,4,13,40,159,2308,10,0,308,211,157,588,1034,1.9,6,18.5,73.6,0.4,0,13.3,9.1,6.8,25.5,44.8,1406,132917,210132,3103,143,4.6,2960,95.4,2395,77.2,130,4.2,0,0,311,10,0,0,4,0.1,120,3.9,626
Ashburnham-Westminster - Oakmont Regional High School,71,575,,565,Massachusetts,42.6036953,-71.9222309,9 Oakmont Drive,1430,Worcester County,Westminster,25027,"9 Oakmont Drive, Westminster, Massachusetts, 01430",700100,25027700100,2022,700100,Worcester County,Massachusetts,628,78,282,172,96,4383,89,109,883,938,649,1097,618,12.4,44.9,27.4,15.3,2,2.5,20.1,21.4,14.8,25,14.1,2288,112133,130527,6337,250,3.9,6087,96.1,5714,90.2,48,0.8,14,0.2,54,0.9,0,0,48,0.8,209,3.3,575
Ashland - Ashland High,226,593,,610,Massachusetts,42.250611,-71.4724887,,1721,Middlesex County,Ashland,25017,,385101,25017385101,2022,385101,Middlesex County,Massachusetts,68,0,68,0,0,2487,0,79,102,488,97,1041,680,0,100,0,0,0,3.2,4.1,19.6,3.9,41.9,27.3,1248,179340,199473,3101,160,5.2,2941,94.8,1722,55.5,491,15.8,0,0,706,22.8,0,0,0,0,22,0.7,593
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,70,534,,511,Massachusetts,42.3688613,-71.5648877,215 Fitchburg Street,1752,Middlesex County,Marlborough,25017,"215 Fitchburg Street, Marlborough, Massachusetts, 01752",322200,25017322200,2022,322200,Middlesex County,Massachusetts,299,16,124,41,118,3435,162,90,573,582,216,978,834,5.4,41.5,13.7,39.5,4.7,2.6,16.7,16.9,6.3,28.5,24.3,1992,106900,130143,4504,152,3.4,4352,96.6,3772,83.7,10,0.2,22,0.5,273,6.1,0,0,91,2,184,4.1,534
