School Name,School Code,Tests Taken,Reading / Writing,Math,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,District Code,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %",District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,School Year
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,81,527.0,512.0,     735,19.0,"      1,418",53.6,46.4,18.8,12.1,57.0,04450000,56.0,2.9,21.4,14.1,0.4,0.1,5.1,Abby Kelley Foster Charter Public (District),"          $22,455,445.00","           1,423.0","              $15,780.91","          $22,455,445.00","           1,423.0","              $15,780.91",2022
Abington - Abington High,00010505,126,549.0,521.0,     278,15.6,        563,48.0,51.9,10.0,12.3,36.2,00010000,5.5,2.1,15.3,75.5,0.4,0.0,1.2,Abington,"          $33,667,339.55","           2,151.3","              $15,649.77","          $38,794,704.12","           2,296.7","              $16,891.50",2022
Acton-Boxborough - Acton-Boxborough Regional High,06000505,449,655.0,681.0,     695,18.1,"      1,691",47.5,51.9,1.2,12.3,10.1,06000000,3.2,37.0,6.8,49.6,0.2,0.2,3.0,Acton-Boxborough,"          $94,671,026.58","           5,242.6","              $18,058.03","         $103,747,255.10","           5,371.2","              $19,315.47",2022
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,211,604.0,634.0,     504,18.2,        957,45.1,54.1,1.6,7.6,16.1,04300000,2.7,11.9,8.4,69.3,0.0,0.0,7.7,Advanced Math and Science Academy Charter (District),"          $14,353,114.97",             965.3,"              $14,869.53","          $14,353,114.97",             965.3,"              $14,869.53",2022
Agawam - Agawam High,00050505,106,549.0,538.0,     550,14.6,"      1,052",47.6,51.3,3.2,16.6,35.6,00050000,2.7,4.0,9.2,81.4,0.0,0.0,2.8,Agawam,"          $68,476,267.22","           3,494.9","              $19,593.20","          $75,381,227.28","           3,675.4","              $20,509.67",2022
Amesbury - Amesbury High,00070505,101,574.0,566.0,     409,12.5,        459,49.7,50.3,1.5,19.4,28.3,00070000,1.5,1.5,10.9,81.1,0.0,0.0,5.0,Amesbury,"          $37,513,814.36","           1,806.8","              $20,762.57","          $43,177,095.85","           1,996.9","              $21,622.06",2022
Amherst-Pelham - Amherst Regional High,06050505,127,633.0,633.0,     685,12.7,        874,47.3,51.1,7.4,25.3,30.0,06050000,7.8,9.0,19.1,55.5,0.0,0.0,8.6,Amherst-Pelham,"          $30,276,466.00","           1,265.1","              $23,932.07","          $34,142,146.00","           1,410.1","              $24,212.57",2022
Andover - Andover High,00090505,402,611.0,619.0,     980,15.2,"      1,700",51.2,48.7,1.5,15.8,13.1,00090000,3.2,20.3,8.5,64.1,0.3,0.1,3.5,Andover,"         $117,698,618.00","           5,537.0","              $21,256.75","         $125,414,087.00","           5,643.8","              $22,221.57",2022
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,24,473.0,488.0,     360,16.2,        543,44.6,55.4,22.1,25.1,74.2,35090000,14.2,2.6,25.8,50.6,0.6,0.2,6.1,Argosy Collegiate Charter School (District),"           $9,191,808.95",             545.1,"              $16,862.30","           $9,191,808.95",             545.1,"              $16,862.30",2022
Arlington - Arlington High,00100505,386,626.0,619.0,     997,13.8,"      1,540",50.4,47.6,1.7,13.5,11.1,00100000,3.1,10.2,8.1,72.6,0.0,0.1,5.9,Arlington,"         $106,679,920.80","           5,970.6","              $17,867.54","         $113,146,782.10","           6,078.1","              $18,615.49",2022
