School Name,Tests Taken,Reading / Writing,Writing,Math,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,83,516.0,,513.0,Massachusetts,42.3061923,-71.802933,10 New Bond Street,01606,Worcester County,Worcester,25027,"10 New Bond Street, Worcester, Massachusetts, 01606",730100,25027730100,2023.0,730100.0,Worcester County,Massachusetts,562.0,99.0,209.0,201.0,53.0,4933.0,191.0,253.0,959.0,815.0,424.0,1366.0,925.0,17.6,37.2,35.8,9.4,3.9,5.1,19.4,16.5,8.6,27.7,18.8,2593.0,131315.0,140228.0,6866.0,971.0,14.1,5895.0,85.9,4074.0,59.3,821.0,12.0,0.0,0.0,610.0,8.9,0.0,0.0,58.0,0.8,332.0,4.8
Abington - Abington High,106,549.0,,526.0,Massachusetts,42.1190163,-70.9531624,201 Gliniewicz Way,02351,Plymouth County,Abington,25023,"201 Gliniewicz Way, Abington, Massachusetts, 02351",520202,25023520202,2023.0,520202.0,Plymouth County,Massachusetts,485.0,0.0,197.0,79.0,209.0,4313.0,39.0,57.0,1486.0,537.0,592.0,1146.0,456.0,0.0,40.6,16.3,43.1,0.9,1.3,34.5,12.5,13.7,26.6,10.6,2340.0,119133.0,127690.0,6276.0,161.0,2.6,6115.0,97.4,5338.0,85.1,31.0,0.5,0.0,0.0,258.0,4.1,0.0,0.0,17.0,0.3,471.0,7.5
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,1,,,,Massachusetts,42.2444804,-71.1318984,1 Westinghouse Plaza,02136,Suffolk County,Boston,25025,"1 Westinghouse Plaza, Boston, Massachusetts, 02136",140102,25025140102,2023.0,140102.0,Suffolk County,Massachusetts,403.0,40.0,116.0,207.0,40.0,3614.0,64.0,138.0,771.0,627.0,332.0,1180.0,502.0,9.9,28.8,51.4,9.9,1.8,3.8,21.3,17.3,9.2,32.7,13.9,1824.0,128673.0,143098.0,5359.0,860.0,16.0,4499.0,84.0,1831.0,34.2,2037.0,38.0,0.0,0.0,543.0,10.1,0.0,0.0,11.0,0.2,77.0,1.4
Acton-Boxborough - Acton-Boxborough Regional High,401,656.0,,680.0,Massachusetts,42.47969579999999,-71.45808149999999,36 Charter Road,01720,Middlesex County,Acton,25017,"36 Charter Road, Acton, Massachusetts, 01720",363202,25017363202,2023.0,363202.0,Middlesex County,Massachusetts,298.0,0.0,83.0,91.0,124.0,2619.0,0.0,0.0,181.0,224.0,70.0,799.0,1345.0,0.0,27.9,30.5,41.6,0.0,0.0,6.9,8.6,2.7,30.5,51.4,1366.0,201364.0,217332.0,3782.0,113.0,3.0,3669.0,97.0,2657.0,70.3,23.0,0.6,0.0,0.0,768.0,20.3,0.0,0.0,109.0,2.9,112.0,3.0
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,159,592.0,,614.0,Massachusetts,42.3336808,-71.5777392,201 Forest Street,01752,Middlesex County,Marlborough,25017,"201 Forest Street, Marlborough, Massachusetts, 01752",321400,25017321400,2023.0,321400.0,Middlesex County,Massachusetts,240.0,40.0,42.0,105.0,53.0,3317.0,67.0,98.0,708.0,550.0,144.0,977.0,773.0,16.7,17.5,43.8,22.1,2.0,3.0,21.3,16.6,4.3,29.5,23.3,1777.0,125972.0,138640.0,4436.0,296.0,6.7,4140.0,93.3,2813.0,63.4,557.0,12.6,0.0,0.0,196.0,4.4,0.0,0.0,98.0,2.2,476.0,10.7
Agawam - Agawam High,88,563.0,,552.0,Massachusetts,42.0695391,-72.61481169999999,,N/A,Hampden County,Agawam,25013,,813208,25013813208,2023.0,813208.0,Hampden County,Massachusetts,424.0,18.0,159.0,92.0,155.0,2344.0,48.0,128.0,650.0,272.0,477.0,602.0,167.0,4.2,37.5,21.7,36.6,2.0,5.5,27.7,11.6,20.3,25.7,7.1,1322.0,83351.0,104148.0,3391.0,142.0,4.2,3249.0,95.8,2846.0,83.9,169.0,5.0,0.0,0.0,183.0,5.4,0.0,0.0,0.0,0.0,51.0,1.5
Amesbury - Amesbury High,64,563.0,,541.0,Massachusetts,42.8510832,-70.9424554,5 Highland Street,01913,Essex County,Amesbury,25009,"5 Highland Street, Amesbury, Massachusetts, 01913",266100,25009266100,2023.0,266100.0,Essex County,Massachusetts,266.0,37.0,107.0,82.0,40.0,3391.0,7.0,27.0,780.0,486.0,428.0,938.0,725.0,13.9,40.2,30.8,15.0,0.2,0.8,23.0,14.3,12.6,27.7,21.4,1885.0,101088.0,140950.0,4502.0,141.0,3.1,4361.0,96.9,3899.0,86.6,0.0,0.0,4.0,0.1,87.0,1.9,0.0,0.0,0.0,0.0,371.0,8.2
Amherst-Pelham - Amherst Regional High,143,624.0,,611.0,Massachusetts,42.3810321,-72.5129386,21 Mattoon Street,01002,Hampshire County,Amherst,25015,"21 Mattoon Street, Amherst, Massachusetts, 01002",820500,25015820500,2023.0,820500.0,Hampshire County,Massachusetts,2779.0,12.0,446.0,2151.0,170.0,2988.0,49.0,62.0,381.0,302.0,218.0,503.0,1473.0,0.4,16.0,77.4,6.1,1.6,2.1,12.8,10.1,7.3,16.8,49.3,3033.0,48628.0,79026.0,6308.0,941.0,14.9,5367.0,85.1,4680.0,74.2,94.0,1.5,3.0,0.0,382.0,6.1,0.0,0.0,0.0,0.0,208.0,3.3
Andover - Andover High,409,611.0,,616.0,Massachusetts,42.6571642,-71.1554961,80 Shawsheen Road,01810,Essex County,Andover,25009,"80 Shawsheen Road, Andover, Massachusetts, 01810",254401,25009254401,2023.0,254401.0,Essex County,Massachusetts,265.0,23.0,58.0,60.0,124.0,2354.0,26.0,26.0,137.0,185.0,177.0,861.0,942.0,8.7,21.9,22.6,46.8,1.1,1.1,5.8,7.9,7.5,36.6,40.0,1332.0,176957.0,221434.0,3710.0,463.0,12.5,3247.0,87.5,2289.0,61.7,295.0,8.0,0.0,0.0,453.0,12.2,0.0,0.0,0.0,0.0,210.0,5.7
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,10,522.0,,529.0,Massachusetts,41.6886926,-71.1615221,263 Hamlet Street,02724,Bristol County,Fall River,25005,"263 Hamlet Street, Fall River, Massachusetts, 02724",640201,25005640201,2023.0,640201.0,Bristol County,Massachusetts,228.0,89.0,100.0,10.0,29.0,1716.0,410.0,304.0,649.0,146.0,64.0,140.0,3.0,39.0,43.9,4.4,12.7,23.9,17.7,37.8,8.5,3.7,8.2,0.2,1083.0,48453.0,54230.0,2844.0,843.0,29.6,2001.0,70.4,1579.0,55.5,286.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,78.0,2.7,58.0,2.0
