School Name,School Code,Tests Taken,Reading / Writing,Math,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,District Code,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %",District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,School Year
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,83,516.0,513.0,     741,18.4,"      1,423",54.7,45.3,20.3,13.4,57.0,04450000,56.6,3.0,23.3,12.0,0.4,0.1,4.6,Abby Kelley Foster Charter Public (District),"          $24,231,438.78","           1,415.8","              $17,114.65","          $24,231,438.78","           1,415.8","              $17,114.65",2023
Abington - Abington High,00010505,106,549.0,526.0,     275,15.7,        566,44.5,55.1,9.7,13.4,35.7,00010000,6.9,2.3,17.1,71.9,0.0,0.2,1.6,Abington,"          $35,603,421.16","           2,143.5","              $16,609.95","          $41,098,932.87","           2,297.3","              $17,890.10",2023
Acton-Boxborough - Acton-Boxborough Regional High,06000505,401,656.0,680.0,     684,18.1,"      1,644",47.5,52.0,2.7,13.5,10.6,06000000,3.2,37.7,8.3,47.0,0.3,0.2,3.2,Acton-Boxborough,"         $100,564,755.40","           5,181.7","              $19,407.68","         $109,746,603.20","           5,302.1","              $20,698.70",2023
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,159,592.0,614.0,     537,17.9,        969,46.0,52.9,4.5,7.4,16.5,04300000,2.8,10.5,11.2,68.3,0.1,0.1,7.0,Advanced Math and Science Academy Charter (District),"          $15,065,009.41",             964.3,"              $15,623.23","          $15,065,009.41",             964.3,"              $15,623.23",2023
Agawam - Agawam High,00050505,88,563.0,552.0,     546,14.9,"      1,052",45.0,54.5,4.1,16.0,37.0,00050000,3.2,4.0,11.2,78.5,0.0,0.0,3.0,Agawam,"          $71,958,484.59","           3,524.8","              $20,414.91","          $78,821,069.71","           3,700.6","              $21,299.54",2023
Amesbury - Amesbury High,00070505,64,563.0,541.0,     386,13.8,        477,48.0,52.0,2.7,18.0,29.1,00070000,1.7,1.9,12.2,80.3,0.0,0.0,4.0,Amesbury,"          $39,966,168.64","           1,789.1","              $22,338.70","          $45,461,590.81","           1,981.4","              $22,944.18",2023
Amherst-Pelham - Amherst Regional High,06050505,143,624.0,611.0,     695,12.4,        851,46.9,50.3,6.5,24.2,27.7,06050000,6.9,8.5,18.6,57.8,0.0,0.0,8.2,Amherst-Pelham,"          $32,489,016.00","           1,241.1","              $26,177.60","          $37,562,376.22","           1,390.9","              $27,005.81",2023
Andover - Andover High,00090505,409,611.0,616.0,     955,15.3,"      1,682",49.9,50.0,1.9,14.6,13.0,00090000,3.1,21.4,9.5,62.4,0.2,0.1,3.2,Andover,"         $120,895,506.40","           5,569.1","              $21,708.27","         $128,212,610.90","           5,663.7","              $22,637.61",2023
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,10,522.0,529.0,     382,16.9,        578,46.2,53.5,16.4,27.0,72.3,35090000,14.5,2.3,26.1,50.2,0.9,0.2,5.9,Argosy Collegiate Charter School (District),"          $10,104,246.97",             546.6,"              $18,485.63","          $10,104,246.97",             546.6,"              $18,485.63",2023
Arlington - Arlington High,00100505,434,625.0,620.0,     983,14.9,"      1,616",49.0,49.3,2.0,14.2,11.2,00100000,3.3,10.5,8.4,71.2,0.1,0.1,6.4,Arlington,"         $113,165,838.50","           6,019.7","              $18,799.25","         $119,119,025.90","           6,117.7","              $19,471.21",2023
Ashburnham-Westminster - Oakmont Regional High School,06100505,76,597.0,583.0,     332,16.0,        638,46.2,52.0,0.8,16.5,22.7,06100000,1.7,1.4,9.1,83.9,0.2,0.0,3.8,Ashburnham-Westminster,"          $35,763,196.29","           2,252.5","              $15,877.11","          $38,700,936.81","           2,350.7","              $16,463.58",2023
Ashland - Ashland High,00140505,220,588.0,604.0,     460,16.4,        888,49.2,50.7,5.7,14.0,22.5,00140000,2.7,13.2,18.4,62.3,0.7,0.0,2.8,Ashland,"          $46,927,293.37","           2,889.7","              $16,239.50","          $51,197,608.86","           2,950.1","              $17,354.53",2023
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,46,540.0,510.0,     629,18.6,"      1,122",46.9,52.7,8.8,22.9,39.3,08010000,2.6,0.3,30.0,63.4,0.3,0.0,3.6,Assabet Valley Regional Vocational Technical,"          $29,035,656.09","           1,092.2","              $26,584.56","          $29,178,846.47","           1,092.8","              $26,700.99",2023
Athol-Royalston - Athol High,06150505,14,540.0,485.0,     243,14.5,        413,45.0,55.0,4.6,23.0,57.1,06150000,4.6,2.2,21.1,70.2,0.2,0.0,1.7,Athol-Royalston,"          $28,132,998.00","           1,569.9","              $17,920.25","          $32,176,065.18","           1,842.7","              $17,461.37",2023
Atlantis Charter (District) - Atlantis Charter School,04910550,129,431.0,419.0,     557,20.2,"      1,247",51.7,48.2,19.0,17.5,57.3,04910000,6.9,2.3,19.2,64.0,0.2,0.1,7.3,Atlantis Charter (District),"          $20,454,702.00","           1,288.4","              $15,876.67","          $20,454,702.00","           1,288.4","              $15,876.67",2023
Attleboro - Attleboro High,00160505,228,555.0,534.0,"   1,090",18.0,"      1,966",46.5,53.2,5.2,13.0,35.2,00160000,10.9,4.7,18.4,59.3,0.2,0.1,6.4,Attleboro,"          $99,575,309.06","           5,912.2","              $16,842.34","         $109,262,216.00","           6,313.2","              $17,306.95",2023
Auburn - Auburn Senior High,00170505,119,572.0,561.0,     641,15.4,        832,50.1,49.8,3.4,11.5,25.0,00170000,5.5,6.9,12.1,73.0,0.1,0.0,2.4,Auburn,"          $42,145,085.14","           2,554.4","              $16,499.02","          $43,641,167.09","           2,601.7","              $16,774.10",2023
Avon - Avon Middle High School,00180510,10,545.0,507.0,     222,13.8,        415,48.2,51.6,10.8,21.0,43.9,00180000,42.4,4.1,14.0,33.5,0.7,0.0,5.3,Avon,"          $13,866,502.00",             727.5,"              $19,060.48","          $15,048,069.59",             767.8,"              $19,598.94",2023
Ayer Shirley School District - Ayer Shirley Regional High School,06160505,51,554.0,490.0,     200,17.0,        425,44.0,55.5,3.1,16.2,29.2,06160000,6.1,4.0,15.8,70.1,0.9,0.5,2.6,Ayer Shirley School District,"          $32,042,979.18","           1,641.4","              $19,521.74","          $37,038,728.96","           1,885.5","              $19,643.98",2023
Barnstable - Barnstable High,00200505,150,566.0,549.0,     898,12.6,"      1,643",46.7,53.0,18.7,16.2,51.1,00200000,10.6,1.8,30.2,51.2,0.6,0.2,5.5,Barnstable,"         $101,740,367.20","           4,840.8","              $21,017.26","         $113,238,824.10","           5,454.1","              $20,762.15",2023
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,26,447.0,458.0,     278,14.6,        395,51.7,48.4,11.7,22.3,81.8,35020000,24.8,0.8,69.1,3.5,0.0,0.8,1.0,Baystate Academy Charter Public School (District),"           $9,211,962.95",             391.8,"              $23,510.70","           $9,211,962.95",             391.8,"              $23,510.70",2023
Bedford - Bedford High,00230505,214,630.0,637.0,     536,13.2,        860,48.5,51.1,2.0,14.5,11.1,00230000,6.9,17.6,9.9,61.5,0.0,0.1,4.1,Bedford,"          $54,877,288.97","           2,537.2","              $21,629.07","          $60,293,724.87","           2,578.2","              $23,385.98",2023
Belchertown - Belchertown High,00240505,102,561.0,543.0,     431,12.8,        601,51.6,47.4,2.3,17.1,21.6,00240000,1.8,1.5,7.5,85.0,0.0,0.3,3.8,Belchertown,"          $36,583,711.03","           2,116.2","              $17,287.45","          $40,320,664.25","           2,308.7","              $17,464.66",2023
Bellingham - Bellingham High School,00250505,90,555.0,517.0,     379,17.4,        757,49.7,50.3,2.6,18.4,28.9,00250000,2.5,3.7,11.5,79.1,0.4,0.0,2.8,Bellingham,"          $41,192,824.00","           2,016.2","              $20,430.92","          $49,328,287.00","           2,344.4","              $21,040.90",2023
Belmont - Belmont High,00260505,351,644.0,656.0,     473,21.1,"      1,456",49.9,49.5,3.2,10.8,12.2,00260000,3.4,22.4,6.3,60.9,0.1,0.1,6.7,Belmont,"          $75,491,668.00","           4,375.5","              $17,253.27","          $88,463,818.86","           4,557.3","              $19,411.45",2023
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,12,575.0,530.0,     197,16.8,        367,47.7,49.3,1.9,21.0,60.2,04140000,9.8,0.8,15.0,68.9,0.0,0.0,5.5,Berkshire Arts and Technology Charter Public (District),"           $7,852,224.31",             363.3,"              $21,611.82","           $7,852,224.31",             363.3,"              $21,611.82",2023
Berkshire Hills - Monument Mt Regional High,06180505,66,557.0,532.0,     340,10.8,        455,44.8,54.3,9.9,15.6,38.2,06180000,2.2,2.4,16.3,75.2,0.0,0.2,3.7,Berkshire Hills,"          $34,179,282.77","           1,175.3","              $29,081.33","          $37,147,351.59","           1,278.9","              $29,046.33",2023
Berlin-Boylston - Tahanto Regional High,06200505,66,587.0,581.0,     324,15.7,        549,49.5,49.9,2.9,14.6,16.9,06200000,2.4,4.4,8.0,79.4,0.2,0.2,5.5,Berlin-Boylston,"          $19,046,800.04","           1,055.7","              $18,041.87","          $21,188,906.04","           1,121.7","              $18,889.99",2023
Beverly - Beverly High,00300505,276,552.0,521.0,     604,18.9,"      1,248",51.0,48.4,3.9,19.4,32.1,00300000,3.4,2.2,18.3,72.8,0.1,0.1,3.1,Beverly,"          $79,686,437.94","           4,619.7","              $17,249.27","          $88,951,266.84","           4,800.5","              $18,529.58",2023
Billerica - Billerica Memorial High School,00310505,218,559.0,551.0,     726,19.3,"      1,861",48.3,51.5,2.4,19.6,24.6,00310000,7.5,10.8,11.5,66.0,0.4,0.2,3.7,Billerica,"          $92,887,337.25","           4,872.0","              $19,065.55","         $103,126,447.60","           5,092.8","              $20,249.46",2023
Blackstone Valley Regional Vocational Technical - Blackstone Valley,08050605,201,573.0,540.0,     749,17.5,"      1,252",43.7,55.4,0.6,13.2,17.2,08050000,3.0,2.0,11.8,80.8,0.0,0.0,2.5,Blackstone Valley Regional Vocational Technical,"          $29,250,651.53","           1,225.1","              $23,876.13","          $29,262,101.53","           1,227.4","              $23,840.72",2023
Blackstone-Millville - Blackstone Millville RHS,06220505,35,537.0,495.0,     250,13.0,        414,46.6,52.2,1.7,14.5,27.5,06220000,2.4,1.7,10.4,81.4,0.0,0.0,4.1,Blackstone-Millville,"          $27,378,402.00","           1,452.1","              $18,854.35","          $30,799,636.78","           1,642.7","              $18,749.40",2023
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,08060605,50,533.0,505.0,     437,15.4,        903,48.7,51.3,1.1,25.5,35.9,08060000,21.8,3.3,17.6,49.8,0.7,0.0,6.8,Blue Hills Regional Vocational Technical,"          $24,093,331.62",             895.0,"              $26,919.92","          $24,101,256.62",             896.2,"              $26,892.72",2023
Boston - Another Course To College,00350541,77,406.0,410.0,     111,17.1,        275,42.6,56.7,19.6,36.4,78.2,00350000,44.4,0.0,47.6,3.3,0.4,0.4,4.0,Boston,"       $1,567,511,179.00","          47,235.6","              $33,184.95","       $1,937,971,768.00","          60,784.2","              $31,882.82",2023
Boston - Boston Arts Academy,00350546,53,494.0,471.0,     372,13.4,        476,66.4,31.5,3.4,21.9,61.1,00350000,34.5,1.7,45.6,13.9,0.2,0.0,4.2,Boston,"       $1,567,511,179.00","          47,235.6","              $33,184.95","       $1,937,971,768.00","          60,784.2","              $31,882.82",2023
Boston - Boston Community Leadership Academy,00350558,53,430.0,429.0,     315,13.9,        640,49.5,50.2,40.5,32.2,83.9,00350000,29.2,3.8,60.0,5.0,0.2,0.0,1.9,Boston,"       $1,567,511,179.00","          47,235.6","              $33,184.95","       $1,937,971,768.00","          60,784.2","              $31,882.82",2023
Boston - Boston International High School & Newcomers Academy,00350507,35,406.0,406.0,     212,16.5,        590,41.9,58.1,92.7,5.4,88.0,00350000,30.9,4.9,61.0,2.7,0.0,0.2,0.3,Boston,"       $1,567,511,179.00","          47,235.6","              $33,184.95","       $1,937,971,768.00","          60,784.2","              $31,882.82",2023
Boston - Boston Latin Academy,00350545,541,556.0,567.0,     503,23.6,"      1,693",56.6,43.2,1.5,5.1,47.1,00350000,25.5,15.7,30.5,23.4,0.2,0.1,4.6,Boston,"       $1,567,511,179.00","          47,235.6","              $33,184.95","       $1,937,971,768.00","          60,784.2","              $31,882.82",2023
Boston - Boston Latin School,00350560,658,653.0,657.0,     849,24.1,"      2,427",53.3,46.4,0.6,4.0,30.0,00350000,14.0,29.4,16.4,35.3,0.1,0.1,4.7,Boston,"       $1,567,511,179.00","          47,235.6","              $33,184.95","       $1,937,971,768.00","          60,784.2","              $31,882.82",2023
Boston - Brighton High School,00350505,20,443.0,448.0,     402,12.9,        764,47.9,51.8,58.6,23.4,84.2,00350000,26.1,2.9,63.4,5.5,0.5,0.0,1.7,Boston,"       $1,567,511,179.00","          47,235.6","              $33,184.95","       $1,937,971,768.00","          60,784.2","              $31,882.82",2023
Boston - Burke High School,00350525,114,396.0,402.0,     273,12.9,        482,43.0,56.9,29.9,26.8,84.2,00350000,54.2,2.7,35.9,3.1,0.6,0.0,3.5,Boston,"       $1,567,511,179.00","          47,235.6","              $33,184.95","       $1,937,971,768.00","          60,784.2","              $31,882.82",2023
Boston - Charlestown High School,00350515,85,412.0,438.0,     538,14.2,        906,41.0,58.9,48.0,28.8,82.1,00350000,21.4,5.7,65.6,6.2,0.1,0.0,1.0,Boston,"       $1,567,511,179.00","          47,235.6","              $33,184.95","       $1,937,971,768.00","          60,784.2","              $31,882.82",2023
Boston - Community Academy of Science and Health,00350581,87,406.0,397.0,     169,15.2,        434,49.8,50.2,34.1,35.7,83.6,00350000,59.5,5.3,29.7,2.3,0.0,0.5,2.8,Boston,"       $1,567,511,179.00","          47,235.6","              $33,184.95","       $1,937,971,768.00","          60,784.2","              $31,882.82",2023
Boston - East Boston High School,00350530,84,456.0,458.0,     490,15.6,"      1,318",44.2,55.7,41.7,22.2,74.5,00350000,5.3,1.4,82.0,10.2,0.0,0.0,1.1,Boston,"       $1,567,511,179.00","          47,235.6","              $33,184.95","       $1,937,971,768.00","          60,784.2","              $31,882.82",2023
Boston - English High School,00350535,147,406.0,398.0,     498,16.4,        796,47.0,53.0,41.1,25.1,84.8,00350000,29.7,1.1,62.9,4.2,0.0,0.0,2.1,Boston,"       $1,567,511,179.00","          47,235.6","              $33,184.95","       $1,937,971,768.00","          60,784.2","              $31,882.82",2023
Boston - Excel High School,00350522,67,431.0,451.0,     184,11.7,        364,40.4,59.3,22.3,28.9,82.1,00350000,32.7,17.9,34.6,9.3,0.0,0.3,5.2,Boston,"       $1,567,511,179.00","          47,235.6","              $33,184.95","       $1,937,971,768.00","          60,784.2","              $31,882.82",2023
Boston - Fenway High School,00350540,16,463.0,457.0,     175,16.1,        371,52.3,47.7,20.5,22.9,74.4,00350000,30.7,2.7,59.8,4.9,0.0,0.0,1.9,Boston,"       $1,567,511,179.00","          47,235.6","              $33,184.95","       $1,937,971,768.00","          60,784.2","              $31,882.82",2023
Boston - Henderson K-12 Inclusion School Upper,00350426,93,415.0,404.0,     327,17.5,        669,48.4,51.6,18.2,36.8,79.1,00350000,47.7,6.9,31.1,9.1,0.8,0.2,4.3,Boston,"       $1,567,511,179.00","          47,235.6","              $33,184.95","       $1,937,971,768.00","          60,784.2","              $31,882.82",2023
Boston - Madison Park Technical Vocational High School,00350537,40,406.0,404.0,     488,15.9,"      1,089",40.2,59.6,28.2,37.5,84.0,00350000,40.2,1.5,53.1,2.2,0.3,0.2,2.6,Boston,"       $1,567,511,179.00","          47,235.6","              $33,184.95","       $1,937,971,768.00","          60,784.2","              $31,882.82",2023
Boston - Margarita Muniz Academy,00350549,32,407.0,388.0,     140,18.3,        309,56.6,43.4,44.0,13.3,86.4,00350000,6.8,0.0,91.6,1.0,0.0,0.0,0.7,Boston,"       $1,567,511,179.00","          47,235.6","              $33,184.95","       $1,937,971,768.00","          60,784.2","              $31,882.82",2023
Boston - New Mission High School,00350542,175,432.0,436.0,     327,16.5,        704,46.5,53.4,23.3,18.9,69.7,00350000,47.4,2.8,39.9,7.4,0.4,0.3,1.7,Boston,"       $1,567,511,179.00","          47,235.6","              $33,184.95","       $1,937,971,768.00","          60,784.2","              $31,882.82",2023
Boston - O'Bryant School of Math & Science,00350575,402,534.0,556.0,     439,23.4,"      1,542",49.9,49.9,2.3,5.3,59.2,00350000,31.9,17.4,36.3,11.7,0.1,0.1,2.5,Boston,"       $1,567,511,179.00","          47,235.6","              $33,184.95","       $1,937,971,768.00","          60,784.2","              $31,882.82",2023
Boston - Quincy Upper School,00350565,80,446.0,441.0,     265,20.1,        562,49.8,50.0,15.7,21.0,67.8,00350000,21.0,46.8,22.8,6.2,0.4,0.0,2.9,Boston,"       $1,567,511,179.00","          47,235.6","              $33,184.95","       $1,937,971,768.00","          60,784.2","              $31,882.82",2023
Boston - Snowden International High School,00350690,29,431.0,437.0,     182,16.9,        473,50.5,49.5,18.0,24.3,78.4,00350000,30.2,3.8,56.5,6.6,0.0,0.0,3.0,Boston,"       $1,567,511,179.00","          47,235.6","              $33,184.95","       $1,937,971,768.00","          60,784.2","              $31,882.82",2023
Boston - TechBoston Academy,00350657,183,417.0,409.0,     450,14.9,        931,46.7,53.3,28.6,24.5,83.5,00350000,59.4,1.8,33.3,1.6,0.4,0.0,3.4,Boston,"       $1,567,511,179.00","          47,235.6","              $33,184.95","       $1,937,971,768.00","          60,784.2","              $31,882.82",2023
Boston Collegiate Charter (District) - Boston Collegiate Charter School,04490305,68,478.0,465.0,     354,19.3,        700,49.4,50.3,7.0,15.7,43.1,04490000,27.6,3.4,22.6,41.4,0.0,0.0,5.0,Boston Collegiate Charter (District),"          $15,537,960.08",             697.1,"              $22,289.75","          $15,537,960.08",             697.1,"              $22,289.75",2023
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,04110305,48,411.0,411.0,     204,14.8,        418,48.6,51.4,11.2,31.3,79.2,04110000,45.5,1.4,40.4,8.4,0.7,0.0,3.6,Boston Green Academy Horace Mann Charter School (District),"          $11,738,816.83",             455.0,"              $25,800.62","          $11,738,816.83",             455.0,"              $25,800.62",2023
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,04160305,91,428.0,424.0,     267,17.8,        696,51.0,49.0,16.5,18.8,65.7,04160000,61.8,0.1,30.8,1.3,0.6,0.9,4.6,Boston Preparatory Charter Public (District),"          $17,794,102.46",             702.3,"              $25,338.34","          $17,794,102.46",             702.3,"              $25,338.34",2023
