school_name,School Code,tests_taken,SAT_reading_writing,Total # of Classes,avg_class_size,number_of_students,Female %,Male %,perc_english_learner,perc_disabilities,perc_econ_disadvg,District Code,perc_african_american,perc_asian,perc_hispanic,perc_white,perc_native_american,perc_hawaiian_pacific_isl,perc_multi_race_non_hisp,District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,total_exp_per_pupil,year,SAT_math_19,SAT_math_20,SAT_math_21,SAT_math_22,SAT_math_23
abby kelley foster charter public (district) - abby kelley foster charter public school,4450105,106,536,711.0,19.0,1424.0,54.0,46.0,42.7,11.5,12.4,4450000.0,52.6,3.4,20.7,19.4,0.4,0.1,3.4,Abby Kelley Foster Charter Public (District),"          $21,896,724.82",1425.4,"              $15,361.60","          $21,896,724.82",1425.4,15361.6,2019.0,524.0,494.0,528.0,512.0,513.0
abington - abington high,10505,148,528,267.0,18.2,600.0,50.2,49.8,24.0,5.0,11.2,10000.0,4.8,3.0,10.0,80.8,0.0,0.0,1.3,Abington,"          $28,935,060.43",2064.7,"              $14,014.17","          $32,687,048.06",2166.7,15086.1,2019.0,525.0,539.0,534.0,521.0,526.0
acton-boxborough - acton-boxborough regional high,6000505,343,648,735.0,18.1,1820.0,48.5,51.5,6.6,1.0,10.7,6000000.0,2.8,33.2,4.5,54.8,0.2,0.0,4.6,Acton-Boxborough,"          $84,437,382.26",5586.8,"              $15,113.73","          $93,817,043.97",5710.8,16428.0,2019.0,677.0,688.0,683.0,681.0,680.0
advanced math and science academy charter (district) - advanced math and science academy charter school,4300305,185,624,510.0,18.1,964.0,47.6,52.4,9.0,3.2,6.9,4300000.0,2.3,17.3,6.5,67.1,0.1,0.0,6.6,Advanced Math and Science Academy Charter (District),"          $15,910,750.63",972.7,"              $16,357.31","          $15,910,750.63",972.7,16357.31,2019.0,662.0,667.0,657.0,634.0,614.0
agawam - agawam high,50505,218,546,562.0,15.0,1059.0,49.9,50.1,24.1,2.1,11.6,50000.0,1.6,2.5,7.4,86.0,0.1,0.0,2.5,Agawam,"          $63,234,829.14",3710.3,"              $17,043.05","          $69,007,740.22",3868.8,17836.99,2019.0,555.0,560.0,564.0,538.0,552.0
amesbury - amesbury high,70505,160,569,339.0,14.7,541.0,49.4,50.7,14.8,1.1,13.3,70000.0,1.5,1.3,5.9,87.3,0.0,0.0,4.1,Amesbury,"          $34,107,103.50",2044.4,"              $16,683.19","          $39,184,044.16",2195.9,17844.18,2019.0,571.0,574.0,570.0,566.0,541.0
amherst-pelham - amherst regional high,6050505,224,604,617.0,12.9,901.0,49.4,50.3,26.4,7.3,19.3,6050000.0,8.4,10.0,17.3,54.7,0.1,0.0,9.4,Amherst-Pelham,"          $29,757,591.00",1334.3,"              $22,302.02","          $34,083,650.00",1492.6,22835.09,2019.0,597.0,618.0,669.0,633.0,611.0
andover - andover high,90505,534,604,1042.0,15.3,1779.0,52.8,47.1,9.5,0.6,16.5,90000.0,2.1,18.7,6.2,70.4,0.3,0.0,2.3,Andover,"         $105,001,180.47",5967.5,"              $17,595.51","         $113,553,799.47",6089.0,18649.01,2019.0,603.0,625.0,611.0,619.0,616.0
arlington - arlington high,100505,401,603,856.0,14.0,1426.0,50.6,49.0,9.9,1.8,13.5,100000.0,4.0,10.7,6.0,74.7,0.0,0.1,4.6,Arlington,"          $81,281,781.54",5957.9,"              $13,642.69","          $89,253,263.12",6106.6,14615.87,2019.0,601.0,608.0,617.0,619.0,620.0
ashburnham-westminster - oakmont regional high school,6100505,195,556,353.0,16.3,676.0,50.7,49.1,16.3,0.6,17.9,6100000.0,0.2,1.5,3.0,93.8,0.0,0.0,1.6,Ashburnham-Westminster,"          $30,529,738.18",2356.7,"              $12,954.44","          $32,017,603.25",2438.3,13131.12,2019.0,557.0,564.0,600.0,565.0,583.0
ashland - ashland high,140505,232,573,433.0,15.9,836.0,51.9,48.0,14.5,4.3,11.4,140000.0,2.8,13.4,12.9,68.1,0.5,0.0,2.4,Ashland,"          $38,910,976.10",2853.3,"              $13,637.18","          $42,577,729.17",2936.1,14501.46,2019.0,596.0,607.0,635.0,610.0,604.0
assabet valley regional vocational technical - assabet valley vocational high school,8010605,170,513,646.0,16.4,1130.0,39.1,60.4,28.9,4.0,27.5,8010000.0,1.9,0.5,18.9,76.2,0.3,0.0,2.3,Assabet Valley Regional Vocational Technical,"          $23,329,863.00",1129.2,"              $20,660.52","          $23,366,767.00",1130.2,20674.9,2019.0,497.0,507.0,502.0,511.0,510.0
atlantis charter (district) - atlantis charter school,4910550,49,492,521.0,23.9,1304.0,52.8,47.2,46.3,13.2,13.9,4910000.0,5.5,1.9,13.2,75.3,0.2,0.1,3.8,Atlantis Charter (District),"          $17,034,567.00",1287.8,"              $13,227.65","          $17,034,567.00",1287.8,13227.65,2019.0,489.0,499.0,449.0,418.0,419.0
attleboro - attleboro high,160505,418,547,884.0,20.6,1822.0,46.6,53.4,26.5,3.7,14.3,160000.0,6.1,4.5,16.7,68.2,0.3,0.2,4.1,Attleboro,"          $80,024,521.91",5895.0,"              $13,574.98","          $89,926,999.35",6401.5,14047.8,2019.0,544.0,542.0,554.0,531.0,534.0
auburn - auburn senior high,170505,191,551,629.0,16.8,800.0,53.0,47.0,19.6,1.3,8.6,170000.0,2.1,4.3,8.8,81.3,0.3,0.0,3.4,Auburn,"          $35,683,527.01",2638.9,"              $13,522.12","          $37,120,391.37",2693.7,13780.45,2019.0,548.0,547.0,566.0,542.0,561.0
