School Name,District Name,Reading/Writing Score,Math Score,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate,TSI_Both_Mskd,Above_TSI_Both_Rate,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
Cayuga H S,Cayuga ISD,490.0,481.0,<50,<25,29.3,<25,,<25,33.3,Texas,31.9223523,-95.92372069999999,17750 North US Highway 287,75861,Anderson County,Bethel,48001,"17750 North US Highway 287, Bethel, Texas, 75861",951100,48001951100,2020.0,951100.0,Anderson County,Texas,257.0,13.0,102.0,105.0,37.0,3578.0,191.0,151.0,1236.0,1031.0,435.0,311.0,223.0,5.1,39.7,40.9,14.4,5.3,4.2,34.5,28.8,12.2,8.7,6.2,1841.0,56553.0,67093.0,4840.0,408.0,8.4,4432.0,91.6,3737.0,77.2,324.0,6.7,8.0,0.2,152.0,3.1,0.0,0.0,0.0,0.0,211.0,4.4
Elkhart H S,Elkhart ISD,514.0,490.0,<100,<75,57.6,<25,15.1,<25,26.4,Texas,31.6556921,-95.582224,9002 Texas 19,75839,Anderson County,Elkhart,48001,"9002 Texas 19, Elkhart, Texas, 75839",951002,48001951002,2020.0,951002.0,Anderson County,Texas,116.0,52.0,32.0,32.0,0.0,2314.0,88.0,142.0,963.0,530.0,204.0,266.0,121.0,44.8,27.6,27.6,0.0,3.8,6.1,41.6,22.9,8.8,11.5,5.2,1213.0,59113.0,69040.0,3326.0,312.0,9.4,3014.0,90.6,2719.0,81.7,265.0,8.0,0.0,0.0,13.0,0.4,0.0,0.0,16.0,0.5,1.0,0.0
Frankston H S,Frankston ISD,496.0,488.0,<75,<50,96.1,<25,12.2,<25,26.5,Texas,32.0616537,-95.5050231,100 Perry Street,75763,Anderson County,Frankston,48001,"100 Perry Street, Frankston, Texas, 75763",950100,48001950100,2020.0,950100.0,Anderson County,Texas,281.0,64.0,195.0,22.0,0.0,3389.0,119.0,177.0,1124.0,975.0,337.0,388.0,269.0,22.8,69.4,7.8,0.0,3.5,5.2,33.2,28.8,9.9,11.4,7.9,1779.0,59675.0,74859.0,4958.0,409.0,8.2,4549.0,91.8,3811.0,76.9,267.0,5.4,20.0,0.4,50.0,1.0,0.0,0.0,2.0,0.0,399.0,8.0
Neches H S,Neches ISD,512.0,508.0,<50,<50,73.5,<25,4.0,<25,32.0,Texas,31.8968767,-95.4987565,,N/A,Anderson County,N/A,48001,,950100,48001950100,2020.0,950100.0,Anderson County,Texas,281.0,64.0,195.0,22.0,0.0,3389.0,119.0,177.0,1124.0,975.0,337.0,388.0,269.0,22.8,69.4,7.8,0.0,3.5,5.2,33.2,28.8,9.9,11.4,7.9,1779.0,59675.0,74859.0,4958.0,409.0,8.2,4549.0,91.8,3811.0,76.9,267.0,5.4,20.0,0.4,50.0,1.0,0.0,0.0,2.0,0.0,399.0,8.0
Palestine H S,Palestine ISD,517.0,525.0,230,78,33.9,20,25.6,37,47.4,Texas,31.738417,-95.6055707,1600 Texas 256 Loop,75801,Anderson County,Palestine,48001,"1600 Texas 256 Loop, Palestine, Texas, 75801",950800,48001950800,2020.0,950800.0,Anderson County,Texas,570.0,22.0,339.0,162.0,47.0,4057.0,73.0,111.0,1782.0,788.0,367.0,480.0,456.0,3.9,59.5,28.4,8.2,1.8,2.7,43.9,19.4,9.0,11.8,11.2,2642.0,45587.0,58120.0,6049.0,890.0,14.7,5159.0,85.3,2992.0,49.5,1822.0,30.1,24.0,0.4,84.0,1.4,0.0,0.0,0.0,0.0,237.0,3.9
Westwood H S,Westwood ISD,478.0,472.0,<100,<50,43.4,<25,4.7,<25,23.3,Texas,31.7302275,-95.68025949999999,1820 Panther Boulevard,75803,Anderson County,Palestine,48001,"1820 Panther Boulevard, Palestine, Texas, 75803",950600,48001950600,2020.0,950600.0,Anderson County,Texas,524.0,257.0,213.0,54.0,0.0,3104.0,112.0,732.0,1210.0,753.0,109.0,144.0,44.0,49.0,40.6,10.3,0.0,3.6,23.6,39.0,24.3,3.5,4.6,1.4,1622.0,39936.0,62111.0,4704.0,404.0,8.6,4300.0,91.4,2963.0,63.0,1268.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,1.5
Slocum H S,Slocum ISD,575.0,556.0,<50,<25,50.0,<25,38.5,<25,69.2,Texas,31.6319962,-95.4622184,5765 Texas 294,75839,Anderson County,Elkhart,48001,"5765 Texas 294, Elkhart, Texas, 75839",951001,48001951001,2020.0,951001.0,Anderson County,Texas,633.0,95.0,316.0,206.0,16.0,2586.0,18.0,141.0,984.0,775.0,152.0,327.0,189.0,15.0,49.9,32.5,2.5,0.7,5.5,38.1,30.0,5.9,12.6,7.3,1479.0,52198.0,86137.0,4216.0,467.0,11.1,3749.0,88.9,3541.0,84.0,182.0,4.3,0.0,0.0,26.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Andrews H S,Andrews ISD,518.0,518.0,222,76,34.2,14,18.4,27,35.5,Texas,32.3255514,-102.5680033,1400 Northwest Avenue K,79714,Andrews County,Andrews,48003,"1400 Northwest Avenue K, Andrews, Texas, 79714",950200,48003950200,2020.0,950200.0,Andrews County,Texas,493.0,21.0,215.0,246.0,11.0,4710.0,474.0,414.0,1389.0,1178.0,505.0,475.0,275.0,4.3,43.6,49.9,2.2,10.1,8.8,29.5,25.0,10.7,10.1,5.8,2540.0,75965.0,91068.0,7331.0,3791.0,51.7,3540.0,48.3,3274.0,44.7,57.0,0.8,0.0,0.0,57.0,0.8,26.0,0.4,0.0,0.0,126.0,1.7
Pineywoods Community Academy H S,Pineywoods Community Academy,525.0,522.0,<75,<25,40.4,<25,21.7,<25,34.8,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2020.0,950100.0,Runnels County,Texas,94.0,45.0,31.0,18.0,0.0,925.0,49.0,26.0,298.0,206.0,66.0,252.0,28.0,47.9,33.0,19.1,0.0,5.3,2.8,32.2,22.3,7.1,27.2,3.0,518.0,58182.0,84798.0,1210.0,172.0,14.2,1038.0,85.8,978.0,80.8,32.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.3
Hudson H S,Hudson ISD,549.0,553.0,194,120,61.9,35,29.2,74,61.7,Texas,31.3150453,-94.8274883,6735 Ted Trout Drive,75904,Angelina County,Lufkin,48005,"6735 Ted Trout Drive, Lufkin, Texas, 75904",000102,48005000102,2020.0,102.0,Angelina County,Texas,210.0,10.0,112.0,35.0,53.0,3274.0,110.0,133.0,1005.0,744.0,453.0,659.0,170.0,4.8,53.3,16.7,25.2,3.4,4.1,30.7,22.7,13.8,20.1,5.2,1927.0,61298.0,85644.0,5083.0,289.0,5.7,4794.0,94.3,4526.0,89.0,147.0,2.9,5.0,0.1,85.0,1.7,0.0,0.0,21.0,0.4,10.0,0.2
