School Name,District Name,Reading/Writing Score,Math Scores,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate,TSI_Both_Mskd,Above_TSI_Both_Rate,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),RW Scores
Cayuga H S,Cayuga ISD,503,476,<50,<25,58.3,<25,19,<25,19,Texas,31.9223523,-95.9237207,17750 North US Highway 287,75861,Anderson County,Bethel,48001,"17750 North US Highway 287, Bethel, Texas, 75861",951100,48001951100,2021,951100,Anderson County,Texas,267,5,120,102,40,3671,158,99,1313,1093,362,392,254,1.9,44.9,38.2,15,4.3,2.7,35.8,29.8,9.9,10.7,6.9,1894,62888,71247,5079,562,11.1,4517,88.9,3784,74.5,331,6.5,6,0.1,147,2.9,0,0,0,0,249,4.9,503
Elkhart H S,Elkhart ISD,499,480,<100,<50,51.6,<25,8.5,<25,27.7,Texas,31.6556921,-95.582224,9002 Texas 19,75839,Anderson County,Elkhart,48001,"9002 Texas 19, Elkhart, Texas, 75839",951002,48001951002,2021,951002,Anderson County,Texas,171,50,74,47,0,2187,96,141,816,500,224,299,111,29.2,43.3,27.5,0,4.4,6.4,37.3,22.9,10.2,13.7,5.1,1113,66046,77254,3157,318,10.1,2839,89.9,2616,82.9,174,5.5,0,0,20,0.6,0,0,19,0.6,10,0.3,499
Frankston H S,Frankston ISD,507,473,<50,<50,90.2,<25,10.8,<25,35.1,Texas,32.0616537,-95.5050231,100 Perry Street,75763,Anderson County,Frankston,48001,"100 Perry Street, Frankston, Texas, 75763",950100,48001950100,2021,950100,Anderson County,Texas,366,76,270,20,0,3648,144,216,1306,1054,332,313,283,20.8,73.8,5.5,0,3.9,5.9,35.8,28.9,9.1,8.6,7.8,1823,61325,70942,5447,644,11.8,4803,88.2,4139,76,212,3.9,1,0,21,0.4,0,0,1,0,429,7.9,507
Neches H S,Neches ISD,520,487,<25,<25,60.9,<25,,<25,14.3,Texas,31.8968767,-95.4987565,,N/A,Anderson County,N/A,48001,,950100,48001950100,2021,950100,Anderson County,Texas,366,76,270,20,0,3648,144,216,1306,1054,332,313,283,20.8,73.8,5.5,0,3.9,5.9,35.8,28.9,9.1,8.6,7.8,1823,61325,70942,5447,644,11.8,4803,88.2,4139,76,212,3.9,1,0,21,0.4,0,0,1,0,429,7.9,520
Palestine H S,Palestine ISD,523,526,<225,<100,43.3,<25,20.7,<50,49.4,Texas,31.738417,-95.6055707,1600 Texas 256 Loop,75801,Anderson County,Palestine,48001,"1600 Texas 256 Loop, Palestine, Texas, 75801",950800,48001950800,2021,950800,Anderson County,Texas,464,24,248,170,22,4166,45,300,1717,740,453,592,319,5.2,53.4,36.6,4.7,1.1,7.2,41.2,17.8,10.9,14.2,7.7,2671,52612,62606,6123,733,12,5390,88,3239,52.9,1898,31,6,0.1,131,2.1,0,0,0,0,116,1.9,523
Westwood H S,Westwood ISD,506,483,<100,<50,38.5,<25,5.4,<25,27,Texas,31.7302275,-95.6802595,1820 Panther Boulevard,75803,Anderson County,Palestine,48001,"1820 Panther Boulevard, Palestine, Texas, 75803",950600,48001950600,2021,950600,Anderson County,Texas,671,259,369,43,0,3770,244,928,1540,659,233,134,32,38.6,55,6.4,0,6.5,24.6,40.8,17.5,6.2,3.6,0.8,1919,32552,44781,5843,1018,17.4,4825,82.6,2920,50,1901,32.5,0,0,0,0,0,0,0,0,4,0.1,506
Slocum H S,Slocum ISD,547,487,<50,<25,9.4,<25,,<25,33.3,Texas,31.6319962,-95.4622184,5765 Texas 294,75839,Anderson County,Elkhart,48001,"5765 Texas 294, Elkhart, Texas, 75839",951001,48001951001,2021,951001,Anderson County,Texas,581,163,274,144,0,2770,26,214,942,880,177,393,138,28.1,47.2,24.8,0,0.9,7.7,34,31.8,6.4,14.2,5,1397,55063,97123,4351,687,15.8,3664,84.2,3102,71.3,356,8.2,0,0,42,1,0,0,0,0,164,3.8,547
Andrews H S,Andrews ISD,525,516,247,90,36.4,23,25.6,36,40,Texas,32.3255514,-102.5680033,1400 Northwest Avenue K,79714,Andrews County,Andrews,48003,"1400 Northwest Avenue K, Andrews, Texas, 79714",950200,48003950200,2021,950200,Andrews County,Texas,378,10,179,189,0,4715,352,406,1379,1021,498,726,333,2.6,47.4,50,0,7.5,8.6,29.2,21.7,10.6,15.4,7.1,2709,81473,97973,7244,3640,50.2,3604,49.8,3283,45.3,75,1,0,0,85,1.2,37,0.5,0,0,124,1.7,525
Pineywoods Community Academy H S,Pineywoods Community Academy,582,550,<75,<25,9.6,<25,40,<25,60,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2021,950100,Runnels County,Texas,66,19,36,11,0,823,20,17,266,201,42,243,34,28.8,54.5,16.7,0,2.4,2.1,32.3,24.4,5.1,29.5,4.1,465,64539,91282,1069,145,13.6,924,86.4,851,79.6,46,4.3,0,0,0,0,0,0,0,0,27,2.5,582
Hudson H S,Hudson ISD,548,561,174,56,32.2,19,33.9,34,60.7,Texas,31.3150453,-94.8274883,6735 Ted Trout Drive,75904,Angelina County,Lufkin,48005,"6735 Ted Trout Drive, Lufkin, Texas, 75904",102,48005000102,2021,102,Angelina County,Texas,228,57,65,60,46,3170,137,199,988,739,422,494,191,25,28.5,26.3,20.2,4.3,6.3,31.2,23.3,13.3,15.6,6,1862,63889,88453,4987,448,9,4539,91,4291,86,138,2.8,0,0,43,0.9,0,0,28,0.6,39,0.8,548
