unique_id,year,tract_number,county_name,state_name,Total number of households,Median household income (dollars),Mean household income (dollars)
05001480100,2018,480100,Arkansas County,Arkansas,656,44500,53905
05001480200,2018,480200,Arkansas County,Arkansas,653,56250,70883
05001480300,2018,480300,Arkansas County,Arkansas,1180,46140,71837
05001480400,2018,480400,Arkansas County,Arkansas,1041,26644,41651
05001480500,2018,480500,Arkansas County,Arkansas,1657,43118,60202
05001480600,2018,480600,Arkansas County,Arkansas,702,51094,67560
05001480700,2018,480700,Arkansas County,Arkansas,1188,28953,36789
05001480800,2018,480800,Arkansas County,Arkansas,605,48173,62491
05003960100,2018,960100,Ashley County,Arkansas,628,36357,47241
05003960200,2018,960200,Ashley County,Arkansas,1043,48831,66880
05003960300,2018,960300,Ashley County,Arkansas,1721,40375,55449
05003960400,2018,960400,Ashley County,Arkansas,527,42284,54734
05003960500,2018,960500,Ashley County,Arkansas,1100,46522,53420
05003960600,2018,960600,Ashley County,Arkansas,2192,30370,55654
05003960700,2018,960700,Ashley County,Arkansas,704,41442,50207
05005950100,2018,950100,Baxter County,Arkansas,2134,39912,46167
05005950200,2018,950200,Baxter County,Arkansas,2101,48064,84809
05005950300,2018,950300,Baxter County,Arkansas,2303,34818,47727
05005950400,2018,950400,Baxter County,Arkansas,1468,38632,59570
05005950500,2018,950500,Baxter County,Arkansas,1953,39077,62292
05005950600,2018,950600,Baxter County,Arkansas,1744,41780,57080
05005950700,2018,950700,Baxter County,Arkansas,1578,37202,50528
05005950800,2018,950800,Baxter County,Arkansas,2826,48360,57767
05005950900,2018,950900,Baxter County,Arkansas,2263,40946,50094
05007020101,2018,20101,Benton County,Arkansas,2087,60063,70024
05007020102,2018,20102,Benton County,Arkansas,2303,69402,99946
05007020201,2018,20201,Benton County,Arkansas,1797,39929,62614
05007020203,2018,20203,Benton County,Arkansas,1183,53042,89257
05007020205,2018,20205,Benton County,Arkansas,2052,48382,71834
05007020206,2018,20206,Benton County,Arkansas,2160,53797,61004
05007020301,2018,20301,Benton County,Arkansas,1774,29085,37234
05007020302,2018,20302,Benton County,Arkansas,1659,41875,52836
05007020304,2018,20304,Benton County,Arkansas,1499,56809,81574
05007020305,2018,20305,Benton County,Arkansas,1508,56923,72879
05007020401,2018,20401,Benton County,Arkansas,2630,48913,73566
05007020402,2018,20402,Benton County,Arkansas,1603,50704,65799
05007020404,2018,20404,Benton County,Arkansas,1745,48475,61454
05007020405,2018,20405,Benton County,Arkansas,1567,97933,138932
05007020501,2018,20501,Benton County,Arkansas,2140,85380,110916
05007020503,2018,20503,Benton County,Arkansas,1848,50625,57258
05007020504,2018,20504,Benton County,Arkansas,1317,46033,72394
05007020603,2018,20603,Benton County,Arkansas,3525,91448,115318
05007020604,2018,20604,Benton County,Arkansas,1689,52198,78603
05007020605,2018,20605,Benton County,Arkansas,1596,76875,103787
05007020606,2018,20606,Benton County,Arkansas,1426,125000,191696
05007020701,2018,20701,Benton County,Arkansas,2118,66991,79995
05007020703,2018,20703,Benton County,Arkansas,1961,73487,86396
05007020704,2018,20704,Benton County,Arkansas,1752,77830,92616
05007020801,2018,20801,Benton County,Arkansas,2028,75417,91091
05007020803,2018,20803,Benton County,Arkansas,1873,57146,74422
05007020805,2018,20805,Benton County,Arkansas,2077,56762,87760
05007020806,2018,20806,Benton County,Arkansas,2317,77150,114951
05007020901,2018,20901,Benton County,Arkansas,3278,79063,89080
05007020902,2018,20902,Benton County,Arkansas,2561,64622,82900
05007021001,2018,21001,Benton County,Arkansas,1985,49750,67112
05007021002,2018,21002,Benton County,Arkansas,2699,54422,65485
05007021101,2018,21101,Benton County,Arkansas,1716,48800,56789
05007021102,2018,21102,Benton County,Arkansas,1212,54167,61684
05007021201,2018,21201,Benton County,Arkansas,1276,42415,71278
05007021202,2018,21202,Benton County,Arkansas,1171,35268,45737
05007021301,2018,21301,Benton County,Arkansas,2483,62844,85251
05007021304,2018,21304,Benton County,Arkansas,2841,90442,103701
05007021305,2018,21305,Benton County,Arkansas,2172,61818,76446
05007021306,2018,21306,Benton County,Arkansas,1565,138021,223988
05007021308,2018,21308,Benton County,Arkansas,1684,136715,162391
05007021310,2018,21310,Benton County,Arkansas,3076,74808,96210
05007021311,2018,21311,Benton County,Arkansas,2485,95594,129624
05007021404,2018,21404,Benton County,Arkansas,1370,60128,75577
05007021405,2018,21405,Benton County,Arkansas,879,64896,90856
05007021406,2018,21406,Benton County,Arkansas,1906,66085,71037
05007021407,2018,21407,Benton County,Arkansas,1996,71574,99598
05007021408,2018,21408,Benton County,Arkansas,1815,54112,62899
05007021409,2018,21409,Benton County,Arkansas,929,69962,89045
05009790100,2018,790100,Boone County,Arkansas,2645,49388,64990
05009790200,2018,790200,Boone County,Arkansas,2389,45592,58975
05009790300,2018,790300,Boone County,Arkansas,2127,43256,52405
05009790400,2018,790400,Boone County,Arkansas,2353,52404,82606
05009790501,2018,790501,Boone County,Arkansas,1587,39375,50010
05009790502,2018,790502,Boone County,Arkansas,1844,30600,38244
05009790600,2018,790600,Boone County,Arkansas,1925,41070,53888
05011950100,2018,950100,Bradley County,Arkansas,1082,39244,56403
05011950200,2018,950200,Bradley County,Arkansas,818,38214,42489
05011950300,2018,950300,Bradley County,Arkansas,891,39955,58041
05011950400,2018,950400,Bradley County,Arkansas,568,35455,44595
05011950500,2018,950500,Bradley County,Arkansas,1178,46268,62721
05013480100,2018,480100,Calhoun County,Arkansas,921,42625,52404
05013480200,2018,480200,Calhoun County,Arkansas,1015,46382,62157
05015950100,2018,950100,Carroll County,Arkansas,1287,35662,52711
05015950200,2018,950200,Carroll County,Arkansas,2926,42235,52094
05015950300,2018,950300,Carroll County,Arkansas,2682,43164,59962
05015950400,2018,950400,Carroll County,Arkansas,1583,45542,59876
05015950500,2018,950500,Carroll County,Arkansas,2683,45404,67361
05017080100,2018,80100,Chicot County,Arkansas,1119,44107,63532
05017080200,2018,80200,Chicot County,Arkansas,1001,25858,50791
05017080300,2018,80300,Chicot County,Arkansas,1134,38750,56480
05017080400,2018,80400,Chicot County,Arkansas,1054,21558,41185
05019953601,2018,953601,Clark County,Arkansas,1761,31567,47640
05019953602,2018,953602,Clark County,Arkansas,1286,53696,66095
05019953700,2018,953700,Clark County,Arkansas,1739,48596,59809
05019953800,2018,953800,Clark County,Arkansas,1642,35912,43782
05019953900,2018,953900,Clark County,Arkansas,2077,45099,56216
05021950100,2018,950100,Clay County,Arkansas,820,40698,52804
05021950200,2018,950200,Clay County,Arkansas,867,36982,53603
05021950300,2018,950300,Clay County,Arkansas,848,39444,50182
05021950400,2018,950400,Clay County,Arkansas,1360,27500,38087
05021950500,2018,950500,Clay County,Arkansas,863,30030,50064
05021950600,2018,950600,Clay County,Arkansas,1683,32492,41254
05023480100,2018,480100,Cleburne County,Arkansas,1939,45582,53308
05023480201,2018,480201,Cleburne County,Arkansas,630,47656,61894
05023480202,2018,480202,Cleburne County,Arkansas,1769,37275,54935
05023480300,2018,480300,Cleburne County,Arkansas,2098,44688,57198
05023480400,2018,480400,Cleburne County,Arkansas,1690,38023,53163
05023480501,2018,480501,Cleburne County,Arkansas,1017,43217,63986
05023480502,2018,480502,Cleburne County,Arkansas,1588,52708,80046
05025970100,2018,970100,Cleveland County,Arkansas,1834,41360,55586
05025970200,2018,970200,Cleveland County,Arkansas,1458,47222,59191
05027950100,2018,950100,Columbia County,Arkansas,1587,40653,54454
05027950200,2018,950200,Columbia County,Arkansas,1735,36592,45060
05027950300,2018,950300,Columbia County,Arkansas,1688,44746,59488
05027950400,2018,950400,Columbia County,Arkansas,2419,44714,69870
05027950500,2018,950500,Columbia County,Arkansas,1533,23097,30546
05029950100,2018,950100,Conway County,Arkansas,2036,44231,55912
05029950200,2018,950200,Conway County,Arkansas,1417,41310,52206
05029950300,2018,950300,Conway County,Arkansas,2183,34271,58855
05029950400,2018,950400,Conway County,Arkansas,931,41250,56784
05029950500,2018,950500,Conway County,Arkansas,1080,48077,64378
05029950600,2018,950600,Conway County,Arkansas,828,54000,60782
05031000101,2018,101,Craighead County,Arkansas,1739,22285,36495
05031000102,2018,102,Craighead County,Arkansas,1632,32302,73441
05031000200,2018,200,Craighead County,Arkansas,1607,43926,52147
05031000300,2018,300,Craighead County,Arkansas,2862,55574,75047
05031000401,2018,401,Craighead County,Arkansas,2218,41276,51379
05031000402,2018,401,Craighead County,Arkansas,3818,34212,44973
05031000501,2018,501,Craighead County,Arkansas,2790,68397,77588
05031000502,2018,501,Craighead County,Arkansas,2246,37618,47723
05031000601,2018,601,Craighead County,Arkansas,2407,40313,48464
05031000602,2018,602,Craighead County,Arkansas,1724,15678,24166
05031000700,2018,700,Craighead County,Arkansas,2815,51648,69098
05031000801,2018,801,Craighead County,Arkansas,2788,92443,147273
05031000802,2018,802,Craighead County,Arkansas,2996,70170,96700
05031000900,2018,900,Craighead County,Arkansas,2199,43140,53781
05031001000,2018,1000,Craighead County,Arkansas,1735,42480,64229
05031001100,2018,1100,Craighead County,Arkansas,3385,51380,69644
05031001200,2018,1200,Craighead County,Arkansas,1839,41332,58811
05033020100,2018,20100,Crawford County,Arkansas,2271,49578,58658
05033020201,2018,20201,Crawford County,Arkansas,2265,42846,50714
05033020203,2018,20203,Crawford County,Arkansas,3028,51282,70759
05033020204,2018,20204,Crawford County,Arkansas,2036,55885,95686
05033020301,2018,20301,Crawford County,Arkansas,1654,50521,58665
05033020302,2018,20302,Crawford County,Arkansas,1760,41855,67674
05033020401,2018,20401,Crawford County,Arkansas,2008,49714,58369
05033020402,2018,20402,Crawford County,Arkansas,1856,44563,56287
05033020501,2018,20501,Crawford County,Arkansas,1338,44057,49950
05033020502,2018,20502,Crawford County,Arkansas,1850,27500,40001
05033020600,2018,20600,Crawford County,Arkansas,3635,50034,59903
05035030101,2018,30101,Crittenden County,Arkansas,809,22708,32601
05035030102,2018,30102,Crittenden County,Arkansas,1093,30582,35283
05035030201,2018,30201,Crittenden County,Arkansas,2331,34050,47983
05035030202,2018,30202,Crittenden County,Arkansas,1365,60045,80239
05035030301,2018,30301,Crittenden County,Arkansas,1168,37688,49277
05035030302,2018,30302,Crittenden County,Arkansas,1015,18993,26079
05035030501,2018,30501,Crittenden County,Arkansas,289,26394,31118
05035030502,2018,30502,Crittenden County,Arkansas,291,20625,23795
05035030600,2018,30600,Crittenden County,Arkansas,1855,33750,53921
05035030701,2018,30701,Crittenden County,Arkansas,395,49375,64660
05035030702,2018,30702,Crittenden County,Arkansas,348,35833,44435
05035030703,2018,30702,Crittenden County,Arkansas,619,51458,57126
05035030803,2018,30802,Crittenden County,Arkansas,701,80104,87960
05035030804,2018,30804,Crittenden County,Arkansas,1293,56051,62510
05035030805,2018,30805,Crittenden County,Arkansas,1191,52564,66281
05035030806,2018,30806,Crittenden County,Arkansas,1169,110118,105093
05035030807,2018,30807,Crittenden County,Arkansas,629,42083,62214
05035031000,2018,31000,Crittenden County,Arkansas,634,32436,47573
05035031100,2018,31100,Crittenden County,Arkansas,1003,33159,39791
05035031200,2018,31200,Crittenden County,Arkansas,558,20804,33020
05037950100,2018,950100,Cross County,Arkansas,507,20984,31709
05037950200,2018,950200,Cross County,Arkansas,1343,42405,51773
05037950300,2018,950300,Cross County,Arkansas,640,44333,53830
05037950400,2018,950400,Cross County,Arkansas,1013,68664,73414
05037950500,2018,950500,Cross County,Arkansas,1704,30600,55277
05037950600,2018,950600,Cross County,Arkansas,1487,72147,84622
05039970100,2018,970100,Dallas County,Arkansas,608,40948,48722
05039970200,2018,970200,Dallas County,Arkansas,746,40338,46536
05039970300,2018,970300,Dallas County,Arkansas,1679,31250,42735
05041950100,2018,950100,Desha County,Arkansas,621,34181,43094
05041950200,2018,950200,Desha County,Arkansas,1794,36806,50597
05041950300,2018,950300,Desha County,Arkansas,657,25452,35531
05041950400,2018,950400,Desha County,Arkansas,1211,22579,36729
05041950500,2018,950500,Desha County,Arkansas,828,37083,45023
05043490100,2018,490100,Drew County,Arkansas,785,48618,61985
05043490200,2018,490200,Drew County,Arkansas,1046,32833,56170
05043490300,2018,490300,Drew County,Arkansas,2334,60257,59716
05043490400,2018,490400,Drew County,Arkansas,1306,25833,47755
05043490500,2018,490500,Drew County,Arkansas,1547,45486,62490
05045030101,2018,30101,Faulkner County,Arkansas,1075,55925,67772
05045030102,2018,30102,Faulkner County,Arkansas,1970,48172,59693
05045030103,2018,30102,Faulkner County,Arkansas,1184,81357,109384
05045030104,2018,30104,Faulkner County,Arkansas,1863,55551,74812
05045030200,2018,30200,Faulkner County,Arkansas,2069,47888,55235
05045030301,2018,30301,Faulkner County,Arkansas,1927,60280,67195
05045030302,2018,30302,Faulkner County,Arkansas,1978,66603,77116
