GEO_ID,NAME,S1901_C01_001E,S1901_C01_001EA,S1901_C01_001M,S1901_C01_001MA,S1901_C01_002E,S1901_C01_002EA,S1901_C01_002M,S1901_C01_002MA,S1901_C01_003E,S1901_C01_003EA,S1901_C01_003M,S1901_C01_003MA,S1901_C01_004E,S1901_C01_004EA,S1901_C01_004M,S1901_C01_004MA,S1901_C01_005E,S1901_C01_005EA,S1901_C01_005M,S1901_C01_005MA,S1901_C01_006E,S1901_C01_006EA,S1901_C01_006M,S1901_C01_006MA,S1901_C01_007E,S1901_C01_007EA,S1901_C01_007M,S1901_C01_007MA,S1901_C01_008E,S1901_C01_008EA,S1901_C01_008M,S1901_C01_008MA,S1901_C01_009E,S1901_C01_009EA,S1901_C01_009M,S1901_C01_009MA,S1901_C01_010E,S1901_C01_010EA,S1901_C01_010M,S1901_C01_010MA,S1901_C01_011E,S1901_C01_011EA,S1901_C01_011M,S1901_C01_011MA,S1901_C01_012E,S1901_C01_012EA,S1901_C01_012M,S1901_C01_012MA,S1901_C01_013E,S1901_C01_013EA,S1901_C01_013M,S1901_C01_013MA,S1901_C01_014E,S1901_C01_014EA,S1901_C01_014M,S1901_C01_014MA,S1901_C01_015E,S1901_C01_015EA,S1901_C01_015M,S1901_C01_015MA,S1901_C01_016E,S1901_C01_016EA,S1901_C01_016M,S1901_C01_016MA,S1901_C02_001E,S1901_C02_001EA,S1901_C02_001M,S1901_C02_001MA,S1901_C02_002E,S1901_C02_002EA,S1901_C02_002M,S1901_C02_002MA,S1901_C02_003E,S1901_C02_003EA,S1901_C02_003M,S1901_C02_003MA,S1901_C02_004E,S1901_C02_004EA,S1901_C02_004M,S1901_C02_004MA,S1901_C02_005E,S1901_C02_005EA,S1901_C02_005M,S1901_C02_005MA,S1901_C02_006E,S1901_C02_006EA,S1901_C02_006M,S1901_C02_006MA,S1901_C02_007E,S1901_C02_007EA,S1901_C02_007M,S1901_C02_007MA,S1901_C02_008E,S1901_C02_008EA,S1901_C02_008M,S1901_C02_008MA,S1901_C02_009E,S1901_C02_009EA,S1901_C02_009M,S1901_C02_009MA,S1901_C02_010E,S1901_C02_010EA,S1901_C02_010M,S1901_C02_010MA,S1901_C02_011E,S1901_C02_011EA,S1901_C02_011M,S1901_C02_011MA,S1901_C02_012E,S1901_C02_012EA,S1901_C02_012M,S1901_C02_012MA,S1901_C02_013E,S1901_C02_013EA,S1901_C02_013M,S1901_C02_013MA,S1901_C02_014E,S1901_C02_014EA,S1901_C02_014M,S1901_C02_014MA,S1901_C02_015E,S1901_C02_015EA,S1901_C02_015M,S1901_C02_015MA,S1901_C02_016E,S1901_C02_016EA,S1901_C02_016M,S1901_C02_016MA,S1901_C03_001E,S1901_C03_001EA,S1901_C03_001M,S1901_C03_001MA,S1901_C03_002E,S1901_C03_002EA,S1901_C03_002M,S1901_C03_002MA,S1901_C03_003E,S1901_C03_003EA,S1901_C03_003M,S1901_C03_003MA,S1901_C03_004E,S1901_C03_004EA,S1901_C03_004M,S1901_C03_004MA,S1901_C03_005E,S1901_C03_005EA,S1901_C03_005M,S1901_C03_005MA,S1901_C03_006E,S1901_C03_006EA,S1901_C03_006M,S1901_C03_006MA,S1901_C03_007E,S1901_C03_007EA,S1901_C03_007M,S1901_C03_007MA,S1901_C03_008E,S1901_C03_008EA,S1901_C03_008M,S1901_C03_008MA,S1901_C03_009E,S1901_C03_009EA,S1901_C03_009M,S1901_C03_009MA,S1901_C03_010E,S1901_C03_010EA,S1901_C03_010M,S1901_C03_010MA,S1901_C03_011E,S1901_C03_011EA,S1901_C03_011M,S1901_C03_011MA,S1901_C03_012E,S1901_C03_012EA,S1901_C03_012M,S1901_C03_012MA,S1901_C03_013E,S1901_C03_013EA,S1901_C03_013M,S1901_C03_013MA,S1901_C03_014E,S1901_C03_014EA,S1901_C03_014M,S1901_C03_014MA,S1901_C03_015E,S1901_C03_015EA,S1901_C03_015M,S1901_C03_015MA,S1901_C03_016E,S1901_C03_016EA,S1901_C03_016M,S1901_C03_016MA,S1901_C04_001E,S1901_C04_001EA,S1901_C04_001M,S1901_C04_001MA,S1901_C04_002E,S1901_C04_002EA,S1901_C04_002M,S1901_C04_002MA,S1901_C04_003E,S1901_C04_003EA,S1901_C04_003M,S1901_C04_003MA,S1901_C04_004E,S1901_C04_004EA,S1901_C04_004M,S1901_C04_004MA,S1901_C04_005E,S1901_C04_005EA,S1901_C04_005M,S1901_C04_005MA,S1901_C04_006E,S1901_C04_006EA,S1901_C04_006M,S1901_C04_006MA,S1901_C04_007E,S1901_C04_007EA,S1901_C04_007M,S1901_C04_007MA,S1901_C04_008E,S1901_C04_008EA,S1901_C04_008M,S1901_C04_008MA,S1901_C04_009E,S1901_C04_009EA,S1901_C04_009M,S1901_C04_009MA,S1901_C04_010E,S1901_C04_010EA,S1901_C04_010M,S1901_C04_010MA,S1901_C04_011E,S1901_C04_011EA,S1901_C04_011M,S1901_C04_011MA,S1901_C04_012E,S1901_C04_012EA,S1901_C04_012M,S1901_C04_012MA,S1901_C04_013E,S1901_C04_013EA,S1901_C04_013M,S1901_C04_013MA,S1901_C04_014E,S1901_C04_014EA,S1901_C04_014M,S1901_C04_014MA,S1901_C04_015E,S1901_C04_015EA,S1901_C04_015M,S1901_C04_015MA,S1901_C04_016E,S1901_C04_016EA,S1901_C04_016M,S1901_C04_016MA,ucgid
1400000US05001480100,"Census Tract 4801, Arkansas County, Arkansas",656,,77,,11.0,,5.6,,17.7,,9.3,,12.0,,6.2,,6.3,,5.1,,4.3,,2.9,,23.8,,8.3,,6.9,,3.9,,13.4,,5.3,,4.4,,3.3,,0.3,,0.5,,44500,,22810,,53905,,7670,,42.8,,-888888888.0,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),379,,68,,2.4,,3.1,,1.6,,2.7,,7.4,,6.6,,9.2,,7.9,,7.1,,4.6,,32.5,,10.6,,10.3,,6.1,,21.4,,9.2,,7.7,,5.5,,0.5,,0.8,,67569,,7202,,76596,,9235,,-888888888,(X),-888888888,(X),43.8,,-888888888.0,(X),-888888888,(X),-888888888,(X),322,,48,,2.8,,3.6,,1.9,,3.2,,5.0,,4.4,,8.1,,9.3,,7.8,,5.4,,29.8,,11.5,,12.1,,6.9,,23.0,,10.4,,9.0,,6.4,,0.6,,0.9,,70667,,6782,,-999999999,N,-999999999,N,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),277,,84,,22.7,,12.3,,39.7,,17.5,,18.4,,11.9,,2.2,,3.2,,0.4,,1.6,,11.9,,9.6,,2.2,,3.1,,2.5,,3.8,,0.0,,11.1,,0.0,,11.1,,13586,,1683,,22821,,6697,,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),41.5,,-888888888.0,(X),1400000US05001480100
1400000US05001480200,"Census Tract 4802, Arkansas County, Arkansas",653,,70,,6.0,,3.4,,5.5,,3.2,,11.5,,4.6,,5.7,,3.2,,12.9,,6.5,,22.2,,5.9,,19.1,,5.1,,14.4,,5.9,,1.8,,1.8,,0.9,,1.2,,56250,,14187,,70883,,12923,,37.2,,-888888888.0,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),478,,60,,0.0,,6.6,,2.3,,2.4,,5.6,,3.1,,6.1,,4.1,,14.9,,8.4,,27.2,,8.0,,23.2,,6.5,,16.9,,7.3,,2.5,,2.5,,1.3,,1.7,,71389,,6521,,84295,,17589,,-888888888,(X),-888888888,(X),38.5,,-888888888.0,(X),-888888888,(X),-888888888,(X),411,,59,,0.0,,7.6,,2.7,,2.7,,5.6,,3.1,,6.1,,4.6,,11.2,,7.8,,26.5,,8.5,,25.3,,7.2,,18.2,,8.2,,2.9,,2.9,,1.5,,2.0,,73750,,11470,,-999999999,N,-999999999,N,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),175,,48,,22.3,,11.4,,14.3,,9.7,,27.4,,12.5,,4.6,,6.2,,7.4,,7.3,,12.0,,8.8,,4.6,,5.4,,7.4,,8.2,,0.0,,16.9,,0.0,,16.9,,18472,,4702,,33929,,10743,,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),30.3,,-888888888.0,(X),1400000US05001480200
1400000US05001480300,"Census Tract 4803, Arkansas County, Arkansas",1180,,134,,1.9,,2.0,,8.0,,5.1,,20.8,,10.3,,7.6,,4.3,,19.0,,8.4,,10.3,,4.9,,8.1,,4.4,,13.6,,6.3,,4.6,,3.3,,5.9,,3.6,,46140,,3603,,71837,,11328,,38.2,,-888888888.0,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),838,,97,,5.7,,6.7,,8.9,,6.9,,7.6,,5.4,,8.7,,5.1,,14.9,,9.3,,11.9,,6.2,,10.5,,6.3,,16.8,,8.3,,6.4,,4.7,,8.4,,5.1,,56705,,13048,,85200,,15559,,-888888888,(X),-888888888,(X),44.6,,-888888888.0,(X),-888888888,(X),-888888888,(X),608,,74,,0.0,,5.2,,6.3,,7.2,,5.6,,5.5,,6.9,,5.2,,10.2,,7.4,,15.6,,8.6,,11.8,,7.1,,23.2,,11.1,,8.9,,6.6,,11.5,,7.0,,88049,,20479,,-999999999,N,-999999999,N,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),342,,126,,3.5,,4.4,,14.3,,10.6,,33.6,,24.2,,5.0,,5.4,,28.9,,16.8,,6.4,,6.6,,2.3,,4.4,,5.8,,5.4,,0.0,,9.1,,0.0,,9.1,,24500,,20872,,36426,,7005,,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),11.7,,-888888888.0,(X),1400000US05001480300
1400000US05001480400,"Census Tract 4804, Arkansas County, Arkansas",1041,,114,,20.2,,7.4,,12.5,,6.3,,13.9,,7.5,,15.1,,6.2,,18.9,,7.1,,14.4,,8.0,,1.8,,1.7,,0.8,,1.2,,0.8,,1.3,,1.6,,1.8,,26644,,4873,,41651,,13364,,47.4,,-888888888.0,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),524,,89,,19.8,,11.3,,7.6,,8.3,,15.6,,10.4,,15.8,,9.2,,13.5,,8.6,,17.6,,10.1,,3.6,,3.3,,1.5,,2.3,,1.5,,2.6,,3.2,,3.5,,29118,,7252,,56211,,24847,,-888888888,(X),-888888888,(X),48.9,,-888888888.0,(X),-888888888,(X),-888888888,(X),248,,63,,13.3,,15.5,,0.0,,12.3,,4.0,,6.6,,17.3,,12.7,,20.6,,13.7,,26.6,,15.3,,7.7,,7.3,,3.2,,5.1,,3.2,,5.3,,4.0,,6.1,,47969,,23148,,-999999999,N,-999999999,N,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),517,,117,,23.8,,11.9,,17.4,,10.2,,12.2,,10.4,,12.4,,8.5,,25.1,,11.8,,9.1,,13.0,,0.0,,6.1,,0.0,,6.1,,0.0,,6.1,,0.0,,6.1,,18906,,12391,,25292,,6679,,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),45.8,,-888888888.0,(X),1400000US05001480400
1400000US05001480500,"Census Tract 4805, Arkansas County, Arkansas",1657,,136,,7.0,,3.9,,14.7,,6.4,,8.6,,4.6,,12.4,,5.2,,15.6,,5.4,,18.6,,4.9,,7.4,,3.1,,9.4,,4.5,,3.3,,2.6,,3.1,,2.2,,43118,,4800,,60202,,8198,,43.2,,-888888888.0,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),951,,129,,6.2,,4.5,,3.9,,5.4,,5.2,,4.7,,17.7,,7.5,,12.9,,5.8,,20.0,,6.1,,11.1,,4.8,,14.0,,7.0,,3.7,,3.1,,5.4,,3.8,,55694,,13072,,78087,,12935,,-888888888,(X),-888888888,(X),41.4,,-888888888.0,(X),-888888888,(X),-888888888,(X),632,,88,,2.5,,3.6,,0.0,,5.0,,1.4,,2.3,,10.6,,6.4,,7.6,,5.7,,26.4,,8.5,,16.8,,7.0,,21.0,,10.3,,5.5,,4.7,,8.1,,5.4,,77625,,10270,,-999999999,N,-999999999,N,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),706,,144,,9.3,,6.7,,27.9,,11.9,,13.3,,8.5,,6.4,,4.5,,20.0,,8.5,,15.7,,8.5,,1.4,,2.2,,3.3,,3.2,,2.7,,4.1,,0.0,,4.5,,22197,,16206,,35525,,6248,,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),45.6,,-888888888.0,(X),1400000US05001480500
1400000US05001480600,"Census Tract 4806, Arkansas County, Arkansas",702,,76,,9.4,,6.0,,5.3,,3.5,,8.1,,4.4,,13.4,,6.0,,12.8,,6.0,,18.7,,6.8,,8.4,,5.0,,17.9,,6.8,,1.1,,1.4,,4.8,,5.1,,51094,,6807,,67560,,11053,,42.2,,-888888888.0,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),417,,64,,6.0,,7.3,,1.2,,1.7,,2.2,,1.9,,12.9,,7.8,,16.1,,9.3,,21.1,,8.5,,12.9,,7.7,,22.1,,10.2,,1.0,,1.8,,4.6,,6.7,,64097,,13762,,75083,,12270,,-888888888,(X),-888888888,(X),39.1,,-888888888.0,(X),-888888888,(X),-888888888,(X),335,,58,,0.0,,9.2,,1.5,,2.1,,2.7,,2.4,,10.7,,8.0,,18.2,,10.6,,16.4,,7.8,,16.1,,9.5,,27.5,,12.1,,1.2,,2.3,,5.7,,8.2,,78036,,27628,,-999999999,N,-999999999,N,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),285,,61,,14.4,,10.5,,11.2,,7.8,,16.8,,9.8,,16.8,,11.5,,5.3,,4.2,,17.5,,11.6,,1.8,,3.4,,9.5,,9.6,,1.4,,2.2,,5.3,,8.1,,29702,,7676,,55227,,22499,,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),46.7,,-888888888.0,(X),1400000US05001480600
1400000US05001480700,"Census Tract 4807, Arkansas County, Arkansas",1188,,118,,18.9,,7.0,,10.5,,5.0,,13.1,,5.8,,18.2,,6.2,,16.6,,5.9,,12.1,,5.7,,5.7,,3.1,,4.3,,2.9,,0.0,,2.7,,0.5,,0.9,,28953,,5238,,36789,,5068,,42.0,,-888888888.0,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),681,,121,,10.4,,7.7,,1.2,,1.9,,13.5,,7.4,,20.6,,8.2,,17.8,,7.7,,19.1,,9.1,,9.1,,5.5,,7.5,,5.0,,0.0,,4.7,,0.9,,1.6,,38052,,8042,,49019,,8615,,-888888888,(X),-888888888,(X),47.6,,-888888888.0,(X),-888888888,(X),-888888888,(X),421,,92,,10.0,,9.6,,1.9,,3.1,,6.2,,5.5,,22.1,,10.8,,17.8,,11.3,,20.0,,10.8,,12.1,,7.7,,10.0,,7.2,,0.0,,7.4,,0.0,,7.4,,47607,,17343,,-999999999,N,-999999999,N,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),507,,115,,36.1,,13.1,,23.1,,9.9,,8.5,,6.3,,15.0,,10.1,,13.4,,8.1,,2.8,,2.9,,1.2,,1.9,,0.0,,6.2,,0.0,,6.2,,0.0,,6.2,,13860,,1665,,19344,,3664,,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),34.5,,-888888888.0,(X),1400000US05001480700
1400000US05001480800,"Census Tract 4808, Arkansas County, Arkansas",605,,65,,7.6,,5.2,,0.8,,1.4,,14.4,,6.4,,14.4,,5.5,,14.4,,6.6,,24.1,,8.1,,9.9,,4.6,,10.2,,4.4,,0.3,,0.6,,3.8,,2.7,,48173,,9956,,62491,,8583,,30.1,,-888888888.0,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),459,,61,,1.1,,1.8,,1.5,,2.1,,12.0,,6.3,,12.2,,5.5,,19.2,,8.1,,25.5,,9.1,,12.4,,6.0,,12.0,,5.5,,0.4,,0.8,,3.7,,3.1,,54712,,7559,,68868,,10399,,-888888888,(X),-888888888,(X),26.1,,-888888888.0,(X),-888888888,(X),-888888888,(X),354,,57,,0.0,,8.8,,0.0,,8.8,,4.8,,4.0,,12.7,,6.1,,16.7,,9.3,,29.9,,11.0,,16.1,,7.9,,14.4,,7.0,,0.6,,1.0,,4.8,,4.0,,63333,,10760,,-999999999,N,-999999999,N,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),146,,55,,28.1,,18.3,,0.0,,19.8,,26.0,,18.1,,21.2,,12.7,,9.6,,9.8,,8.2,,9.2,,2.1,,3.2,,4.8,,7.8,,0.0,,19.8,,0.0,,19.8,,24211,,7785,,31419,,11700,,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),30.8,,-888888888.0,(X),1400000US05001480800
1400000US05003960100,"Census Tract 9601, Ashley County, Arkansas",628,,88,,13.7,,5.0,,5.4,,2.8,,15.3,,5.4,,12.6,,4.9,,20.4,,6.2,,13.9,,5.6,,7.8,,3.2,,8.1,,4.0,,1.1,,1.4,,1.8,,1.3,,36357,,3484,,47241,,5674,,46.8,,-888888888.0,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),438,,79,,11.2,,5.6,,0.7,,1.0,,9.8,,5.4,,13.0,,5.9,,24.0,,8.3,,18.7,,7.5,,7.8,,3.9,,11.0,,5.6,,1.6,,2.0,,2.3,,1.8,,44286,,6985,,55558,,7200,,-888888888,(X),-888888888,(X),42.7,,-888888888.0,(X),-888888888,(X),-888888888,(X),338,,73,,5.6,,4.1,,0.9,,1.3,,6.5,,5.1,,9.2,,6.2,,29.3,,10.4,,21.3,,9.3,,8.0,,4.4,,14.2,,7.0,,2.1,,2.5,,3.0,,2.3,,49107,,8164,,-999999999,N,-999999999,N,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),190,,47,,19.5,,9.5,,16.3,,8.3,,27.9,,12.4,,11.6,,8.0,,12.1,,8.0,,2.6,,3.8,,7.9,,6.3,,1.6,,2.1,,0.0,,15.7,,0.5,,0.9,,21389,,3152,,28071,,5282,,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),56.3,,-888888888.0,(X),1400000US05003960100
1400000US05003960200,"Census Tract 9602, Ashley County, Arkansas",1043,,114,,1.2,,1.5,,7.3,,4.4,,15.9,,7.9,,9.3,,5.5,,17.6,,7.6,,13.8,,6.0,,16.6,,8.9,,12.7,,7.0,,3.9,,3.5,,1.6,,1.9,,48831,,8797,,66880,,11207,,35.0,,-888888888.0,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),761,,130,,0.0,,4.2,,3.2,,4.7,,5.8,,4.4,,10.9,,7.1,,19.8,,8.3,,14.1,,6.9,,21.9,,11.3,,17.3,,9.2,,5.4,,5.0,,1.6,,2.0,,64766,,20331,,78924,,14423,,-888888888,(X),-888888888,(X),39.0,,-888888888.0,(X),-888888888,(X),-888888888,(X),725,,127,,0.0,,4.4,,3.3,,4.9,,5.8,,4.5,,9.2,,6.9,,19.0,,8.5,,14.2,,7.1,,23.0,,11.9,,18.1,,9.4,,5.7,,5.2,,1.7,,2.2,,70694,,21600,,-999999999,N,-999999999,N,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),282,,95,,4.6,,5.8,,18.4,,12.2,,43.3,,20.7,,5.0,,5.1,,13.5,,17.1,,13.1,,11.6,,2.1,,3.2,,0.0,,10.9,,0.0,,10.9,,0.0,,10.9,,21552,,1995,,28250,,7950,,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),22.3,,-888888888.0,(X),1400000US05003960200
