unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
05001480100,2023,480100,Arkansas County,Arkansas,51,15,15,21,0,788,18,76,359,173,70,64,28,29.4,29.4,41.2,0.0,2.3,9.6,45.6,22.0,8.9,8.1,3.6,473,60897,79241,1096,88,8.0,1008,92.0,813,74.2,153,14.0,0,0.0,0,0.0,0,0.0,0,0.0,42,3.8
05001480200,2023,480200,Arkansas County,Arkansas,65,0,37,28,0,1050,18,140,429,280,75,105,3,0.0,56.9,43.1,0.0,1.7,13.3,40.9,26.7,7.1,10.0,0.3,555,74923,72449,1524,142,9.3,1382,90.7,1334,87.5,34,2.2,0,0.0,0,0.0,0,0.0,0,0.0,14,0.9
05001480300,2023,480300,Arkansas County,Arkansas,77,0,77,0,0,1975,84,186,764,439,96,235,171,0.0,100.0,0.0,0.0,4.3,9.4,38.7,22.2,4.9,11.9,8.7,1082,61667,88679,2878,137,4.8,2741,95.2,1844,64.1,719,25.0,5,0.2,0,0.0,0,0.0,0,0.0,173,6.0
05001480400,2023,480400,Arkansas County,Arkansas,164,3,58,96,7,1348,26,182,623,219,169,75,54,1.8,35.4,58.5,4.3,1.9,13.5,46.2,16.2,12.5,5.6,4.0,853,37670,41352,2034,24,1.2,2010,98.8,521,25.6,1379,67.8,7,0.3,14,0.7,0,0.0,0,0.0,89,4.4
05001480500,2023,480500,Arkansas County,Arkansas,426,90,157,142,37,2494,91,172,1033,463,314,310,111,21.1,36.9,33.3,8.7,3.6,6.9,41.4,18.6,12.6,12.4,4.5,1399,71691,70233,3623,16,0.4,3607,99.6,2346,64.8,1247,34.4,0,0.0,0,0.0,0,0.0,0,0.0,14,0.4
05001480600,2023,480600,Arkansas County,Arkansas,147,15,72,56,4,1260,52,56,600,237,98,125,92,10.2,49.0,38.1,2.7,4.1,4.4,47.6,18.8,7.8,9.9,7.3,659,71227,79408,1695,92,5.4,1603,94.6,1534,90.5,42,2.5,0,0.0,0,0.0,0,0.0,0,0.0,27,1.6
05001480700,2023,480700,Arkansas County,Arkansas,303,115,46,142,0,1875,84,166,890,284,269,111,71,38.0,15.2,46.9,0.0,4.5,8.9,47.5,15.1,14.3,5.9,3.8,1075,53823,77198,2871,162,5.6,2709,94.4,2002,69.7,674,23.5,0,0.0,0,0.0,0,0.0,0,0.0,33,1.1
05001480800,2023,480800,Arkansas County,Arkansas,10,0,6,4,0,850,69,37,267,128,120,118,111,0.0,60.0,40.0,0.0,8.1,4.4,31.4,15.1,14.1,13.9,13.1,491,82250,91298,1052,0,0.0,1052,100.0,944,89.7,71,6.7,4,0.4,0,0.0,0,0.0,0,0.0,33,3.1
05003960100,2023,960100,Ashley County,Arkansas,92,26,19,37,10,841,41,76,365,185,95,61,18,28.3,20.7,40.2,10.9,4.9,9.0,43.4,22.0,11.3,7.3,2.1,467,55938,65285,1210,105,8.7,1105,91.3,691,57.1,381,31.5,8,0.7,0,0.0,0,0.0,0,0.0,25,2.1
05003960200,2023,960200,Ashley County,Arkansas,200,86,35,47,32,1824,178,70,1165,249,100,23,39,43.0,17.5,23.5,16.0,9.8,3.8,63.9,13.7,5.5,1.3,2.1,902,56059,60533,2674,201,7.5,2473,92.5,2348,87.8,103,3.9,0,0.0,0,0.0,0,0.0,0,0.0,22,0.8
