unique_id,year,tract_number,county_name,state_name,Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
05001480100,2023,480100,Arkansas County,Arkansas,1096,88,8.0,1008,92.0,813,74.2,153,14.0,0,0.0,0,0.0,0,0.0,0,0.0,42,3.8
05001480200,2023,480200,Arkansas County,Arkansas,1524,142,9.3,1382,90.7,1334,87.5,34,2.2,0,0.0,0,0.0,0,0.0,0,0.0,14,0.9
05001480300,2023,480300,Arkansas County,Arkansas,2878,137,4.8,2741,95.2,1844,64.1,719,25.0,5,0.2,0,0.0,0,0.0,0,0.0,173,6.0
05001480400,2023,480400,Arkansas County,Arkansas,2034,24,1.2,2010,98.8,521,25.6,1379,67.8,7,0.3,14,0.7,0,0.0,0,0.0,89,4.4
05001480500,2023,480500,Arkansas County,Arkansas,3623,16,0.4,3607,99.6,2346,64.8,1247,34.4,0,0.0,0,0.0,0,0.0,0,0.0,14,0.4
05001480600,2023,480600,Arkansas County,Arkansas,1695,92,5.4,1603,94.6,1534,90.5,42,2.5,0,0.0,0,0.0,0,0.0,0,0.0,27,1.6
05001480700,2023,480700,Arkansas County,Arkansas,2871,162,5.6,2709,94.4,2002,69.7,674,23.5,0,0.0,0,0.0,0,0.0,0,0.0,33,1.1
05001480800,2023,480800,Arkansas County,Arkansas,1052,0,0.0,1052,100.0,944,89.7,71,6.7,4,0.4,0,0.0,0,0.0,0,0.0,33,3.1
05003960100,2023,960100,Ashley County,Arkansas,1210,105,8.7,1105,91.3,691,57.1,381,31.5,8,0.7,0,0.0,0,0.0,0,0.0,25,2.1
05003960200,2023,960200,Ashley County,Arkansas,2674,201,7.5,2473,92.5,2348,87.8,103,3.9,0,0.0,0,0.0,0,0.0,0,0.0,22,0.8
05003960300,2023,960300,Ashley County,Arkansas,4372,652,14.9,3720,85.1,2883,65.9,803,18.4,0,0.0,0,0.0,0,0.0,12,0.3,22,0.5
05003960400,2023,960400,Ashley County,Arkansas,1373,0,0.0,1373,100.0,902,65.7,470,34.2,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1
05003960500,2023,960500,Ashley County,Arkansas,2387,26,1.1,2361,98.9,1954,81.9,399,16.7,0,0.0,0,0.0,0,0.0,0,0.0,8,0.3
05003960600,2023,960600,Ashley County,Arkansas,5015,115,2.3,4900,97.7,2758,55.0,1989,39.7,0,0.0,0,0.0,0,0.0,0,0.0,153,3.1
05003960700,2023,960700,Ashley County,Arkansas,1691,58,3.4,1633,96.6,1110,65.6,461,27.3,0,0.0,3,0.2,50,3.0,0,0.0,9,0.5
05005950100,2023,950100,Baxter County,Arkansas,4478,198,4.4,4280,95.6,4088,91.3,1,0.0,65,1.5,70,1.6,0,0.0,1,0.0,55,1.2
05005950200,2023,950200,Baxter County,Arkansas,4601,141,3.1,4460,96.9,4280,93.0,4,0.1,0,0.0,0,0.0,0,0.0,0,0.0,176,3.8
05005950300,2023,950300,Baxter County,Arkansas,5221,222,4.3,4999,95.7,4581,87.7,0,0.0,0,0.0,100,1.9,0,0.0,0,0.0,318,6.1
05005950400,2023,950400,Baxter County,Arkansas,3345,55,1.6,3290,98.4,3043,91.0,61,1.8,24,0.7,15,0.4,13,0.4,0,0.0,134,4.0
