GEO_ID,NAME,S1901_C01_001E,S1901_C01_001EA,S1901_C01_001M,S1901_C01_001MA,S1901_C01_002E,S1901_C01_002EA,S1901_C01_002M,S1901_C01_002MA,S1901_C01_003E,S1901_C01_003EA,S1901_C01_003M,S1901_C01_003MA,S1901_C01_004E,S1901_C01_004EA,S1901_C01_004M,S1901_C01_004MA,S1901_C01_005E,S1901_C01_005EA,S1901_C01_005M,S1901_C01_005MA,S1901_C01_006E,S1901_C01_006EA,S1901_C01_006M,S1901_C01_006MA,S1901_C01_007E,S1901_C01_007EA,S1901_C01_007M,S1901_C01_007MA,S1901_C01_008E,S1901_C01_008EA,S1901_C01_008M,S1901_C01_008MA,S1901_C01_009E,S1901_C01_009EA,S1901_C01_009M,S1901_C01_009MA,S1901_C01_010E,S1901_C01_010EA,S1901_C01_010M,S1901_C01_010MA,S1901_C01_011E,S1901_C01_011EA,S1901_C01_011M,S1901_C01_011MA,S1901_C01_012E,S1901_C01_012EA,S1901_C01_012M,S1901_C01_012MA,S1901_C01_013E,S1901_C01_013EA,S1901_C01_013M,S1901_C01_013MA,S1901_C01_014E,S1901_C01_014EA,S1901_C01_014M,S1901_C01_014MA,S1901_C01_015E,S1901_C01_015EA,S1901_C01_015M,S1901_C01_015MA,S1901_C01_016E,S1901_C01_016EA,S1901_C01_016M,S1901_C01_016MA,S1901_C02_001E,S1901_C02_001EA,S1901_C02_001M,S1901_C02_001MA,S1901_C02_002E,S1901_C02_002EA,S1901_C02_002M,S1901_C02_002MA,S1901_C02_003E,S1901_C02_003EA,S1901_C02_003M,S1901_C02_003MA,S1901_C02_004E,S1901_C02_004EA,S1901_C02_004M,S1901_C02_004MA,S1901_C02_005E,S1901_C02_005EA,S1901_C02_005M,S1901_C02_005MA,S1901_C02_006E,S1901_C02_006EA,S1901_C02_006M,S1901_C02_006MA,S1901_C02_007E,S1901_C02_007EA,S1901_C02_007M,S1901_C02_007MA,S1901_C02_008E,S1901_C02_008EA,S1901_C02_008M,S1901_C02_008MA,S1901_C02_009E,S1901_C02_009EA,S1901_C02_009M,S1901_C02_009MA,S1901_C02_010E,S1901_C02_010EA,S1901_C02_010M,S1901_C02_010MA,S1901_C02_011E,S1901_C02_011EA,S1901_C02_011M,S1901_C02_011MA,S1901_C02_012E,S1901_C02_012EA,S1901_C02_012M,S1901_C02_012MA,S1901_C02_013E,S1901_C02_013EA,S1901_C02_013M,S1901_C02_013MA,S1901_C02_014E,S1901_C02_014EA,S1901_C02_014M,S1901_C02_014MA,S1901_C02_015E,S1901_C02_015EA,S1901_C02_015M,S1901_C02_015MA,S1901_C02_016E,S1901_C02_016EA,S1901_C02_016M,S1901_C02_016MA,S1901_C03_001E,S1901_C03_001EA,S1901_C03_001M,S1901_C03_001MA,S1901_C03_002E,S1901_C03_002EA,S1901_C03_002M,S1901_C03_002MA,S1901_C03_003E,S1901_C03_003EA,S1901_C03_003M,S1901_C03_003MA,S1901_C03_004E,S1901_C03_004EA,S1901_C03_004M,S1901_C03_004MA,S1901_C03_005E,S1901_C03_005EA,S1901_C03_005M,S1901_C03_005MA,S1901_C03_006E,S1901_C03_006EA,S1901_C03_006M,S1901_C03_006MA,S1901_C03_007E,S1901_C03_007EA,S1901_C03_007M,S1901_C03_007MA,S1901_C03_008E,S1901_C03_008EA,S1901_C03_008M,S1901_C03_008MA,S1901_C03_009E,S1901_C03_009EA,S1901_C03_009M,S1901_C03_009MA,S1901_C03_010E,S1901_C03_010EA,S1901_C03_010M,S1901_C03_010MA,S1901_C03_011E,S1901_C03_011EA,S1901_C03_011M,S1901_C03_011MA,S1901_C03_012E,S1901_C03_012EA,S1901_C03_012M,S1901_C03_012MA,S1901_C03_013E,S1901_C03_013EA,S1901_C03_013M,S1901_C03_013MA,S1901_C03_014E,S1901_C03_014EA,S1901_C03_014M,S1901_C03_014MA,S1901_C03_015E,S1901_C03_015EA,S1901_C03_015M,S1901_C03_015MA,S1901_C03_016E,S1901_C03_016EA,S1901_C03_016M,S1901_C03_016MA,S1901_C04_001E,S1901_C04_001EA,S1901_C04_001M,S1901_C04_001MA,S1901_C04_002E,S1901_C04_002EA,S1901_C04_002M,S1901_C04_002MA,S1901_C04_003E,S1901_C04_003EA,S1901_C04_003M,S1901_C04_003MA,S1901_C04_004E,S1901_C04_004EA,S1901_C04_004M,S1901_C04_004MA,S1901_C04_005E,S1901_C04_005EA,S1901_C04_005M,S1901_C04_005MA,S1901_C04_006E,S1901_C04_006EA,S1901_C04_006M,S1901_C04_006MA,S1901_C04_007E,S1901_C04_007EA,S1901_C04_007M,S1901_C04_007MA,S1901_C04_008E,S1901_C04_008EA,S1901_C04_008M,S1901_C04_008MA,S1901_C04_009E,S1901_C04_009EA,S1901_C04_009M,S1901_C04_009MA,S1901_C04_010E,S1901_C04_010EA,S1901_C04_010M,S1901_C04_010MA,S1901_C04_011E,S1901_C04_011EA,S1901_C04_011M,S1901_C04_011MA,S1901_C04_012E,S1901_C04_012EA,S1901_C04_012M,S1901_C04_012MA,S1901_C04_013E,S1901_C04_013EA,S1901_C04_013M,S1901_C04_013MA,S1901_C04_014E,S1901_C04_014EA,S1901_C04_014M,S1901_C04_014MA,S1901_C04_015E,S1901_C04_015EA,S1901_C04_015M,S1901_C04_015MA,S1901_C04_016E,S1901_C04_016EA,S1901_C04_016M,S1901_C04_016MA,ucgid
1400000US05001480100,Census Tract 4801; Arkansas County; Arkansas,473,,98,,3.4,,2.9,,5.9,,6.9,,14.8,,7.9,,7.6,,5.0,,9.1,,5.8,,28.3,,11.1,,10.6,,6.1,,10.1,,6.2,,4.0,,3.5,,6.1,,4.4,,60897,,8814,,79241,,16915,,42.5,,-888888888.0,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),333,,81,,4.8,,4.2,,0.0,,10.6,,13.2,,10.0,,5.1,,4.5,,8.7,,7.2,,28.8,,14.3,,12.6,,7.6,,12.3,,7.9,,5.7,,4.8,,8.7,,6.3,,70924,,11922,,94979,,22396,,-888888888,(X),-888888888,(X),53.2,,-888888888.0,(X),-888888888,(X),-888888888,(X),281,,67,,5.0,,4.7,,0.0,,12.5,,8.2,,8.8,,6.0,,5.4,,6.8,,5.7,,29.9,,16.0,,14.9,,9.1,,12.1,,8.3,,6.8,,5.8,,10.3,,7.0,,73036,,5156,,-999999999,N,-999999999,N,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),140,,57,,0.0,,23.2,,20.0,,21.1,,18.6,,13.8,,13.6,,12.6,,10.0,,9.9,,27.1,,17.6,,5.7,,6.8,,5.0,,6.2,,0.0,,23.2,,0.0,,23.2,,27222,,24670,,41546,,10182,,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),17.1,,-888888888.0,(X),1400000US05001480100
1400000US05001480200,Census Tract 4802; Arkansas County; Arkansas,555,,101,,5.2,,4.3,,4.0,,3.7,,4.0,,2.7,,10.6,,7.3,,7.4,,4.2,,19.1,,8.1,,22.0,,9.2,,24.3,,9.8,,3.4,,3.5,,0.0,,6.5,,74923,,2465,,72449,,7868,,45.0,,-888888888.0,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),410,,86,,1.2,,2.2,,0.5,,1.6,,1.2,,1.7,,12.4,,8.6,,14.6,,9.1,,17.3,,8.6,,18.3,,11.7,,29.8,,13.1,,4.6,,4.8,,0.0,,8.7,,76250,,23488,,78726,,9360,,-888888888,(X),-888888888,(X),48.5,,-888888888.0,(X),-888888888,(X),-888888888,(X),338,,84,,0.0,,10.5,,0.6,,1.9,,0.3,,0.7,,9.8,,8.9,,5.9,,6.0,,19.5,,9.8,,22.2,,13.9,,36.1,,14.6,,5.6,,5.8,,0.0,,10.5,,93224,,10522,,-999999999,N,-999999999,N,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),145,,57,,16.6,,14.9,,13.8,,12.6,,11.7,,9.4,,17.9,,17.4,,9.0,,6.7,,15.2,,12.4,,6.9,,8.6,,9.0,,9.8,,0.0,,22.5,,0.0,,22.5,,27054,,6189,,39754,,12323,,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),35.2,,-888888888.0,(X),1400000US05001480200
1400000US05001480300,Census Tract 4803; Arkansas County; Arkansas,1082,,147,,4.0,,3.9,,12.9,,7.3,,6.7,,5.5,,4.8,,4.8,,13.7,,6.9,,16.3,,7.5,,5.0,,4.4,,15.1,,6.9,,13.8,,7.1,,7.8,,4.9,,61667,,8488,,88679,,11825,,42.5,,-888888888.0,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),767,,126,,4.6,,5.1,,7.2,,6.7,,3.9,,3.8,,4.3,,5.7,,7.6,,5.7,,21.6,,10.1,,3.4,,3.3,,18.5,,9.0,,19.4,,10.0,,9.5,,6.4,,81477,,41010,,106072,,14978,,-888888888,(X),-888888888,(X),40.5,,-888888888.0,(X),-888888888,(X),-888888888,(X),592,,108,,3.2,,5.3,,2.5,,4.2,,0.8,,1.5,,0.5,,0.8,,9.0,,7.4,,25.2,,13.3,,4.4,,4.2,,22.5,,11.3,,19.6,,12.1,,12.3,,8.6,,111705,,38357,,-999999999,N,-999999999,N,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),315,,118,,2.5,,4.2,,35.9,,20.9,,21.6,,18.8,,1.9,,3.5,,24.8,,17.5,,3.2,,5.7,,0.0,,11.2,,6.7,,8.7,,0.0,,11.2,,3.5,,5.4,,18870,,12866,,38760,,15420,,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),47.3,,-888888888.0,(X),1400000US05001480300
1400000US05001480400,Census Tract 4804; Arkansas County; Arkansas,853,,137,,13.8,,9.4,,11.6,,8.0,,12.5,,8.1,,8.7,,7.6,,11.6,,7.1,,27.3,,10.1,,13.5,,7.4,,0.9,,1.7,,0.0,,4.3,,0.0,,4.3,,37670,,12277,,41352,,5870,,37.0,,-888888888.0,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),463,,91,,10.8,,10.6,,0.0,,7.8,,7.3,,7.8,,7.1,,9.1,,14.9,,12.9,,40.0,,17.1,,18.1,,11.2,,1.7,,3.1,,0.0,,7.8,,0.0,,7.8,,52617,,10979,,53189,,8072,,-888888888,(X),-888888888,(X),43.8,,-888888888.0,(X),-888888888,(X),-888888888,(X),282,,71,,12.8,,14.1,,0.0,,12.4,,5.7,,6.7,,11.7,,14.2,,16.0,,15.0,,24.1,,17.3,,29.8,,16.0,,0.0,,12.4,,0.0,,12.4,,0.0,,12.4,,54615,,29021,,-999999999,N,-999999999,N,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),390,,121,,17.4,,16.5,,25.4,,16.1,,18.7,,16.1,,10.5,,12.1,,13.8,,10.2,,12.3,,8.6,,1.8,,2.9,,0.0,,9.2,,0.0,,9.2,,0.0,,9.2,,18594,,9316,,24685,,6765,,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),29.0,,-888888888.0,(X),1400000US05001480400
1400000US05001480500,Census Tract 4805; Arkansas County; Arkansas,1399,,209,,5.7,,5.9,,4.4,,3.7,,7.9,,6.1,,12.8,,8.1,,6.4,,4.5,,19.4,,7.3,,21.6,,7.9,,16.7,,7.6,,4.3,,3.1,,0.9,,1.4,,71691,,12929,,70233,,7347,,44.0,,-888888888.0,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),909,,157,,0.0,,4.0,,2.9,,4.2,,6.9,,7.7,,9.0,,8.9,,4.2,,4.1,,24.1,,11.6,,20.9,,10.4,,24.8,,10.6,,5.9,,4.6,,1.3,,2.1,,81719,,19069,,83917,,10419,,-888888888,(X),-888888888,(X),44.1,,-888888888.0,(X),-888888888,(X),-888888888,(X),617,,126,,0.0,,5.9,,0.0,,5.9,,1.6,,1.9,,4.4,,4.8,,1.3,,2.5,,25.4,,12.6,,25.3,,13.0,,31.3,,13.5,,8.8,,6.4,,1.9,,3.1,,93281,,13642,,-999999999,N,-999999999,N,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),490,,169,,16.3,,16.1,,7.1,,7.0,,9.8,,8.5,,19.8,,13.7,,10.6,,9.9,,23.3,,13.9,,10.2,,8.2,,1.6,,2.6,,1.2,,2.0,,0.0,,7.4,,34013,,16538,,43224,,9667,,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),43.9,,-888888888.0,(X),1400000US05001480500
1400000US05001480600,Census Tract 4806; Arkansas County; Arkansas,659,,153,,3.3,,2.6,,3.5,,2.6,,8.0,,5.0,,1.7,,1.9,,11.4,,6.5,,27.8,,14.7,,14.0,,7.9,,25.5,,14.7,,4.9,,3.5,,0.0,,5.5,,71227,,13342,,79408,,13214,,36.6,,-888888888.0,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),393,,133,,3.6,,3.5,,1.0,,1.6,,1.5,,2.5,,3.8,,4.2,,13.2,,10.0,,12.5,,8.5,,15.5,,10.8,,43.8,,18.5,,5.1,,4.7,,0.0,,9.1,,96250,,26822,,93624,,15311,,-888888888,(X),-888888888,(X),23.9,,-888888888.0,(X),-888888888,(X),-888888888,(X),276,,116,,3.6,,4.2,,0.0,,12.7,,2.2,,3.7,,0.0,,12.7,,1.4,,2.7,,8.0,,6.6,,22.1,,16.2,,58.3,,21.5,,4.3,,6.0,,0.0,,12.7,,118333,,39583,,-999999999,N,-999999999,N,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),266,,104,,3.0,,4.5,,7.1,,6.1,,17.7,,12.0,,0.0,,13.1,,7.1,,6.3,,57.1,,22.9,,4.9,,8.0,,0.0,,13.1,,3.0,,4.7,,0.0,,13.1,,61211,,9199,,55007,,9218,,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),55.3,,-888888888.0,(X),1400000US05001480600
1400000US05001480700,Census Tract 4807; Arkansas County; Arkansas,1075,,164,,6.5,,5.3,,2.1,,2.0,,11.5,,6.3,,10.6,,6.0,,13.4,,8.5,,29.7,,11.7,,7.5,,4.8,,10.0,,7.2,,4.6,,4.0,,4.1,,3.3,,53823,,6559,,77198,,17989,,51.1,,-888888888.0,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),700,,136,,1.4,,2.1,,0.0,,5.2,,1.4,,3.1,,9.6,,7.2,,14.6,,8.0,,38.0,,14.1,,7.7,,5.8,,15.3,,9.9,,7.0,,6.2,,5.0,,4.9,,68036,,16702,,94768,,24547,,-888888888,(X),-888888888,(X),52.0,,-888888888.0,(X),-888888888,(X),-888888888,(X),564,,148,,0.9,,1.6,,0.0,,6.4,,0.0,,6.4,,5.3,,5.9,,13.7,,9.1,,39.0,,15.8,,8.5,,6.9,,19.0,,11.3,,8.7,,7.7,,5.0,,5.5,,73264,,11130,,-999999999,N,-999999999,N,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),375,,149,,16.0,,13.3,,6.1,,6.0,,30.4,,15.3,,12.5,,10.0,,11.2,,16.0,,14.1,,19.5,,7.2,,8.9,,0.0,,9.5,,0.0,,9.5,,2.4,,4.1,,23417,,12181,,44401,,23262,,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),49.3,,-888888888.0,(X),1400000US05001480700
1400000US05001480800,Census Tract 4808; Arkansas County; Arkansas,491,,105,,2.2,,2.7,,2.6,,3.8,,7.9,,6.3,,7.1,,5.2,,10.2,,6.3,,15.7,,9.5,,11.0,,6.7,,26.9,,12.2,,9.4,,6.7,,6.9,,6.2,,82250,,26360,,91298,,12911,,32.4,,-888888888.0,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),278,,60,,0.0,,12.6,,0.0,,12.6,,0.0,,12.6,,8.6,,8.5,,15.1,,10.2,,7.9,,7.5,,11.2,,6.5,,28.4,,12.0,,16.5,,11.2,,12.2,,10.5,,111250,,25273,,111391,,15059,,-888888888,(X),-888888888,(X),47.1,,-888888888.0,(X),-888888888,(X),-888888888,(X),243,,53,,0.0,,14.3,,0.0,,14.3,,0.0,,14.3,,6.2,,8.2,,13.2,,11.1,,7.4,,7.8,,12.8,,7.2,,31.7,,13.0,,14.8,,11.3,,14.0,,12.1,,117321,,25822,,-999999999,N,-999999999,N,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),213,,92,,5.2,,6.4,,6.1,,8.8,,18.3,,14.0,,5.2,,5.8,,3.8,,6.2,,25.8,,17.2,,10.8,,12.4,,24.9,,26.7,,0.0,,16.1,,0.0,,16.1,,56602,,16213,,64955,,24437,,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),13.1,,-888888888.0,(X),1400000US05001480800
1400000US05003960100,Census Tract 9601; Ashley County; Arkansas,467,,85,,7.9,,4.3,,6.0,,4.1,,12.2,,6.1,,6.9,,3.8,,12.2,,6.4,,26.6,,7.3,,8.6,,4.7,,13.1,,8.6,,4.7,,3.0,,1.9,,2.7,,55938,,10071,,65285,,10696,,56.1,,-888888888.0,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),309,,70,,4.9,,4.9,,2.3,,3.5,,5.2,,5.4,,3.2,,2.7,,16.8,,8.9,,27.5,,10.0,,10.7,,6.0,,19.7,,12.4,,6.8,,4.5,,2.9,,4.3,,64514,,10071,,80977,,15865,,-888888888,(X),-888888888,(X),65.4,,-888888888.0,(X),-888888888,(X),-888888888,(X),265,,63,,4.2,,5.5,,2.6,,4.0,,6.0,,6.3,,1.9,,1.8,,10.9,,8.5,,30.9,,11.2,,11.3,,7.0,,20.8,,14.7,,7.9,,5.4,,3.4,,5.0,,66806,,15755,,-999999999,N,-999999999,N,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),158,,45,,13.9,,10.0,,13.3,,9.3,,25.9,,13.2,,14.6,,9.4,,3.2,,5.0,,24.1,,12.3,,4.4,,5.8,,0.0,,20.9,,0.6,,1.3,,0.0,,20.9,,23214,,7054,,34098,,7097,,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),37.3,,-888888888.0,(X),1400000US05003960100
1400000US05003960200,Census Tract 9602; Ashley County; Arkansas,902,,128,,11.8,,8.4,,2.4,,2.2,,5.1,,3.5,,12.3,,8.7,,12.6,,8.0,,21.1,,10.0,,19.3,,8.7,,13.0,,6.6,,2.1,,3.1,,0.3,,0.8,,56059,,10273,,60533,,8817,,64.9,,-888888888.0,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),667,,130,,4.8,,4.9,,3.3,,2.9,,4.8,,4.5,,12.6,,10.7,,10.3,,9.4,,24.0,,10.5,,21.0,,9.4,,15.9,,8.5,,2.8,,4.2,,0.4,,1.1,,64185,,11745,,67579,,10185,,-888888888,(X),-888888888,(X),65.7,,-888888888.0,(X),-888888888,(X),-888888888,(X),598,,121,,4.5,,5.3,,1.3,,2.1,,5.2,,4.9,,12.7,,12.0,,11.5,,10.4,,23.9,,11.3,,19.4,,9.5,,17.7,,9.3,,3.2,,4.7,,0.5,,1.2,,63478,,13823,,-999999999,N,-999999999,N,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),235,,84,,31.5,,24.8,,0.0,,14.7,,6.0,,6.3,,11.5,,10.7,,19.1,,14.9,,12.8,,16.4,,14.5,,16.6,,4.7,,7.3,,0.0,,14.7,,0.0,,14.7,,38281,,24057,,40531,,14395,,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),62.6,,-888888888.0,(X),1400000US05003960200
1400000US05003960300,Census Tract 9603; Ashley County; Arkansas,1647,,170,,13.4,,6.6,,10.7,,5.1,,14.4,,6.4,,10.4,,3.9,,16.8,,5.0,,10.4,,4.5,,7.7,,3.6,,9.3,,5.0,,3.0,,2.6,,3.8,,3.5,,35387,,7569,,56087,,11945,,59.6,,-888888888.0,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),899,,147,,9.8,,7.2,,0.8,,1.6,,11.0,,7.9,,12.3,,5.1,,15.7,,6.7,,12.7,,6.1,,9.0,,5.4,,16.2,,8.1,,5.5,,4.5,,7.0,,6.4,,50292,,9752,,80346,,20379,,-888888888,(X),-888888888,(X),52.2,,-888888888.0,(X),-888888888,(X),-888888888,(X),697,,158,,4.9,,4.9,,0.0,,5.2,,11.6,,9.6,,7.6,,4.7,,13.9,,6.8,,13.9,,7.2,,11.6,,7.3,,20.9,,9.5,,7.0,,5.9,,8.5,,7.9,,67250,,34180,,-999999999,N,-999999999,N,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),748,,177,,17.6,,11.5,,22.7,,10.9,,18.4,,10.5,,11.0,,7.3,,15.4,,8.0,,7.8,,6.4,,6.1,,4.9,,0.9,,1.3,,0.0,,4.9,,0.0,,4.9,,21958,,6397,,26599,,5217,,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),67.1,,-888888888.0,(X),1400000US05003960300
