unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)"
08001007801,2017,7801,Adams County,Colorado,411,233,113,56,9,2405,631,444,747,367,48,120,48,56.7,27.5,13.6,2.2,26.2,18.5,31.1,15.3,2.0,5.0,2.0
08001007802,2017,7802,Adams County,Colorado,452,219,209,16,8,2626,557,693,973,253,89,36,25,48.5,46.2,3.5,1.8,21.2,26.4,37.1,9.6,3.4,1.4,1.0
08001007900,2017,7900,Adams County,Colorado,695,102,233,290,70,3229,663,537,986,461,162,252,168,14.7,33.5,41.7,10.1,20.5,16.6,30.5,14.3,5.0,7.8,5.2
08001008000,2017,8000,Adams County,Colorado,752,242,368,87,55,3760,629,534,1079,833,265,277,143,32.2,48.9,11.6,7.3,16.7,14.2,28.7,22.2,7.0,7.4,3.8
08001008100,2017,8100,Adams County,Colorado,327,43,15,57,212,1133,121,15,118,95,53,354,377,13.1,4.6,17.4,64.8,10.7,1.3,10.4,8.4,4.7,31.2,33.3
08001008200,2017,8200,Adams County,Colorado,417,68,177,172,0,3621,306,669,1122,756,329,313,126,16.3,42.4,41.2,0.0,8.5,18.5,31.0,20.9,9.1,8.6,3.5
08001008308,2017,8308,Adams County,Colorado,611,131,267,198,15,3250,419,306,1299,662,338,160,66,21.4,43.7,32.4,2.5,12.9,9.4,40.0,20.4,10.4,4.9,2.0
08001008309,2017,8309,Adams County,Colorado,456,150,134,172,0,2130,400,227,895,319,130,55,104,32.9,29.4,37.7,0.0,18.8,10.7,42.0,15.0,6.1,2.6,4.9
08001008353,2017,8353,Adams County,Colorado,565,48,187,293,37,4490,360,496,942,1072,649,624,347,8.5,33.1,51.9,6.5,8.0,11.0,21.0,23.9,14.5,13.9,7.7
08001008401,2017,8401,Adams County,Colorado,305,17,96,186,6,3308,81,249,1336,746,385,375,136,5.6,31.5,61.0,2.0,2.4,7.5,40.4,22.6,11.6,11.3,4.1
08001008402,2017,8402,Adams County,Colorado,313,43,74,189,7,3189,59,88,904,803,469,669,197,13.7,23.6,60.4,2.2,1.9,2.8,28.3,25.2,14.7,21.0,6.2
08001008505,2017,8505,Adams County,Colorado,513,81,151,281,0,4906,257,366,1410,1447,512,742,172,15.8,29.4,54.8,0.0,5.2,7.5,28.7,29.5,10.4,15.1,3.5
08001008506,2017,8506,Adams County,Colorado,755,136,220,353,46,4178,275,373,1314,1192,484,412,128,18.0,29.1,46.8,6.1,6.6,8.9,31.5,28.5,11.6,9.9,3.1
08001008507,2017,8507,Adams County,Colorado,785,171,249,323,42,4175,52,390,1628,1038,374,405,288,21.8,31.7,41.1,5.4,1.2,9.3,39.0,24.9,9.0,9.7,6.9
08001008508,2017,8508,Adams County,Colorado,410,92,135,165,18,3788,116,247,1094,1035,270,792,234,22.4,32.9,40.2,4.4,3.1,6.5,28.9,27.3,7.1,20.9,6.2
08001008523,2017,8523,Adams County,Colorado,556,101,152,303,0,5775,227,119,1958,1650,547,872,402,18.2,27.3,54.5,0.0,3.9,2.1,33.9,28.6,9.5,15.1,7.0
