unique_id,year,tract_number,county_name,state_name,Total number of households,Median household income (dollars),Mean household income (dollars)
08001007801,2017,7801,Adams County,Colorado,1348,24420,36816
08001007802,2017,7802,Adams County,Colorado,1417,28341,35096
08001007900,2017,7900,Adams County,Colorado,1881,38297,44570
08001008000,2017,8000,Adams County,Colorado,1797,52219,67064
08001008100,2017,8100,Adams County,Colorado,727,39156,51960
08001008200,2017,8200,Adams County,Colorado,1469,60453,71111
08001008308,2017,8308,Adams County,Colorado,1826,36919,45866
08001008309,2017,8309,Adams County,Colorado,1117,50987,52479
08001008353,2017,8353,Adams County,Colorado,2370,60243,74961
08001008401,2017,8401,Adams County,Colorado,1658,62209,83602
08001008402,2017,8402,Adams County,Colorado,1672,80778,85580
08001008505,2017,8505,Adams County,Colorado,2429,67891,72453
08001008506,2017,8506,Adams County,Colorado,2655,37962,47372
08001008507,2017,8507,Adams County,Colorado,2091,77235,83994
08001008508,2017,8508,Adams County,Colorado,1981,71675,83340
08001008523,2017,8523,Adams County,Colorado,2804,93158,111434
08001008524,2017,8524,Adams County,Colorado,2568,92500,113712
08001008526,2017,8526,Adams County,Colorado,2458,93364,108069
08001008529,2017,8529,Adams County,Colorado,3198,70012,70187
08001008533,2017,8533,Adams County,Colorado,2904,71642,89626
08001008534,2017,8534,Adams County,Colorado,1362,91445,92631
08001008535,2017,8535,Adams County,Colorado,1098,79444,87978
08001008536,2017,8536,Adams County,Colorado,924,98643,117052
08001008537,2017,8537,Adams County,Colorado,1929,89297,105395
08001008538,2017,8538,Adams County,Colorado,2094,104348,112034
08001008539,2017,8539,Adams County,Colorado,2937,86384,89828
08001008540,2017,8540,Adams County,Colorado,2476,107292,117279
08001008541,2017,8541,Adams County,Colorado,1975,120859,133375
08001008542,2017,8542,Adams County,Colorado,2627,95543,106073
08001008543,2017,8543,Adams County,Colorado,2717,78919,98477
08001008544,2017,8544,Adams County,Colorado,1625,110521,121154
08001008545,2017,8545,Adams County,Colorado,2274,107250,127314
08001008546,2017,8546,Adams County,Colorado,1217,78992,98817
08001008547,2017,8547,Adams County,Colorado,1203,78401,88852
08001008548,2017,8548,Adams County,Colorado,583,79188,94234
08001008549,2017,8549,Adams County,Colorado,1325,90950,97258
08001008550,2017,8550,Adams County,Colorado,2702,84750,93040
08001008551,2017,8551,Adams County,Colorado,413,141528,146951
08001008603,2017,8603,Adams County,Colorado,760,38469,48693
08001008604,2017,8604,Adams County,Colorado,1105,65139,71682
08001008605,2017,8605,Adams County,Colorado,1409,63950,74443
08001008606,2017,8606,Adams County,Colorado,2438,44864,58523
08001008705,2017,8705,Adams County,Colorado,1427,41052,52531
08001008706,2017,8706,Adams County,Colorado,1519,50953,57527
08001008709,2017,8709,Adams County,Colorado,2442,39862,45590
08001008801,2017,8801,Adams County,Colorado,1537,44120,53574
08001008802,2017,8802,Adams County,Colorado,1244,44728,56614
08001008901,2017,8901,Adams County,Colorado,722,46172,57517
08001009001,2017,9001,Adams County,Colorado,1504,49185,59083
08001009002,2017,9002,Adams County,Colorado,3282,49639,62617
08001009101,2017,9101,Adams County,Colorado,1385,62888,68944
08001009103,2017,9103,Adams County,Colorado,1097,51155,54958
08001009104,2017,9104,Adams County,Colorado,1859,62587,69175
08001009202,2017,9202,Adams County,Colorado,1388,54329,60542
08001009203,2017,9203,Adams County,Colorado,1665,40313,47586
08001009204,2017,9204,Adams County,Colorado,2663,73551,70744
