unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
08001007801,2018,7801,Adams County,Colorado,359,203,90,41,25,2388,609,503,633,407,59,129,48,56.5,25.1,11.4,7.0,25.5,21.1,26.5,17.0,2.5,5.4,2.0,1280,32744,42004,4137,1902,46.0,2235,54.0,610,14.7,487,11.8,0,0.0,990,23.9,0,0.0,35,0.8,113,2.7
08001007802,2018,7802,Adams County,Colorado,505,226,199,47,33,2821,624,668,1055,293,97,34,50,44.8,39.4,9.3,6.5,22.1,23.7,37.4,10.4,3.4,1.2,1.8,1445,30598,41771,4664,2658,57.0,2006,43.0,630,13.5,852,18.3,49,1.1,316,6.8,0,0.0,41,0.9,118,2.5
08001007900,2018,7900,Adams County,Colorado,611,108,278,199,26,3401,594,554,1077,449,213,339,175,17.7,45.5,32.6,4.3,17.5,16.3,31.7,13.2,6.3,10.0,5.1,1904,41738,48359,5684,3138,55.2,2546,44.8,1286,22.6,817,14.4,60,1.1,119,2.1,0,0.0,33,0.6,231,4.1
08001008000,2018,8000,Adams County,Colorado,496,235,154,85,22,3679,670,406,1042,809,314,249,189,47.4,31.0,17.1,4.4,18.2,11.0,28.3,22.0,8.5,6.8,5.1,1774,50483,60798,6241,3253,52.1,2988,47.9,1344,21.5,893,14.3,119,1.9,344,5.5,0,0.0,7,0.1,281,4.5
08001008100,2018,8100,Adams County,Colorado,270,73,17,53,127,1140,102,26,126,106,84,360,336,27.0,6.3,19.6,47.0,8.9,2.3,11.1,9.3,7.4,31.6,29.5,711,46875,61814,1525,348,22.8,1177,77.2,882,57.8,47,3.1,16,1.0,149,9.8,0,0.0,0,0.0,83,5.4
08001008200,2018,8200,Adams County,Colorado,400,127,142,131,0,3998,362,708,1263,817,379,317,152,31.8,35.5,32.8,0.0,9.1,17.7,31.6,20.4,9.5,7.9,3.8,1528,62689,75085,6133,2559,41.7,3574,58.3,1930,31.5,991,16.2,7,0.1,199,3.2,37,0.6,189,3.1,221,3.6
08001008308,2018,8308,Adams County,Colorado,629,193,229,189,18,3324,361,260,1402,634,323,256,88,30.7,36.4,30.0,2.9,10.9,7.8,42.2,19.1,9.7,7.7,2.6,1835,41619,51409,5545,2447,44.1,3098,55.9,1439,26.0,940,17.0,121,2.2,574,10.4,0,0.0,0,0.0,24,0.4
08001008309,2018,8309,Adams County,Colorado,508,165,205,138,0,2206,348,278,973,320,146,46,95,32.5,40.4,27.2,0.0,15.8,12.6,44.1,14.5,6.6,2.1,4.3,1083,55024,57524,4098,2779,67.8,1319,32.2,693,16.9,464,11.3,0,0.0,57,1.4,86,2.1,19,0.5,0,0.0
08001008353,2018,8353,Adams County,Colorado,675,59,234,345,37,5011,404,546,1447,1059,570,666,319,8.7,34.7,51.1,5.5,8.1,10.9,28.9,21.1,11.4,13.3,6.4,2578,68697,80271,7907,3057,38.7,4850,61.3,2852,36.1,1101,13.9,28,0.4,585,7.4,0,0.0,0,0.0,284,3.6
08001008401,2018,8401,Adams County,Colorado,332,27,109,196,0,3235,77,199,1149,803,461,430,116,8.1,32.8,59.0,0.0,2.4,6.2,35.5,24.8,14.3,13.3,3.6,1647,70871,91033,4710,725,15.4,3985,84.6,3781,80.3,25,0.5,61,1.3,34,0.7,0,0.0,0,0.0,84,1.8
