unique_id,year,tract_number,county_name,state_name,Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
08001007801,2018,7801,Adams County,Colorado,4137,1902,46.0,2235,54.0,610,14.7,487,11.8,0,0.0,990,23.9,0,0.0,35,0.8,113,2.7
08001007802,2018,7802,Adams County,Colorado,4664,2658,57.0,2006,43.0,630,13.5,852,18.3,49,1.1,316,6.8,0,0.0,41,0.9,118,2.5
08001007900,2018,7900,Adams County,Colorado,5684,3138,55.2,2546,44.8,1286,22.6,817,14.4,60,1.1,119,2.1,0,0.0,33,0.6,231,4.1
08001008000,2018,8000,Adams County,Colorado,6241,3253,52.1,2988,47.9,1344,21.5,893,14.3,119,1.9,344,5.5,0,0.0,7,0.1,281,4.5
08001008100,2018,8100,Adams County,Colorado,1525,348,22.8,1177,77.2,882,57.8,47,3.1,16,1.0,149,9.8,0,0.0,0,0.0,83,5.4
08001008200,2018,8200,Adams County,Colorado,6133,2559,41.7,3574,58.3,1930,31.5,991,16.2,7,0.1,199,3.2,37,0.6,189,3.1,221,3.6
08001008308,2018,8308,Adams County,Colorado,5545,2447,44.1,3098,55.9,1439,26.0,940,17.0,121,2.2,574,10.4,0,0.0,0,0.0,24,0.4
08001008309,2018,8309,Adams County,Colorado,4098,2779,67.8,1319,32.2,693,16.9,464,11.3,0,0.0,57,1.4,86,2.1,19,0.5,0,0.0
08001008353,2018,8353,Adams County,Colorado,7907,3057,38.7,4850,61.3,2852,36.1,1101,13.9,28,0.4,585,7.4,0,0.0,0,0.0,284,3.6
08001008401,2018,8401,Adams County,Colorado,4710,725,15.4,3985,84.6,3781,80.3,25,0.5,61,1.3,34,0.7,0,0.0,0,0.0,84,1.8
08001008402,2018,8402,Adams County,Colorado,4894,456,9.3,4438,90.7,4306,88.0,0,0.0,4,0.1,0,0.0,0,0.0,30,0.6,98,2.0
08001008505,2018,8505,Adams County,Colorado,7271,2277,31.3,4994,68.7,4874,67.0,0,0.0,59,0.8,0,0.0,0,0.0,0,0.0,61,0.8
08001008506,2018,8506,Adams County,Colorado,6914,2346,33.9,4568,66.1,3842,55.6,295,4.3,88,1.3,252,3.6,0,0.0,0,0.0,91,1.3
08001008507,2018,8507,Adams County,Colorado,6704,2544,37.9,4160,62.1,3928,58.6,98,1.5,18,0.3,9,0.1,0,0.0,0,0.0,107,1.6
08001008508,2018,8508,Adams County,Colorado,5896,1508,25.6,4388,74.4,3928,66.6,44,0.7,28,0.5,242,4.1,0,0.0,9,0.2,137,2.3
08001008523,2018,8523,Adams County,Colorado,8345,1991,23.9,6354,76.1,5983,71.7,54,0.6,15,0.2,82,1.0,0,0.0,0,0.0,220,2.6
08001008524,2018,8524,Adams County,Colorado,8378,1523,18.2,6855,81.8,5952,71.0,259,3.1,16,0.2,331,4.0,0,0.0,16,0.2,281,3.4
08001008526,2018,8526,Adams County,Colorado,6978,1033,14.8,5945,85.2,5039,72.2,106,1.5,0,0.0,651,9.3,0,0.0,0,0.0,149,2.1
08001008529,2018,8529,Adams County,Colorado,7235,1985,27.4,5250,72.6,4690,64.8,294,4.1,0,0.0,130,1.8,0,0.0,0,0.0,136,1.9
08001008533,2018,8533,Adams County,Colorado,8186,2666,32.6,5520,67.4,4771,58.3,160,2.0,29,0.4,435,5.3,0,0.0,0,0.0,125,1.5
08001008534,2018,8534,Adams County,Colorado,5058,1748,34.6,3310,65.4,2952,58.4,36,0.7,0,0.0,87,1.7,0,0.0,0,0.0,235,4.6
08001008535,2018,8535,Adams County,Colorado,3677,1542,41.9,2135,58.1,1922,52.3,51,1.4,0,0.0,133,3.6,0,0.0,29,0.8,0,0.0
08001008536,2018,8536,Adams County,Colorado,3218,875,27.2,2343,72.8,1986,61.7,61,1.9,5,0.2,92,2.9,0,0.0,0,0.0,199,6.2
08001008537,2018,8537,Adams County,Colorado,6842,2368,34.6,4474,65.4,3935,57.5,77,1.1,29,0.4,284,4.2,0,0.0,0,0.0,149,2.2
08001008538,2018,8538,Adams County,Colorado,7586,1710,22.5,5876,77.5,5204,68.6,247,3.3,0,0.0,177,2.3,0,0.0,0,0.0,248,3.3
08001008539,2018,8539,Adams County,Colorado,10670,3977,37.3,6693,62.7,5275,49.4,375,3.5,103,1.0,143,1.3,0,0.0,0,0.0,797,7.5
08001008540,2018,8540,Adams County,Colorado,8039,1336,16.6,6703,83.4,5842,72.7,43,0.5,85,1.1,519,6.5,0,0.0,0,0.0,214,2.7
08001008541,2018,8541,Adams County,Colorado,5795,659,11.4,5136,88.6,4851,83.7,0,0.0,29,0.5,161,2.8,0,0.0,31,0.5,64,1.1
08001008542,2018,8542,Adams County,Colorado,9069,1589,17.5,7480,82.5,6409,70.7,72,0.8,23,0.3,302,3.3,154,1.7,0,0.0,520,5.7
08001008543,2018,8543,Adams County,Colorado,9171,3996,43.6,5175,56.4,4776,52.1,112,1.2,24,0.3,129,1.4,20,0.2,0,0.0,114,1.2
08001008544,2018,8544,Adams County,Colorado,5554,1052,18.9,4502,81.1,3982,71.7,46,0.8,8,0.1,405,7.3,0,0.0,0,0.0,61,1.1
08001008545,2018,8545,Adams County,Colorado,7218,1187,16.4,6031,83.6,5389,74.7,145,2.0,0,0.0,304,4.2,0,0.0,0,0.0,193,2.7
08001008546,2018,8546,Adams County,Colorado,3662,705,19.3,2957,80.7,2581,70.5,32,0.9,0,0.0,308,8.4,0,0.0,0,0.0,36,1.0
08001008547,2018,8547,Adams County,Colorado,3842,1067,27.8,2775,72.2,2587,67.3,0,0.0,50,1.3,79,2.1,0,0.0,0,0.0,59,1.5
08001008548,2018,8548,Adams County,Colorado,1630,371,22.8,1259,77.2,965,59.2,44,2.7,29,1.8,143,8.8,9,0.6,0,0.0,69,4.2
08001008549,2018,8549,Adams County,Colorado,4258,1216,28.6,3042,71.4,2629,61.7,0,0.0,183,4.3,117,2.7,0,0.0,0,0.0,113,2.7
08001008550,2018,8550,Adams County,Colorado,8360,1683,20.1,6677,79.9,6057,72.5,85,1.0,14,0.2,352,4.2,0,0.0,0,0.0,169,2.0
08001008551,2018,8551,Adams County,Colorado,1549,309,19.9,1240,80.1,967,62.4,12,0.8,0,0.0,213,13.8,0,0.0,0,0.0,48,3.1
08001008603,2018,8603,Adams County,Colorado,1999,1202,60.1,797,39.9,720,36.0,47,2.4,0,0.0,14,0.7,5,0.3,0,0.0,11,0.6
08001008604,2018,8604,Adams County,Colorado,5304,2440,46.0,2864,54.0,2459,46.4,346,6.5,47,0.9,0,0.0,0,0.0,0,0.0,12,0.2
