GEO_ID,NAME,S1901_C01_001E,S1901_C01_001EA,S1901_C01_001M,S1901_C01_001MA,S1901_C01_002E,S1901_C01_002EA,S1901_C01_002M,S1901_C01_002MA,S1901_C01_003E,S1901_C01_003EA,S1901_C01_003M,S1901_C01_003MA,S1901_C01_004E,S1901_C01_004EA,S1901_C01_004M,S1901_C01_004MA,S1901_C01_005E,S1901_C01_005EA,S1901_C01_005M,S1901_C01_005MA,S1901_C01_006E,S1901_C01_006EA,S1901_C01_006M,S1901_C01_006MA,S1901_C01_007E,S1901_C01_007EA,S1901_C01_007M,S1901_C01_007MA,S1901_C01_008E,S1901_C01_008EA,S1901_C01_008M,S1901_C01_008MA,S1901_C01_009E,S1901_C01_009EA,S1901_C01_009M,S1901_C01_009MA,S1901_C01_010E,S1901_C01_010EA,S1901_C01_010M,S1901_C01_010MA,S1901_C01_011E,S1901_C01_011EA,S1901_C01_011M,S1901_C01_011MA,S1901_C01_012E,S1901_C01_012EA,S1901_C01_012M,S1901_C01_012MA,S1901_C01_013E,S1901_C01_013EA,S1901_C01_013M,S1901_C01_013MA,S1901_C01_014E,S1901_C01_014EA,S1901_C01_014M,S1901_C01_014MA,S1901_C01_015E,S1901_C01_015EA,S1901_C01_015M,S1901_C01_015MA,S1901_C01_016E,S1901_C01_016EA,S1901_C01_016M,S1901_C01_016MA,S1901_C02_001E,S1901_C02_001EA,S1901_C02_001M,S1901_C02_001MA,S1901_C02_002E,S1901_C02_002EA,S1901_C02_002M,S1901_C02_002MA,S1901_C02_003E,S1901_C02_003EA,S1901_C02_003M,S1901_C02_003MA,S1901_C02_004E,S1901_C02_004EA,S1901_C02_004M,S1901_C02_004MA,S1901_C02_005E,S1901_C02_005EA,S1901_C02_005M,S1901_C02_005MA,S1901_C02_006E,S1901_C02_006EA,S1901_C02_006M,S1901_C02_006MA,S1901_C02_007E,S1901_C02_007EA,S1901_C02_007M,S1901_C02_007MA,S1901_C02_008E,S1901_C02_008EA,S1901_C02_008M,S1901_C02_008MA,S1901_C02_009E,S1901_C02_009EA,S1901_C02_009M,S1901_C02_009MA,S1901_C02_010E,S1901_C02_010EA,S1901_C02_010M,S1901_C02_010MA,S1901_C02_011E,S1901_C02_011EA,S1901_C02_011M,S1901_C02_011MA,S1901_C02_012E,S1901_C02_012EA,S1901_C02_012M,S1901_C02_012MA,S1901_C02_013E,S1901_C02_013EA,S1901_C02_013M,S1901_C02_013MA,S1901_C02_014E,S1901_C02_014EA,S1901_C02_014M,S1901_C02_014MA,S1901_C02_015E,S1901_C02_015EA,S1901_C02_015M,S1901_C02_015MA,S1901_C02_016E,S1901_C02_016EA,S1901_C02_016M,S1901_C02_016MA,S1901_C03_001E,S1901_C03_001EA,S1901_C03_001M,S1901_C03_001MA,S1901_C03_002E,S1901_C03_002EA,S1901_C03_002M,S1901_C03_002MA,S1901_C03_003E,S1901_C03_003EA,S1901_C03_003M,S1901_C03_003MA,S1901_C03_004E,S1901_C03_004EA,S1901_C03_004M,S1901_C03_004MA,S1901_C03_005E,S1901_C03_005EA,S1901_C03_005M,S1901_C03_005MA,S1901_C03_006E,S1901_C03_006EA,S1901_C03_006M,S1901_C03_006MA,S1901_C03_007E,S1901_C03_007EA,S1901_C03_007M,S1901_C03_007MA,S1901_C03_008E,S1901_C03_008EA,S1901_C03_008M,S1901_C03_008MA,S1901_C03_009E,S1901_C03_009EA,S1901_C03_009M,S1901_C03_009MA,S1901_C03_010E,S1901_C03_010EA,S1901_C03_010M,S1901_C03_010MA,S1901_C03_011E,S1901_C03_011EA,S1901_C03_011M,S1901_C03_011MA,S1901_C03_012E,S1901_C03_012EA,S1901_C03_012M,S1901_C03_012MA,S1901_C03_013E,S1901_C03_013EA,S1901_C03_013M,S1901_C03_013MA,S1901_C03_014E,S1901_C03_014EA,S1901_C03_014M,S1901_C03_014MA,S1901_C03_015E,S1901_C03_015EA,S1901_C03_015M,S1901_C03_015MA,S1901_C03_016E,S1901_C03_016EA,S1901_C03_016M,S1901_C03_016MA,S1901_C04_001E,S1901_C04_001EA,S1901_C04_001M,S1901_C04_001MA,S1901_C04_002E,S1901_C04_002EA,S1901_C04_002M,S1901_C04_002MA,S1901_C04_003E,S1901_C04_003EA,S1901_C04_003M,S1901_C04_003MA,S1901_C04_004E,S1901_C04_004EA,S1901_C04_004M,S1901_C04_004MA,S1901_C04_005E,S1901_C04_005EA,S1901_C04_005M,S1901_C04_005MA,S1901_C04_006E,S1901_C04_006EA,S1901_C04_006M,S1901_C04_006MA,S1901_C04_007E,S1901_C04_007EA,S1901_C04_007M,S1901_C04_007MA,S1901_C04_008E,S1901_C04_008EA,S1901_C04_008M,S1901_C04_008MA,S1901_C04_009E,S1901_C04_009EA,S1901_C04_009M,S1901_C04_009MA,S1901_C04_010E,S1901_C04_010EA,S1901_C04_010M,S1901_C04_010MA,S1901_C04_011E,S1901_C04_011EA,S1901_C04_011M,S1901_C04_011MA,S1901_C04_012E,S1901_C04_012EA,S1901_C04_012M,S1901_C04_012MA,S1901_C04_013E,S1901_C04_013EA,S1901_C04_013M,S1901_C04_013MA,S1901_C04_014E,S1901_C04_014EA,S1901_C04_014M,S1901_C04_014MA,S1901_C04_015E,S1901_C04_015EA,S1901_C04_015M,S1901_C04_015MA,S1901_C04_016E,S1901_C04_016EA,S1901_C04_016M,S1901_C04_016MA,ucgid
1400000US08001007801,Census Tract 78.01; Adams County; Colorado,1332,,140,,12.4,,9.5,,9.3,,6.3,,11.0,,6.7,,11.7,,5.9,,17.6,,7.4,,19.7,,7.5,,4.9,,4.0,,5.9,,5.3,,2.5,,2.8,,5.0,,5.5,,44286,,16292,,59394,,19061,,37.8,,-888888888.0,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),697,,122,,8.3,,9.1,,1.6,,2.9,,10.6,,6.9,,20.4,,12.0,,14.8,,10.6,,20.7,,12.4,,5.9,,5.0,,13.3,,10.6,,1.0,,1.9,,3.4,,5.5,,46128,,10576,,58215,,13428,,-888888888,(X),-888888888,(X),40.7,,-888888888.0,(X),-888888888,(X),-888888888,(X),276,,113,,5.8,,9.6,,4.0,,7.7,,7.6,,12.0,,9.1,,12.9,,15.2,,15.5,,32.6,,22.3,,5.1,,8.4,,9.4,,12.7,,2.5,,5.1,,8.7,,14.0,,51250,,8820,,-999999999,N,-999999999,N,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),635,,153,,16.9,,15.2,,17.8,,13.5,,11.5,,11.1,,12.4,,7.9,,17.3,,11.6,,11.8,,8.4,,3.8,,5.9,,1.9,,3.2,,0.0,,6.1,,6.6,,10.0,,28371,,11994,,56287,,39089,,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),27.7,,-888888888.0,(X),1400000US08001007801
1400000US08001007802,Census Tract 78.02; Adams County; Colorado,1517,,195,,6.9,,4.8,,4.4,,4.2,,17.0,,8.4,,6.5,,4.8,,14.2,,7.6,,24.4,,11.0,,7.9,,5.1,,11.9,,6.8,,1.7,,2.0,,5.1,,4.6,,50646,,11404,,73233,,22023,,37.3,,-888888888.0,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),967,,228,,4.8,,5.1,,6.7,,5.5,,25.1,,15.7,,5.8,,5.9,,9.2,,7.1,,14.2,,9.6,,16.0,,9.8,,10.1,,9.3,,3.2,,3.9,,4.9,,5.7,,42150,,33560,,80095,,33033,,-888888888,(X),-888888888,(X),36.1,,-888888888.0,(X),-888888888,(X),-888888888,(X),406,,146,,0.0,,9.4,,0.0,,9.4,,29.1,,24.0,,0.0,,9.4,,7.1,,11.5,,23.4,,20.9,,8.6,,13.1,,24.1,,18.9,,7.6,,9.5,,0.0,,9.4,,64214,,32654,,-999999999,N,-999999999,N,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),550,,133,,15.6,,11.4,,1.8,,2.7,,16.4,,14.0,,7.5,,8.7,,26.5,,14.0,,21.3,,14.0,,0.0,,7.0,,6.2,,8.4,,4.7,,5.3,,0.0,,7.0,,37931,,6750,,45556,,11386,,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),39.5,,-888888888.0,(X),1400000US08001007802
1400000US08001007900,Census Tract 79; Adams County; Colorado,2264,,239,,9.8,,4.2,,5.3,,4.5,,5.5,,4.0,,8.9,,5.6,,12.1,,5.5,,11.7,,5.1,,18.6,,7.2,,19.6,,7.6,,1.0,,1.5,,7.7,,3.6,,67273,,16629,,102400,,36445,,37.3,,-888888888.0,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),1313,,200,,6.5,,5.8,,3.7,,4.3,,6.0,,5.7,,7.9,,5.5,,10.4,,5.8,,16.8,,7.2,,20.2,,9.5,,22.6,,10.4,,0.0,,3.0,,6.0,,5.0,,74209,,13296,,84973,,17098,,-888888888,(X),-888888888,(X),39.9,,-888888888.0,(X),-888888888,(X),-888888888,(X),764,,182,,1.6,,3.0,,0.0,,5.1,,7.1,,8.3,,0.0,,5.1,,9.6,,7.3,,12.2,,9.2,,27.9,,15.5,,31.4,,17.4,,0.0,,5.1,,10.3,,8.8,,93136,,21290,,-999999999,N,-999999999,N,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),951,,233,,14.3,,8.7,,9.7,,9.5,,4.8,,4.6,,13.7,,12.1,,11.4,,7.5,,12.2,,8.3,,10.2,,7.5,,13.8,,10.9,,0.0,,4.1,,10.0,,7.1,,45739,,21496,,118476,,88474,,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),31.8,,-888888888.0,(X),1400000US08001007900
1400000US08001008000,Census Tract 80; Adams County; Colorado,2025,,165,,5.2,,3.7,,1.1,,1.5,,2.0,,1.8,,6.0,,3.9,,12.9,,7.5,,20.9,,10.0,,17.3,,6.6,,20.5,,7.6,,6.6,,4.2,,7.5,,3.3,,77679,,11433,,93359,,11828,,42.4,,-888888888.0,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),1188,,176,,6.4,,5.0,,0.0,,3.3,,1.1,,2.0,,4.9,,4.4,,13.5,,10.4,,17.2,,9.0,,13.2,,7.9,,27.8,,11.8,,6.9,,4.4,,9.1,,5.3,,86250,,30834,,103660,,17369,,-888888888,(X),-888888888,(X),43.2,,-888888888.0,(X),-888888888,(X),-888888888,(X),685,,205,,1.6,,2.8,,0.0,,5.7,,0.0,,5.7,,8.5,,7.6,,3.1,,3.5,,14.5,,11.2,,11.5,,12.6,,36.9,,16.0,,10.7,,7.4,,13.3,,8.0,,118347,,23739,,-999999999,N,-999999999,N,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),837,,172,,3.6,,5.3,,2.6,,3.8,,4.8,,4.6,,7.5,,6.6,,14.1,,12.1,,28.6,,15.9,,21.1,,12.2,,10.3,,8.2,,4.8,,4.0,,2.6,,3.4,,62650,,15588,,71827,,10851,,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),36.4,,-888888888.0,(X),1400000US08001008000
1400000US08001008100,Census Tract 81; Adams County; Colorado,770,,91,,25.6,,6.6,,4.7,,3.1,,7.8,,5.1,,4.7,,4.4,,7.3,,4.1,,23.2,,9.7,,10.8,,7.3,,10.5,,5.6,,1.9,,2.1,,3.5,,3.3,,50000,,15921,,56308,,9119,,19.0,,-888888888.0,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),157,,58,,7.0,,10.0,,3.8,,5.7,,15.3,,14.7,,0.0,,22.2,,4.5,,6.6,,16.6,,13.5,,13.4,,13.8,,29.9,,18.5,,9.6,,9.4,,0.0,,22.2,,85536,,35330,,80253,,17999,,-888888888,(X),-888888888,(X),21.7,,-888888888.0,(X),-888888888,(X),-888888888,(X),114,,48,,0.0,,28.8,,5.3,,8.0,,15.8,,19.0,,0.0,,28.8,,6.1,,9.2,,10.5,,12.0,,18.4,,18.4,,30.7,,18.8,,13.2,,13.1,,0.0,,28.8,,86667,,23499,,-999999999,N,-999999999,N,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),613,,103,,30.3,,8.7,,4.9,,3.9,,5.9,,4.9,,5.9,,5.4,,8.0,,5.1,,25.0,,11.3,,10.1,,8.6,,5.5,,4.3,,0.0,,6.3,,4.4,,4.1,,44464,,20776,,50175,,11086,,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),18.3,,-888888888.0,(X),1400000US08001008100
1400000US08001008200,Census Tract 82; Adams County; Colorado,1678,,206,,4.0,,4.5,,1.7,,2.7,,9.4,,6.5,,3.8,,3.5,,5.4,,4.5,,9.2,,5.7,,12.0,,5.4,,24.5,,10.8,,21.6,,9.6,,8.4,,5.1,,102404,,23469,,119219,,14942,,51.3,,-888888888.0,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),1322,,221,,2.6,,3.9,,0.0,,3.0,,9.5,,7.7,,5.1,,5.5,,10.3,,7.2,,7.6,,5.5,,7.7,,3.4,,28.4,,12.3,,24.1,,11.3,,4.6,,3.3,,114518,,11671,,112636,,15673,,-888888888,(X),-888888888,(X),50.5,,-888888888.0,(X),-888888888,(X),-888888888,(X),708,,229,,0.0,,5.5,,0.0,,5.5,,0.0,,5.5,,0.0,,5.5,,5.2,,7.2,,3.7,,3.3,,9.5,,5.4,,36.9,,18.9,,38.8,,18.7,,5.9,,5.9,,132885,,35320,,-999999999,N,-999999999,N,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),356,,151,,18.8,,20.1,,8.1,,12.9,,9.0,,13.6,,7.6,,7.1,,7.3,,7.8,,16.3,,21.5,,4.2,,7.9,,17.1,,21.8,,0.0,,10.6,,11.5,,15.2,,-666666666,-,-222222222,**,71960,,45887,,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),42.1,,-888888888.0,(X),1400000US08001008200
1400000US08001008308,Census Tract 83.08; Adams County; Colorado,2116,,195,,6.1,,4.5,,8.9,,4.6,,6.7,,7.7,,9.5,,7.2,,13.4,,8.1,,21.6,,8.7,,16.3,,8.1,,11.0,,6.1,,4.4,,3.7,,2.1,,2.1,,58093,,10679,,62373,,8382,,27.4,,-888888888.0,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),1266,,257,,9.2,,7.1,,5.1,,4.2,,1.5,,1.8,,11.1,,9.7,,17.9,,12.8,,16.7,,9.9,,14.9,,8.0,,18.6,,9.2,,3.6,,3.0,,1.2,,2.0,,67000,,32783,,66655,,10961,,-888888888,(X),-888888888,(X),34.0,,-888888888.0,(X),-888888888,(X),-888888888,(X),609,,206,,6.7,,8.3,,3.1,,5.1,,1.8,,2.9,,4.8,,8.1,,20.4,,22.3,,18.9,,14.4,,19.2,,13.9,,15.1,,13.5,,7.6,,6.6,,2.5,,4.4,,71544,,11451,,-999999999,N,-999999999,N,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),850,,226,,1.5,,2.8,,14.6,,10.8,,14.4,,17.7,,10.1,,11.0,,6.6,,6.1,,29.6,,17.7,,18.4,,13.4,,4.8,,4.7,,0.0,,4.6,,0.0,,4.6,,56463,,28910,,48582,,9683,,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),17.5,,-888888888.0,(X),1400000US08001008308
1400000US08001008309,Census Tract 83.09; Adams County; Colorado,1256,,160,,5.0,,5.4,,7.4,,6.7,,7.4,,5.9,,6.1,,4.6,,7.0,,4.6,,17.9,,7.5,,25.6,,8.8,,10.6,,7.3,,8.5,,6.0,,4.5,,3.5,,74167,,10757,,77856,,10602,,57.4,,-888888888.0,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),1004,,166,,0.5,,1.5,,3.7,,5.7,,7.9,,6.7,,7.7,,5.7,,4.9,,3.4,,22.1,,9.5,,26.9,,10.1,,10.2,,8.9,,11.5,,6.8,,4.8,,4.1,,78250,,15540,,85662,,10646,,-888888888,(X),-888888888,(X),62.2,,-888888888.0,(X),-888888888,(X),-888888888,(X),662,,145,,0.8,,2.3,,0.0,,5.9,,10.3,,9.3,,6.5,,6.9,,4.5,,4.4,,20.4,,12.6,,31.9,,15.7,,3.5,,5.3,,16.2,,10.9,,6.0,,6.0,,90500,,20441,,-999999999,N,-999999999,N,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),252,,107,,23.0,,24.1,,22.2,,21.0,,5.6,,10.7,,0.0,,14.6,,15.5,,17.9,,1.2,,2.5,,20.2,,17.3,,12.3,,11.0,,0.0,,14.6,,0.0,,14.6,,-666666666,-,-222222222,**,45467,,20063,,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),38.5,,-888888888.0,(X),1400000US08001008309
1400000US08001008354,Census Tract 83.54; Adams County; Colorado,1873,,221,,3.0,,4.6,,0.0,,2.1,,2.5,,2.7,,5.1,,5.1,,5.0,,4.1,,5.2,,3.2,,15.2,,8.0,,32.6,,9.2,,10.3,,6.8,,21.1,,8.6,,117080,,13828,,133779,,15474,,42.8,,-888888888.0,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),1274,,201,,0.0,,3.1,,0.0,,3.1,,0.9,,1.7,,2.7,,4.0,,2.1,,2.9,,4.6,,3.8,,17.3,,10.4,,32.6,,10.3,,15.7,,9.5,,24.2,,12.2,,123224,,29556,,147296,,17907,,-888888888,(X),-888888888,(X),48.4,,-888888888.0,(X),-888888888,(X),-888888888,(X),788,,180,,0.0,,4.9,,0.0,,4.9,,1.4,,2.7,,0.0,,4.9,,2.5,,4.3,,4.7,,4.1,,10.0,,6.4,,36.0,,14.3,,25.4,,14.9,,19.9,,12.5,,148255,,29300,,-999999999,N,-999999999,N,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),599,,195,,9.3,,13.6,,0.0,,6.5,,6.0,,7.9,,10.4,,12.7,,11.5,,10.7,,6.3,,6.4,,14.0,,8.7,,29.0,,18.0,,7.8,,8.3,,5.5,,6.0,,89125,,35744,,86268,,19123,,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),30.7,,-888888888.0,(X),1400000US08001008354
1400000US08001008355,Census Tract 83.55; Adams County; Colorado,1788,,311,,5.1,,4.1,,0.0,,2.2,,11.9,,13.8,,4.7,,4.7,,6.1,,3.9,,28.4,,11.7,,8.9,,5.8,,20.3,,9.8,,12.2,,6.0,,2.3,,2.1,,72746,,20423,,85304,,13684,,39.1,,-888888888.0,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),1093,,179,,1.6,,2.8,,0.0,,3.6,,3.0,,4.5,,7.7,,7.6,,5.4,,4.8,,22.2,,10.5,,13.2,,7.7,,31.8,,12.2,,11.2,,6.9,,3.8,,3.5,,91861,,28119,,99950,,13746,,-888888888,(X),-888888888,(X),38.4,,-888888888.0,(X),-888888888,(X),-888888888,(X),750,,171,,0.0,,5.2,,0.0,,5.2,,4.4,,6.6,,3.2,,5.0,,2.5,,4.3,,24.1,,15.5,,16.7,,10.5,,31.2,,15.9,,14.3,,9.3,,3.6,,4.5,,99239,,22858,,-999999999,N,-999999999,N,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),695,,297,,10.5,,10.6,,0.0,,5.6,,25.9,,32.7,,0.0,,5.6,,7.2,,7.7,,38.0,,24.7,,4.7,,5.4,,7.1,,10.4,,6.6,,8.2,,0.0,,5.6,,55997,,29590,,57050,,18657,,-888888888,(X),-888888888,(X),-888888888,(X),-888888888,(X),40.3,,-888888888.0,(X),1400000US08001008355
