unique_id,year,tract_number,county_name,state_name,Total number of households,Median household income (dollars),Mean household income (dollars)
17001000100,2018,100,Adams County,Illinois,2133,44613,71752
17001000201,2018,200,Adams County,Illinois,890,44878,53336
17001000202,2018,202,Adams County,Illinois,933,46964,60429
17001000400,2018,400,Adams County,Illinois,1273,33750,44740
17001000500,2018,500,Adams County,Illinois,850,38526,40834
17001000600,2018,600,Adams County,Illinois,1662,51491,80206
17001000700,2018,700,Adams County,Illinois,771,18108,25741
17001000800,2018,800,Adams County,Illinois,1133,27796,38785
17001000900,2018,900,Adams County,Illinois,1109,44575,52069
17001001001,2018,1001,Adams County,Illinois,1529,52656,58968
17001001002,2018,1002,Adams County,Illinois,1304,57339,70885
17001001100,2018,1100,Adams County,Illinois,3615,57414,81421
17001010100,2018,10100,Adams County,Illinois,1762,52944,66107
17001010200,2018,10200,Adams County,Illinois,1458,51000,57441
17001010300,2018,10300,Adams County,Illinois,2166,60033,70314
17001010400,2018,10400,Adams County,Illinois,1243,71811,93966
17001010500,2018,10500,Adams County,Illinois,1251,77903,100811
17001010600,2018,10600,Adams County,Illinois,2218,81000,101104
17003957600,2018,957600,Alexander County,Illinois,757,39375,47620
17003957700,2018,957700,Alexander County,Illinois,518,46094,52069
17003957800,2018,957800,Alexander County,Illinois,485,24309,39447
17003957900,2018,957900,Alexander County,Illinois,563,26523,42531
17005951200,2018,951200,Bond County,Illinois,1201,61860,76676
17005951300,2018,951300,Bond County,Illinois,1901,52602,60728
17005951400,2018,951400,Bond County,Illinois,1325,56036,68337
17005951500,2018,951500,Bond County,Illinois,1791,63173,77050
17007010100,2018,10100,Boone County,Illinois,2858,45603,55074
17007010200,2018,10200,Boone County,Illinois,2160,50152,57037
17007010300,2018,10300,Boone County,Illinois,2460,49702,57791
17007010400,2018,10400,Boone County,Illinois,2335,71028,77982
17007010500,2018,10500,Boone County,Illinois,3782,109559,133243
17007010601,2018,10601,Boone County,Illinois,1344,70250,95351
17007010602,2018,10602,Boone County,Illinois,3792,75105,96632
17009970400,2018,970400,Brown County,Illinois,1070,63776,72356
17009970500,2018,970500,Brown County,Illinois,1017,53523,63056
17011964700,2018,964700,Bureau County,Illinois,1218,68824,81656
17011964800,2018,964800,Bureau County,Illinois,1276,61875,73488
17011964900,2018,964900,Bureau County,Illinois,1141,49395,63345
17011965000,2018,965000,Bureau County,Illinois,1353,59223,81477
17011965100,2018,965100,Bureau County,Illinois,1655,54716,68748
17011965200,2018,965200,Bureau County,Illinois,1436,47100,58528
17011965300,2018,965300,Bureau County,Illinois,1409,60250,65788
17011965400,2018,965400,Bureau County,Illinois,1644,52218,64873
17011965500,2018,965500,Bureau County,Illinois,1439,58109,73794
17011965600,2018,965600,Bureau County,Illinois,1234,52222,67056
17013951200,2018,951200,Calhoun County,Illinois,882,49583,57168
17013951300,2018,951300,Calhoun County,Illinois,923,61494,76093
17015960100,2018,960100,Carroll County,Illinois,1411,51902,64048
17015960200,2018,960200,Carroll County,Illinois,1018,53281,58937
17015960300,2018,960300,Carroll County,Illinois,1446,40667,49782
17015960400,2018,960400,Carroll County,Illinois,858,49265,61526
17015960500,2018,960500,Carroll County,Illinois,1141,58185,77162
17015960600,2018,960600,Carroll County,Illinois,602,62500,71618
17017960100,2018,960100,Cass County,Illinois,941,59018,75069
17017960200,2018,960200,Cass County,Illinois,987,63589,78037
17017960300,2018,960300,Cass County,Illinois,1084,60844,70573
17017960400,2018,960400,Cass County,Illinois,1068,36528,55285
17017960500,2018,960500,Cass County,Illinois,944,40479,46352
17019000200,2018,200,Champaign County,Illinois,784,25934,33541
17019000301,2018,301,Champaign County,Illinois,2003,7256,14436
17019000302,2018,302,Champaign County,Illinois,1656,3583,15038
17019000401,2018,401,Champaign County,Illinois,475,3558,10168
17019000402,2018,401,Champaign County,Illinois,1376,4260,10777
17019000500,2018,500,Champaign County,Illinois,2091,48464,76838
17019000700,2018,700,Champaign County,Illinois,1478,40711,43463
17019000800,2018,800,Champaign County,Illinois,2545,52841,66945
17019000901,2018,901,Champaign County,Illinois,1871,37259,43660
17019000902,2018,902,Champaign County,Illinois,2798,61480,74066
17019001000,2018,1000,Champaign County,Illinois,1964,56071,85902
17019001100,2018,1100,Champaign County,Illinois,1632,74688,98547
17019001201,2018,1201,Champaign County,Illinois,2927,45027,51941
17019001203,2018,1203,Champaign County,Illinois,1976,74302,91923
17019001204,2018,1204,Champaign County,Illinois,1370,117143,150583
17019001205,2018,1205,Champaign County,Illinois,2784,95274,145758
17019001206,2018,1206,Champaign County,Illinois,972,107093,140511
17019001301,2018,1301,Champaign County,Illinois,2820,70833,88960
17019001302,2018,1302,Champaign County,Illinois,2025,92250,113931
17019001400,2018,1400,Champaign County,Illinois,1681,54330,77173
17019005300,2018,5300,Champaign County,Illinois,2533,22775,30290
17019005401,2018,5401,Champaign County,Illinois,2319,33878,41133
17019005402,2018,5402,Champaign County,Illinois,1490,46389,54628
17019005500,2018,5500,Champaign County,Illinois,2073,50360,75226
17019005600,2018,5600,Champaign County,Illinois,2811,45991,59251
17019005701,2018,5701,Champaign County,Illinois,2266,42500,75421
17019005702,2018,5702,Champaign County,Illinois,1684,55357,74914
17019005800,2018,5800,Champaign County,Illinois,1637,53090,87545
17019005900,2018,5900,Champaign County,Illinois,1170,10000,19385
17019006000,2018,6000,Champaign County,Illinois,747,20886,34291
17019010100,2018,10100,Champaign County,Illinois,2175,37793,44956
17019010204,2018,10204,Champaign County,Illinois,1772,46094,69717
17019010300,2018,10300,Champaign County,Illinois,1155,38578,48454
17019010400,2018,10400,Champaign County,Illinois,1933,63699,74977
17019010500,2018,10500,Champaign County,Illinois,1660,74083,97462
17019010601,2018,10601,Champaign County,Illinois,2044,91477,104428
17019010603,2018,10603,Champaign County,Illinois,2860,83875,103100
17019010604,2018,10604,Champaign County,Illinois,1109,57575,80741
17019010700,2018,10700,Champaign County,Illinois,3038,86435,88446
17019010800,2018,10800,Champaign County,Illinois,1777,70027,84201
17019010900,2018,10900,Champaign County,Illinois,3513,72427,88385
17019011000,2018,11000,Champaign County,Illinois,2399,37121,65883
17019011100,2018,11100,Champaign County,Illinois,1106,24063,36392
17021958100,2018,958100,Christian County,Illinois,1244,58750,70053
17021958200,2018,958200,Christian County,Illinois,1620,54054,62331
17021958300,2018,958300,Christian County,Illinois,2159,44207,53327
17021958400,2018,958400,Christian County,Illinois,1543,41964,56346
17021958500,2018,958500,Christian County,Illinois,1020,29943,48100
17021958600,2018,958600,Christian County,Illinois,888,76250,84943
17021958700,2018,958700,Christian County,Illinois,1342,55670,71904
17021958800,2018,958800,Christian County,Illinois,1106,50357,49763
17021958900,2018,958900,Christian County,Illinois,1124,41979,47618
17021959000,2018,959000,Christian County,Illinois,1893,65296,82264
17023060100,2018,60100,Clark County,Illinois,1883,73290,85308
17023060200,2018,60200,Clark County,Illinois,1670,47034,66478
17023060300,2018,60300,Clark County,Illinois,2394,48016,61152
17023060400,2018,60400,Clark County,Illinois,827,60094,68176
17025971900,2018,971900,Clay County,Illinois,979,52958,64823
17025972000,2018,972000,Clay County,Illinois,1224,47341,59066
