unique_id,year,tract_number,county_name,state_name,Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
17001000100,2019,100,Adams County,Illinois,4761,0,0.0,4761,100.0,4378,92.0,266,5.6,0,0.0,5,0.1,0,0.0,0,0.0,112,2.4
17001000201,2019,200,Adams County,Illinois,1985,32,1.6,1953,98.4,1749,88.1,149,7.5,0,0.0,18,0.9,0,0.0,16,0.8,21,1.1
17001000202,2019,202,Adams County,Illinois,2376,19,0.8,2357,99.2,2145,90.3,191,8.0,0,0.0,2,0.1,0,0.0,0,0.0,19,0.8
17001000400,2019,400,Adams County,Illinois,3422,20,0.6,3402,99.4,2689,78.6,496,14.5,0,0.0,31,0.9,0,0.0,0,0.0,186,5.4
17001000500,2019,500,Adams County,Illinois,2175,77,3.5,2098,96.5,1777,81.7,250,11.5,14,0.6,17,0.8,0,0.0,0,0.0,40,1.8
17001000600,2019,600,Adams County,Illinois,4055,6,0.1,4049,99.9,3746,92.4,150,3.7,0,0.0,32,0.8,1,0.0,50,1.2,70,1.7
17001000700,2019,700,Adams County,Illinois,1140,77,6.8,1063,93.2,923,81.0,117,10.3,10,0.9,7,0.6,0,0.0,0,0.0,6,0.5
17001000800,2019,800,Adams County,Illinois,2583,155,6.0,2428,94.0,1957,75.8,458,17.7,0,0.0,13,0.5,0,0.0,0,0.0,0,0.0
17001000900,2019,900,Adams County,Illinois,2846,12,0.4,2834,99.6,2668,93.7,78,2.7,0,0.0,0,0.0,0,0.0,0,0.0,88,3.1
17001001001,2019,1001,Adams County,Illinois,3478,157,4.5,3321,95.5,3293,94.7,0,0.0,9,0.3,8,0.2,0,0.0,0,0.0,11,0.3
17001001002,2019,1002,Adams County,Illinois,3281,78,2.4,3203,97.6,3096,94.4,21,0.6,0,0.0,62,1.9,0,0.0,0,0.0,24,0.7
17001001100,2019,1100,Adams County,Illinois,8241,102,1.2,8139,98.8,7353,89.2,345,4.2,49,0.6,143,1.7,0,0.0,0,0.0,249,3.0
17001010100,2019,10100,Adams County,Illinois,4242,87,2.1,4155,97.9,4104,96.7,22,0.5,0,0.0,10,0.2,0,0.0,0,0.0,19,0.4
17001010200,2019,10200,Adams County,Illinois,3325,6,0.2,3319,99.8,3227,97.1,0,0.0,7,0.2,30,0.9,0,0.0,5,0.2,50,1.5
17001010300,2019,10300,Adams County,Illinois,5752,12,0.2,5740,99.8,5615,97.6,10,0.2,108,1.9,2,0.0,3,0.1,0,0.0,2,0.0
17001010400,2019,10400,Adams County,Illinois,3695,34,0.9,3661,99.1,3562,96.4,0,0.0,0,0.0,89,2.4,10,0.3,0,0.0,0,0.0
17001010500,2019,10500,Adams County,Illinois,2835,0,0.0,2835,100.0,2825,99.6,0,0.0,0,0.0,10,0.4,0,0.0,0,0.0,0,0.0
17001010600,2019,10600,Adams County,Illinois,5893,185,3.1,5708,96.9,5482,93.0,129,2.2,0,0.0,48,0.8,0,0.0,0,0.0,49,0.8
17003957600,2019,957600,Alexander County,Illinois,2105,8,0.4,2097,99.6,1835,87.2,204,9.7,2,0.1,0,0.0,0,0.0,0,0.0,56,2.7
17003957700,2019,957700,Alexander County,Illinois,1780,22,1.2,1758,98.8,1367,76.8,373,21.0,4,0.2,0,0.0,0,0.0,0,0.0,14,0.8
