unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)"
17001000100,2020,100,Adams County,Illinois,337,0,44,283,10,3425,30,291,1067,927,359,490,261,0.0,13.1,84.0,3.0,0.9,8.5,31.2,27.1,10.5,14.3,7.6
17001000201,2020,200,Adams County,Illinois,182,18,57,94,13,1365,47,95,396,337,138,263,89,9.9,31.3,51.6,7.1,3.4,7.0,29.0,24.7,10.1,19.3,6.5
17001000202,2020,202,Adams County,Illinois,282,21,102,130,29,1541,27,56,518,437,189,176,138,7.4,36.2,46.1,10.3,1.8,3.6,33.6,28.4,12.3,11.4,9.0
17001000400,2020,400,Adams County,Illinois,223,58,75,83,7,2311,92,181,1094,564,133,145,102,26.0,33.6,37.2,3.1,4.0,7.8,47.3,24.4,5.8,6.3,4.4
17001000500,2020,500,Adams County,Illinois,192,8,108,76,0,1458,68,94,608,427,69,155,37,4.2,56.3,39.6,0.0,4.7,6.4,41.7,29.3,4.7,10.6,2.5
17001000600,2020,600,Adams County,Illinois,445,42,186,143,74,2932,0,121,650,798,271,592,500,9.4,41.8,32.1,16.6,0.0,4.1,22.2,27.2,9.2,20.2,17.1
17001000700,2020,700,Adams County,Illinois,119,21,12,61,25,942,110,212,297,190,18,83,32,17.6,10.1,51.3,21.0,11.7,22.5,31.5,20.2,1.9,8.8,3.4
17001000800,2020,800,Adams County,Illinois,113,11,89,13,0,1696,82,399,725,305,119,36,30,9.7,78.8,11.5,0.0,4.8,23.5,42.7,18.0,7.0,2.1,1.8
17001000900,2020,900,Adams County,Illinois,579,41,305,213,20,1610,26,56,474,531,153,305,65,7.1,52.7,36.8,3.5,1.6,3.5,29.4,33.0,9.5,18.9,4.0
17001001001,2020,1001,Adams County,Illinois,113,6,46,49,12,2301,10,35,863,572,301,381,139,5.3,40.7,43.4,10.6,0.4,1.5,37.5,24.9,13.1,16.6,6.0
17001001002,2020,1002,Adams County,Illinois,154,8,76,48,22,2105,42,74,773,607,188,268,153,5.2,49.4,31.2,14.3,2.0,3.5,36.7,28.8,8.9,12.7,7.3
17001001100,2020,1100,Adams County,Illinois,697,122,407,85,83,5886,135,234,1521,1308,449,1493,746,17.5,58.4,12.2,11.9,2.3,4.0,25.8,22.2,7.6,25.4,12.7
17001010100,2020,10100,Adams County,Illinois,286,65,99,117,5,3070,45,181,1074,720,389,499,162,22.7,34.6,40.9,1.7,1.5,5.9,35.0,23.5,12.7,16.3,5.3
17001010200,2020,10200,Adams County,Illinois,234,15,118,94,7,2385,34,183,1006,528,233,267,134,6.4,50.4,40.2,3.0,1.4,7.7,42.2,22.1,9.8,11.2,5.6
17001010301,2020,10301,Adams County,Illinois,49,0,11,13,25,1882,46,108,680,408,246,296,98,0.0,22.4,26.5,51.0,2.4,5.7,36.1,21.7,13.1,15.7,5.2
17001010302,2020,10302,Adams County,Illinois,188,18,85,76,9,2070,8,41,915,407,260,306,133,9.6,45.2,40.4,4.8,0.4,2.0,44.2,19.7,12.6,14.8,6.4
17001010400,2020,10400,Adams County,Illinois,101,3,42,41,15,2475,28,102,783,529,172,531,330,3.0,41.6,40.6,14.9,1.1,4.1,31.6,21.4,6.9,21.5,13.3
17001010500,2020,10500,Adams County,Illinois,92,0,35,16,41,2228,0,67,790,478,96,449,348,0.0,38.0,17.4,44.6,0.0,3.0,35.5,21.5,4.3,20.2,15.6
17001010600,2020,10600,Adams County,Illinois,545,0,165,319,61,4180,64,157,1542,731,357,802,527,0.0,30.3,58.5,11.2,1.5,3.8,36.9,17.5,8.5,19.2,12.6
17003957600,2020,957600,Alexander County,Illinois,121,6,79,36,0,1607,89,173,660,398,126,123,38,5.0,65.3,29.8,0.0,5.5,10.8,41.1,24.8,7.8,7.7,2.4
17003957700,2020,957700,Alexander County,Illinois,67,12,30,25,0,1176,52,91,467,377,70,71,48,17.9,44.8,37.3,0.0,4.4,7.7,39.7,32.1,6.0,6.0,4.1
17003957800,2020,957800,Alexander County,Illinois,156,100,51,5,0,848,13,88,260,257,75,132,23,64.1,32.7,3.2,0.0,1.5,10.4,30.7,30.3,8.8,15.6,2.7
17003957900,2020,957900,Alexander County,Illinois,20,9,0,11,0,657,39,65,274,46,174,54,5,45.0,0.0,55.0,0.0,5.9,9.9,41.7,7.0,26.5,8.2,0.8
17005951200,2020,951200,Bond County,Illinois,164,29,41,85,9,2303,47,122,846,477,356,369,86,17.7,25.0,51.8,5.5,2.0,5.3,36.7,20.7,15.5,16.0,3.7
17005951300,2020,951300,Bond County,Illinois,1042,27,203,805,7,4525,128,476,1211,1280,280,621,529,2.6,19.5,77.3,0.7,2.8,10.5,26.8,28.3,6.2,13.7,11.7
17005951400,2020,951400,Bond County,Illinois,115,9,43,53,10,2020,33,108,746,503,185,290,155,7.8,37.4,46.1,8.7,1.6,5.3,36.9,24.9,9.2,14.4,7.7
17005951500,2020,951500,Bond County,Illinois,206,8,89,89,20,2993,43,234,1123,645,424,288,236,3.9,43.2,43.2,9.7,1.4,7.8,37.5,21.6,14.2,9.6,7.9
17007010101,2020,10101,Boone County,Illinois,510,112,174,224,0,2610,356,380,836,453,214,214,157,22.0,34.1,43.9,0.0,13.6,14.6,32.0,17.4,8.2,8.2,6.0
17007010102,2020,10102,Boone County,Illinois,377,49,223,94,11,2267,354,426,795,458,104,100,30,13.0,59.2,24.9,2.9,15.6,18.8,35.1,20.2,4.6,4.4,1.3
17007010200,2020,10200,Boone County,Illinois,557,37,133,387,0,3844,321,376,1188,978,262,457,262,6.6,23.9,69.5,0.0,8.4,9.8,30.9,25.4,6.8,11.9,6.8
17007010300,2020,10300,Boone County,Illinois,580,143,187,238,12,4523,366,446,1720,1174,397,273,147,24.7,32.2,41.0,2.1,8.1,9.9,38.0,26.0,8.8,6.0,3.3
17007010400,2020,10400,Boone County,Illinois,760,19,137,559,45,4512,169,236,1840,961,400,489,417,2.5,18.0,73.6,5.9,3.7,5.2,40.8,21.3,8.9,10.8,9.2
17007010501,2020,10501,Boone County,Illinois,424,133,154,137,0,3476,64,46,537,589,416,1011,813,31.4,36.3,32.3,0.0,1.8,1.3,15.4,16.9,12.0,29.1,23.4
17007010502,2020,10502,Boone County,Illinois,344,76,71,197,0,4037,74,204,1535,844,320,558,502,22.1,20.6,57.3,0.0,1.8,5.1,38.0,20.9,7.9,13.8,12.4
17007010601,2020,10601,Boone County,Illinois,316,28,198,90,0,2460,149,157,841,561,124,491,137,8.9,62.7,28.5,0.0,6.1,6.4,34.2,22.8,5.0,20.0,5.6
17007010603,2020,10603,Boone County,Illinois,452,58,53,196,145,3887,75,244,827,733,418,969,621,12.8,11.7,43.4,32.1,1.9,6.3,21.3,18.9,10.8,24.9,16.0
17007010604,2020,10604,Boone County,Illinois,692,51,146,460,35,3487,73,158,1212,943,260,563,278,7.4,21.1,66.5,5.1,2.1,4.5,34.8,27.0,7.5,16.1,8.0
17009970400,2020,970400,Brown County,Illinois,142,0,55,51,36,1806,42,123,800,456,137,231,17,0.0,38.7,35.9,25.4,2.3,6.8,44.3,25.2,7.6,12.8,0.9
17009970500,2020,970500,Brown County,Illinois,446,128,160,140,18,3022,154,532,1089,656,219,263,109,28.7,35.9,31.4,4.0,5.1,17.6,36.0,21.7,7.2,8.7,3.6
17011964700,2020,964700,Bureau County,Illinois,243,23,99,113,8,2008,25,156,709,596,237,169,116,9.5,40.7,46.5,3.3,1.2,7.8,35.3,29.7,11.8,8.4,5.8
17011964800,2020,964800,Bureau County,Illinois,228,30,95,89,14,2262,46,94,814,706,161,327,114,13.2,41.7,39.0,6.1,2.0,4.2,36.0,31.2,7.1,14.5,5.0
17011964900,2020,964900,Bureau County,Illinois,225,38,82,40,65,1812,20,162,730,369,174,248,109,16.9,36.4,17.8,28.9,1.1,8.9,40.3,20.4,9.6,13.7,6.0
17011965000,2020,965000,Bureau County,Illinois,282,14,124,140,4,2596,173,253,1039,492,253,255,131,5.0,44.0,49.6,1.4,6.7,9.7,40.0,19.0,9.7,9.8,5.0
17011965100,2020,965100,Bureau County,Illinois,313,30,100,165,18,2642,137,164,952,681,250,298,160,9.6,31.9,52.7,5.8,5.2,6.2,36.0,25.8,9.5,11.3,6.1
17011965200,2020,965200,Bureau County,Illinois,294,38,133,84,39,2515,135,220,802,660,161,365,172,12.9,45.2,28.6,13.3,5.4,8.7,31.9,26.2,6.4,14.5,6.8
17011965300,2020,965300,Bureau County,Illinois,217,24,89,89,15,2320,2,125,825,542,324,335,167,11.1,41.0,41.0,6.9,0.1,5.4,35.6,23.4,14.0,14.4,7.2
17011965400,2020,965400,Bureau County,Illinois,164,72,39,53,0,2700,27,76,763,536,245,636,417,43.9,23.8,32.3,0.0,1.0,2.8,28.3,19.9,9.1,23.6,15.4
17011965500,2020,965500,Bureau County,Illinois,296,41,97,147,11,2502,18,170,964,598,222,380,150,13.9,32.8,49.7,3.7,0.7,6.8,38.5,23.9,8.9,15.2,6.0
17011965600,2020,965600,Bureau County,Illinois,179,31,72,58,18,2040,41,143,828,538,198,221,71,17.3,40.2,32.4,10.1,2.0,7.0,40.6,26.4,9.7,10.8,3.5
17013951200,2020,951200,Calhoun County,Illinois,169,8,65,92,4,1752,66,80,712,416,277,116,85,4.7,38.5,54.4,2.4,3.8,4.6,40.6,23.7,15.8,6.6,4.9
17013951300,2020,951300,Calhoun County,Illinois,151,26,48,43,34,1726,33,43,737,287,281,218,127,17.2,31.8,28.5,22.5,1.9,2.5,42.7,16.6,16.3,12.6,7.4
17015960100,2020,960100,Carroll County,Illinois,222,12,105,95,10,2254,30,97,835,566,299,252,175,5.4,47.3,42.8,4.5,1.3,4.3,37.0,25.1,13.3,11.2,7.8
17015960200,2020,960200,Carroll County,Illinois,168,0,139,14,15,1614,21,132,587,386,164,195,129,0.0,82.7,8.3,8.9,1.3,8.2,36.4,23.9,10.2,12.1,8.0
