unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
17001000100,2022,100,Adams County,Illinois,257,0,19,213,25,3443,23,318,900,874,518,490,320,0.0,7.4,82.9,9.7,0.7,9.2,26.1,25.4,15.0,14.2,9.3,2377,61595,82549,4509,0,0.0,4509,100.0,4028,89.3,263,5.8,0,0.0,60,1.3,0,0.0,0,0.0,158,3.5
17001000201,2022,200,Adams County,Illinois,107,2,19,72,14,1455,53,88,555,262,107,260,130,1.9,17.8,67.3,13.1,3.6,6.0,38.1,18.0,7.4,17.9,8.9,887,44583,63617,1968,32,1.6,1936,98.4,1753,89.1,134,6.8,0,0.0,9,0.5,0,0.0,0,0.0,40,2.0
17001000202,2022,202,Adams County,Illinois,520,0,186,197,137,1491,10,96,451,276,188,382,88,0.0,35.8,37.9,26.3,0.7,6.4,30.2,18.5,12.6,25.6,5.9,991,66472,69326,2473,51,2.1,2422,97.9,2136,86.4,110,4.4,0,0.0,35,1.4,0,0.0,0,0.0,141,5.7
17001000400,2022,400,Adams County,Illinois,178,14,65,87,12,2441,80,195,1152,660,122,177,55,7.9,36.5,48.9,6.7,3.3,8.0,47.2,27.0,5.0,7.3,2.3,1331,42413,48826,3428,54,1.6,3374,98.4,2812,82.0,353,10.3,0,0.0,0,0.0,0,0.0,0,0.0,209,6.1
17001000500,2022,500,Adams County,Illinois,185,14,47,101,23,1360,47,92,583,414,41,157,26,7.6,25.4,54.6,12.4,3.5,6.8,42.9,30.4,3.0,11.5,1.9,818,39167,50455,1985,241,12.1,1744,87.9,1588,80.0,91,4.6,3,0.2,21,1.1,0,0.0,0,0.0,41,2.1
17001000600,2022,600,Adams County,Illinois,334,43,128,120,43,3064,0,20,794,621,346,691,592,12.9,38.3,35.9,12.9,0.0,0.7,25.9,20.3,11.3,22.6,19.3,1931,70479,99507,4390,61,1.4,4329,98.6,3990,90.9,175,4.0,3,0.1,17,0.4,2,0.0,24,0.5,118,2.7
17001000700,2022,700,Adams County,Illinois,144,18,75,43,8,861,88,129,290,184,52,86,32,12.5,52.1,29.9,5.6,10.2,15.0,33.7,21.4,6.0,10.0,3.7,729,17644,30999,1136,61,5.4,1075,94.6,970,85.4,67,5.9,9,0.8,4,0.4,0,0.0,0,0.0,25,2.2
17001000800,2022,800,Adams County,Illinois,141,9,131,1,0,1918,58,320,1009,276,101,113,41,6.4,92.9,0.7,0.0,3.0,16.7,52.6,14.4,5.3,5.9,2.1,1102,29577,43089,2608,73,2.8,2535,97.2,2047,78.5,350,13.4,0,0.0,16,0.6,0,0.0,34,1.3,88,3.4
17001000900,2022,900,Adams County,Illinois,440,41,228,128,43,1623,19,62,504,388,252,354,44,9.3,51.8,29.1,9.8,1.2,3.8,31.1,23.9,15.5,21.8,2.7,1242,43548,63569,2612,32,1.2,2580,98.8,2302,88.1,133,5.1,0,0.0,16,0.6,0,0.0,0,0.0,129,4.9
17001001001,2022,1001,Adams County,Illinois,206,26,65,68,47,2249,24,36,884,577,243,318,167,12.6,31.6,33.0,22.8,1.1,1.6,39.3,25.7,10.8,14.1,7.4,1325,64375,69774,3217,11,0.3,3206,99.7,3063,95.2,45,1.4,0,0.0,0,0.0,0,0.0,0,0.0,98,3.0
17001001002,2022,1002,Adams County,Illinois,160,0,125,17,18,1955,9,42,661,505,150,418,170,0.0,78.1,10.6,11.3,0.5,2.1,33.8,25.8,7.7,21.4,8.7,1174,62300,75960,2851,28,1.0,2823,99.0,2492,87.4,117,4.1,2,0.1,57,2.0,0,0.0,0,0.0,155,5.4
17001001100,2022,1100,Adams County,Illinois,780,83,435,115,147,5625,122,214,1272,1268,458,1361,930,10.6,55.8,14.7,18.8,2.2,3.8,22.6,22.5,8.1,24.2,16.5,3332,77200,99352,8026,97,1.2,7929,98.8,6876,85.7,569,7.1,0,0.0,180,2.2,0,0.0,10,0.1,294,3.7
17001010100,2022,10100,Adams County,Illinois,326,47,99,149,31,3067,31,150,1141,691,381,507,166,14.4,30.4,45.7,9.5,1.0,4.9,37.2,22.5,12.4,16.5,5.4,1788,74432,84826,4507,62,1.4,4445,98.6,4353,96.6,10,0.2,1,0.0,0,0.0,0,0.0,19,0.4,62,1.4
17001010200,2022,10200,Adams County,Illinois,300,20,160,93,27,2598,33,201,1052,501,295,394,122,6.7,53.3,31.0,9.0,1.3,7.7,40.5,19.3,11.4,15.2,4.7,1540,57885,70563,3768,96,2.5,3672,97.5,3620,96.1,17,0.5,0,0.0,5,0.1,0,0.0,9,0.2,21,0.6
17001010301,2022,10301,Adams County,Illinois,103,24,27,24,28,1868,49,51,647,420,263,361,77,23.3,26.2,23.3,27.2,2.6,2.7,34.6,22.5,14.1,19.3,4.1,971,90781,91633,2846,0,0.0,2846,100.0,2828,99.4,0,0.0,12,0.4,0,0.0,0,0.0,0,0.0,6,0.2
17001010302,2022,10302,Adams County,Illinois,222,41,146,35,0,1918,18,65,812,519,171,232,101,18.5,65.8,15.8,0.0,0.9,3.4,42.3,27.1,8.9,12.1,5.3,1065,73125,82611,3057,167,5.5,2890,94.5,2821,92.3,0,0.0,0,0.0,28,0.9,0,0.0,0,0.0,41,1.3
