unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)"
25001010100,2019,10100,Barnstable County,Massachusetts,120,21,42,57,0,2702,60,61,437,474,190,803,677,17.5,35.0,47.5,0.0,2.2,2.3,16.2,17.5,7.0,29.7,25.1
25001010206,2019,10206,Barnstable County,Massachusetts,392,15,27,108,242,2750,35,111,527,452,152,820,653,3.8,6.9,27.6,61.7,1.3,4.0,19.2,16.4,5.5,29.8,23.7
25001010208,2019,10208,Barnstable County,Massachusetts,49,23,1,25,0,972,62,42,176,221,0,195,276,46.9,2.0,51.0,0.0,6.4,4.3,18.1,22.7,0.0,20.1,28.4
25001010304,2019,10304,Barnstable County,Massachusetts,140,0,73,32,35,2057,39,21,423,405,179,519,471,0.0,52.1,22.9,25.0,1.9,1.0,20.6,19.7,8.7,25.2,22.9
25001010306,2019,10306,Barnstable County,Massachusetts,140,24,6,60,50,2016,0,25,446,257,216,625,447,17.1,4.3,42.9,35.7,0.0,1.2,22.1,12.7,10.7,31.0,22.2
25001010400,2019,10400,Barnstable County,Massachusetts,56,0,56,0,0,2507,0,35,506,504,208,661,593,0.0,100.0,0.0,0.0,0.0,1.4,20.2,20.1,8.3,26.4,23.7
25001010500,2019,10500,Barnstable County,Massachusetts,69,26,22,21,0,2303,32,2,288,281,143,913,644,37.7,31.9,30.4,0.0,1.4,0.1,12.5,12.2,6.2,39.6,28.0
25001010600,2019,10600,Barnstable County,Massachusetts,211,24,3,86,98,2654,19,32,396,403,251,956,597,11.4,1.4,40.8,46.4,0.7,1.2,14.9,15.2,9.5,36.0,22.5
25001010700,2019,10700,Barnstable County,Massachusetts,151,0,45,78,28,2424,7,77,388,298,221,789,644,0.0,29.8,51.7,18.5,0.3,3.2,16.0,12.3,9.1,32.5,26.6
25001010800,2019,10800,Barnstable County,Massachusetts,120,68,28,24,0,3667,11,12,615,576,232,1245,976,56.7,23.3,20.0,0.0,0.3,0.3,16.8,15.7,6.3,34.0,26.6
