unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
25001010100,2020,10100,Barnstable County,Massachusetts,98,29,30,39,0,2624,60,28,407,432,152,794,751,29.6,30.6,39.8,0.0,2.3,1.1,15.5,16.5,5.8,30.3,28.6,1725,71495,118648,2972,188,6.3,2784,93.7,2593,87.2,58,2.0,0,0.0,69,2.3,0,0.0,0,0.0,64,2.2
25001010206,2020,10206,Barnstable County,Massachusetts,291,17,34,15,225,2895,35,95,570,471,113,653,958,5.8,11.7,5.2,77.3,1.2,3.3,19.7,16.3,3.9,22.6,33.1,1524,82990,108002,3662,266,7.3,3396,92.7,3031,82.8,93,2.5,0,0.0,21,0.6,0,0.0,35,1.0,216,5.9
25001010208,2020,10208,Barnstable County,Massachusetts,20,2,1,17,0,966,65,23,234,125,0,139,380,10.0,5.0,85.0,0.0,6.7,2.4,24.2,12.9,0.0,14.4,39.3,693,68914,93932,1076,1,0.1,1075,99.9,1036,96.3,38,3.5,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1
25001010304,2020,10304,Barnstable County,Massachusetts,91,0,29,44,18,2163,21,10,411,511,185,589,436,0.0,31.9,48.4,19.8,1.0,0.5,19.0,23.6,8.6,27.2,20.2,1282,57353,87795,2495,7,0.3,2488,99.7,2312,92.7,19,0.8,0,0.0,141,5.7,0,0.0,0,0.0,16,0.6
25001010306,2020,10306,Barnstable County,Massachusetts,124,4,8,48,64,2003,0,58,429,271,199,514,532,3.2,6.5,38.7,51.6,0.0,2.9,21.4,13.5,9.9,25.7,26.6,1172,73448,85557,2401,23,1.0,2378,99.0,2248,93.6,0,0.0,28,1.2,0,0.0,0,0.0,91,3.8,11,0.5
25001010400,2020,10400,Barnstable County,Massachusetts,57,0,57,0,0,2608,0,36,554,540,142,752,584,0.0,100.0,0.0,0.0,0.0,1.4,21.2,20.7,5.4,28.8,22.4,1474,67663,87151,2997,59,2.0,2938,98.0,2751,91.8,115,3.8,0,0.0,72,2.4,0,0.0,0,0.0,0,0.0
25001010500,2020,10500,Barnstable County,Massachusetts,98,21,10,67,0,2351,24,2,182,204,177,967,795,21.4,10.2,68.4,0.0,1.0,0.1,7.7,8.7,7.5,41.1,33.8,1314,96630,152881,2815,50,1.8,2765,98.2,2755,97.9,3,0.1,0,0.0,7,0.2,0,0.0,0,0.0,0,0.0
25001010600,2020,10600,Barnstable County,Massachusetts,169,4,41,124,0,2549,4,33,344,494,190,839,645,2.4,24.3,73.4,0.0,0.2,1.3,13.5,19.4,7.5,32.9,25.3,1489,73686,111659,2959,69,2.3,2890,97.7,2824,95.4,38,1.3,0,0.0,0,0.0,0,0.0,0,0.0,28,0.9
25001010700,2020,10700,Barnstable County,Massachusetts,151,0,36,77,38,2554,14,70,317,334,163,915,741,0.0,23.8,51.0,25.2,0.5,2.7,12.4,13.1,6.4,35.8,29.0,1518,86833,120799,3050,27,0.9,3023,99.1,2874,94.2,35,1.1,0,0.0,114,3.7,0,0.0,0,0.0,0,0.0
25001010800,2020,10800,Barnstable County,Massachusetts,234,114,35,85,0,3627,9,17,679,700,270,1035,917,48.7,15.0,36.3,0.0,0.2,0.5,18.7,19.3,7.4,28.5,25.3,2191,76090,98934,4393,24,0.5,4369,99.5,4313,98.2,6,0.1,0,0.0,0,0.0,0,0.0,0,0.0,50,1.1
25001010900,2020,10900,Barnstable County,Massachusetts,384,0,297,63,24,4226,26,178,856,977,429,824,936,0.0,77.3,16.4,6.3,0.6,4.2,20.3,23.1,10.2,19.5,22.1,2324,84095,109704,5418,131,2.4,5287,97.6,5107,94.3,2,0.0,0,0.0,59,1.1,0,0.0,0,0.0,119,2.2
25001011002,2020,11002,Barnstable County,Massachusetts,165,0,61,89,15,3230,23,65,928,593,248,717,656,0.0,37.0,53.9,9.1,0.7,2.0,28.7,18.4,7.7,22.2,20.3,1686,74787,95906,4080,208,5.1,3872,94.9,3634,89.1,44,1.1,0,0.0,14,0.3,0,0.0,147,3.6,33,0.8
