unique_id,year,tract_number,county_name,state_name,Total number of households,Median household income (dollars),Mean household income (dollars)
25001010100,2020,10100,Barnstable County,Massachusetts,1725,71495,118648
25001010206,2020,10206,Barnstable County,Massachusetts,1524,82990,108002
25001010208,2020,10208,Barnstable County,Massachusetts,693,68914,93932
25001010304,2020,10304,Barnstable County,Massachusetts,1282,57353,87795
25001010306,2020,10306,Barnstable County,Massachusetts,1172,73448,85557
25001010400,2020,10400,Barnstable County,Massachusetts,1474,67663,87151
25001010500,2020,10500,Barnstable County,Massachusetts,1314,96630,152881
25001010600,2020,10600,Barnstable County,Massachusetts,1489,73686,111659
25001010700,2020,10700,Barnstable County,Massachusetts,1518,86833,120799
25001010800,2020,10800,Barnstable County,Massachusetts,2191,76090,98934
25001010900,2020,10900,Barnstable County,Massachusetts,2324,84095,109704
25001011002,2020,11002,Barnstable County,Massachusetts,1686,74787,95906
25001011100,2020,11100,Barnstable County,Massachusetts,1974,88778,96540
25001011200,2020,11200,Barnstable County,Massachusetts,1731,69669,95552
25001011300,2020,11300,Barnstable County,Massachusetts,1220,92524,110468
25001011400,2020,11400,Barnstable County,Massachusetts,1485,68150,87522
25001011500,2020,11500,Barnstable County,Massachusetts,1595,65844,76483
25001011600,2020,11600,Barnstable County,Massachusetts,1464,47813,71193
25001011700,2020,11700,Barnstable County,Massachusetts,1065,74185,105237
25001011801,2020,11801,Barnstable County,Massachusetts,1226,84250,119000
25001011802,2020,11802,Barnstable County,Massachusetts,1737,82932,110672
25001012001,2020,12001,Barnstable County,Massachusetts,2567,68678,89347
25001012002,2020,12002,Barnstable County,Massachusetts,1270,58430,74433
25001012101,2020,12101,Barnstable County,Massachusetts,2181,71375,82426
25001012102,2020,12102,Barnstable County,Massachusetts,1594,54348,79667
25001012200,2020,12200,Barnstable County,Massachusetts,1762,107813,155863
25001012502,2020,12502,Barnstable County,Massachusetts,1447,63063,77200
25001012601,2020,12601,Barnstable County,Massachusetts,1296,67500,92451
25001012602,2020,12602,Barnstable County,Massachusetts,1824,54853,74890
25001012700,2020,12700,Barnstable County,Massachusetts,2116,90735,114710
25001012800,2020,12800,Barnstable County,Massachusetts,1651,90924,109846
25001012900,2020,12900,Barnstable County,Massachusetts,1767,99236,120347
25001013002,2020,13002,Barnstable County,Massachusetts,1295,87279,146199
25001013100,2020,13100,Barnstable County,Massachusetts,2329,102804,111711
25001013200,2020,13200,Barnstable County,Massachusetts,2052,75577,99921
25001013300,2020,13300,Barnstable County,Massachusetts,1446,91333,121570
25001013400,2020,13400,Barnstable County,Massachusetts,1584,103000,127451
25001013500,2020,13500,Barnstable County,Massachusetts,2761,122960,133026
25001013600,2020,13600,Barnstable County,Massachusetts,2323,88895,111519
25001013700,2020,13700,Barnstable County,Massachusetts,1940,77931,107694
25001013800,2020,13800,Barnstable County,Massachusetts,2130,86071,105610
25001013900,2020,13900,Barnstable County,Massachusetts,2263,72617,93689
25001014002,2020,14002,Barnstable County,Massachusetts,2010,73705,115809
25001014100,2020,14100,Barnstable County,Massachusetts,306,53108,73596
25001014300,2020,14300,Barnstable County,Massachusetts,1673,102120,141215
25001014402,2020,14402,Barnstable County,Massachusetts,2664,95309,127178
25001014500,2020,14500,Barnstable County,Massachusetts,2281,66292,102008
25001014600,2020,14600,Barnstable County,Massachusetts,1885,69464,96024
25001014700,2020,14700,Barnstable County,Massachusetts,1618,66705,102719
25001014800,2020,14800,Barnstable County,Massachusetts,2052,41250,78829
25001014900,2020,14900,Barnstable County,Massachusetts,1810,87411,141101
25001015001,2020,15001,Barnstable County,Massachusetts,1890,64444,83610
25001015002,2020,15002,Barnstable County,Massachusetts,1913,66063,74359
25001015100,2020,15100,Barnstable County,Massachusetts,1767,91476,114972
25001015200,2020,15200,Barnstable County,Massachusetts,982,108274,151925
25001015300,2020,15300,Barnstable County,Massachusetts,1521,41344,55800
25001990000,2020,990000,Barnstable County,Massachusetts,0,-666666666,-666666666
25003900100,2020,900100,Berkshire County,Massachusetts,2025,24681,36441
25003900200,2020,900200,Berkshire County,Massachusetts,1927,36755,49510
25003900300,2020,900300,Berkshire County,Massachusetts,1159,59712,74674
25003900400,2020,900400,Berkshire County,Massachusetts,2040,61720,73146
25003900500,2020,900500,Berkshire County,Massachusetts,1444,90530,116304
25003900600,2020,900600,Berkshire County,Massachusetts,1284,27527,43399
25003900700,2020,900700,Berkshire County,Massachusetts,1150,67895,78290
25003900800,2020,900800,Berkshire County,Massachusetts,2200,85313,119265
25003900900,2020,900900,Berkshire County,Massachusetts,1987,68988,89578
25003901100,2020,901100,Berkshire County,Massachusetts,1719,41652,58047
25003911100,2020,911100,Berkshire County,Massachusetts,1327,72981,86037
25003912100,2020,912100,Berkshire County,Massachusetts,3081,73942,94897
25003913100,2020,913100,Berkshire County,Massachusetts,2233,67832,99872
25003914100,2020,914100,Berkshire County,Massachusetts,2212,78750,90932
25003920101,2020,920101,Berkshire County,Massachusetts,1513,93458,108444
25003920102,2020,920102,Berkshire County,Massachusetts,804,87045,109721
25003921300,2020,921300,Berkshire County,Massachusetts,1751,55304,79542
25003921400,2020,921400,Berkshire County,Massachusetts,753,41964,54344
25003921500,2020,921500,Berkshire County,Massachusetts,1245,50694,69655
25003922100,2020,922100,Berkshire County,Massachusetts,1366,41000,55130
25003922200,2020,922200,Berkshire County,Massachusetts,1771,51149,67763
25003922300,2020,922300,Berkshire County,Massachusetts,840,54028,81815
25003923100,2020,923100,Berkshire County,Massachusetts,1556,71653,79934
25003924100,2020,924100,Berkshire County,Massachusetts,770,62292,95603
25003925101,2020,925101,Berkshire County,Massachusetts,682,62813,88721
25003925102,2020,925102,Berkshire County,Massachusetts,2168,53086,75676
25003926100,2020,926100,Berkshire County,Massachusetts,1416,68676,99469
25003931100,2020,931100,Berkshire County,Massachusetts,714,67250,84075
25003931300,2020,931300,Berkshire County,Massachusetts,611,58661,70114
25003931400,2020,931400,Berkshire County,Massachusetts,710,80750,107176
25003932200,2020,932200,Berkshire County,Massachusetts,1155,66161,86742
25003932300,2020,932300,Berkshire County,Massachusetts,741,64539,76690
25003933200,2020,933200,Berkshire County,Massachusetts,553,108224,151692
25003933300,2020,933300,Berkshire County,Massachusetts,652,69318,100009
25003933400,2020,933400,Berkshire County,Massachusetts,997,87188,101634
25003934200,2020,934200,Berkshire County,Massachusetts,471,81696,107863
25003934300,2020,934300,Berkshire County,Massachusetts,854,77159,125006
25003935100,2020,935100,Berkshire County,Massachusetts,972,85357,131441
25003935200,2020,935200,Berkshire County,Massachusetts,2137,74485,82484
25003935300,2020,935300,Berkshire County,Massachusetts,1796,49366,57666
25005600100,2020,600100,Bristol County,Massachusetts,1880,74903,113490
25005600202,2020,600202,Bristol County,Massachusetts,2218,87935,115236
25005600203,2020,600203,Bristol County,Massachusetts,2133,151417,163801
25005600204,2020,600204,Bristol County,Massachusetts,1395,118634,146672
25005610100,2020,610100,Bristol County,Massachusetts,2425,85804,105579
25005610202,2020,610202,Bristol County,Massachusetts,1922,137941,141357
25005610203,2020,610203,Bristol County,Massachusetts,2445,153259,182205
25005610204,2020,610204,Bristol County,Massachusetts,2133,110319,152532
25005611101,2020,611101,Bristol County,Massachusetts,1986,110192,118383
25005611102,2020,611102,Bristol County,Massachusetts,1290,106500,134527
25005611201,2020,611201,Bristol County,Massachusetts,1156,119418,128016
25005611202,2020,611202,Bristol County,Massachusetts,2411,102768,120714
25005612100,2020,612100,Bristol County,Massachusetts,1641,95815,114981
25005612201,2020,612201,Bristol County,Massachusetts,1490,107845,102684
25005612202,2020,612202,Bristol County,Massachusetts,2243,109850,134232
25005613100,2020,613100,Bristol County,Massachusetts,2533,69229,85127
25005613300,2020,613300,Bristol County,Massachusetts,2657,84688,97732
25005613400,2020,613400,Bristol County,Massachusetts,1300,91875,107548
25005613600,2020,613600,Bristol County,Massachusetts,1537,45820,65291
25005613700,2020,613700,Bristol County,Massachusetts,1817,52341,74328
25005613800,2020,613800,Bristol County,Massachusetts,2330,33051,56406
25005613901,2020,613901,Bristol County,Massachusetts,1224,51357,69176
25005613902,2020,613902,Bristol County,Massachusetts,1884,77826,93045
25005614000,2020,614000,Bristol County,Massachusetts,1839,34925,48544
25005614101,2020,614101,Bristol County,Massachusetts,2560,61921,78754
25005614102,2020,614102,Bristol County,Massachusetts,2396,90000,111055
25005615100,2020,615100,Bristol County,Massachusetts,2887,96627,107961
25005616100,2020,616100,Bristol County,Massachusetts,2267,106515,124084
25005617101,2020,617101,Bristol County,Massachusetts,1903,104850,113048
25005617102,2020,617102,Bristol County,Massachusetts,1469,94653,121614
25005630101,2020,630101,Bristol County,Massachusetts,1513,73517,76568
25005630102,2020,630102,Bristol County,Massachusetts,2038,70812,75372
25005630201,2020,630201,Bristol County,Massachusetts,1021,124250,142795
25005630202,2020,630202,Bristol County,Massachusetts,1745,102589,119999
25005630301,2020,630301,Bristol County,Massachusetts,1821,125688,146722
25005630302,2020,630302,Bristol County,Massachusetts,1111,93835,123913
25005630400,2020,630400,Bristol County,Massachusetts,2068,97200,134635
25005631101,2020,631101,Bristol County,Massachusetts,1404,38733,76030
25005631102,2020,631102,Bristol County,Massachusetts,1686,64861,89154
25005631200,2020,631200,Bristol County,Massachusetts,2789,106909,129192
25005631300,2020,631300,Bristol County,Massachusetts,2104,105050,113409
25005631400,2020,631400,Bristol County,Massachusetts,1200,45248,58529
25005631500,2020,631500,Bristol County,Massachusetts,1270,73226,80997
25005631600,2020,631600,Bristol County,Massachusetts,1416,49409,63187
25005631700,2020,631700,Bristol County,Massachusetts,2384,112614,119151
25005631800,2020,631800,Bristol County,Massachusetts,3238,80907,93251
25005632100,2020,632100,Bristol County,Massachusetts,2601,96446,130120
25005632200,2020,632200,Bristol County,Massachusetts,3357,89158,108551
25005633100,2020,633100,Bristol County,Massachusetts,1997,98779,130844
25005633200,2020,633200,Bristol County,Massachusetts,2244,127292,132030
25005640100,2020,640100,Bristol County,Massachusetts,1950,60091,68669
25005640201,2020,640201,Bristol County,Massachusetts,1075,46340,50857
25005640202,2020,640202,Bristol County,Massachusetts,1697,27526,46653
25005640300,2020,640300,Bristol County,Massachusetts,1732,45848,58038
25005640400,2020,640400,Bristol County,Massachusetts,1253,44647,69378
25005640500,2020,640500,Bristol County,Massachusetts,2284,42331,63490
25005640600,2020,640600,Bristol County,Massachusetts,1885,43354,50326
25005640700,2020,640700,Bristol County,Massachusetts,1038,65556,79345
25005640800,2020,640800,Bristol County,Massachusetts,1252,62394,83235
25005640901,2020,640901,Bristol County,Massachusetts,1865,43826,60167
25005641000,2020,641000,Bristol County,Massachusetts,1239,25614,35729
25005641101,2020,641101,Bristol County,Massachusetts,988,17743,27078
25005641200,2020,641200,Bristol County,Massachusetts,1460,32563,45195
25005641300,2020,641300,Bristol County,Massachusetts,2389,48531,57366
25005641400,2020,641400,Bristol County,Massachusetts,1491,25121,34354
25005641500,2020,641500,Bristol County,Massachusetts,1189,47356,62706
25005641600,2020,641600,Bristol County,Massachusetts,949,48207,80122
25005641700,2020,641700,Bristol County,Massachusetts,2179,52011,81004
25005641800,2020,641800,Bristol County,Massachusetts,859,49495,65670
25005641900,2020,641900,Bristol County,Massachusetts,1018,42212,52643
25005642000,2020,642000,Bristol County,Massachusetts,1399,47448,45243
25005642100,2020,642100,Bristol County,Massachusetts,1995,49468,53147
25005642200,2020,642200,Bristol County,Massachusetts,1548,50064,59262
25005642300,2020,642300,Bristol County,Massachusetts,834,100093,107024
25005642400,2020,642400,Bristol County,Massachusetts,1248,79048,81546
25005642500,2020,642500,Bristol County,Massachusetts,1893,73854,92774
25005644101,2020,644101,Bristol County,Massachusetts,2580,81927,92898
25005644102,2020,644102,Bristol County,Massachusetts,1767,92617,110966
25005644200,2020,644200,Bristol County,Massachusetts,2771,94792,128133
25005645101,2020,645101,Bristol County,Massachusetts,2062,78611,84527
25005645102,2020,645102,Bristol County,Massachusetts,2240,102604,107565
25005645103,2020,645103,Bristol County,Massachusetts,2278,99304,116522
25005646101,2020,646101,Bristol County,Massachusetts,3063,66736,92922
25005646103,2020,646103,Bristol County,Massachusetts,2176,82794,102244
25005646104,2020,646104,Bristol County,Massachusetts,1322,89531,131907
25005650101,2020,650101,Bristol County,Massachusetts,2025,74744,90517
25005650102,2020,650102,Bristol County,Massachusetts,1882,61731,74878
25005650201,2020,650201,Bristol County,Massachusetts,1158,96402,98562
25005650202,2020,650202,Bristol County,Massachusetts,787,63516,74405
25005650300,2020,650300,Bristol County,Massachusetts,1293,59788,71441
25005650400,2020,650400,Bristol County,Massachusetts,1608,58177,65438
25005650500,2020,650500,Bristol County,Massachusetts,1566,45517,60557
25005650600,2020,650600,Bristol County,Massachusetts,1467,36448,46774
25005650700,2020,650700,Bristol County,Massachusetts,1017,24489,36635
25005650800,2020,650800,Bristol County,Massachusetts,1456,35444,46501
25005650900,2020,650900,Bristol County,Massachusetts,1010,40481,63383
25005651001,2020,651001,Bristol County,Massachusetts,1071,64519,74465
25005651002,2020,651002,Bristol County,Massachusetts,1513,81297,96687
25005651100,2020,651100,Bristol County,Massachusetts,1730,39981,65129
25005651200,2020,651200,Bristol County,Massachusetts,862,40926,48837
25005651300,2020,651300,Bristol County,Massachusetts,957,30737,55307
25005651400,2020,651400,Bristol County,Massachusetts,1300,50357,70916
25005651500,2020,651500,Bristol County,Massachusetts,1292,54583,64051
25005651600,2020,651600,Bristol County,Massachusetts,1497,55389,70627
25005651700,2020,651700,Bristol County,Massachusetts,1125,29759,45730
25005651800,2020,651800,Bristol County,Massachusetts,1231,12315,29742
25005651900,2020,651900,Bristol County,Massachusetts,784,31188,39575
25005652000,2020,652000,Bristol County,Massachusetts,1120,47767,54876
25005652100,2020,652100,Bristol County,Massachusetts,1101,76875,88232
25005652200,2020,652200,Bristol County,Massachusetts,1116,63958,74816
25005652300,2020,652300,Bristol County,Massachusetts,1142,33462,55440
25005652400,2020,652400,Bristol County,Massachusetts,1068,39634,52714
25005652500,2020,652500,Bristol County,Massachusetts,974,45219,52363
25005652600,2020,652600,Bristol County,Massachusetts,1019,41989,50660
25005652700,2020,652700,Bristol County,Massachusetts,1510,31401,51423
25005652800,2020,652800,Bristol County,Massachusetts,1378,61500,73741
25005653101,2020,653101,Bristol County,Massachusetts,2836,76483,81576
25005653102,2020,653102,Bristol County,Massachusetts,1517,110296,125059
25005653203,2020,653203,Bristol County,Massachusetts,2024,71667,71739
25005653204,2020,653204,Bristol County,Massachusetts,1275,91625,114033
25005653301,2020,653301,Bristol County,Massachusetts,2226,102816,123673
