unique_id,year,tract_number,county_name,state_name,Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
25001010100,2020,10100,Barnstable County,Massachusetts,2972,188,6.3,2784,93.7,2593,87.2,58,2.0,0,0.0,69,2.3,0,0.0,0,0.0,64,2.2
25001010206,2020,10206,Barnstable County,Massachusetts,3662,266,7.3,3396,92.7,3031,82.8,93,2.5,0,0.0,21,0.6,0,0.0,35,1.0,216,5.9
25001010208,2020,10208,Barnstable County,Massachusetts,1076,1,0.1,1075,99.9,1036,96.3,38,3.5,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1
25001010304,2020,10304,Barnstable County,Massachusetts,2495,7,0.3,2488,99.7,2312,92.7,19,0.8,0,0.0,141,5.7,0,0.0,0,0.0,16,0.6
25001010306,2020,10306,Barnstable County,Massachusetts,2401,23,1.0,2378,99.0,2248,93.6,0,0.0,28,1.2,0,0.0,0,0.0,91,3.8,11,0.5
25001010400,2020,10400,Barnstable County,Massachusetts,2997,59,2.0,2938,98.0,2751,91.8,115,3.8,0,0.0,72,2.4,0,0.0,0,0.0,0,0.0
25001010500,2020,10500,Barnstable County,Massachusetts,2815,50,1.8,2765,98.2,2755,97.9,3,0.1,0,0.0,7,0.2,0,0.0,0,0.0,0,0.0
25001010600,2020,10600,Barnstable County,Massachusetts,2959,69,2.3,2890,97.7,2824,95.4,38,1.3,0,0.0,0,0.0,0,0.0,0,0.0,28,0.9
25001010700,2020,10700,Barnstable County,Massachusetts,3050,27,0.9,3023,99.1,2874,94.2,35,1.1,0,0.0,114,3.7,0,0.0,0,0.0,0,0.0
25001010800,2020,10800,Barnstable County,Massachusetts,4393,24,0.5,4369,99.5,4313,98.2,6,0.1,0,0.0,0,0.0,0,0.0,0,0.0,50,1.1
