unique_id,year,tract_number,county_name,state_name,Total number of households,Median household income (dollars),Mean household income (dollars)
48001950100,2022,950100,Anderson County,Texas,1833,69663,82707
48001950401,2022,950401,Anderson County,Texas,20,105000,93555
48001950402,2022,950402,Anderson County,Texas,0,-666666666,-666666666
48001950500,2022,950500,Anderson County,Texas,1425,47454,57359
48001950600,2022,950600,Anderson County,Texas,1988,42949,53099
48001950700,2022,950700,Anderson County,Texas,773,36268,42325
48001950800,2022,950800,Anderson County,Texas,2844,44464,62920
48001950901,2022,950901,Anderson County,Texas,1590,51165,68323
48001950902,2022,950902,Anderson County,Texas,1936,67875,78932
48001951001,2022,951001,Anderson County,Texas,1423,61090,102778
48001951002,2022,951002,Anderson County,Texas,1145,76397,87731
48001951100,2022,951100,Anderson County,Texas,1922,72483,82462
48003950100,2022,950100,Andrews County,Texas,720,99345,168473
48003950200,2022,950200,Andrews County,Texas,2811,87760,112291
48003950300,2022,950300,Andrews County,Texas,1845,78713,88543
48003950400,2022,950400,Andrews County,Texas,1227,79063,113921
48005000102,2022,102,Angelina County,Texas,1980,62000,88389
48005000103,2022,103,Angelina County,Texas,1030,39750,73143
48005000104,2022,104,Angelina County,Texas,1107,79954,85202
48005000201,2022,200,Angelina County,Texas,1107,44656,60632
48005000202,2022,202,Angelina County,Texas,1057,46202,50422
48005000301,2022,301,Angelina County,Texas,2016,68370,76973
48005000302,2022,302,Angelina County,Texas,2134,71833,97694
48005000400,2022,400,Angelina County,Texas,1956,55608,59020
48005000500,2022,500,Angelina County,Texas,1407,27438,46575
48005000600,2022,600,Angelina County,Texas,1609,59266,62692
48005000700,2022,700,Angelina County,Texas,1135,40590,50068
48005000800,2022,800,Angelina County,Texas,2111,73285,88071
48005000902,2022,902,Angelina County,Texas,1854,51514,78944
48005000903,2022,902,Angelina County,Texas,1282,66389,84907
48005000904,2022,903,Angelina County,Texas,1138,60874,84777
48005001001,2022,1001,Angelina County,Texas,1352,49022,63329
48005001002,2022,1002,Angelina County,Texas,1493,67675,77528
48005001101,2022,1101,Angelina County,Texas,1327,59345,80461
48005001102,2022,1102,Angelina County,Texas,1211,53614,71963
48005001200,2022,1200,Angelina County,Texas,1065,40139,61482
48005001300,2022,1300,Angelina County,Texas,2212,50000,66671
48007950101,2022,950101,Aransas County,Texas,826,62455,73818
48007950102,2022,950102,Aransas County,Texas,1642,58606,92410
48007950103,2022,950103,Aransas County,Texas,637,59116,82217
48007950200,2022,950200,Aransas County,Texas,701,54554,172727
48007950301,2022,950301,Aransas County,Texas,1531,40274,59892
48007950302,2022,950302,Aransas County,Texas,1311,83821,108321
48007950400,2022,950400,Aransas County,Texas,1721,40660,48506
48007950501,2022,950501,Aransas County,Texas,984,51168,86902
48007950502,2022,950502,Aransas County,Texas,1058,59826,74193
48007950503,2022,950503,Aransas County,Texas,1001,92969,125805
48007990000,2022,990000,Aransas County,Texas,0,-666666666,-666666666
48009020100,2022,20100,Archer County,Texas,1096,94000,116374
48009020200,2022,20200,Archer County,Texas,1023,60462,88636
48009020300,2022,20300,Archer County,Texas,1248,60000,79059
48011950100,2022,950100,Armstrong County,Texas,725,70417,81158
48013960101,2022,960101,Atascosa County,Texas,998,59500,75134
48013960102,2022,960102,Atascosa County,Texas,1387,70028,81724
48013960203,2022,960203,Atascosa County,Texas,792,50943,67042
48013960204,2022,960204,Atascosa County,Texas,987,102029,100566
