label,variable_id_2018
Annotation of Margin of Error!!Male MOE!!Population 25 years and over!!Population 35 to 44 years,S1501_C03_019MA
Margin of Error!!Percent MOE!!Population 25 years and over!!Less than 9th grade,S1501_C02_007M
Estimate!!Percent!!Population 25 years and over!!Less than 9th grade,S1501_C02_007E
"Margin of Error!!Percent MOE!!Population 25 years and over!!9th to 12th grade, no diploma",S1501_C02_008M
"Estimate!!Percent!!Population 25 years and over!!9th to 12th grade, no diploma",S1501_C02_008E
Estimate!!Percent!!Population 18 to 24 years!!Bachelor's degree or higher,S1501_C02_005E
Margin of Error!!Percent MOE!!Population 18 to 24 years!!Bachelor's degree or higher,S1501_C02_005M
Estimate!!Percent!!Population 25 years and over,S1501_C02_006E
Margin of Error!!Percent MOE!!Population 25 years and over,S1501_C02_006M
Estimate!!Percent!!Population 18 to 24 years!!High school graduate (includes equivalency),S1501_C02_003E
Margin of Error!!Percent MOE!!Population 18 to 24 years!!High school graduate (includes equivalency),S1501_C02_003M
Estimate!!Percent!!Population 18 to 24 years!!Some college or associate's degree,S1501_C02_004E
Margin of Error!!Percent MOE!!Population 18 to 24 years!!Some college or associate's degree,S1501_C02_004M
Estimate!!Percent!!Population 18 to 24 years,S1501_C02_001E
Margin of Error!!Percent MOE!!Population 18 to 24 years,S1501_C02_001M
Estimate!!Percent!!Population 18 to 24 years!!Less than high school graduate,S1501_C02_002E
Margin of Error!!Percent MOE!!Population 18 to 24 years!!Less than high school graduate,S1501_C02_002M
Annotation of Margin of Error!!Male MOE!!Population 25 years and over!!Population 25 to 34 years!!Bachelor's degree or higher,S1501_C03_018MA
Annotation of Estimate!!Male!!Population 25 years and over!!Population 35 to 44 years,S1501_C03_019EA
Margin of Error!!Percent MOE!!Population 25 years and over!!High school graduate (includes equivalency),S1501_C02_009M
Estimate!!Percent!!Population 25 years and over!!High school graduate (includes equivalency),S1501_C02_009E
Margin of Error!!Percent MOE!!Population 25 years and over!!Population 35 to 44 years,S1501_C02_019M
Estimate!!Percent!!Population 25 years and over!!Population 35 to 44 years,S1501_C02_019E
Estimate!!Percent!!Population 25 years and over!!Population 25 to 34 years!!High school graduate or higher,S1501_C02_017E
Margin of Error!!Percent MOE!!Population 25 years and over!!Population 25 to 34 years!!High school graduate or higher,S1501_C02_017M
Margin of Error!!Percent MOE!!Population 25 years and over!!Population 25 to 34 years!!Bachelor's degree or higher,S1501_C02_018M
Estimate!!Percent!!Population 25 years and over!!Population 25 to 34 years!!Bachelor's degree or higher,S1501_C02_018E
Estimate!!Percent!!Population 25 years and over!!Bachelor's degree or higher,S1501_C02_015E
Margin of Error!!Percent MOE!!Population 25 years and over!!Bachelor's degree or higher,S1501_C02_015M
Estimate!!Percent!!Population 25 years and over!!Population 25 to 34 years,S1501_C02_016E
Margin of Error!!Percent MOE!!Population 25 years and over!!Population 25 to 34 years,S1501_C02_016M
Estimate!!Percent!!Population 25 years and over!!Graduate or professional degree,S1501_C02_013E
Margin of Error!!Percent MOE!!Population 25 years and over!!Graduate or professional degree,S1501_C02_013M
Annotation of Estimate!!Percent!!Population 25 years and over!!Population 35 to 44 years,S1501_C02_019EA
Estimate!!Percent!!Population 25 years and over!!High school graduate or higher,S1501_C02_014E
Margin of Error!!Percent MOE!!Population 25 years and over!!High school graduate or higher,S1501_C02_014M
Estimate!!Percent!!Population 25 years and over!!Associate's degree,S1501_C02_011E
Margin of Error!!Percent MOE!!Population 25 years and over!!Associate's degree,S1501_C02_011M
Annotation of Margin of Error!!Male MOE!!Population 25 years and over!!Population 25 to 34 years!!High school graduate or higher,S1501_C03_017MA
Estimate!!Percent!!Population 25 years and over!!Bachelor's degree,S1501_C02_012E
Margin of Error!!Percent MOE!!Population 25 years and over!!Bachelor's degree,S1501_C02_012M
"Estimate!!Percent!!Population 25 years and over!!Some college, no degree",S1501_C02_010E
"Margin of Error!!Percent MOE!!Population 25 years and over!!Some college, no degree",S1501_C02_010M
Annotation of Estimate!!Percent Female!!RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!Bachelor's degree or higher,S1501_C06_039EA
Annotation of Margin of Error!!Percent MOE!!Population 25 years and over!!Population 35 to 44 years,S1501_C02_019MA
Annotation of Estimate!!Male!!Population 25 years and over!!Population 25 to 34 years!!Bachelor's degree or higher,S1501_C03_018EA
Annotation of Margin of Error!!Percent Female MOE!!RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!Bachelor's degree or higher,S1501_C06_039MA
Margin of Error!!Percent MOE!!RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher,S1501_C02_029M
Estimate!!Percent!!RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher,S1501_C02_029E
Estimate!!Percent!!Population 25 years and over!!Population 65 years and over!!Bachelor's degree or higher,S1501_C02_027E
Margin of Error!!Percent MOE!!Population 25 years and over!!Population 65 years and over!!Bachelor's degree or higher,S1501_C02_027M
Estimate!!Percent!!RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone,S1501_C02_028E
Margin of Error!!Percent MOE!!RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone,S1501_C02_028M
Estimate!!Percent!!Population 25 years and over!!Population 65 years and over,S1501_C02_025E
Annotation of Margin of Error!!Male MOE!!Population 25 years and over!!Population 25 to 34 years,S1501_C03_016MA
Margin of Error!!Percent MOE!!Population 25 years and over!!Population 65 years and over,S1501_C02_025M
Estimate!!Percent!!Population 25 years and over!!Population 65 years and over!!High school graduate or higher,S1501_C02_026E
Margin of Error!!Percent MOE!!Population 25 years and over!!Population 65 years and over!!High school graduate or higher,S1501_C02_026M
Estimate!!Percent!!Population 25 years and over!!Population 45 to 64 years!!High school graduate or higher,S1501_C02_023E
Margin of Error!!Percent MOE!!Population 25 years and over!!Population 45 to 64 years!!High school graduate or higher,S1501_C02_023M
Estimate!!Percent!!Population 25 years and over!!Population 45 to 64 years!!Bachelor's degree or higher,S1501_C02_024E
Margin of Error!!Percent MOE!!Population 25 years and over!!Population 45 to 64 years!!Bachelor's degree or higher,S1501_C02_024M
Estimate!!Percent!!Population 25 years and over!!Population 35 to 44 years!!Bachelor's degree or higher,S1501_C02_021E
Margin of Error!!Percent MOE!!Population 25 years and over!!Population 35 to 44 years!!Bachelor's degree or higher,S1501_C02_021M
Margin of Error!!Percent MOE!!Population 25 years and over!!Population 35 to 44 years!!High school graduate or higher,S1501_C02_020M
Estimate!!Percent!!Population 25 years and over!!Population 45 to 64 years,S1501_C02_022E
Margin of Error!!Percent MOE!!Population 25 years and over!!Population 45 to 64 years,S1501_C02_022M
Estimate!!Percent!!Population 25 years and over!!Population 35 to 44 years!!High school graduate or higher,S1501_C02_020E
Annotation of Estimate!!Male!!Population 25 years and over!!Population 25 to 34 years,S1501_C03_016EA
Annotation of Estimate!!Male!!Population 25 years and over!!Population 25 to 34 years!!High school graduate or higher,S1501_C03_017EA
Annotation of Estimate!!Percent Female!!RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!High school graduate or higher,S1501_C06_038EA
Annotation of Margin of Error!!Percent Female MOE!!RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!High school graduate or higher,S1501_C06_038MA
Annotation of Estimate!!Percent!!Population 25 years and over!!Population 25 to 34 years!!High school graduate or higher,S1501_C02_017EA
Annotation of Margin of Error!!Female MOE!!RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!High school graduate or higher,S1501_C05_038MA
Estimate!!Percent!!RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!Bachelor's degree or higher,S1501_C02_039E
Margin of Error!!Percent MOE!!RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!Bachelor's degree or higher,S1501_C02_039M
Estimate!!Percent!!RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone,S1501_C02_037E
