county_code,county_name,state_name
05001,Arkansas County ,Arkansas 
05003,Ashley County ,Arkansas 
05005,Baxter County ,Arkansas 
05007,Benton County ,Arkansas 
05009,Boone County ,Arkansas 
05011,Bradley County ,Arkansas 
05013,Calhoun County ,Arkansas 
05015,Carroll County ,Arkansas 
05017,Chicot County ,Arkansas 
05019,Clark County ,Arkansas 
05021,Clay County ,Arkansas 
05023,Cleburne County ,Arkansas 
05025,Cleveland County ,Arkansas 
05027,Columbia County ,Arkansas 
05029,Conway County ,Arkansas 
05031,Craighead County ,Arkansas 
05033,Crawford County ,Arkansas 
05035,Crittenden County ,Arkansas 
05037,Cross County ,Arkansas 
05039,Dallas County ,Arkansas 
05041,Desha County ,Arkansas 
05043,Drew County ,Arkansas 
05045,Faulkner County ,Arkansas 
05047,Franklin County ,Arkansas 
05049,Fulton County ,Arkansas 
05051,Garland County ,Arkansas 
05053,Grant County ,Arkansas 
05055,Greene County ,Arkansas 
05057,Hempstead County ,Arkansas 
05059,Hot Spring County ,Arkansas 
05061,Howard County ,Arkansas 
05063,Independence County ,Arkansas 
05065,Izard County ,Arkansas 
05067,Jackson County ,Arkansas 
05069,Jefferson County ,Arkansas 
05071,Johnson County ,Arkansas 
05073,Lafayette County ,Arkansas 
05075,Lawrence County ,Arkansas 
05077,Lee County ,Arkansas 
05079,Lincoln County ,Arkansas 
05081,Little River County ,Arkansas 
05083,Logan County ,Arkansas 
05085,Lonoke County ,Arkansas 
05087,Madison County ,Arkansas 
05089,Marion County ,Arkansas 
05091,Miller County ,Arkansas 
05093,Mississippi County ,Arkansas 
05095,Monroe County ,Arkansas 
05097,Montgomery County ,Arkansas 
05099,Nevada County ,Arkansas 
05101,Newton County ,Arkansas 
05103,Ouachita County ,Arkansas 
05105,Perry County ,Arkansas 
05107,Phillips County ,Arkansas 
05109,Pike County ,Arkansas 
05111,Poinsett County ,Arkansas 
05113,Polk County ,Arkansas 
05115,Pope County ,Arkansas 
05117,Prairie County ,Arkansas 
05119,Pulaski County ,Arkansas 
05121,Randolph County ,Arkansas 
05123,St. Francis County ,Arkansas 
05125,Saline County ,Arkansas 
05127,Scott County ,Arkansas 
05129,Searcy County ,Arkansas 
05131,Sebastian County ,Arkansas 
05133,Sevier County ,Arkansas 
05135,Sharp County ,Arkansas 
05137,Stone County ,Arkansas 
05139,Union County ,Arkansas 
05141,Van Buren County ,Arkansas 
05143,Washington County ,Arkansas 
05145,White County ,Arkansas 
05147,Woodruff County ,Arkansas 
05149,Yell County ,Arkansas 
17001,Adams County ,Illinois 
17003,Alexander County ,Illinois 
17005,Bond County ,Illinois 
17007,Boone County ,Illinois 
17009,Brown County ,Illinois 
17011,Bureau County ,Illinois 
17013,Calhoun County ,Illinois 
17015,Carroll County ,Illinois 
17017,Cass County ,Illinois 
17019,Champaign County ,Illinois 
17021,Christian County ,Illinois 
17023,Clark County ,Illinois 
17025,Clay County ,Illinois 
17027,Clinton County ,Illinois 
17029,Coles County ,Illinois 
17031,Cook County ,Illinois 
17033,Crawford County ,Illinois 
17035,Cumberland County ,Illinois 
17037,DeKalb County ,Illinois 
17039,De Witt County ,Illinois 
17041,Douglas County ,Illinois 
